,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.2573965760328172,0.24964642158371295,0.27801393395887863,0.24477303903547143,0.24264764707559125,0.26666163848973157,0.2834697728729072,0.2867470654720009,0.31160316093546453,0.2827900942482141,0.2827900942482141,0.2827900942482141,0.2827900942482141
BirdChicken,0.588916826647057,0.5360915176024761,0.4727499152196771,0.4391395697752232,0.5623379554225046,0.60488713182335,0.5590622559835967,0.5047527966687853,0.4315744611567921,0.5445040765553835,0.6119889759936094,0.6119889759936094,0.6119889759936094
Car,0.5017524030670856,0.45372014505366565,0.3857376402572896,0.48518051736721607,0.45283481655358837,0.4488726250909159,0.5164870443260925,0.5303070331239034,0.5099612474851632,0.559594068062805,0.5392532603582835,0.4771439729810944,0.4771439729810944
CricketX,0.33811958909916945,0.35179508322347364,0.3367045572902979,0.34369497766740587,0.3454708626071876,0.3663650789670584,0.35910625690228065,0.3759660756767973,0.37340829413315946,0.3766069358103577,0.37849132561447774,0.3792381960434828,0.23538653274790583
CricketY,0.44304063373954217,0.4597622041325911,0.4480928528617844,0.4546470658250897,0.45891936489285506,0.4788442755073379,0.4648044426869478,0.48187930634251563,0.46821778106881934,0.47987544208975574,0.4770642341517304,0.4080779878792106,0.3847049671367711
CricketZ,0.3369980667232889,0.3116730314876631,0.33459463268687195,0.32697313356676316,0.33987927559681885,0.34197042571884023,0.37015298841128785,0.3591285142030558,0.37966573764202793,0.3877884440586691,0.3923406972673564,0.3512216737235848,0.2312256450351718
DistalPhalanxTW,0.6443519014639232,0.6624657365116582,0.5944544401248328,0.6770776005710064,0.6722395524099414,0.5845151250152542,0.5955343095624174,0.5743937739854753,0.5533427926761876,0.5531966151639792,0.474887881818242,0.474887881818242,0.474887881818242
ECG200,0.5459589158522947,0.5772367343302879,0.5641331599543247,0.4781598215858177,0.40535607662928597,0.4790845308285556,0.38291671544167116,0.2960997449738708,0.219497550939265,0.21975111795661012,0.12369041122282605,0.13301579841775837,0.13301579841775837
ECG5000,0.4920132343332423,0.4846721787507734,0.4699916745552427,0.4672813514629975,0.5098130630534049,0.5205315526615965,0.4837850740511569,0.4852901302539944,0.4635300091715817,0.47047143396647584,0.4518741624697111,0.445164265219525,0.445164265219525
FiftyWords,0.6830119705934116,0.6700420240278013,0.680756550729332,0.6793388825338321,0.6885180412733567,0.7004149938879014,0.7094682007694887,0.7191797695441119,0.708184227850474,0.6912196682743283,0.6382421482767624,0.5195145010448664,0.5195145010448664
Fish,0.7851756237114766,0.7937260461124492,0.8236636459931976,0.8313676562217326,0.8382681410092214,0.8210052211276018,0.8079484624886222,0.7940764383721749,0.7801564633641952,0.7915904282157382,0.7688385299214833,0.5398454780024132,0.5398454780024132
FordA,0.022818908226282172,0.02278131035231242,0.022773143388865012,0.022780291311460688,0.022945113998153643,0.02345297254511674,0.022984210103202878,0.022892810803064965,0.023383865980435646,0.02298104887545338,0.02275609285274424,0.023248294399972783,0.023248294399972783
FordB,0.10743202734061233,0.10408270302216804,0.09749507493432495,0.09956384572267298,0.09467104190799833,0.0932897724179467,0.10889356983877437,0.09863262694081838,0.10240546842209466,0.12137076287289168,0.1033381075131774,0.08322268210942482,0.07223040162510797
Haptics,0.08187013529467999,0.0838549253289078,0.08374320943181354,0.17830352219156267,0.09496441110832007,0.09268648868479436,0.0824434258346842,0.08931565114732178,0.09085632448606815,0.10709468566675318,0.10753275614763258,0.13657093097074466,0.13657093097074466
Herring,0.5126273666734469,0.5132032791142312,0.5329744645899982,0.5109172097597592,0.7093709650149258,0.42024825791106,0.5217691598191324,0.21133155094073217,0.11560250678062241,0.11065226227303734,0.019116565610710512,0.019771621648170576,0.019771621648170576
InsectWingbeatSound,0.5486625050831464,0.5692817519022281,0.5856476354149931,0.6052844971109994,0.5738696434022407,0.5515956255227688,0.5470788427135456,0.5460780500335132,0.5276643504358962,0.5143938853946912,0.4633631498761851,0.419422410273078,0.419422410273078
ItalyPowerDemand,0.3011096846033687,0.29395798605592216,0.2982483729402624,0.29604546403863796,0.2267001713469916,0.15154066838625302,0.15802342047595028,0.161259396926779,0.15750316824067348,0.17938402172426982,0.13611780009837635,0.14452056414936762,0.14452056414936762
