,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.6032183908045977,0.6048275862068965,0.6062068965517241,0.6110344827586206,0.595632183908046,0.5829885057471264,0.5963218390804598,0.5891954022988506,0.6064367816091953,0.603448275862069,0.603448275862069,0.603448275862069,0.603448275862069
BirdChicken,0.5394736842105263,0.5194736842105263,0.52,0.5826315789473683,0.531578947368421,0.5626315789473685,0.5794736842105264,0.5610526315789472,0.6221052631578947,0.6473684210526315,0.7494736842105264,0.7494736842105264,0.7494736842105264
Car,0.6872881355932203,0.6696045197740113,0.6024858757062147,0.6776271186440679,0.6737853107344633,0.6829378531073446,0.719039548022599,0.7175706214689266,0.738361581920904,0.7459887005649718,0.7618644067796609,0.7391525423728813,0.7391525423728813
CricketX,0.8056963944367543,0.7984233076263925,0.7792235185551382,0.7821066508470107,0.8078926900006591,0.8129444334585724,0.8296842660338803,0.840013183046602,0.8311647221672928,0.848298727836003,0.8548546569112121,0.8650491068485927,0.8398009359963087
CricketY,0.8474919253839562,0.8513361017731198,0.8492136312701867,0.8431322918726517,0.8469672401291938,0.8584035330564894,0.8598892624085426,0.8657820842396677,0.871490343418364,0.8769151670951156,0.8749851690725727,0.8700296618548548,0.8679994726781359
CricketZ,0.7874128271043439,0.7812088853734098,0.7820881945817678,0.7584786764221211,0.7963746621844308,0.8206881550326279,0.8357932898292795,0.8338184694482894,0.8495722101377629,0.8556996901984049,0.8595003625337816,0.8617744380726385,0.8424019510908971
DistalPhalanxTW,0.6932749452611824,0.709873840058388,0.7006151600458763,0.7318319257637368,0.7031279324366594,0.7270461891356479,0.7428735272651444,0.7448336982587842,0.7646960692315712,0.7949118965697007,0.7617453862996559,0.7617453862996559,0.7617453862996559
ECG200,0.5501818181818181,0.5570909090909091,0.5604040404040405,0.5651919191919191,0.571131313131313,0.5691111111111111,0.5731111111111111,0.5787070707070707,0.5971919191919192,0.5936363636363635,0.594989898989899,0.6042020202020201,0.6042020202020201
ECG5000,0.7837320886122842,0.792183971746808,0.7764759674989505,0.7748319182040454,0.8118620137808401,0.8243497962510189,0.7919068138598702,0.7890079869600652,0.7815583611172854,0.7825129238596232,0.7722330690770789,0.7845673853448915,0.7845673853448915
FiftyWords,0.9017127366026043,0.8905388004066419,0.9031233964273613,0.9087921769860096,0.9281676913394973,0.9374120152974779,0.9417872876022656,0.9501273176163044,0.9514905358958222,0.9545906956479644,0.9502338190443916,0.9397260008713753,0.9397260008713753
Fish,0.8206108374384236,0.8043809523809525,0.7430410509031199,0.8063448275862068,0.8401050903119869,0.8540164203612479,0.8401904761904762,0.8731888341543513,0.8814252873563218,0.8917963875205255,0.921326765188834,0.8395993431855502,0.8395993431855502
FordA,0.5138188940198039,0.5137958049027042,0.513762492246192,0.5137650194132378,0.5138814988398006,0.5141694810117857,0.5138843706205344,0.5138412939095274,0.5141357088703563,0.5139503067061824,0.513745491304248,0.5139476646679073,0.5139476646679073
FordB,0.5634052099070641,0.5640690381357872,0.5564455431946163,0.5527430603244365,0.5531566176807216,0.552624334264219,0.562206046178028,0.5551160554868837,0.5593056509331745,0.5715869309771247,0.5591564040348549,0.5409958949472753,0.5307415037616933
Haptics,0.6283112652819494,0.625295063242946,0.5992512373619865,0.5717479588815093,0.6348957231693388,0.6411607936037904,0.6562946825161808,0.6621388383603367,0.655158847666991,0.6670142561022041,0.6626422437497356,0.619778755446508,0.619778755446508
Herring,0.505704365079365,0.5062499999999999,0.5086309523809524,0.5059027777777777,0.5065972222222221,0.5062996031746032,0.5067956349206348,0.5064980158730158,0.5062003968253969,0.5060515873015874,0.5086309523809524,0.5095238095238095,0.5095238095238095
InsectWingbeatSound,0.8258072896728784,0.8205727308455959,0.8273444398507561,0.8202287656759613,0.8349217796969187,0.8542572771678382,0.8599178750618872,0.8616841482025919,0.8631887852756979,0.871468551099678,0.8647411967068359,0.8589214019936607,0.8589214019936607
ItalyPowerDemand,0.5702964231829475,0.5702438618582508,0.5707097291390152,0.5701376047917778,0.5245956748458138,0.535532589912007,0.5527696793002915,0.5478149236348236,0.5466555493792848,0.5698729074731615,0.570960813452674,0.5765860096122941,0.5765860096122941
LargeKitchenAppliances,0.48444064171122997,0.4936057040998218,0.4920299465240642,0.5075151515151516,0.497645632798574,0.5214488413547238,0.5168541889483065,0.493341889483066,0.5068078431372549,0.5059508021390374,0.5352185383244207,0.4999515151515152,0.4999515151515152
Lightning2,0.5005464480874318,0.5022950819672131,0.5007650273224044,0.4968306010928962,0.4968306010928962,0.5003278688524591,0.49792349726775953,0.49748633879781423,0.4971584699453552,0.4971584699453552,0.5065573770491804,0.4995628415300547,0.4995628415300547
Lightning7,0.7335235920852359,0.705593607305936,0.6841704718417047,0.7052130898021308,0.7073059360730594,0.7127092846270928,0.7457382039573821,0.7594368340943684,0.757420091324201,0.7855022831050229,0.7755707762557078,0.7705479452054793,0.7705479452054793
Meat,0.6740112994350282,0.6667796610169492,0.6466101694915255,0.64045197740113,0.6642937853107345,0.7381355932203391,0.7040112994350282,0.72045197740113,0.6261581920903956,0.6240677966101695,0.6240677966101695,0.6240677966101695,0.6240677966101695
MedicalImages,0.6384293738298314,0.6204902572637127,0.6364340198321893,0.6400180292628804,0.6538204701477014,0.644539907079953,0.6583049025726371,0.6539387005062063,0.6650589418209555,0.6653962970667776,0.6727137507801123,0.6569998613133624,0.6569998613133624
MiddlePhalanxOutlineAgeGroup,0.5067142008318479,0.5060860707919532,0.5016042780748664,0.4987692046515576,0.49494100670571256,0.506833036244801,0.5186656480774128,0.5167303284950344,0.5210253798489093,0.5228079110432052,0.529072234954588,0.529072234954588,0.529072234954588
OSULeaf,0.8744075991907,0.84977881416961,0.8552347313192277,0.8552861698844347,0.8451287678749013,0.8697918452727957,0.8867837179794933,0.9268166386612255,0.8918727066973012,0.9134563286581393,0.9385892116182573,0.8382051369980454,0.8382051369980454
OliveOil,0.7087356321839081,0.6760919540229885,0.6551724137931034,0.6572413793103448,0.643448275862069,0.6728735632183909,0.7620689655172412,0.7811494252873563,0.8422988505747127,0.8032183908045976,0.8032183908045976,0.8032183908045976,0.8032183908045976
Phoneme,0.8695782260668203,0.8536397693241152,0.8448955167384746,0.8620594391191565,0.8752717010119901,0.8837105752424212,0.8935124077352125,0.9068986785121851,0.9152175946027186,0.9196654531690103,0.921629927746791,0.9219635839372989,0.9219635839372989
Plane,0.9434615384615384,0.9570512820512821,0.9386996336996336,0.9644139194139194,0.9613369963369964,0.9770329670329672,0.974102564102564,0.9823260073260073,0.9940659340659341,0.9906959706959707,0.9659340659340658,0.9659340659340658,0.9659340659340658
