,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.05711863073243236,0.0581807004299158,0.07199283925172137,0.05659714889339111,0.06810124614973959,0.06589616006725438,0.029845802413124817,0.08488068024212667,0.08393965185181657,0.06256826497419317,0.06256826497419317,0.06256826497419317,0.06256826497419317
BirdChicken,0.10140320985487214,0.07838764222234156,0.0714417276117327,0.16930182267941593,0.19783202384543155,0.08083719583413049,0.12630144680457966,0.1384292359253767,0.19551435827179509,0.26974161180240463,0.4825514623489046,0.4825514623489046,0.4825514623489046
Car,0.29559353938755517,0.33174890293202475,0.3234677365458759,0.23692104199155048,0.2815973598976944,0.3587190272975328,0.37918175154331035,0.41682693164557527,0.4586412249622459,0.4903681689664764,0.49661747476256,0.4624490931176136,0.4624490931176136
CricketX,0.3068121635515907,0.27875473470714746,0.20658852817642853,0.26339294525591905,0.23036296102042556,0.29947730451646926,0.30298150285242265,0.3163053087856837,0.3206392684258613,0.3385850286577895,0.3329773850607511,0.36982407909948173,0.22316784128937872
CricketY,0.36502000237890586,0.3740651644412227,0.3572224374278865,0.3450940470630368,0.3735228458365234,0.3979478301629863,0.4098347920330153,0.42024243424632346,0.43112569742925705,0.4411487543027667,0.4380477924379762,0.4058069069104399,0.3466899809940628
CricketZ,0.2970573831683711,0.275566320094244,0.2084456281984167,0.2500254780172977,0.2250676149724155,0.2914051600166494,0.30284359342603145,0.31591521324355093,0.3334372203698298,0.34841453824069474,0.35609333500799256,0.3229773277104404,0.2179928494565143
DistalPhalanxTW,0.4594406909915227,0.49753817550379936,0.4829437431650544,0.47748864162448407,0.4762033389149936,0.4646571110798222,0.472959050758121,0.46793375075174826,0.44417843514064426,0.4774961244725201,0.41253605842142316,0.41253605842142316,0.41253605842142316
ECG200,0.048424094007779306,0.05392635987116051,0.038444337597419664,0.026716728426159568,0.037202459638220595,0.040231144486233536,0.04669348269110312,0.05467894795569894,0.09349070841985828,0.08724613180040024,0.09143693503283926,0.10817983672055598,0.11275066294551164
ECG5000,0.5398385404736243,0.5720352545630074,0.5661622756517544,0.6006624709964851,0.5871009773593082,0.5876581118995237,0.5537951870845979,0.5595094102948638,0.5482801428051494,0.528356846245606,0.5365209651394338,0.5407677409627454,0.5407677409627454
FiftyWords,0.4601739029638023,0.4287933631062436,0.45467551990558724,0.4870390041567248,0.5349118046993477,0.5524911907942008,0.5618367638843802,0.5718355480761932,0.5924070937242603,0.5732049015054106,0.49285947100949656,0.26794057565070406,0.26794057565070406
