,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.3333333333333333,0.31999999999999995,0.32666666666666666,0.32999999999999996,0.33999999999999997,0.31,0.27999999999999997,0.3066666666666667,0.26666666666666666,0.29333333333333333,0.29333333333333333,0.29333333333333333,0.29333333333333333
BirdChicken,0.585,0.5650000000000001,0.5650000000000001,0.65,0.665,0.575,0.6,0.61,0.6799999999999999,0.7150000000000001,0.8350000000000002,0.8350000000000002,0.8350000000000002
Car,0.5116666666666667,0.52,0.49833333333333335,0.4766666666666667,0.48166666666666663,0.5533333333333333,0.57,0.5966666666666667,0.655,0.655,0.6683333333333333,0.6083333333333334,0.6083333333333334
CricketX,0.32461538461538464,0.3107692307692308,0.2520512820512821,0.2882051282051282,0.271025641025641,0.3169230769230769,0.3335897435897436,0.3405128205128205,0.34487179487179487,0.36128205128205126,0.3523076923076923,0.3866666666666666,0.27717948717948715
CricketY,0.35923076923076924,0.36615384615384616,0.33999999999999997,0.3205128205128205,0.3258974358974359,0.3684615384615385,0.3935897435897435,0.41000000000000003,0.4102564102564103,0.4323076923076924,0.4394871794871795,0.40820512820512816,0.36282051282051286
CricketZ,0.3294871794871795,0.3141025641025641,0.24410256410256412,0.27897435897435896,0.2687179487179487,0.3207692307692308,0.3338461538461538,0.35025641025641024,0.3676923076923077,0.3748717948717949,0.381025641025641,0.34974358974358977,0.27641025641025646
DistalPhalanxTW,0.4942446043165467,0.5661870503597122,0.5510791366906476,0.5510791366906476,0.5172661870503596,0.4992805755395683,0.5374100719424459,0.5230215827338129,0.518705035971223,0.5741007194244604,0.4928057553956834,0.4928057553956834,0.4928057553956834
ECG200,0.6569999999999999,0.6589999999999999,0.6599999999999999,0.657,0.6649999999999999,0.6669999999999999,0.639,0.6759999999999999,0.709,0.706,0.708,0.7140000000000001,0.724
ECG5000,0.7123999999999999,0.7752222222222223,0.7729777777777778,0.7873777777777777,0.7921333333333334,0.7600666666666667,0.7374666666666666,0.7439777777777777,0.6987555555555556,0.7066444444444445,0.6987111111111111,0.7205777777777778,0.7205777777777778
FiftyWords,0.41802197802197805,0.37956043956043956,0.4046153846153847,0.44153846153846155,0.4813186813186813,0.48681318681318686,0.4958241758241758,0.5103296703296702,0.5206593406593406,0.5010989010989011,0.4345054945054946,0.2701098901098901,0.2701098901098901
Fish,0.6022857142857143,0.4228571428571429,0.4074285714285715,0.45771428571428574,0.48857142857142855,0.5971428571428572,0.6188571428571429,0.7045714285714286,0.7211428571428571,0.7754285714285715,0.7902857142857143,0.6342857142857143,0.6342857142857143
FordA,0.6253030303030302,0.6250000000000001,0.6239393939393939,0.5946212121212121,0.5969696969696969,0.5975757575757574,0.6280303030303029,0.6262121212121212,0.6261363636363636,0.595,0.5961363636363637,0.5967424242424243,0.5967424242424243
FordB,0.6379012345679013,0.6469135802469136,0.6481481481481481,0.6220987654320989,0.6728395061728395,0.6649382716049381,0.6751851851851851,0.6511111111111111,0.6530864197530865,0.6485185185185186,0.6383950617283951,0.6292592592592593,0.6288888888888889
Haptics,0.3084415584415584,0.3126623376623377,0.2759740259740259,0.30389610389610394,0.29902597402597403,0.3136363636363636,0.32629870129870125,0.3448051948051948,0.32045454545454544,0.33798701298701295,0.34545454545454546,0.3568181818181818,0.3568181818181818
Herring,0.5921875,0.6,0.5984375,0.596875,0.59375,0.5859375,0.603125,0.5734375,0.5921875,0.5765625,0.578125,0.6328125,0.6328125
InsectWingbeatSound,0.36045454545454547,0.332020202020202,0.2901010101010101,0.3272222222222222,0.38212121212121214,0.38025252525252523,0.46626262626262627,0.45808080808080803,0.4585353535353535,0.46126262626262626,0.4312626262626263,0.36762626262626263,0.36762626262626263
ItalyPowerDemand,0.630709426627794,0.630709426627794,0.6118561710398446,0.6099125364431488,0.6315840621963071,0.5676384839650146,0.630709426627794,0.606511175898931,0.6121477162293488,0.6442176870748298,0.649757045675413,0.6822157434402333,0.6822157434402333
LargeKitchenAppliances,0.38293333333333335,0.3677333333333333,0.3813333333333333,0.38639999999999997,0.3858666666666667,0.3807999999999999,0.3826666666666666,0.39386666666666664,0.39093333333333335,0.3986666666666667,0.3994666666666667,0.4104,0.4104
Lightning2,0.5688524590163935,0.560655737704918,0.5475409836065575,0.5311475409836065,0.5475409836065575,0.5475409836065575,0.539344262295082,0.5491803278688524,0.5491803278688525,0.5295081967213114,0.5442622950819673,0.5721311475409836,0.5721311475409836
Lightning7,0.4890410958904109,0.44383561643835606,0.41506849315068484,0.3972602739726027,0.40410958904109584,0.4630136986301371,0.5041095890410959,0.4931506849315069,0.5616438356164383,0.5616438356164383,0.6,0.536986301369863,0.536986301369863
Meat,0.6583333333333332,0.6699999999999999,0.5966666666666666,0.6283333333333332,0.6416666666666666,0.6933333333333334,0.7016666666666665,0.595,0.6633333333333333,0.5849999999999999,0.5849999999999999,0.5849999999999999,0.5849999999999999
MedicalImages,0.2878947368421052,0.27868421052631576,0.28657894736842104,0.2742105263157895,0.28263157894736846,0.26723684210526316,0.26934210526315794,0.2789473684210526,0.27368421052631575,0.29960526315789476,0.2842105263157894,0.21592105263157896,0.21592105263157896
MiddlePhalanxOutlineAgeGroup,0.5850649350649351,0.561038961038961,0.5467532467532468,0.5175324675324675,0.561038961038961,0.5597402597402599,0.5194805194805194,0.5629870129870129,0.4941558441558441,0.5084415584415585,0.4805194805194805,0.4805194805194805,0.4805194805194805
OSULeaf,0.6913223140495868,0.6549586776859504,0.6533057851239669,0.6371900826446281,0.6276859504132231,0.7136363636363636,0.7157024793388429,0.7144628099173553,0.7665289256198348,0.7603305785123966,0.784297520661157,0.7285123966942149,0.7285123966942149
OliveOil,0.59,0.6133333333333333,0.5666666666666667,0.5633333333333334,0.5966666666666667,0.6166666666666667,0.62,0.7366666666666667,0.7433333333333334,0.8433333333333335,0.7466666666666667,0.7466666666666667,0.7466666666666667
Phoneme,0.20659282700421938,0.2078059071729958,0.2021097046413502,0.20200421940928273,0.20295358649789028,0.21703586497890295,0.20759493670886076,0.22658227848101267,0.2220991561181435,0.2176160337552743,0.2143987341772152,0.1576476793248945,0.1576476793248945
Plane,0.8904761904761905,0.8685714285714285,0.8476190476190476,0.8142857142857144,0.8780952380952382,0.821904761904762,0.8695238095238095,0.9542857142857143,0.9533333333333334,0.9200000000000002,0.9314285714285715,0.9314285714285715,0.9314285714285715
ProximalPhalanxOutlineCorrect,0.6505154639175258,0.6501718213058421,0.6546391752577321,0.6542955326460481,0.6584192439862544,0.650171821305842,0.6460481099656357,0.6415807560137455,0.6457044673539519,0.6467353951890036,0.6426116838487974,0.6426116838487974,0.6426116838487974
