,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.24472618277985184,0.2418185885621337,0.2525534007650717,0.2428914535737424,0.2429574852616133,0.24164073822079546,0.24590828253865188,0.2513786411069083,0.24401909197871766,0.23693484356683733,0.23693484356683733,0.23693484356683733,0.23693484356683733
BirdChicken,0.6762949648414057,0.670587747106407,0.6558615009165061,0.6772767643270798,0.6312462164757486,0.6488197086168305,0.6558008381509184,0.6825373769797187,0.7063420365971733,0.68907878470703,0.7755650844161808,0.7755650844161808,0.7755650844161808
Car,0.520015241222169,0.4866164390802843,0.48808553736702526,0.5443838187265932,0.529241479266574,0.543193922201926,0.5187204095455356,0.5251224254929644,0.5223942745275846,0.5560784504351692,0.5223858204645377,0.5286296069480914,0.5286296069480914
CricketX,0.20369312674285117,0.2039768715929172,0.21244595591619211,0.20677380972237472,0.2084509452681253,0.22070856552394202,0.21683961047041095,0.2223783372255709,0.2271587429407008,0.23361683977611536,0.23546390633216868,0.20889474833599966,0.15006091839200736
CricketY,0.2861855739737623,0.2941645423953708,0.287144385125218,0.2838143909481536,0.29647564922028496,0.2895441618432549,0.3092495208775244,0.3144489032668626,0.2909860777853315,0.3165974842333024,0.3098768207680497,0.25341241575062134,0.2193948604222241
CricketZ,0.21094658271799585,0.2093759316495317,0.21827225164727054,0.20517964311913847,0.21819838029907523,0.21594455709844426,0.21889233450087722,0.22142735427567603,0.23768685750293622,0.2387870064821418,0.24965766626388972,0.21190365301658726,0.14770772457769626
DistalPhalanxTW,0.5303285779102049,0.5213921057578103,0.5406830387034826,0.5180789919907407,0.5259334422502585,0.5137344133192283,0.545217710181455,0.5707662482721441,0.5341130791276901,0.5442328216846608,0.49856167016060293,0.49856167016060293,0.49856167016060293
ECG200,0.654588224341539,0.657141409507424,0.6620953906900041,0.6729033107613833,0.6684253611901918,0.6595007302369472,0.6501769588139409,0.635585779166046,0.626544906786209,0.6333242486410989,0.6188912712855814,0.6040162711402577,0.6040162711402577
ECG5000,0.7472117727550956,0.7382301098236164,0.7208454872422972,0.6964699731905952,0.738977854730363,0.7280966271044066,0.7244692744682473,0.7245052952856593,0.7458873007919308,0.7320968085556923,0.7132975373647047,0.7240783479944662,0.7240783479944662
FiftyWords,0.32207882285562345,0.33357903432135066,0.3087129637672444,0.3376599954622872,0.37106733067206343,0.39402810847637426,0.38970362374233936,0.3992579351052639,0.38101526341201886,0.36226502883482264,0.3079547425034608,0.15349129766924768,0.15349129766924768
Fish,0.5696178991138934,0.5673922343291715,0.575442159862636,0.5932160772546169,0.6091241081730888,0.6413392525658816,0.6818721931204899,0.6827292817328003,0.6662535008589808,0.7172314837473441,0.7242810639000001,0.44003696795855135,0.44003696795855135
FordA,0.5171549199924526,0.5172477316047328,0.5174016586577904,0.5171252816686757,0.5170206246799556,0.5169045453786154,0.516835777169155,0.5165573934314106,0.5464824618920427,0.5162301592000414,0.5166894474768137,0.519352241946329,0.519352241946329
FordB,0.59673950461167,0.5968088190767067,0.5984495053804474,0.5963514668451573,0.5963694585714554,0.5814616754868263,0.6014071264716655,0.6016980931999723,0.5723494932729294,0.5922394825429718,0.58941784146269,0.5784653153086807,0.5767610988169705
Haptics,0.28565690424355816,0.27708512095550464,0.28449612739295616,0.2801906377037511,0.28056559147926485,0.27802125520524984,0.2685772240790681,0.2736504694099961,0.26891816360546816,0.28187035347684003,0.28280368849113896,0.2997236362870422,0.2997236362870422
Herring,0.6546086472530288,0.653038536664382,0.6344980244484343,0.6637251545347994,0.6622958381469779,0.6486612127065896,0.649078402562912,0.5822722689875528,0.6081794523005225,0.5744104666916997,0.5451611256946322,0.5479612880917532,0.5479612880917532
InsectWingbeatSound,0.3871013546024708,0.39149975230203504,0.39497404523906327,0.4025332924173416,0.4122687756674243,0.3996592813867409,0.409485802669406,0.4094444907293074,0.3957040740422101,0.3787546148495218,0.32641600798396475,0.29395773198850694,0.29395773198850694
ItalyPowerDemand,0.6568950796674993,0.6568950796674993,0.6653745995623997,0.6689033367687223,0.6759126104299809,0.6744444055009613,0.6280500606502946,0.6111643983524111,0.6243315775084964,0.5952929000803648,0.5743572011346078,0.583732030156176,0.583732030156176
LargeKitchenAppliances,0.4153847035036013,0.42391954023825845,0.41025719432426333,0.4168646547795916,0.39922633704592125,0.39594151536675193,0.4129121873727962,0.38323709233789477,0.3663104312264106,0.3885572409274345,0.37639727833044895,0.4023739756866062,0.4023739756866062
Lightning2,0.5278848597609883,0.5261193304059891,0.5303967266241778,0.5099858076945746,0.5182078222045636,0.5060227406924875,0.5172266161596154,0.5066814142805367,0.5049257666861834,0.5358121730753781,0.5148374039537258,0.5125632606735803,0.5125632606735803
Lightning7,0.3789158924561702,0.40318586016140234,0.38480793671326513,0.3802911548999717,0.4012950002342424,0.3905262857158717,0.4138788932555282,0.4316867270286561,0.4129498849003427,0.46010856789803267,0.45608445215781934,0.410955567446988,0.410955567446988
Meat,0.6507178586691091,0.6372046247467237,0.6251328127186552,0.6248490659335644,0.6427416946910158,0.6347925739563054,0.6538313771895782,0.671709718038244,0.6385091285746896,0.6242482587289706,0.6242482587289706,0.6242482587289706,0.6242482587289706
MedicalImages,0.25947297552390697,0.2723630091252095,0.28723778709849973,0.2618256818932461,0.2758232027845584,0.2587367688996475,0.2501118826403915,0.25584203945571915,0.24483119794538397,0.2522896690315948,0.24142452917865892,0.21315413240978565,0.21315413240978565
MiddlePhalanxOutlineAgeGroup,0.5441773952907183,0.5628315221442849,0.5811748280367779,0.5627782774489656,0.5454612684153737,0.5605799164298487,0.509193108529122,0.5090194367436334,0.5270167126935706,0.5071596523325812,0.47165492260628306,0.47165492260628306,0.47165492260628306
OSULeaf,0.6593509363100079,0.6368361950801524,0.7158153824875505,0.6996814089222233,0.7132946505930939,0.7054647513251078,0.7636982066667883,0.762433483776819,0.7409249593781969,0.7595874746555669,0.7663759074842023,0.5574444248966017,0.5574444248966017
OliveOil,0.6113785789100848,0.5841060457898806,0.5765356825370083,0.5500199152079832,0.5534908234996593,0.5888418814477941,0.6547352715606236,0.6969713226078724,0.7687300454621501,0.6858180105424043,0.6858180105424043,0.6858180105424043,0.6858180105424043
Phoneme,0.15876742299075308,0.16169600247870233,0.16775974348875167,0.16403075489224853,0.15788888284551678,0.15261664329152622,0.15589070977185943,0.15034819667034022,0.1426082687368537,0.13579991742034866,0.11962669627352454,0.087533462825884,0.087533462825884
Plane,0.8429771479733557,0.8441492691973391,0.860783373912378,0.8252074501011561,0.870287225688713,0.8878732869842267,0.9229999059408721,1.0,0.9847686406580021,0.9488802067285018,0.8729785539347386,0.8729785539347386,0.8729785539347386
ProximalPhalanxOutlineCorrect,0.6077662240690884,0.6257107065374583,0.5716656756475006,0.6086465116799982,0.6073260393068625,0.6077775830639688,0.6070974380294845,0.6070974380294845,0.5716656756475006,0.5893815568384925,0.5730088642720054,0.5730088642720054,0.5730088642720054
ProximalPhalanxTW,0.649400202414661,0.6352230823243991,0.5910603442723438,0.6191610583928725,0.6327238633522227,0.5968157612706834,0.5747281036069929,0.5879500405123547,0.5882310988940175,0.6117422825901011,0.5204350844513674,0.5204350844513674,0.5204350844513674
