,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.20230280058459366,0.2077128871974813,0.2024816854358344,0.20550418748722737,0.17605383627664578,0.17805289614254266,0.20613136330496468,0.1997438805223041,0.23360426639675694,0.22346744602959784,0.22346744602959784,0.22346744602959784,0.22346744602959784
BirdChicken,0.15377262867848657,0.15964518342385983,0.1397915089003038,0.23974951819485213,0.1753586090350693,0.15582961597984937,0.17994585774927066,0.28545574816201047,0.2964688079415233,0.28888752408017915,0.514896076290374,0.514896076290374,0.514896076290374
Car,0.3900654118487684,0.30110462857568127,0.3603034734117419,0.45870285717661485,0.3883738792064619,0.438921733858456,0.3856461250735011,0.42966782024059375,0.431668525988495,0.5203679759972315,0.4939617441824278,0.46232025349262534,0.46232025349262534
CricketX,0.2805702291769296,0.27550920394890904,0.27766594721797794,0.27694130400092654,0.28872830718771036,0.30530122517284825,0.3132946863575856,0.3216988955195175,0.34616959338976655,0.3476311055600697,0.3545857059742118,0.32906123506763174,0.2156399717402075
CricketY,0.37276305839931345,0.3781781818455915,0.3609165770036662,0.36815402492541605,0.37523864829561554,0.39380077666466345,0.42091228835211786,0.42617386506061383,0.4227594441239061,0.44410183463121333,0.43622592594445,0.37495384623539735,0.3387326011085867
CricketZ,0.2547194058409755,0.25551369282589,0.2598860178079871,0.2442131950471062,0.2830613289725145,0.27247131799740404,0.3027679516321826,0.3140188284863969,0.3315336514834903,0.34276343447186797,0.355535337572471,0.31891630223576883,0.2050243520469576
DistalPhalanxTW,0.4176164557084987,0.40544452366736516,0.4157572261327359,0.43547592554854875,0.4362551476856165,0.4479254992636642,0.46031117654826215,0.45544371463607325,0.45132243605046785,0.4626336680245592,0.4094792259601639,0.4094792259601639,0.4094792259601639
ECG200,0.07515107017315634,0.07474921905547091,0.05973939062295517,0.06054630166790109,0.06319467617896712,0.07938007793887865,0.08403023935501766,0.10285351538416494,0.11461742966017141,0.12191248727208763,0.11747801443113277,0.10579935101531499,0.10579935101531499
ECG5000,0.6292433333474095,0.5978540034900485,0.6185157530281776,0.6190788494187462,0.6393003692506554,0.6403886637307843,0.6225527921936033,0.6372559868521654,0.6433889569895952,0.6278919539609278,0.6236170878370181,0.6266079558354922,0.6266079558354922
FiftyWords,0.5176383530660912,0.5165017188582512,0.514400677828683,0.5479179694306248,0.5796662916747958,0.6122211513363183,0.633382487237652,0.6519115209947014,0.6732306761796779,0.677650260891659,0.6389566369634945,0.5458700109543793,0.5458700109543793
Fish,0.547327947951972,0.5324854943209273,0.541224969968432,0.565858576912603,0.6176193302660202,0.6613330011316161,0.6910966846495887,0.7042750398505102,0.6953470276927565,0.7418325605876374,0.7422013349022855,0.4956893694199989,0.4956893694199989
FordA,0.02100920737252406,0.0211400975064768,0.02131415290542225,0.020996656769358565,0.0208289137443237,0.020777122956196385,0.020691467917945676,0.020238161962301073,0.07152745059923123,0.01997398363337523,0.02019141941706356,0.023146018574299883,0.023146018574299883
FordB,0.09896704896920824,0.09876137986383252,0.10484041332729585,0.0984932919610175,0.1273625556109768,0.09435866610245577,0.08792957168914611,0.10365169896857976,0.09007091599878168,0.10999144150142064,0.10500642866614245,0.07353934931130476,0.07991719944155704
Haptics,0.0680699030120329,0.07041131859671777,0.06969709274871036,0.06214763560005608,0.07329065024158929,0.07667186870281999,0.0682319756146273,0.08142904598859627,0.07745004012636136,0.08232732561504441,0.08840817978553493,0.09626420728576121,0.09626420728576121
Herring,0.00925388161614841,0.008381439279138172,0.0041596552867587695,0.0038323126785502573,0.005987123755491361,0.004054794875737785,0.008285572989987834,0.00792943954087582,0.008451922363028556,0.00921525356604008,0.009989356703085647,0.013503799061137786,0.013503799061137786
InsectWingbeatSound,0.41332799314885793,0.3976864158007351,0.4104977161978532,0.4249928348117128,0.4491881532868839,0.4396403344535272,0.46922332452008086,0.4715127473080596,0.4640279245093188,0.45958501856284795,0.4305680502147099,0.3917645818783548,0.3917645818783548
ItalyPowerDemand,0.0854722885589447,0.0854722885589447,0.06775314467162,0.06171267500557963,0.02758273163883131,0.0644463775551063,0.05953596049136759,0.04260914635734987,0.09539274125943387,0.035838111199447735,0.07972751288187381,0.09158114518611167,0.09158114518611167
LargeKitchenAppliances,0.015614239207538294,0.014820295380095985,0.01681914909049839,0.013226136039968018,0.014990623490966576,0.015512758157135298,0.01535360283944617,0.016763323017621137,0.019779369586675043,0.018117468031141493,0.01935887197807412,0.02022582488392536,0.02022582488392536
Lightning2,0.0123110172042371,0.008718186381495862,0.010553475635566134,0.006302244979698173,0.009451946014509315,0.0042090844527060325,0.0039956311050353775,0.005401487784069575,0.005070956134111843,0.0234454578038839,0.006819955312758329,0.007373624059906869,0.007373624059906869
Lightning7,0.36039736988203064,0.3597987467722542,0.3711250586743739,0.32395649981135544,0.34511052442387324,0.3601089023018701,0.4072624155192484,0.4418523644905152,0.4441804095533798,0.49142535113409097,0.48965985528248784,0.4404819231219431,0.4404819231219431
Meat,0.4199773391262692,0.3944437754231395,0.3836191541434951,0.3755524431494856,0.4309612272727086,0.43532087408283504,0.43962897588118344,0.4759655852286773,0.3896427367936285,0.3484700704696456,0.3484700704696456,0.3484700704696456,0.3484700704696456
MedicalImages,0.2531898999635176,0.2627199172820955,0.2661063704778341,0.23779257055433942,0.2611901687118643,0.28556066809290653,0.27662214656054596,0.2923283796668944,0.2873128418167819,0.3119367512100147,0.3045638274666359,0.23489624692406513,0.23489624692406513
MiddlePhalanxOutlineAgeGroup,0.09925320815010885,0.09296268805852428,0.09074677792707028,0.09289330108678567,0.09414475828222041,0.09368392961416538,0.0993903741956447,0.09941330177241792,0.09651942594300897,0.10009010408449384,0.10233316926805358,0.10233316926805358,0.10233316926805358
OSULeaf,0.650889755954288,0.6225899505580119,0.6829008180600462,0.6763667336989124,0.7179828085977815,0.6937639107500748,0.7757611749763338,0.7640277686607184,0.7568622459513924,0.7764027570780285,0.7701757646210687,0.5771574609974954,0.5771574609974954
OliveOil,0.3862396695803768,0.3508796729235406,0.33734844421775045,0.28638355803469545,0.27600137995853047,0.35730960361914776,0.4791058777756212,0.560673366154138,0.6695167032595581,0.6056905064062275,0.6056905064062275,0.6056905064062275,0.6056905064062275
Phoneme,0.2378863055064885,0.23518609960461734,0.24106672759657038,0.2409053807688112,0.2537057150753665,0.2682193969511491,0.2826504378054995,0.29659209302258766,0.31060893553955626,0.3194470411738041,0.30473929731616556,0.257070132779049,0.257070132779049
Plane,0.8821620533830472,0.8831722305137328,0.8826061137361453,0.8591407531395847,0.8980847419591195,0.9239135929318479,0.9378576382450519,1.0,0.9881934729467531,0.9577762913779836,0.8977587130268516,0.8977587130268516,0.8977587130268516
