,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.3255937970524406,0.33430099555677417,0.3258817011139876,0.3307462305059093,0.2833477187330997,0.2865650814704997,0.3317556310447375,0.3214753740893036,0.375971562845296,0.359656979834856,0.359656979834856,0.359656979834856,0.359656979834856
BirdChicken,0.10658706401578429,0.11065760878022368,0.09689609026046601,0.16618170257736695,0.12154932543957198,0.10801285896417152,0.12472896395234787,0.19786284701312723,0.20549651834863467,0.20024157281511937,0.3568987635620511,0.3568987635620511,0.3568987635620511
Car,0.5361994283728908,0.4139103976368667,0.4952874841388043,0.6305511904923062,0.5338741803290308,0.6033592716664383,0.5301245010126742,0.5906384739710159,0.5933887236619136,0.7153185152993069,0.6790194588475409,0.6355238073353372,0.6355238073353372
CricketX,0.6949075204008522,0.6823725322725426,0.6877142861772476,0.6859195126454525,0.71511319146702,0.7561604735562267,0.7759584268444337,0.7967737078055702,0.8573819627490045,0.8610017901315474,0.8782267257326893,0.8150085188713687,0.5340903006740643
CricketY,0.925414795659074,0.9388582827337452,0.8960049361973885,0.9139724929031405,0.9315606501540434,0.9776426527682587,1.0449491990660351,1.0580114937994405,1.049534914422166,1.1025191453033238,1.0829665575032126,0.9308536057342135,0.8409314007241946
CricketZ,0.6307005021571045,0.6326672042958306,0.6434933427782841,0.6046864950908404,0.7008768010226865,0.6746552996894848,0.7496715788145002,0.7775294236388195,0.8208971742151385,0.8487027893644878,0.8803267862580784,0.7896558619163905,0.507652573087346
DistalPhalanxTW,0.6852513462325011,0.6652788745939331,0.6822006054095962,0.7145562876053945,0.7158348842965471,0.7349843311647181,0.7553075294421259,0.7473206918008644,0.7405582386925593,0.7591184195279727,0.6718992678758432,0.6718992678758432,0.6718992678758432
ECG200,0.04910507660935868,0.04884249977746483,0.03903480477892721,0.03956205513727487,0.041292551229433296,0.051868387229405497,0.05490688730743838,0.06720635835050737,0.07489311398044339,0.07965983735613774,0.0767622721175393,0.0691312209507724,0.0691312209507724
ECG5000,0.5724329129755176,0.54387752815958,0.5626738583683766,0.5631861163297355,0.5815819624018641,0.5825720016226552,0.5663464186750028,0.5797221544236405,0.5853014172857269,0.5712035411288212,0.5673146257630084,0.5700354671131805,0.5700354671131805
FiftyWords,1.7894301841904308,1.785500939867933,1.7782378261240173,1.8941041504208365,2.0038553034886437,2.11639458535475,2.1895474593165534,2.25360069666335,2.327299137985309,2.3425772529827036,2.2088168038532126,1.8870245383873467,1.8870245383873467
Fish,1.0623206644949024,1.0335126248852573,1.0504752623897629,1.0982871634552176,1.1987507303220497,1.2835955405591584,1.3413645183190943,1.3669426732559609,1.3496141011566682,1.4398388784205962,1.4405546404723086,0.9620942293842447,0.9620942293842447
FordA,0.014551836234847407,0.014642496094606253,0.01476305398221879,0.014543143173815906,0.014426957494529519,0.014391085076596796,0.014331756894090306,0.01401777865046327,0.04954283752643552,0.013834797935809934,0.013985402852012834,0.01603187906186499,0.01603187906186499
FordB,0.06859390395775342,0.0684513550285072,0.07266472343639525,0.0682655437302068,0.08827478436900252,0.06539984113527877,0.0609438460407994,0.07184082740833096,0.062428008370034094,0.07623489285682053,0.07277978840323994,0.050970005838456144,0.055390483601995236
Haptics,0.10945258788240982,0.11321745287724698,0.11206901775485374,0.09992991390037198,0.11784725674000836,0.12328406646650465,0.10971319154120533,0.13093334084334032,0.12453532248941519,0.13237772412297294,0.14215539672194927,0.15478744851469456,0.15478744851469456
Herring,0.006250669281901773,0.005661365383020663,0.0028096998214102026,0.0025885914832382505,0.004044090047584855,0.0027388703276642833,0.005596611100048611,0.005356055568547365,0.005708974209850531,0.006224577402164458,0.006747456654402875,0.009121337994332328,0.009121337994332328
InsectWingbeatSound,0.991117240886884,0.95361037650471,0.9843305331653592,1.0190883095681849,1.0771061493636487,1.0542114797176074,1.1251483917534377,1.1306381878341687,1.1126903666273344,1.1020367434608045,1.0324570922278642,0.9394104389359372,0.9394104389359372
ItalyPowerDemand,0.05924451257889126,0.05924451257889126,0.04696261325668181,0.04277570441001693,0.019118775442756194,0.04467055100665027,0.0412669301325041,0.029534228577522487,0.06612080423682556,0.024840933424815737,0.055262561930308575,0.06347882336420792,0.06347882336420792
LargeKitchenAppliances,0.017153995071604967,0.016281758626264655,0.018477723875762582,0.014530395585105025,0.016468883181972708,0.01704250674256529,0.016867656754745136,0.01841639266607155,0.02172985849002946,0.019904073018563655,0.02126789464986494,0.022220339765929634,0.022220339765929634
Lightning2,0.008491943882202016,0.006013666318390019,0.007279619658769496,0.004347188360768986,0.0065198020440740715,0.0029033595173213467,0.002756122792701751,0.003725860372198303,0.0034978648965875102,0.016172303933958743,0.0047042967152329754,0.0050862086118792,0.0050862086118792
Lightning7,0.6775552896561206,0.6764298645325348,0.6977235896895422,0.6090456213304626,0.6488156709243839,0.6770129640145763,0.7656626462160928,0.8306925405854348,0.8350693184942694,0.9238908881077863,0.9205717155691211,0.8281160795009838,0.8281160795009838
