,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.002287041607435561,0.0073948359850854765,0.006109896671102797,0.00404433246312869,0.009032135177195946,-0.0042527999059672385,-0.009662047698420263,0.011981340368040069,0.00733826931553302,-0.0012941025217243717,-0.0012941025217243717,-0.0012941025217243717,-0.0012941025217243717
BirdChicken,0.06561431489175898,0.06720873653173762,0.026863248483982145,0.17609059166716062,0.22615972573313656,0.055070411534140516,0.22512851956547317,0.14360939347065452,0.15863227657455614,0.227917163903552,0.4288298668399385,0.4288298668399385,0.4288298668399385
Car,0.25974882752274775,0.28375045513914365,0.23432986924086158,0.11714268435669321,0.2528739145844069,0.2720145088576065,0.2659689897471379,0.3595877387621039,0.3316210316353799,0.37000397256787476,0.3754531620899112,0.3352979698552806,0.3352979698552806
CricketX,0.12323498697662386,0.11194950652461555,0.08693444482829568,0.08377981736279438,0.09787472394104753,0.13079455183009414,0.13216802239179676,0.13311596659944488,0.1570179490200154,0.1655918513354388,0.146737170720541,0.19502090523733534,0.09079541904083069
CricketY,0.21622613883378353,0.21825683981752073,0.19274170643853603,0.20882859817081809,0.20189318866512435,0.22804317811090574,0.2481545128210531,0.2589783009049481,0.2519152185094309,0.2575813114043311,0.2691707622322395,0.2389626595588822,0.1758991273112989
CricketZ,0.1359927739806267,0.1002815697571584,0.08343889057776785,0.10194546634995141,0.10093399809904882,0.1146919257768551,0.13561342756287992,0.14833360310596583,0.16327763685160585,0.1808106493486391,0.19539995588080772,0.15838215290264096,0.08722093275230733
DistalPhalanxTW,0.28883435657316386,0.34903478358205964,0.3774305905540569,0.37043793843430894,0.29135206337789216,0.3813165335694484,0.33702447570961813,0.36767129853925534,0.4011551278816318,0.4117600146245163,0.3613027658481118,0.3613027658481118,0.3613027658481118
ECG200,0.07808421154239126,0.05969853397816381,0.0597943575203919,0.04357541794159121,0.04892722686581241,0.07962132565165206,0.0706436091962748,0.1267748326036569,0.13535276897117438,0.16809702104401153,0.1558255446509838,0.17729360142505496,0.18177813136107865
ECG5000,0.5913479688645533,0.6088758248785794,0.5833864420946776,0.6773700765734965,0.6603591165963895,0.6577912651161568,0.6312863505047492,0.5457136414597755,0.5957776261442098,0.5129519470861399,0.5220860324150679,0.5838916968401667,0.5838916968401667
FiftyWords,0.2667899066599455,0.22600336701796847,0.26109883694390756,0.2951844963413516,0.34628887336197045,0.3879036209995774,0.41329753115393403,0.4126642790867486,0.45011929298064846,0.4116273714603732,0.3350918809106805,0.1321884566299431,0.1321884566299431
Fish,0.5142833831907219,0.32921804339701755,0.28337182598439614,0.3834767475584717,0.34083640427786305,0.5149135072674909,0.5308034293184082,0.6026290590962915,0.6504604416294194,0.6297855479439688,0.7067798660042124,0.4106512684700552,0.4106512684700552
FordA,0.0349628136748057,0.03500209190857378,0.034534661509969325,0.03457487754738112,0.03307715567965734,0.03408986149283254,0.09861791866987232,0.09021697411800103,0.03443591822172391,0.03414337227412498,0.034371966657100614,0.033310531496040977,0.033310531496040977
FordB,0.12023917809509929,0.12045009634290253,0.11972149464958153,0.10845937565503024,0.11883279192705368,0.13035253759319174,0.10486389822369091,0.11882303135968467,0.0989841047224722,0.11241826579492264,0.09365140565634181,0.07984635935211275,0.09864879119492276
Haptics,0.04868466768241921,0.04443224526707008,0.03985371552269182,0.03651649446865539,0.0416852150225288,0.04888663261767299,0.044855029967753805,0.05542076535864522,0.05270320071223722,0.05443766827592254,0.0601916300270941,0.07215752637414936,0.07215752637414936
Herring,0.005784432425506271,0.009462627389671253,0.006387257592078343,0.006662622514248708,0.003181016534610507,0.005245091417288914,0.0004647374833290998,0.017693425040349438,0.02212482968406509,0.012106850240907293,0.020904877226414004,0.05088925530986564,0.05088925530986564
InsectWingbeatSound,0.2934977058876686,0.2976814320795412,0.23683195946971725,0.2912213074067077,0.28973962866616365,0.31433882956376485,0.32131083349067174,0.3405292303899456,0.3203318397635349,0.3284618972971198,0.2858485856189775,0.24392172892628353,0.24392172892628353
ItalyPowerDemand,0.1551839190033763,0.15436983587123873,0.15430586974317678,0.1376538035590023,0.14597759782941147,0.04767958389555159,0.1511128162557652,0.14035164760779062,0.1403421098953702,0.19031162336627866,0.19239507624827198,0.237138248334349,0.237138248334349
LargeKitchenAppliances,0.00841266970550314,0.005601956629659787,0.0064448690161295116,0.007956933988676394,0.007694384872970414,0.0075735327837735955,0.005147907786566068,0.010198820761145106,0.011249190864816998,0.012071443193606793,0.012215446821495644,0.009952912477913956,0.009952912477913956
Lightning2,0.009325176951647533,0.008603415057410486,-0.002799426652490308,0.0072753245074415,0.008185424690710878,-0.0023543774967016763,-0.0009228715902461729,-0.0017721575153040326,-0.008426049782106365,-0.010396631609264352,0.003354711904383155,0.0028352585568808446,0.0028352585568808446
Lightning7,0.21782410179095457,0.22079998623882538,0.14460930499836483,0.10396298953998699,0.15539360371545927,0.20887757910614138,0.248778962935706,0.28006961431209076,0.28342695568783155,0.32860496828262786,0.32304332324537943,0.28876498568065073,0.28876498568065073
Meat,0.3773967378616585,0.3946113604190744,0.4085332743581628,0.3637521645550562,0.30807864959197995,0.43982384714893447,0.4452426437938436,0.39286608124783334,0.32074749491820026,0.3144848786675831,0.3144848786675831,0.3144848786675831,0.3144848786675831
MedicalImages,0.027523286007900005,0.053294486253105566,0.018674962622607035,0.02626839326640964,0.043946707090159395,0.03135073955079677,0.03401848729860753,0.046807330439106835,0.04912852404310131,0.038743464677172566,0.049693051614807804,0.006639257528489696,0.006639257528489696
MiddlePhalanxOutlineAgeGroup,0.06723920554878146,0.0677556647828649,0.06084983377918731,0.0642153402027484,0.06691721166209232,0.06949200985297115,0.06337956597246511,0.05988854555312212,0.05669107628816639,0.05407197922751002,0.052698346741975134,0.052698346741975134,0.052698346741975134
OSULeaf,0.5777778371824149,0.48932245868410434,0.5207717466161297,0.5197706900522873,0.5440865417515545,0.5749955269384744,0.5756951983047272,0.6221206454087999,0.6432946303397732,0.7255701334553823,0.7362320684071915,0.5245028916841019,0.5245028916841019
OliveOil,0.3148514153018919,0.35336600615501906,0.3250285231155744,0.281572567832484,0.3127005390173818,0.3416007919670296,0.40074326393427606,0.5047248462907068,0.6334301788787478,0.5616848687539693,0.5691300186746319,0.5691300186746319,0.5691300186746319
Phoneme,0.0852418141615976,0.09294996521213364,0.08955566105310872,0.09122811191251332,0.0919086112710918,0.09844307419693965,0.10119990053120591,0.10189051943169165,0.11262102846280031,0.09897383301097133,0.09248767219605751,0.0503796870315907,0.0503796870315907
Plane,0.8889205389143472,0.8095953407738972,0.8680902296152955,0.8804962424554443,0.8079195713782248,0.7721364355734452,0.8602428642237218,0.9824137619538191,0.9542940107532296,0.9495981340540037,0.9433478895932094,0.9433478895932094,0.9433478895932094
ProximalPhalanxOutlineCorrect,0.05029152148292124,0.05066029445865019,0.0432710367109292,0.05030259286120982,0.05066029445865019,0.05066029445865019,0.06365889698381473,0.07139726131205168,0.06436570516177106,0.06543880995409215,0.07389257747720981,0.07389257747720981,0.07389257747720981
ProximalPhalanxTW,0.46499341492800506,0.49863753449006437,0.47171336374968165,0.4450333006288617,0.48537935088198936,0.483370286987485,0.46476007732645686,0.492487900514778,0.5255596004473768,0.5025301572429771,0.3669933784309235,0.3669933784309235,0.3669933784309235
ScreenType,0.0365658654602738,0.038442680268012244,0.02891294816900473,0.023646297692896487,0.0180102948030644,0.022699374124916124,0.022555818480440835,0.03586053002444951,0.03740603365530314,0.04490410353418273,0.03927168576945589,0.013399262993668781,0.013399262993668781
ShapeletSim,0.010834371108343711,0.002965340321662161,0.0016569457452887757,0.004279622204460083,0.050482219929161534,0.007671462433234587,0.006904674381427669,0.014498940778475675,2.483539651090274e-05,0.11183096562517121,0.151441193942497,0.4111083451766474,0.4111083451766474
