,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.23323556476743765,0.21425535222430078,0.22655996083697433,0.2250102063417585,0.22400115080664493,0.20430529566293582,0.18561329641270422,0.24740129732280822,0.26758860608791757,0.24587444044462306,0.24587444044462306,0.24587444044462306,0.24587444044462306
BirdChicken,0.1260401379231833,0.11365868234993608,0.07729046590341446,0.19935805426147785,0.23898191464221616,0.10289046253150694,0.28256854983860313,0.17910210358995976,0.18713440893588387,0.2626585756056679,0.45141924822810714,0.45141924822810714,0.45141924822810714
Car,0.3989761870098144,0.42579706433218006,0.3853462988886178,0.2350279262435641,0.3651833146291047,0.38881819747629576,0.4178189758377419,0.5123845977397354,0.4617930656190147,0.5293642773828304,0.5115119593714558,0.4786981838278388,0.4786981838278388
CricketX,0.3445017728978067,0.3179214383271584,0.28866300614246637,0.28963104536135253,0.29656980462466787,0.352243353231196,0.34991934548235704,0.3555847587606912,0.38712150578521115,0.39432281392888235,0.3672665223325705,0.4091003080952178,0.2740987501110851
CricketY,0.42949167317869436,0.42924906785240663,0.4099108336267336,0.42250548176274005,0.4226717949292408,0.44091447221850394,0.4616793706772192,0.47477507527390567,0.4678061863156545,0.4716022941377004,0.47827205490217006,0.44333372806092053,0.38724296345494186
CricketZ,0.3504485106175626,0.31071918488560646,0.2936385753637026,0.30070673889187904,0.2925580935668558,0.3174344651522792,0.34402166475642293,0.360847287523815,0.3734198109854364,0.3904840301403941,0.40335399033805724,0.36222712367172233,0.27462574511564936
DistalPhalanxTW,0.4849522683368523,0.501255362519891,0.521447161197685,0.502079729045666,0.4836618109376413,0.49395258556893173,0.483372602301195,0.5036744678849698,0.4980856231682506,0.5135628687800421,0.43803270961126833,0.43803270961126833,0.43803270961126833
ECG200,0.05712770530838586,0.050518352964802046,0.048631830726115745,0.03560753078115866,0.03741462207904948,0.059106116658381336,0.06593225752614383,0.10000506197983725,0.08882519612529058,0.10854385079618203,0.1043483587668426,0.11601474158285603,0.11725383407634686
ECG5000,0.5557875414954333,0.572314215942046,0.5549867005153982,0.6023086660711574,0.5975260385261196,0.5953276852583909,0.5852954192566772,0.5355303032984791,0.5595787544363418,0.5137895547537151,0.5343029316756698,0.546423174419151,0.546423174419151
FiftyWords,0.5955506761772738,0.5586364230657577,0.5859309677374596,0.5987248263653292,0.650073688294895,0.6757488312878637,0.7003568297523526,0.7104060823239768,0.7299051918145426,0.7187198247217512,0.6734028427253633,0.5459823324152995,0.5459823324152995
Fish,0.7021012089737185,0.5099614496748244,0.5385063151783033,0.6248554144771135,0.578611170617199,0.6881745646309118,0.698419232047252,0.7493746523437849,0.7670472505753645,0.7598952787671248,0.7776940752837082,0.5616597536453531,0.5616597536453531
FordA,0.0288690427805382,0.028899323649676,0.02851292017216741,0.02853574293706254,0.02723415563029541,0.028087841453234307,0.08360502430826869,0.07459629567205586,0.02839678746456526,0.028133594476599,0.028511108906363748,0.02773940603184677,0.02773940603184677
FordB,0.10568206418042178,0.10560000597945243,0.10529917131359719,0.09675213636230234,0.10173143712737831,0.11214932235739625,0.09364169550388143,0.10172156504827379,0.09373467912185147,0.0951206637409308,0.08322840217019906,0.08113912024114334,0.08905106578921976
Haptics,0.08129632359445178,0.07555477604279484,0.06259596478573845,0.06597726461102493,0.06987763332529232,0.0812625050822865,0.07504761352941756,0.08637267667189791,0.0880243227826998,0.0853467832490199,0.10040776377447584,0.12688574798869173,0.12688574798869173
Herring,0.01587821827138112,0.011450461104278617,0.004356731103042877,0.004311768772797627,0.005055702208230095,0.006795561465714301,0.005358834055676692,0.015003117403991203,0.021328947307693975,0.015522736751563595,0.018965458766941903,0.03627531193831179,0.03627531193831179
InsectWingbeatSound,0.4803875037282399,0.4964678104083193,0.44956492265062786,0.5016099696961865,0.4963432569415872,0.5057486080125144,0.5094955054093068,0.5191916369494178,0.5005091286663823,0.5091704658173437,0.4732464619675992,0.44500287481970374,0.44500287481970374
ItalyPowerDemand,0.17500590373815644,0.1740638214287357,0.1717998876774154,0.14385196327513602,0.16139708194015492,0.06734042772548296,0.1782885885045809,0.1637658707113725,0.15904735810860698,0.20580942989341552,0.1759830770582565,0.22267514050791828,0.22267514050791828
LargeKitchenAppliances,0.015362174888756495,0.012623204232306038,0.016506948024505204,0.017480062978394398,0.01626607591931421,0.017067206669187908,0.012093483120472006,0.01586137753709572,0.021790670969763528,0.021048628688945747,0.02131574261708588,0.03428953327872856,0.03428953327872856
Lightning2,0.032263524805570626,0.03454257111530253,0.02534769710460551,0.022656210202867802,0.02957453292031561,0.014884383788193503,0.010419339761901453,0.012037732165695408,0.003889739178464773,0.002639156603618457,0.023669771465282444,0.014418426732861542,0.014418426732861542
Lightning7,0.4479566007397723,0.4486966482080631,0.3501825944399963,0.28332169901969756,0.3238519658497181,0.4036699183522665,0.4745525134026375,0.5125410688989877,0.5301686313942789,0.5660394428284821,0.5571437841842782,0.5174900874467253,0.5174900874467253
Meat,0.49753673755288014,0.5122727255424346,0.5216416193590686,0.5001163782372813,0.4570625300789731,0.5354610726305247,0.5505772242476977,0.5160680288212645,0.4646615114635811,0.46913004082446996,0.46913004082446996,0.46913004082446996,0.46913004082446996
MedicalImages,0.2531633112582905,0.2600027237360037,0.24469779841232692,0.24120550812213173,0.24650287274555516,0.25690470829481643,0.25923376742633314,0.272596154860208,0.2807464329460451,0.27194340961878405,0.2728499204173741,0.2024992952315987,0.2024992952315987
MiddlePhalanxOutlineAgeGroup,0.12733919188649923,0.12820590888680825,0.12246219309607373,0.12522681340389244,0.12748857539856623,0.13031621465507454,0.12440564853224359,0.12225359684074896,0.11945551849738763,0.11636823268233938,0.11393665038196259,0.11393665038196259,0.11393665038196259
OSULeaf,0.732284196005556,0.6470991483031017,0.6797808359050099,0.6666081445714283,0.6910518094637136,0.7389493158421419,0.7362398532120421,0.7729829090171471,0.7664490237735698,0.8030606031177092,0.8053497384422826,0.6292250161120356,0.6292250161120356
OliveOil,0.3981397920352458,0.42689042207731864,0.40841145876695917,0.36500348049764575,0.40957265177430874,0.43888103057364214,0.5162370206552362,0.5722032072717388,0.6804540668620376,0.6386600567139966,0.6458964189643361,0.6458964189643361,0.6458964189643361
Phoneme,0.260559129747464,0.26664155617882657,0.2531654996359495,0.257749747501567,0.2666766913694862,0.28041434231478124,0.2956700853830182,0.30163389397273843,0.318563347460035,0.3224882852111744,0.3194926734465724,0.25456596594289027,0.25456596594289027
Plane,0.9557390768221088,0.9237355752190887,0.9467941200686065,0.9550518818395426,0.9220498094750708,0.9070062895494699,0.946488417466985,0.9928958034201132,0.9770553629526519,0.9728510913304053,0.9672526951954863,0.9672526951954863,0.9672526951954863
ProximalPhalanxOutlineCorrect,0.09024016786786752,0.0898355544039832,0.07664964879830646,0.08899851791371952,0.0898355544039832,0.0898355544039832,0.11206750779905539,0.12604512525995867,0.11369625614454562,0.11620736561533666,0.13185905605676734,0.13185905605676734,0.13185905605676734
ProximalPhalanxTW,0.5590278205468249,0.570791829218918,0.5630212599051884,0.5494618404787246,0.5675036214749658,0.5588680876538136,0.5569044693178851,0.5663477970275825,0.5757571223833948,0.5731389211370655,0.5160761666478413,0.5160761666478413,0.5160761666478413
ScreenType,0.04918360667380783,0.04704313216620465,0.041718801941465475,0.031253423376461434,0.029589634767743282,0.03412844529852211,0.03768557202412917,0.04918475780638827,0.051742627639356185,0.05886669690866288,0.054048151846154094,0.028089221163420976,0.028089221163420976
ShapeletSim,0.023135989198307772,0.010263994150875227,0.010649819882748306,0.01747401487300073,0.08488078504688852,0.023668702934906898,0.017072552811680124,0.032473123416781526,0.0031217578049706337,0.1286393898923584,0.14963961880985302,0.40266702241142605,0.40266702241142605
Strawberry,0.09949444670275809,0.10487257005388831,0.0854078581055363,0.10800437403717045,0.1069175655924468,0.11102676407087193,0.10344306807546548,0.1032953654450555,0.11319051865580101,0.12018275950632551,0.12134076459092824,0.12134076459092824,0.12134076459092824
