,Rand index,Adjusted Rand index,Mutual information,Adjusted mutual information,Normalized mutual information,Clustering accuracy,Fowlkes-Mallows index,Homogeneity,Completeness
ACSF1,0.7827474747474746,0.2318280463638192,1.090558532946198,0.4489806332369124,0.5454957461376795,0.43899999999999995,0.37026300516508154,0.47362355305103937,0.6433209537208445
Adiac,0.9492832316873236,0.29079067445995344,2.263693109595962,0.5185383323675603,0.6718453658233131,0.42148337595907925,0.32911120057643795,0.6324171270358648,0.7165436556358463
ArrowHead,0.5201247947454843,0.1140662832041257,0.17443371295215862,0.2037274364327693,0.21058354547306762,0.5091428571428571,0.5254357779745367,0.15996111349313705,0.3083674559128394
BME,0.5979060402684565,0.1935224173360528,0.33751569446758223,0.3354851599348066,0.34486369758931645,0.6173333333333334,0.5226748238162047,0.30722002470659204,0.3941566839119939
Beef,0.6085057471264369,-0.0012941025217243717,0.34660947671166,0.06364817469768666,0.24587444044462306,0.29,0.23808311208080898,0.21536057653038046,0.2878481954113341
BeetleFly,0.636842105263158,0.28166063945823366,0.21565170059343014,0.3012398080384642,0.3265028203177895,0.76,0.6639859869683175,0.31111963900541345,0.4446454959554848
BirdChicken,0.605263157894737,0.227917163903552,0.17141098415171693,0.23499617323979088,0.26265857560566797,0.71,0.672914158768264,0.24729377678957892,0.4869033597460496
CBF,0.795959955506118,0.5783016097126337,0.6681707919471735,0.6619873363781976,0.6626688152311386,0.7474444444444444,0.747588298971873,0.6082034666166954,0.7441725860118952
Car,0.7428248587570622,0.37000397256787476,0.67362477278941,0.5039822638154592,0.5293642773828304,0.6416666666666666,0.5496734212256976,0.49003730799747114,0.5801695982805125
Chinatown,0.7242766780897822,0.4298090160767668,0.21572653131275438,0.361235441929773,0.36281676498824705,0.8113702623906704,0.7666850818295791,0.3673516687763292,0.3592319131386598
ChlorineConcentration,0.5299881289615351,0.0006181475672940405,0.0009497304049017649,0.00041483096023724533,0.0009182156299307875,0.3784374999999999,0.37718409916333157,0.0009356966066353561,0.0009014501267509767
CinCECGTorso,0.6415285178295552,0.11100471329612571,0.2500100620229626,0.18691623399363347,0.18893547342582234,0.3870289855072463,0.35740351156004085,0.1803493183414953,0.19854137977934144
Coffee,0.9134920634920636,0.8281849751339706,0.5667782990218104,0.8146922426092953,0.8206114534270238,0.9321428571428572,0.9211657070896351,0.8207113153601157,0.8205358645139498
Computers,0.5632353413654619,0.12738040457074778,0.07139101963364215,0.10270649768353597,0.1055149036849921,0.662,0.6109552483587375,0.10299546998946227,0.2178592939680982
CricketX,0.8475064267352185,0.1655918513354388,0.9334966645720464,0.3466747983232785,0.39432281392888235,0.3548717948717949,0.25137107704578754,0.3769010485939149,0.41355644310153733
