,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.11564140787502938,0.12119443029402285,0.14812802205643547,0.0870087732514247,0.17567391345854458,0.1686390181230623,0.07473767315576701,0.07473767315576701,0.07473767315576701,0.07473767315576701,0.07473767315576701,0.07473767315576701,0.07473767315576701
BirdChicken,0.4300677533469107,0.4300677533469107,0.4300677533469107,0.4300677533469107,0.5523195419750163,0.5375083064544837,0.4733367267226175,0.5020015556786175,0.5020015556786175,0.5020015556786175,0.5020015556786175,0.5020015556786175,0.5020015556786175
Car,0.37297707202183833,0.3805246805934013,0.3567459099912499,0.3384576228217219,0.34213866526814185,0.33421597571882283,0.3205142541940306,0.39276156749159485,0.22319859280437523,0.22319859280437523,0.22319859280437523,0.22319859280437523,0.22319859280437523
CricketX,0.339465160295929,0.34322094512166285,0.3389835054029505,0.34248675804305595,0.3442702735517592,0.3329777387793583,0.3383299845710392,0.30064984030653885,0.2763847343226406,0.2763847343226406,0.2763847343226406,0.2763847343226406,0.2763847343226406
CricketY,0.3482797134353076,0.34234829752584883,0.37445204588927333,0.35737067374699566,0.35671008887501354,0.3500246405459307,0.34021128283053803,0.3244067813718548,0.2834085957171423,0.22310665154741063,0.22310665154741063,0.22310665154741063,0.22310665154741063
CricketZ,0.3439219550073896,0.3468815800477209,0.3425182913303611,0.34417223196783653,0.3555921272136055,0.34559349714122034,0.3292805805739579,0.3053229492054991,0.29304574561735575,0.29304574561735575,0.29304574561735575,0.29304574561735575,0.29304574561735575
DistalPhalanxTW,0.45078096236316617,0.4481215793333856,0.4659502168971413,0.46293251393703344,0.45397692639556625,0.46718460122424954,0.46866406412036044,0.42839864481450335,0.42839864481450335,0.42839864481450335,0.42839864481450335,0.42839864481450335,0.42839864481450335
ECG200,0.11907819321163984,0.11827706322206136,0.1204489626121588,0.11781901069535336,0.11878222411657813,0.13068095597746757,0.1371796378813709,0.14159136506992764,0.13956780583863576,0.13956780583863576,0.13956780583863576,0.13956780583863576,0.13956780583863576
ECG5000,0.47652952004881016,0.4746966409070531,0.4687039447337673,0.4797909174120977,0.4876769191033078,0.47822097365151883,0.4765049762998367,0.47558688758876355,0.48123414727046476,0.48123414727046476,0.48123414727046476,0.48123414727046476,0.48123414727046476
FiftyWords,0.5584481150738284,0.5565420172008599,0.5562060659876561,0.5584012991406213,0.551734295106363,0.4733737903121461,0.3767030449520515,0.25875167773681207,0.25875167773681207,0.25875167773681207,0.25875167773681207,0.25875167773681207,0.25875167773681207
