,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.03905378822320421,0.04471137244311933,0.06257562810033525,0.029476208117801928,0.08227856925618003,0.07946960481895891,0.018768995393458075,0.018768995393458075,0.018768995393458075,0.018768995393458075,0.018768995393458075,0.018768995393458075,0.018768995393458075
BirdChicken,0.38241543773349684,0.38241543773349684,0.38241543773349684,0.38241543773349684,0.5517250606063041,0.5338537375793088,0.43817728318394966,0.47852322960929233,0.47852322960929233,0.47852322960929233,0.47852322960929233,0.47852322960929233,0.47852322960929233
Car,0.2913868383589183,0.2995727330921812,0.27533889986091126,0.2660536257749906,0.2556156206802512,0.24392133149299267,0.23825470275490104,0.29596916987316285,0.13717201761925543,0.13717201761925543,0.13717201761925543,0.13717201761925543,0.13717201761925543
CricketX,0.18585117265399156,0.18341418043103946,0.1840722629447953,0.18462032907742493,0.19373977534266776,0.1740241407058208,0.18540170864849106,0.15260921137241046,0.13964099096226884,0.13964099096226884,0.13964099096226884,0.13964099096226884,0.13964099096226884
CricketY,0.18092070316281733,0.17504518612576234,0.2019227542588688,0.19165582026791594,0.1881804498137908,0.18418347080233768,0.170357004731215,0.1627307444347024,0.13928126822621434,0.09767678139827236,0.09767678139827236,0.09767678139827236,0.09767678139827236
CricketZ,0.19844028141687173,0.20222090761316242,0.19595982146682178,0.19060789744331363,0.2112993746372159,0.2012211737818243,0.18527795905629035,0.15920508188755364,0.1496202506153876,0.1496202506153876,0.1496202506153876,0.1496202506153876,0.1496202506153876
DistalPhalanxTW,0.3318099751972227,0.3541978506495473,0.388498355923543,0.3609974091723934,0.3540754745053475,0.4284025998030091,0.43085658813404565,0.3462288667046047,0.3462288667046047,0.3462288667046047,0.3462288667046047,0.3462288667046047,0.3462288667046047
ECG200,0.13697346288758272,0.135687162651134,0.14461564599941465,0.14065777794314271,0.13814749870545176,0.16816940744535783,0.17886224791901414,0.18629210620129935,0.19371655025270731,0.19371655025270731,0.19371655025270731,0.19371655025270731,0.19371655025270731
ECG5000,0.464376516325166,0.4669344281914449,0.46424394934018104,0.46879689856919465,0.4885981743500086,0.4847803124349114,0.46435149459013053,0.4866828467467218,0.4993143728939371,0.4993143728939371,0.4993143728939371,0.4993143728939371,0.4993143728939371
FiftyWords,0.4135225818961926,0.393491868963781,0.4005045990843833,0.3839551692655813,0.38914195787757716,0.31323247856788494,0.21975421721973992,0.12840308117114102,0.12840308117114102,0.12840308117114102,0.12840308117114102,0.12840308117114102,0.12840308117114102
Fish,0.5425979893414535,0.551653740925929,0.5364706660587361,0.5438900892422849,0.5560543645380307,0.5637417565716862,0.5390056392920001,0.5229629972130481,0.31544885999236,0.26914282324488775,0.26914282324488775,0.26914282324488775,0.26914282324488775
FordA,0.0036205167506417196,0.0036205167506417196,0.0036418701684310328,0.01369817377439585,0.012637227018527705,0.002533306103918508,0.0016993224149925684,0.0018902870326328435,0.0018902870326328435,0.0018902870326328435,0.0018902870326328435,0.0018902870326328435,0.0018902870326328435
FordB,0.019947219227672706,0.019947219227672706,0.01987661418883205,0.019947219227672706,0.019948437726520843,0.02008809021934813,0.020155626036872536,0.020583500073958906,0.020583500073958906,0.020583500073958906,0.020583500073958906,0.020583500073958906,0.020583500073958906
Haptics,0.04735876165784916,0.05277167762521504,0.05268020596384826,0.04980398265638521,0.05871162122276826,0.059330898079816986,0.05590340041602536,0.06284144910682969,0.04239865297258024,0.04239865297258024,0.04239865297258024,0.04239865297258024,0.04239865297258024
Herring,-0.006413444409604015,0.005497440095939746,0.01028276581038364,0.00759011851441888,-0.0003897875500151908,0.0036814925522791245,-0.011001103812656739,-0.009047895929417248,-0.006113591276427032,0.0057066239563589765,0.0057066239563589765,0.0057066239563589765,0.0057066239563589765
InsectWingbeatSound,0.26411898099861286,0.27305790132408053,0.26383800585716766,0.26737403279745253,0.2638647517455852,0.27188804598224825,0.24013527984786848,0.22698245345127116,0.14030794604589603,0.14030794604589603,0.14030794604589603,0.14030794604589603,0.14030794604589603
ItalyPowerDemand,0.04426976844104444,0.04426976844104444,0.0777427779111801,0.0777427779111801,0.163226359981351,0.15337360742414669,0.07002434855372289,0.0388893927521805,0.10111265442739867,0.10354424696711813,0.10354424696711813,0.10354424696711813,0.10354424696711813
LargeKitchenAppliances,0.0060697928618843365,0.005995052651256245,0.006254751188529163,0.005938650891957208,0.005969183090793247,0.005963699595032273,0.0065233832607150734,0.0036974444997236212,0.0036974444997236212,0.0036974444997236212,0.0036974444997236212,0.0036974444997236212,0.0036974444997236212
Lightning2,-0.013744031159134825,-0.013744031159134825,-0.013744031159134825,-0.013744031159134825,-0.013602410699420652,-0.012947848076019503,-0.012532807036995827,-0.012217377633292746,-0.0115128026251195,-0.0115128026251195,-0.0115128026251195,-0.0115128026251195,-0.0115128026251195
Lightning7,0.21427573311588222,0.2345116477684924,0.2262778765664511,0.22523624264352016,0.21883403283069866,0.2451006008086955,0.2306505538811574,0.22840860792286652,0.22334595573424648,0.22334595573424648,0.22334595573424648,0.22334595573424648,0.22334595573424648
Meat,0.5721964269264803,0.5628433686548328,0.5792542740040888,0.609624241676561,0.6399718607248728,0.592935206219811,0.6093308852723964,0.5437166106068096,0.5483263318899589,0.5483263318899589,0.5483263318899589,0.5483263318899589,0.5483263318899589
