,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.37666666666666665,0.38,0.4066666666666666,0.35666666666666663,0.42000000000000004,0.42000000000000004,0.3433333333333334,0.3433333333333334,0.3433333333333334,0.3433333333333334,0.3433333333333334,0.3433333333333334,0.3433333333333334
BirdChicken,0.8,0.8,0.8,0.8,0.8649999999999999,0.86,0.82,0.8300000000000001,0.8300000000000001,0.8300000000000001,0.8300000000000001,0.8300000000000001,0.8300000000000001
Car,0.5833333333333333,0.595,0.5783333333333334,0.5799999999999998,0.5516666666666665,0.5433333333333333,0.545,0.6016666666666666,0.4716666666666667,0.4716666666666667,0.4716666666666667,0.4716666666666667,0.4716666666666667
CricketX,0.36717948717948723,0.3625641025641026,0.361025641025641,0.36769230769230765,0.3705128205128205,0.35512820512820514,0.36564102564102563,0.3330769230769231,0.3082051282051282,0.3082051282051282,0.3082051282051282,0.3082051282051282,0.3082051282051282
CricketY,0.35743589743589743,0.35307692307692307,0.3787179487179487,0.3717948717948718,0.37256410256410255,0.36717948717948723,0.34487179487179487,0.34205128205128205,0.3235897435897436,0.2817948717948718,0.2817948717948718,0.2817948717948718,0.2817948717948718
CricketZ,0.37384615384615383,0.37435897435897436,0.37230769230769234,0.3638461538461539,0.3833333333333333,0.37743589743589745,0.3612820512820513,0.331025641025641,0.3212820512820513,0.3212820512820513,0.3212820512820513,0.3212820512820513,0.3212820512820513
DistalPhalanxTW,0.4848920863309353,0.4920863309352518,0.5251798561151079,0.4971223021582733,0.49640287769784175,0.5532374100719425,0.5597122302158273,0.48345323741007196,0.48345323741007196,0.48345323741007196,0.48345323741007196,0.48345323741007196,0.48345323741007196
ECG200,0.686,0.685,0.6910000000000001,0.6890000000000001,0.687,0.7050000000000001,0.712,0.716,0.721,0.721,0.721,0.721,0.721
ECG5000,0.6357555555555555,0.6384888888888889,0.6418,0.6196,0.6447111111111111,0.6512666666666667,0.6312,0.6700666666666667,0.6954,0.6954,0.6954,0.6954,0.6954
FiftyWords,0.5002197802197802,0.4872527472527472,0.4927472527472528,0.4832967032967034,0.4815384615384615,0.4232967032967033,0.34791208791208794,0.2701098901098901,0.2701098901098901,0.2701098901098901,0.2701098901098901,0.2701098901098901,0.2701098901098901
Fish,0.6885714285714285,0.6925714285714286,0.6828571428571428,0.685142857142857,0.7022857142857142,0.7011428571428572,0.696,0.6788571428571428,0.5222857142857142,0.47771428571428565,0.47771428571428565,0.47771428571428565,0.47771428571428565
