,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.32501983470403384,0.329326147549286,0.3528150152255584,0.30277687212895393,0.37410827062238383,0.3697644706666368,0.29656268643113953,0.29656268643113953,0.29656268643113953,0.29656268643113953,0.29656268643113953,0.29656268643113953,0.29656268643113953
BirdChicken,0.4889527192319033,0.4889527192319033,0.4889527192319033,0.4889527192319033,0.5894020163709737,0.5758461109210046,0.5260350054999853,0.5528139049611693,0.5528139049611693,0.5528139049611693,0.5528139049611693,0.5528139049611693,0.5528139049611693
Car,0.4158446883804947,0.42361359590511094,0.40391044963203526,0.38391045384814965,0.38965653454067456,0.3821363464393253,0.3664497570127828,0.4394748353628223,0.2737079333474145,0.2737079333474145,0.2737079333474145,0.2737079333474145,0.2737079333474145
CricketX,0.39595428468483895,0.40046311318405275,0.3956019378394525,0.3994954988658988,0.40010078107798763,0.3890461635063032,0.39316195683643584,0.3556430631279605,0.3327560627256797,0.3327560627256797,0.3327560627256797,0.3327560627256797,0.3327560627256797
CricketY,0.4017215135992324,0.39788417418826094,0.42666562632400257,0.41007912826061316,0.41203404031000046,0.4042379229887981,0.39463802130792347,0.3775103453599671,0.3391871895978419,0.28564354730911584,0.28564354730911584,0.28564354730911584,0.28564354730911584
CricketZ,0.39687012799875065,0.3997135487008684,0.3976421330467879,0.39917060792571635,0.4089653468914257,0.39953356747550683,0.3844785089143514,0.3606100799165569,0.3501495954131607,0.3501495954131607,0.3501495954131607,0.3501495954131607,0.3501495954131607
DistalPhalanxTW,0.48626634874712754,0.4811478676587588,0.49913115777802525,0.492831449806259,0.48460080034005804,0.5045205676214887,0.5003859256283356,0.46225087073600085,0.46225087073600085,0.46225087073600085,0.46225087073600085,0.46225087073600085,0.46225087073600085
ECG200,0.12330140742374485,0.12254498113526982,0.12496589717615507,0.12227095797431868,0.12321118414385102,0.1353851200068227,0.14142276156813463,0.14607010549853544,0.1434605268052528,0.1434605268052528,0.1434605268052528,0.1434605268052528,0.1434605268052528
ECG5000,0.3921892307312277,0.3922030811728459,0.3846563377985641,0.3965522322428342,0.4051349561364345,0.396743462573728,0.39116153762106265,0.39557113367152097,0.40545022825851323,0.40545022825851323,0.40545022825851323,0.40545022825851323,0.40545022825851323
FiftyWords,0.7055660631711554,0.7036928730134483,0.703408043583562,0.7034808239851392,0.6980635902778362,0.6489379728017324,0.5900411858854144,0.5153063575655973,0.5153063575655973,0.5153063575655973,0.5153063575655973,0.5153063575655973,0.5153063575655973
Fish,0.6700793191906018,0.6714695233933509,0.6682090089146077,0.6846911041421861,0.6755004637348032,0.6788168812738075,0.6572164617589341,0.6384757938759638,0.4921142397076695,0.459240878660247,0.459240878660247,0.459240878660247,0.459240878660247
FordA,0.0038409129804858853,0.0038409129804858853,0.0038592992080831562,0.01627468269832552,0.015707760643778594,0.0028947434363442216,0.0021504973545456696,0.0023130113678887535,0.0023130113678887535,0.0023130113678887535,0.0023130113678887535,0.0023130113678887535,0.0023130113678887535
FordB,0.12684813265984368,0.12684813265984368,0.12588903324534267,0.12684813265984368,0.12684607470481254,0.12639363024697298,0.12577573072863152,0.1300484734455182,0.1300484734455182,0.1300484734455182,0.1300484734455182,0.1300484734455182,0.1300484734455182
Haptics,0.08529691043122146,0.09039003677357459,0.09119021692317761,0.08876855137748105,0.09914355208251453,0.10406122926747445,0.10210314303709381,0.09950052596599371,0.07704222952799852,0.07704222952799852,0.07704222952799852,0.07704222952799852,0.07704222952799852
Herring,0.004875819286516174,0.01214214606159134,0.013091381597226556,0.01263171784924064,0.009309949864379972,0.012154481806560643,0.002999245380928681,0.007018565239365483,0.008442548170059499,0.012937337401520805,0.012937337401520805,0.012937337401520805,0.012937337401520805
InsectWingbeatSound,0.47200845927065754,0.47038720910161613,0.46374777747106544,0.4624875878442607,0.46005973296520236,0.46825833584862775,0.4453593556205117,0.4283871615279323,0.3161688265624089,0.3161688265624089,0.3161688265624089,0.3161688265624089,0.3161688265624089
ItalyPowerDemand,0.050255445061581264,0.050255445061581264,0.07942163960367501,0.07942163960367501,0.15776976313874366,0.14220392003027305,0.06501487246974909,0.03773721870764048,0.09165578695720232,0.09326139778466055,0.09326139778466055,0.09326139778466055,0.09326139778466055
LargeKitchenAppliances,0.05774155517817957,0.05483440213767893,0.05547638831057442,0.05024348976884223,0.05397164757708445,0.050556997745978695,0.05248237604113497,0.030627143097055054,0.030627143097055054,0.030627143097055054,0.030627143097055054,0.030627143097055054,0.030627143097055054
Lightning2,0.004173146750925056,0.004173146750925056,0.004173146750925056,0.004173146750925056,0.0044243647321125885,0.005628743846865518,0.0060931471514176095,0.006066263626138047,0.007292868516990743,0.007292868516990743,0.007292868516990743,0.007292868516990743,0.007292868516990743
Lightning7,0.4577887759423104,0.4716794261550864,0.4621968352555973,0.4718814322512688,0.45588177828734944,0.4779301297429918,0.4596735572682162,0.4458491254074833,0.45128401800283846,0.45128401800283846,0.45128401800283846,0.45128401800283846,0.45128401800283846
Meat,0.8225630763942146,0.8526536349688332,0.8353175326210195,0.8049125546279976,0.8398067087967721,0.7583067450399917,0.8249448479817529,0.9362360211406096,0.9507835583700814,0.9507835583700814,0.9507835583700814,0.9507835583700814,0.9507835583700814
