,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.252132192514636,0.2515461923459208,0.2659837565470713,0.2464846892112839,0.2798011951333399,0.27516453499876026,0.23950578723120572,0.23950578723120572,0.23950578723120572,0.23950578723120572,0.23950578723120572,0.23950578723120572,0.23950578723120572
BirdChicken,0.7170871018949757,0.7170871018949757,0.7170871018949757,0.7170871018949757,0.7848541124883655,0.7758037797071642,0.7409323031547311,0.7627178459713397,0.7627178459713397,0.7627178459713397,0.7627178459713397,0.7627178459713397,0.7627178459713397
Car,0.4693965194666572,0.476142050982887,0.46046682595236554,0.45133895418906,0.44645439788051133,0.43786031795742425,0.4310083536409427,0.4772879669201925,0.3530979413335212,0.3530979413335212,0.3530979413335212,0.3530979413335212,0.3530979413335212
CricketX,0.2608329997109309,0.25920151460396196,0.25901060446230184,0.2601446575461128,0.26757031021829547,0.24931966295603494,0.2586720517425756,0.22731939058260728,0.21520543039573553,0.21520543039573553,0.21520543039573553,0.21520543039573553,0.21520543039573553
CricketY,0.25350260547945785,0.24965040193847982,0.2727441658578985,0.26329122151812523,0.26234299318410015,0.25725565583313326,0.24436427504276842,0.23545521757990162,0.2141694706018054,0.17940225348585584,0.17940225348585584,0.17940225348585584,0.17940225348585584
CricketZ,0.269479212979226,0.2730168840855659,0.26890110653426536,0.2639010222148549,0.28201524608784373,0.27307391623964744,0.2587647400616033,0.23388693846696634,0.22675116676705334,0.22675116676705334,0.22675116676705334,0.22675116676705334,0.22675116676705334
DistalPhalanxTW,0.4736878978193844,0.49010176402442146,0.5173258336434952,0.49420147359153505,0.488515395587077,0.5510370155703621,0.5500915689808517,0.48317149092093714,0.48317149092093714,0.48317149092093714,0.48317149092093714,0.48317149092093714,0.48317149092093714
ECG200,0.585576564501135,0.5850799333738557,0.5901267472114848,0.587914964384726,0.5867218395690958,0.6031459283934104,0.6074843528453895,0.6122764458397916,0.6136818709153407,0.6136818709153407,0.6136818709153407,0.6136818709153407,0.6136818709153407
ECG5000,0.671388205546956,0.6739788236649065,0.6719705875692098,0.6755205117921962,0.6890668540089787,0.686502707856395,0.6717645590842192,0.6886402357724275,0.6982687424322972,0.6982687424322972,0.6982687424322972,0.6982687424322972,0.6982687424322972
FiftyWords,0.443406260088094,0.42433111913144755,0.43132390698846723,0.4163873200320693,0.42324258364511225,0.3494978710550729,0.2554547681537454,0.16353411811020713,0.16353411811020713,0.16353411811020713,0.16353411811020713,0.16353411811020713,0.16353411811020713
Fish,0.6124304308172721,0.6197934340108426,0.6114816758650774,0.6176894078402021,0.6246988958474652,0.630183587793186,0.6082679113323535,0.5934227103145613,0.42244473203328176,0.38298735644991505,0.38298735644991505,0.38298735644991505,0.38298735644991505
FordA,0.5076865566904704,0.5076865566904704,0.5077094557626386,0.5168395144940207,0.5151843083971022,0.506094302821644,0.5048038170732736,0.5050757074915868,0.5050757074915868,0.5050757074915868,0.5050757074915868,0.5050757074915868,0.5050757074915868
FordB,0.6602000618185268,0.6602000618185268,0.6600944093006013,0.6602000618185268,0.6602003919728718,0.6599399261488245,0.6597305145029094,0.660051554525913,0.660051554525913,0.660051554525913,0.660051554525913,0.660051554525913,0.660051554525913
Haptics,0.26886396077777236,0.2690899002263111,0.276502370747421,0.2740210026889613,0.2807515659124586,0.2805710001251962,0.27950531676086926,0.2838710027119956,0.2768336458493389,0.2768336458493389,0.2768336458493389,0.2768336458493389,0.2768336458493389
Herring,0.5359828637906362,0.5405488703341129,0.5494009179612797,0.5471574406391029,0.5404623412311136,0.5352432715801354,0.5209062464061469,0.5214951884198259,0.5124958067997208,0.5155223311915543,0.5155223311915543,0.5155223311915543,0.5155223311915543
InsectWingbeatSound,0.3403524999539143,0.34800692836365504,0.3398614492537595,0.3416293073096063,0.3371754715152318,0.34347968474357354,0.31555908970249924,0.30257015523423425,0.22938376315787595,0.22938376315787595,0.22938376315787595,0.22938376315787595,0.22938376315787595
ItalyPowerDemand,0.5685115767911938,0.5685115767911938,0.5761707076106253,0.5761707076106253,0.6218683450612241,0.6094690884396454,0.5632696445521713,0.5498248094231608,0.5793012658988367,0.5816447576946124,0.5816447576946124,0.5816447576946124,0.5816447576946124
LargeKitchenAppliances,0.4697889341061002,0.4706267686898669,0.4706662781552504,0.46981032275114004,0.4701988072101958,0.46986959059860867,0.4702466744129633,0.468991355162906,0.468991355162906,0.468991355162906,0.468991355162906,0.468991355162906,0.468991355162906
Lightning2,0.5075773156987353,0.5075773156987353,0.5075773156987353,0.5075773156987353,0.511031879707931,0.5113348803337491,0.5110091961119646,0.5082676108416221,0.5151162046292935,0.5151162046292935,0.5151162046292935,0.5151162046292935,0.5151162046292935
Lightning7,0.3412308453385936,0.3624179258094325,0.3562407970465739,0.3555229320721993,0.34919574780534857,0.3672972283230379,0.35305810208804644,0.3484688502014104,0.34355518028779364,0.34355518028779364,0.34355518028779364,0.34355518028779364,0.34355518028779364
Meat,0.7520602994796046,0.751714044710181,0.7568517869168654,0.76588558016508,0.7873274628499815,0.7494379164298388,0.7717963987149143,0.7475441771266145,0.7510147305098117,0.7510147305098117,0.7510147305098117,0.7510147305098117,0.7510147305098117
MedicalImages,0.2530742436193965,0.25739354854488217,0.24543819035552952,0.2452300725672401,0.23455694064188184,0.23596942677547647,0.26454138763516766,0.23032170861558027,0.23032170861558027,0.23032170861558027,0.23032170861558027,0.23032170861558027,0.23032170861558027
MiddlePhalanxOutlineAgeGroup,0.5071635824928092,0.48917754164612204,0.5069503903717449,0.47140165035805986,0.47140165035805986,0.47140165035805986,0.47140165035805986,0.4703793159911177,0.4703793159911177,0.4703793159911177,0.4703793159911177,0.4703793159911177,0.4703793159911177
OSULeaf,0.5919065275155708,0.6100298194698349,0.6229013362969571,0.5856802208933513,0.6114648826235572,0.6809902478995461,0.6440109602398859,0.572546708170689,0.4790950417060585,0.4790950417060585,0.4790950417060585,0.4790950417060585,0.4790950417060585
OliveOil,0.7024166601675584,0.6719976211626217,0.6662130537208633,0.6552708191400121,0.7098217741151903,0.6776294867924516,0.7189068459976672,0.759821238062725,0.7701634764627842,0.7007859612396868,0.7007859612396868,0.7007859612396868,0.7007859612396868
Phoneme,0.11555565418534366,0.11589745264039024,0.112167077952571,0.11579997173016124,0.11157840550007363,0.1109388645204884,0.10858977478229725,0.10529120747722816,0.09568036218671563,0.09568036218671563,0.09568036218671563,0.09568036218671563,0.09568036218671563
Plane,0.9645325518557986,0.9466557587113289,0.9344855326724355,0.946862692274981,0.9851481138160076,1.0,0.9589314939710064,0.9417442800190109,0.9417442800190109,0.9417442800190109,0.9417442800190109,0.9417442800190109,0.9417442800190109
ProximalPhalanxOutlineCorrect,0.5666524508687953,0.5666524508687953,0.5666524508687953,0.5666524508687953,0.5666524508687953,0.5666524508687953,0.5666524508687953,0.5670754540114068,0.5670754540114068,0.5670754540114068,0.5670754540114068,0.5670754540114068,0.5670754540114068
