,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.27086021920258246,0.28118218333929257,0.30101441434967735,0.24892393584849226,0.32179531934558736,0.3233999184180084,0.2406750226960297,0.2406750226960297,0.2406750226960297,0.2406750226960297,0.2406750226960297,0.2406750226960297,0.2406750226960297
BirdChicken,0.43311178749255985,0.43311178749255985,0.43311178749255985,0.43311178749255985,0.5577212340958212,0.5428922230776032,0.47684042569145124,0.5065752136050337,0.5065752136050337,0.5065752136050337,0.5065752136050337,0.5065752136050337,0.5065752136050337
Car,0.40756215705704923,0.41403666106771925,0.39027256068134997,0.3748214983760298,0.37720584631448917,0.3698621528366185,0.3585257911301466,0.422477921468386,0.26804172032586165,0.26804172032586165,0.26804172032586165,0.26804172032586165,0.26804172032586165
CricketX,0.3789857678383316,0.38158852234456886,0.37845035249176323,0.3804723876140879,0.3830101985307453,0.37384561363167557,0.3789293421961035,0.3461120680052322,0.32396585491516244,0.32396585491516244,0.32396585491516244,0.32396585491516244,0.32396585491516244
CricketY,0.38780832460998804,0.38041968529823356,0.41103179813014573,0.39599604621595763,0.3923280100008963,0.3885038284313476,0.3795976640787356,0.3677546996034218,0.33024497432988664,0.2720552106067509,0.2720552106067509,0.2720552106067509,0.2720552106067509
CricketZ,0.3853003191545782,0.3880329781557661,0.3825334186063946,0.3840098972965379,0.3951817586011348,0.3862517136042368,0.3712261440563883,0.35009241558857573,0.33818428623978486,0.33818428623978486,0.33818428623978486,0.33818428623978486,0.33818428623978486
DistalPhalanxTW,0.48343668465255557,0.48190005040017975,0.4976922833820111,0.4987941353685364,0.49029956785937995,0.4957556004481948,0.5024183027459534,0.4637032609777039,0.4637032609777039,0.4637032609777039,0.4637032609777039,0.4637032609777039,0.4637032609777039
ECG200,0.12838828581437606,0.12755476334318105,0.1294593741993358,0.12692998756663929,0.12790031768905402,0.13937029225344139,0.14622954054627488,0.15034881905513173,0.1489174170711805,0.1489174170711805,0.1489174170711805,0.1489174170711805,0.1489174170711805
ECG5000,0.6111905461518781,0.6052108395957017,0.6032748401508748,0.6103833556669513,0.6167303115439137,0.6068257774217409,0.6130772707574946,0.5997164609323405,0.5956321597421642,0.5956321597421642,0.5956321597421642,0.5956321597421642,0.5956321597421642
FiftyWords,0.7259556489621041,0.7267535375497425,0.7272535139018931,0.7323129210779269,0.7358102195290463,0.6937083066424093,0.6294995232384137,0.5311013186280994,0.5311013186280994,0.5311013186280994,0.5311013186280994,0.5311013186280994,0.5311013186280994
Fish,0.6403785063651826,0.6426885118734135,0.6240430246523656,0.6384863846027955,0.6428156164027146,0.6536568871061068,0.6358676129272126,0.6211988794113883,0.46638548920892564,0.43384107125220134,0.43384107125220134,0.43384107125220134,0.43384107125220134
FordA,0.0037624030254553914,0.0037624030254553914,0.003780276191006322,0.014341299095528438,0.01364363092546007,0.0028361482314975075,0.002114854134709199,0.002275218831961647,0.002275218831961647,0.002275218831961647,0.002275218831961647,0.002275218831961647,0.002275218831961647
FordB,0.051011415017699346,0.051011415017699346,0.05068199265530251,0.051011415017699346,0.05101439457154957,0.051053080592853815,0.05096409789650734,0.05257045211396627,0.05257045211396627,0.05257045211396627,0.05257045211396627,0.05257045211396627,0.05257045211396627
Haptics,0.07192740073807423,0.07692829298616932,0.0750983735050226,0.07297039156914953,0.08150189686053635,0.08573013340550224,0.0838860970028698,0.08198777923810285,0.06079478984744778,0.06079478984744778,0.06079478984744778,0.06079478984744778,0.06079478984744778
Herring,0.0044102719600503555,0.011813301738939828,0.012013260230357353,0.01203777540767162,0.008932660021412362,0.01187277035823001,0.00275955354787665,0.007026253737399775,0.00856130641574568,0.013170266170215956,0.013170266170215956,0.013170266170215956,0.013170266170215956
InsectWingbeatSound,0.44496679656455684,0.4438715908482173,0.43766941710119056,0.4402327315451225,0.44184188302667604,0.4523926115311355,0.429002039354798,0.41511353542811247,0.2992021299593384,0.2992021299593384,0.2992021299593384,0.2992021299593384,0.2992021299593384
ItalyPowerDemand,0.04353172605540935,0.04353172605540935,0.07237427791235125,0.07237427791235125,0.14891639479732638,0.1366087678059339,0.0616813358835814,0.03556315748815892,0.08873035239425277,0.09041312759791983,0.09041312759791983,0.09041312759791983,0.09041312759791983
LargeKitchenAppliances,0.03082258149188625,0.02907235002553321,0.02941839418663058,0.0265803775052263,0.028673507934092412,0.026793390045742754,0.027812889429880423,0.01572505910090181,0.01572505910090181,0.01572505910090181,0.01572505910090181,0.01572505910090181,0.01572505910090181
Lightning2,0.003936553681775597,0.003936553681775597,0.003936553681775597,0.003936553681775597,0.0041336783238162126,0.005166818493943885,0.005609073716296969,0.005706040434147479,0.006754151422643356,0.006754151422643356,0.006754151422643356,0.006754151422643356,0.006754151422643356
Lightning7,0.44303156557673,0.445213149158329,0.43597340998795575,0.44432971859344067,0.4302573972054424,0.46266895352006887,0.447597263207035,0.43888014663097474,0.44532288981185886,0.44532288981185886,0.44532288981185886,0.44532288981185886,0.44532288981185886
Meat,0.6041552243067331,0.5978870423781595,0.6124083296350425,0.6351814685228513,0.6550006549457288,0.6153286070056339,0.6330389837974171,0.5707687625834887,0.5707687625834887,0.5707687625834887,0.5707687625834887,0.5707687625834887,0.5707687625834887
MedicalImages,0.289123557690977,0.29433466241588296,0.2789006551814836,0.2785447567604421,0.266350985956421,0.2748235578543477,0.2933303023258113,0.2505331855539053,0.2505331855539053,0.2505331855539053,0.2505331855539053,0.2505331855539053,0.2505331855539053
MiddlePhalanxOutlineAgeGroup,0.0973272675867346,0.09964821573479102,0.09759666505699516,0.10153179968607044,0.10153179968607044,0.10153179968607044,0.10153179968607044,0.09973777160355483,0.09973777160355483,0.09973777160355483,0.09973777160355483,0.09973777160355483,0.09973777160355483
OSULeaf,0.6117156370493533,0.6264774517703725,0.6346765153756223,0.6032680287233564,0.6286299662694429,0.6822388514340334,0.6546389208866692,0.5829388397885367,0.48242913797348674,0.48242913797348674,0.48242913797348674,0.48242913797348674,0.48242913797348674
