,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.4359327057548471,0.45254526616725366,0.4844640106435181,0.4006276196668773,0.517909586998627,0.5204920895800379,0.38735150610292785,0.38735150610292785,0.38735150610292785,0.38735150610292785,0.38735150610292785,0.38735150610292785,0.38735150610292785
BirdChicken,0.30021021436774586,0.30021021436774586,0.30021021436774586,0.30021021436774586,0.3865829009519315,0.37630421377416134,0.33052059664503336,0.351131181051881,0.351131181051881,0.351131181051881,0.351131181051881,0.351131181051881,0.351131181051881
Car,0.5602511501971875,0.5691512609069913,0.5364841833966494,0.5152445386493762,0.5185221581532037,0.5084272250333538,0.4928438113745307,0.5807549531701215,0.36846080901563294,0.36846080901563294,0.36846080901563294,0.36846080901563294,0.36846080901563294
CricketX,0.9386600316374668,0.9451064521484644,0.9373339317445456,0.9423420447476254,0.9486276150182634,0.9259290593432791,0.93852027838124,0.8572394856856175,0.8023884415465601,0.8023884415465601,0.8023884415465601,0.8023884415465601,0.8023884415465601
CricketY,0.9627659001804693,0.9444229984770466,1.0204200735699596,0.9830925890681461,0.9739863890090328,0.9644925453300381,0.9423822635336867,0.9129811351145183,0.8198601727039888,0.6753993225957939,0.6753993225957939,0.6753993225957939,0.6753993225957939
CricketZ,0.9540266630638999,0.9607928903899378,0.9471756516170231,0.9508315012694013,0.9784936988612006,0.9563823726933569,0.9191781627206745,0.8668497854888952,0.8373645441299269,0.8373645441299269,0.8373645441299269,0.8373645441299269,0.8373645441299269
DistalPhalanxTW,0.7932533176029232,0.7907319114760475,0.8166448005945043,0.8184527886342343,0.8045143680051023,0.8134669694303284,0.8243995504066689,0.7608734749168218,0.7608734749168218,0.7608734749168218,0.7608734749168218,0.7608734749168218,0.7608734749168218
ECG200,0.08389124194948755,0.08334660320103933,0.08459111058845244,0.08293836334098055,0.08357239469792274,0.09106708477211442,0.09554904240925949,0.09824065393636923,0.09730534983599165,0.09730534983599165,0.09730534983599165,0.09730534983599165,0.09730534983599165
ECG5000,0.5560099983191303,0.5505701618341229,0.5488089515947937,0.5552756839829661,0.5610496131589002,0.5520392970875967,0.5577263824343665,0.5455718360409407,0.5418562807003309,0.5418562807003309,0.5418562807003309,0.5418562807003309,0.5418562807003309
FiftyWords,2.5095647239849734,2.5123229545408905,2.5140513287438844,2.5315412536331023,2.5436311062773025,2.3980885024782266,2.1761243948484634,1.8359704700921171,1.8359704700921171,1.8359704700921171,1.8359704700921171,1.8359704700921171,1.8359704700921171
Fish,1.2429245079767226,1.247408047682073,1.2112186178372937,1.2392520478813709,1.2476547476149604,1.2686968046498546,1.234169217236644,1.2056983547598814,0.90521769381797,0.842051528379583,0.842051528379583,0.842051528379583,0.842051528379583
FordA,0.0026059942055464413,0.0026059942055464413,0.002618373890961684,0.00993337026631589,0.009450136759354659,0.001964432254425669,0.00146483446439421,0.00157590961210875,0.00157590961210875,0.00157590961210875,0.00157590961210875,0.00157590961210875,0.00157590961210875
FordB,0.03535593047299855,0.03535593047299855,0.035127608358485315,0.03535593047299855,0.035357995597024856,0.03538480881675294,0.03532313505169007,0.036436496600429316,0.036436496600429316,0.036436496600429316,0.036436496600429316,0.036436496600429316,0.036436496600429316
