,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.29505660552280377,0.3028651012451872,0.3244256843255403,0.27262418915835507,0.34541750950004735,0.34481599077440817,0.2655922403559448,0.2655922403559448,0.2655922403559448,0.2655922403559448,0.2655922403559448,0.2655922403559448,0.2655922403559448
BirdChicken,0.45715585278907855,0.45715585278907855,0.45715585278907855,0.45715585278907855,0.5718985542607025,0.5576936474982751,0.49808668770012143,0.5260034391609814,0.5260034391609814,0.5260034391609814,0.5260034391609814,0.5260034391609814,0.5260034391609814
Car,0.4116117444072329,0.41873713211674773,0.3968796196285794,0.3792871479947109,0.3832563232590599,0.37582258384714307,0.3624022021860101,0.4306716540962533,0.27083599453803375,0.27083599453803375,0.27083599453803375,0.27083599453803375,0.27083599453803375
CricketX,0.3872620213644341,0.3907676244019153,0.3868218505118183,0.38971385656558966,0.3913227148342916,0.3812841698760484,0.38590715624784794,0.3507965683055333,0.32829564264594946,0.32829564264594946,0.32829564264594946,0.32829564264594946,0.32829564264594946
CricketY,0.3946272946260866,0.3889278254642165,0.41868513093927556,0.40287845190706156,0.40190071920777515,0.39619367578741593,0.3869406058971713,0.37256527970094433,0.3346543100192683,0.278678886559359,0.278678886559359,0.278678886559359,0.278678886559359
CricketZ,0.39098939348814077,0.393783730152346,0.3899368003315909,0.39141769353731515,0.4019529058991244,0.3927705565803917,0.37771799159446384,0.355263079503311,0.34404835095827846,0.34404835095827846,0.34404835095827846,0.34404835095827846,0.34404835095827846
DistalPhalanxTW,0.48451470069629166,0.481337461113765,0.4981754445481673,0.49569115248943385,0.4872535810456469,0.49998757382645714,0.5013865722684452,0.4628817112837547,0.4628817112837547,0.4628817112837547,0.4628817112837547,0.4628817112837547,0.4628817112837547
ECG200,0.125789055648075,0.12499544754466849,0.12716201934464988,0.12454765302272201,0.12550363826102992,0.13733837518136952,0.14377647065683935,0.14817053808935488,0.14613358140958227,0.14613358140958227,0.14613358140958227,0.14613358140958227,0.14613358140958227
ECG5000,0.47734056829891613,0.4754963529449084,0.46953410008879615,0.4806039102773041,0.48847717852509287,0.4790410519569508,0.47731842101423483,0.47640833265687804,0.48205559178886787,0.48205559178886787,0.48205559178886787,0.48205559178886787,0.48205559178886787
FiftyWords,0.715585708392904,0.7150127411055318,0.7150973348762422,0.717594586931363,0.716422251072081,0.6705644355952701,0.6091290879661818,0.5230762998063819,0.5230762998063819,0.5230762998063819,0.5230762998063819,0.5230762998063819,0.5230762998063819
Fish,0.6547801206548125,0.6566623523216638,0.6450484373294801,0.6605673838953295,0.6584934885191205,0.6657581749869906,0.6463121743405865,0.6296833441229827,0.47886385645587143,0.44616397977754535,0.44616397977754535,0.44616397977754535,0.44616397977754535
FordA,0.003801247173727798,0.003801247173727798,0.0038193735977662055,0.015233032118144706,0.014592038710176012,0.0028651351796732294,0.0021325218494797522,0.0022939544103401073,0.0022939544103401073,0.0022939544103401073,0.0022939544103401073,0.0022939544103401073,0.0022939544103401073
FordB,0.0727613084657229,0.0727613084657229,0.07226850757950841,0.0727613084657229,0.07276434360134126,0.072728994008077,0.07253610209113205,0.07487328714742165,0.07487328714742165,0.07487328714742165,0.07487328714742165,0.07487328714742165,0.07487328714742165
Haptics,0.07788036004462351,0.08299047578310446,0.08232512637727533,0.08008399629655685,0.08942816078009527,0.09398006903565309,0.0920627792881766,0.08987114112018443,0.06795710152248352,0.06795710152248352,0.06795710152248352,0.06795710152248352,0.06795710152248352
Herring,0.00460811098913521,0.011942194772213626,0.012464343106472703,0.01227831462995369,0.009084913362770786,0.011978532388974193,0.0028587391462423376,0.007020449626607164,0.008500383682057402,0.013050695581363628,0.013050695581363628,0.013050695581363628,0.013050695581363628
InsectWingbeatSound,0.45793885480468194,0.4566410981794943,0.45027030525440087,0.45099711691297645,0.4507076465485734,0.46017733063237465,0.43699656807765175,0.42162747737476663,0.30742570413723075,0.30742570413723075,0.30742570413723075,0.30742570413723075,0.30742570413723075
ItalyPowerDemand,0.04634574268775368,0.04634574268775368,0.07552909044424053,0.07552909044424053,0.15275620759664912,0.13908391297242395,0.06330096704574027,0.03661761146470152,0.09016489113619533,0.09180782738922455,0.09180782738922455,0.09180782738922455,0.09180782738922455
LargeKitchenAppliances,0.04018554709210427,0.03798681399605013,0.0384369988789522,0.034758071052660586,0.03744121450452313,0.03501084093257311,0.03634222277474546,0.020767475023261484,0.020767475023261484,0.020767475023261484,0.020767475023261484,0.020767475023261484,0.020767475023261484
Lightning2,0.004051273142634392,0.004051273142634392,0.004051273142634392,0.004051273142634392,0.004273347010991043,0.00538555413422972,0.0058386982674845,0.0058805540120382225,0.007013047529519719,0.007013047529519719,0.007013047529519719,0.007013047529519719,0.007013047529519719
Lightning7,0.4502191545307124,0.45770104604471307,0.448327338720287,0.45747903068141005,0.4424308711209767,0.4700517898815053,0.4534911205190352,0.4422517215356202,0.44823888066621587,0.44823888066621587,0.44823888066621587,0.44823888066621587,0.44823888066621587
Meat,0.6896331971977919,0.6968925868460513,0.6990683337005807,0.7005241260503416,0.7254295286516639,0.6704454905486232,0.7084123611281369,0.7060442723877597,0.7103568777906766,0.7103568777906766,0.7103568777906766,0.7103568777906766,0.7103568777906766
MedicalImages,0.25807458596714133,0.2593866851732775,0.24751055922433501,0.24599106235908938,0.23625176770118927,0.24282569786783328,0.25743438053882306,0.21705667472176216,0.21705667472176216,0.21705667472176216,0.21705667472176216,0.21705667472176216,0.21705667472176216
MiddlePhalanxOutlineAgeGroup,0.1136366144831458,0.11157051301196926,0.11307139973962041,0.10981507037274248,0.10981507037274248,0.10981507037274248,0.10981507037274248,0.10778108229072818,0.10778108229072818,0.10778108229072818,0.10778108229072818,0.10778108229072818,0.10778108229072818
OSULeaf,0.6271046546742374,0.6403488820500622,0.6464691564896263,0.6229719298690236,0.6385552076777132,0.6874762586183889,0.6625986838594689,0.5870012894827127,0.48907584757657563,0.48907584757657563,0.48907584757657563,0.48907584757657563,0.48907584757657563
OliveOil,0.634199044922114,0.5927810330706558,0.5797743737558487,0.5537229840937302,0.6187595189977144,0.5973601010935674,0.6422785545022938,0.6949671662431923,0.7092492102412378,0.6141190291879215,0.6141190291879215,0.6141190291879215,0.6141190291879215
Phoneme,0.29358931753228457,0.2910450278774088,0.29053505150348896,0.29613560016810236,0.29736369791176503,0.30062768986036287,0.29073385740175023,0.2908032000693056,0.2766975765356475,0.2766975765356475,0.2766975765356475,0.2766975765356475,0.2766975765356475
Plane,0.9837089106212119,0.9752995939530752,0.9700070843605365,0.9764799444995855,0.992703328538276,1.0,0.9685549301451445,0.9525374992032667,0.9525374992032667,0.9525374992032667,0.9525374992032667,0.9525374992032667,0.9525374992032667
ProximalPhalanxOutlineCorrect,0.10167258766471239,0.10167258766471239,0.10167258766471239,0.10167258766471239,0.10167258766471239,0.10167258766471239,0.10167258766471239,0.10309479614308467,0.10309479614308467,0.10309479614308467,0.10309479614308467,0.10309479614308467,0.10309479614308467
ProximalPhalanxTW,0.5600050721271039,0.5525491661205135,0.5522286027396681,0.5690703318330329,0.5719859320704164,0.5600803772782348,0.5616200335719619,0.547615828105683,0.547615828105683,0.547615828105683,0.547615828105683,0.547615828105683,0.547615828105683
ScreenType,0.03698077807268434,0.041009361206327546,0.04086893275729895,0.04086893275729895,0.03716491579778077,0.03666171433121485,0.03556096314591921,0.03397405133351393,0.03397405133351393,0.03397405133351393,0.03397405133351393,0.03397405133351393,0.03397405133351393
ShapeletSim,0.33177474991333405,0.30742786367231884,0.3700017675994154,0.261534822000387,0.25652596444967085,0.26968661262044513,0.310183885652875,0.322524283874965,0.18243614043369122,0.2804082173606917,0.4100339610075724,0.4100339610075724,0.4100339610075724
Strawberry,0.08249396839783699,0.08249396839783699,0.08088284440088903,0.08088284440088903,0.08269013159331055,0.08688238794542608,0.08184757221134241,0.07353293494276651,0.07397733132833788,0.07397733132833788,0.07397733132833788,0.07397733132833788,0.07397733132833788
