,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.6551724137931034,0.6650574712643678,0.6712643678160919,0.6475862068965517,0.6816091954022989,0.6845977011494253,0.6429885057471263,0.6429885057471263,0.6429885057471263,0.6429885057471263,0.6429885057471263,0.6429885057471263,0.6429885057471263
BirdChicken,0.6873684210526316,0.6873684210526316,0.6873684210526316,0.6873684210526316,0.7742105263157895,0.7652631578947369,0.7157894736842105,0.7357894736842105,0.7357894736842105,0.7357894736842105,0.7357894736842105,0.7357894736842105,0.7357894736842105
Car,0.7333333333333333,0.735819209039548,0.7241242937853107,0.7228813559322034,0.7158757062146892,0.7112994350282487,0.7118644067796611,0.7306779661016949,0.6761016949152542,0.6761016949152542,0.6761016949152542,0.6761016949152542,0.6761016949152542
CricketX,0.8645652890382969,0.8633603585788677,0.8646786632390745,0.8638507679124647,0.8666785314086084,0.8637387120163471,0.8671518027816228,0.8640089644716895,0.862305714850702,0.862305714850702,0.862305714850702,0.862305714850702,0.862305714850702
CricketY,0.868185353635225,0.8649054116406301,0.8715483488234131,0.869962428317184,0.8660681563509327,0.8675710236635685,0.8657227605299586,0.8674194186276448,0.8634275921165381,0.8513453299057412,0.8513453299057412,0.8513453299057412,0.8513453299057412
CricketZ,0.8709472018983586,0.8714020170061302,0.8680139740293982,0.8673324105200713,0.8718291477160373,0.8697976402346581,0.8668050886559884,0.864177707468196,0.8601450135126228,0.8601450135126228,0.8601450135126228,0.8601450135126228,0.8601450135126228
DistalPhalanxTW,0.7769679908247316,0.7856949223230111,0.7968616411218852,0.7893441768324471,0.7873631529558962,0.8075800229381713,0.8115212178083621,0.7835783547075382,0.7835783547075382,0.7835783547075382,0.7835783547075382,0.7835783547075382,0.7835783547075382
ECG200,0.5688080808080809,0.5681818181818182,0.5727474747474748,0.5707272727272727,0.5694747474747475,0.5847474747474748,0.589979797979798,0.5938585858585859,0.5972727272727274,0.5972727272727274,0.5972727272727274,0.5972727272727274,0.5972727272727274
ECG5000,0.7403356202612927,0.7413958361117284,0.740179575708182,0.7422493196018869,0.7517047936578499,0.7498723074263417,0.7402784124867254,0.7506132325702006,0.7564090094094984,0.7564090094094984,0.7564090094094984,0.7564090094094984,0.7564090094094984
FiftyWords,0.9566829646124801,0.9558009391489568,0.9562801955753498,0.9558183666553711,0.9569337270658856,0.9525652321247036,0.9461431960110375,0.9360546061867648,0.9360546061867648,0.9360546061867648,0.9360546061867648,0.9360546061867648,0.9360546061867648
Fish,0.8834548440065682,0.8859638752052545,0.8777931034482759,0.8796518883415436,0.8859113300492611,0.888847290640394,0.8834548440065682,0.8807881773399014,0.8205057471264368,0.8084991789819377,0.8084991789819377,0.8084991789819377,0.8084991789819377
FordA,0.5018132423553197,0.5018132423553197,0.5018239253796494,0.5068542513841983,0.5063232016909044,0.5012690973418797,0.500851655294415,0.5009472281572358,0.5009472281572358,0.5009472281572358,0.5009472281572358,0.5009472281572358,0.5009472281572358
FordB,0.509580185871904,0.509580185871904,0.5095450869080864,0.509580185871904,0.509580796288666,0.5096516046330632,0.5096860931801188,0.5098997390468343,0.5098997390468343,0.5098997390468343,0.5098997390468343,0.5098997390468343,0.5098997390468343
Haptics,0.6544143153263675,0.662043656669064,0.6520178518549854,0.6513769618004146,0.6547527391175599,0.6559795253606329,0.6522653242522949,0.6564025550996235,0.6366428359913703,0.6366428359913703,0.6366428359913703,0.6366428359913703,0.6366428359913703
Herring,0.4982142857142858,0.5041170634920634,0.5067956349206348,0.5054067460317458,0.5012896825396824,0.5030257936507937,0.4953869047619047,0.49632936507936504,0.4973710317460317,0.5031746031746032,0.5031746031746032,0.5031746031746032,0.5031746031746032
InsectWingbeatSound,0.8652788113576392,0.8674174794942859,0.8654109054159583,0.8679881176596689,0.8690424712001266,0.8717109447175136,0.8649498522363606,0.8641882187208111,0.8406167792120293,0.8406167792120293,0.8406167792120293,0.8406167792120293,0.8406167792120293
ItalyPowerDemand,0.5220390768870083,0.5220390768870083,0.5387951734334646,0.5387951734334646,0.5815297992459909,0.576619663985661,0.5349555497574239,0.5193837846422615,0.5504985763065648,0.5517120244429067,0.5517120244429067,0.5517120244429067,0.5517120244429067
LargeKitchenAppliances,0.4509547237076649,0.450073440285205,0.45032727272727274,0.4507836007130125,0.45045418894830663,0.45075080213903745,0.4510203208556149,0.44906381461675576,0.44906381461675576,0.44906381461675576,0.44906381461675576,0.44906381461675576,0.44906381461675576
Lightning2,0.49278688524590164,0.49278688524590164,0.49278688524590164,0.49278688524590164,0.49278688524590164,0.49311475409836064,0.49333333333333335,0.493551912568306,0.4937704918032787,0.4937704918032787,0.4937704918032787,0.4937704918032787,0.4937704918032787
Lightning7,0.7873287671232877,0.7877853881278538,0.7841324200913242,0.783675799086758,0.7831430745814307,0.7955479452054794,0.7942922374429224,0.7974505327245054,0.7968797564687976,0.7968797564687976,0.7968797564687976,0.7968797564687976,0.7968797564687976
Meat,0.7884745762711864,0.7809604519774012,0.791581920903955,0.8116949152542373,0.8248022598870056,0.8075706214689266,0.8080790960451978,0.7686440677966101,0.7706779661016949,0.7706779661016949,0.7706779661016949,0.7706779661016949,0.7706779661016949
