,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.09951151430559625,0.1063559682121952,0.11883206271660533,0.10784897144092873,0.10995050771488288,0.09084624135087596,0.06903235247765313,0.06903235247765313,0.06903235247765313,0.06903235247765313,0.06903235247765313,0.06903235247765313,0.06903235247765313
BirdChicken,0.6049675975725847,0.6298413761325882,0.6373035097134631,0.6216828372814456,0.6240077817759933,0.5953227979987354,0.5527326626351992,0.4562406826082984,0.4562406826082984,0.4562406826082984,0.4562406826082984,0.4562406826082984,0.4562406826082984
Car,0.2767093547653946,0.3040449139805136,0.3012833037606175,0.33150256237013875,0.26316736188771817,0.31220830531120347,0.30462449176464557,0.23057403956198233,0.23057403956198233,0.23057403956198233,0.23057403956198233,0.23057403956198233,0.23057403956198233
CricketX,0.34269934600304763,0.3508961694014607,0.3547526609565426,0.3386424612982861,0.3516881620582879,0.3511562322271543,0.3051773985630861,0.2700670500054171,0.2700670500054171,0.2700670500054171,0.2700670500054171,0.2700670500054171,0.2700670500054171
CricketY,0.30418109493612655,0.3107732292378634,0.29972014679550113,0.3115761827110679,0.3044174816144115,0.29845427807891173,0.28556603611737075,0.2529582638495912,0.22827398674590293,0.22827398674590293,0.22827398674590293,0.22827398674590293,0.22827398674590293
CricketZ,0.3238350433793018,0.3135442719631381,0.31282012965324524,0.31523421067014745,0.3125674906553382,0.3034912249030886,0.26766816131817317,0.23689752796516336,0.23689752796516336,0.23689752796516336,0.23689752796516336,0.23689752796516336,0.23689752796516336
DistalPhalanxTW,0.46002305043478103,0.46486468607955633,0.46173731579062294,0.4565410971530118,0.4563833680515753,0.4722035497805169,0.45321351627699447,0.45321351627699447,0.45321351627699447,0.45321351627699447,0.45321351627699447,0.45321351627699447,0.45321351627699447
ECG200,0.07908091173180855,0.07986054604222063,0.08065423864248779,0.07765838239240311,0.08519156579517541,0.09317376069795194,0.08861646512604535,0.10192583505609243,0.10695590089459954,0.10695590089459954,0.10695590089459954,0.10695590089459954,0.10695590089459954
ECG5000,0.5073155663109774,0.5061162894332124,0.5129808211265031,0.4999544652072946,0.513897394619796,0.5005675015748227,0.5029547251202873,0.501445300434633,0.470094254507394,0.470094254507394,0.470094254507394,0.470094254507394,0.470094254507394
FiftyWords,0.5696138694962924,0.5697027970140441,0.562514549989056,0.5801899986784631,0.543650895903471,0.49323905085433795,0.3941660678950961,0.32494197917554285,0.32494197917554285,0.32494197917554285,0.32494197917554285,0.32494197917554285,0.32494197917554285
Fish,0.5559542155592819,0.5347227128391221,0.5700759281092149,0.560757819514923,0.5511229638664619,0.5819927791750507,0.5924579409552724,0.4696358137382135,0.45235109680619373,0.3957972724880022,0.3957972724880022,0.3957972724880022,0.3957972724880022
FordA,0.009530650788333256,0.009534393778905593,0.009538179096142976,0.009562824339893713,0.009534040155550821,0.009559235787489639,0.00948432589463252,0.007958125157396603,0.009972382939206142,0.009972382939206142,0.009972382939206142,0.009972382939206142,0.009972382939206142
FordB,0.03205551875617264,0.03205551875617264,0.03205551875617264,0.03205551875617264,0.03205551875617264,0.03205551875617264,0.03205551875617264,0.03205551875617264,0.025046196590650254,0.022356653317140547,0.022356653317140547,0.022356653317140547,0.022356653317140547
Haptics,0.09351736896333007,0.08959373148068478,0.08422796067638454,0.09286870159833209,0.09986947341420122,0.07973700205331333,0.08561827397793226,0.09694666886053897,0.08730163302156999,0.08730163302156999,0.08730163302156999,0.08730163302156999,0.08730163302156999
Herring,-0.004790050636483031,-0.00555481531273264,-0.005406083215602251,-0.006524322993895715,-0.005067459204529044,-0.007305402666481076,-0.005084415511941743,-0.006370817920091103,0.0031987548440226806,-0.0032619286334269657,-0.0032619286334269657,-0.0032619286334269657,-0.0032619286334269657
InsectWingbeatSound,0.36862288250295544,0.3778644290491413,0.3658097134737662,0.36938058915890054,0.3764255088443308,0.3720392355792136,0.3322062830414822,0.35255352089563713,0.35255352089563713,0.35255352089563713,0.35255352089563713,0.35255352089563713,0.35255352089563713
ItalyPowerDemand,0.0031429708481982887,0.0031429708481982887,0.0031429708481982887,0.0030958206582888817,0.0029791144050545304,0.0029791144050545304,0.002912680500192896,0.004396287332347637,0.004832823307167283,0.004832823307167283,0.004832823307167283,0.004832823307167283,0.004832823307167283
LargeKitchenAppliances,0.014360684888351866,0.015416093387200954,0.015346026972018683,0.013188136646642729,0.014261485635823565,0.013625369314331193,0.01185092229689085,0.011847690769511164,0.011847690769511164,0.011847690769511164,0.011847690769511164,0.011847690769511164,0.011847690769511164
Lightning2,-0.0038566119738880273,-0.00521732906450284,-0.004964420717420493,0.0020337459183411444,0.006500243616050672,0.007199039478510069,0.010988973877293782,0.0019456113820032074,0.0019456113820032074,0.0019456113820032074,0.0019456113820032074,0.0019456113820032074,0.0019456113820032074
Lightning7,0.31698538086434863,0.3070901918788266,0.29808863291058585,0.3061101788322495,0.31361747461835954,0.3086439173711396,0.2902524853372062,0.32988923945152043,0.32988923945152043,0.32988923945152043,0.32988923945152043,0.32988923945152043,0.32988923945152043
Meat,0.6532696896098658,0.6532696896098658,0.6530719211694894,0.6627233267213521,0.6629342848213058,0.6083720863921008,0.674577197037791,0.6436457082500285,0.6436457082500285,0.6436457082500285,0.6436457082500285,0.6436457082500285,0.6436457082500285
MedicalImages,0.2852897828092996,0.28010243943517715,0.28484083343121436,0.2841233149121355,0.2773579831843891,0.27265622260336414,0.27401938387946584,0.2303046524184154,0.2303046524184154,0.2303046524184154,0.2303046524184154,0.2303046524184154,0.2303046524184154
MiddlePhalanxOutlineAgeGroup,0.09916601876937699,0.09773380688218754,0.09773380688218754,0.09773380688218754,0.09773380688218754,0.09773380688218754,0.09951626743748698,0.1005852918633047,0.1005852918633047,0.1005852918633047,0.1005852918633047,0.1005852918633047,0.1005852918633047
OSULeaf,0.401906779884052,0.39586443194365056,0.38407845508615046,0.3737864818078972,0.38274995610765405,0.3839927017189506,0.39213783064621777,0.3516010911106855,0.3704973250193607,0.3704973250193607,0.3704973250193607,0.3704973250193607,0.3704973250193607
OliveOil,0.5508465318475182,0.4905337632706453,0.5180966329604637,0.43486547738058806,0.527964606862073,0.48264701865544923,0.6207290265462622,0.6826210606868125,0.6692796850723317,0.5065954511785281,0.5065954511785281,0.5065954511785281,0.5065954511785281
Phoneme,0.2655399126021875,0.2621501214020051,0.26751929859430307,0.2682412022317414,0.2658669523322018,0.2579734316997187,0.23288795130952966,0.2048663189257755,0.2048663189257755,0.2048663189257755,0.2048663189257755,0.2048663189257755,0.2048663189257755
Plane,0.9769031462070155,0.9847910853222757,0.9772951477100333,0.9850741701361446,1.0,0.9826000997983366,0.9661551736532659,0.9373349878467365,0.9373349878467365,0.9373349878467365,0.9373349878467365,0.9373349878467365,0.9373349878467365
ProximalPhalanxOutlineCorrect,0.13131612423866637,0.13131612423866637,0.13131612423866637,0.13131612423866637,0.13131612423866637,0.13042748037462287,0.13042748037462287,0.13042748037462287,0.13042748037462287,0.13042748037462287,0.13042748037462287,0.13042748037462287,0.13042748037462287
ProximalPhalanxTW,0.5547767206523952,0.5527936240945597,0.5577363988630204,0.5577947265851053,0.5521942707110118,0.551775544825037,0.5514999512963575,0.5829684330399563,0.5829684330399563,0.5829684330399563,0.5829684330399563,0.5829684330399563,0.5829684330399563
ScreenType,0.02220283831441803,0.020620192970045803,0.020640104546533068,0.028279216408190623,0.02835099476324703,0.028761831058743536,0.017223641402332547,0.0357723540059138,0.0357723540059138,0.0357723540059138,0.0357723540059138,0.0357723540059138,0.0357723540059138
ShapeletSim,0.7568610678118477,0.7990639792013012,0.8203312711776224,0.8240379005700058,0.7851352281725391,0.7555720026462556,0.7571888960206564,0.7413098235178619,0.6052037300061877,0.8800338779138229,0.8800338779138229,0.8800338779138229,0.8800338779138229
Strawberry,0.08062307770995691,0.08062307770995691,0.08062307770995691,0.08062307770995691,0.08062307770995691,0.08062307770995691,0.07673415232155037,0.07518640557492104,0.07518640557492104,0.07518640557492104,0.07518640557492104,0.07518640557492104,0.07518640557492104
SwedishLeaf,0.764913091850107,0.759295999766352,0.7564957511520193,0.7427242936290924,0.7577507779676754,0.7365966384925903,0.7299965235465743,0.6316183699196174,0.6316183699196174,0.6316183699196174,0.6316183699196174,0.6316183699196174,0.6316183699196174
SyntheticControl,0.7373430765428916,0.7302886515776118,0.7267413281798074,0.7353149574754946,0.734761740702072,0.7344413242326059,0.741399396978173,0.7254503337340743,0.6970512052875624,0.6970512052875624,0.6970512052875624,0.6970512052875624,0.6970512052875624
ToeSegmentation1,-0.003050748882176774,-0.002827206743584459,-0.0029321050523332787,-0.0030442595353843455,-0.003081722497868989,-0.0029115592299112465,-0.003049128909247882,-0.003186864382492399,-0.003216477969513392,-0.003216477969513392,-0.003216477969513392,-0.003216477969513392,-0.003216477969513392
Trace,0.8698937075624131,0.9389836890925591,0.9759900825115754,0.9771676239274922,0.9382751338243704,0.9526522817854512,0.8395588365604828,0.8395588365604828,0.8395588365604828,0.8395588365604828,0.8395588365604828,0.8395588365604828,0.8395588365604828
UWaveGestureLibraryY,0.3303915481215313,0.3311089157506315,0.3320348214489165,0.33120810804740597,0.32710898214105705,0.3193330782606153,0.30589315882285334,0.3085985173073651,0.3085985173073651,0.3085985173073651,0.3085985173073651,0.3085985173073651,0.3085985173073651
Wafer,0.012912276864065092,0.012912276864065092,0.014583980925589393,0.016705737953210495,0.008620935196316163,4.2418038294232666e-05,0.006165351906829523,0.001057755138385928,0.001057755138385928,0.001057755138385928,0.001057755138385928,0.001057755138385928,0.001057755138385928
WordSynonyms,0.4395850325899252,0.42912429980464745,0.43333005691525733,0.44072702297840927,0.4285587878736495,0.401184537653965,0.3287067049299214,0.2874327473642019,0.2874327473642019,0.2874327473642019,0.2874327473642019,0.2874327473642019,0.2874327473642019
Worms,0.33485676225110506,0.36328864227725444,0.32252231655311553,0.33456006189482973,0.3145033015187701,0.32190362852116233,0.349364418566107,0.27550376061735765,0.27550376061735765,0.27550376061735765,0.27550376061735765,0.27550376061735765,0.27550376061735765
Yoga,0.0008715654181261221,0.0008715654181261221,0.0008638796968514446,0.0008494786752514276,0.0008418464242980668,0.0008254278543266321,0.0009076165421082249,0.0012232584070374732,0.0012232584070374732,0.0012232584070374732,0.0012232584070374732,0.0012232584070374732,0.0012232584070374732
