,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.03194469698602707,0.03540563669464465,0.04493545981664514,0.0322400872466637,0.031381539385772025,0.03320619203544719,0.02072325201431784,0.02072325201431784,0.02072325201431784,0.02072325201431784,0.02072325201431784,0.02072325201431784,0.02072325201431784
BirdChicken,0.5812545326938029,0.6012989524605992,0.6078808532937645,0.6212131796349085,0.6192478849410323,0.585428081636217,0.5408669758929106,0.424793124936597,0.424793124936597,0.424793124936597,0.424793124936597,0.424793124936597,0.424793124936597
Car,0.20486311534324192,0.2288331655619506,0.2237074960793736,0.24804123318396504,0.18264320872784534,0.22621198194389752,0.22062911812393046,0.14238542340980526,0.14238542340980526,0.14238542340980526,0.14238542340980526,0.14238542340980526,0.14238542340980526
CricketX,0.19792427409500965,0.20080152394222012,0.2031826310481896,0.1854915030056458,0.19559416411294586,0.19800491216610666,0.15450617409744474,0.11674247720087974,0.11674247720087974,0.11674247720087974,0.11674247720087974,0.11674247720087974,0.11674247720087974
CricketY,0.15298751337816105,0.15565913389733171,0.15279291469531828,0.1565541711307818,0.153853279273622,0.15292812507378004,0.14520394485849275,0.12015351727119321,0.10101231370333945,0.10101231370333945,0.10101231370333945,0.10101231370333945,0.10101231370333945
CricketZ,0.17017754718808548,0.15974998574085603,0.16368271286252842,0.16326343135468452,0.15573415012448494,0.154343949105524,0.12737403132740724,0.09715435427550781,0.09715435427550781,0.09715435427550781,0.09715435427550781,0.09715435427550781,0.09715435427550781
DistalPhalanxTW,0.34476641562864463,0.32970013324358494,0.3535473398813972,0.35778055645476414,0.34053815835991014,0.3805487101984685,0.4075846004347626,0.4075846004347626,0.4075846004347626,0.4075846004347626,0.4075846004347626,0.4075846004347626,0.4075846004347626
ECG200,0.09140675401602018,0.09136571679430774,0.09099527195555909,0.08210776028647485,0.11023853125867633,0.12755625098620654,0.10109452703824713,0.13154358586365983,0.14786829566352447,0.14786829566352447,0.14786829566352447,0.14786829566352447,0.14786829566352447
ECG5000,0.49648249710216225,0.4926877812896945,0.5249998709152421,0.5066523498487847,0.5461320547866266,0.4847447649337969,0.5118573681136972,0.4864214787214694,0.4869864668459181,0.4869864668459181,0.4869864668459181,0.4869864668459181,0.4869864668459181
FiftyWords,0.4089361563000766,0.3879849982973575,0.3877919254220704,0.3958612082473194,0.3608360371854107,0.3183175412804591,0.22525589457756126,0.16148696515061367,0.16148696515061367,0.16148696515061367,0.16148696515061367,0.16148696515061367,0.16148696515061367
Fish,0.4655407487539899,0.4420190372589493,0.4845892529256184,0.4719113985148285,0.43744564552464393,0.4927593098890851,0.5003572779012899,0.3639825689687035,0.3043305196787861,0.25761908414205514,0.25761908414205514,0.25761908414205514,0.25761908414205514
FordA,0.010584495541890056,0.01058446100073674,0.010584425995919172,0.01061637838788436,0.010584001393897044,0.010616412951500388,0.010520096078460417,0.008883878783614862,0.011177720201657904,0.011177720201657904,0.011177720201657904,0.011177720201657904,0.011177720201657904
FordB,0.012412777245042698,0.012412777245042698,0.012412777245042698,0.012412777245042698,0.012412777245042698,0.012412777245042698,0.012412777245042698,0.012412777245042698,0.010657301421519539,0.009878857093635694,0.009878857093635694,0.009878857093635694,0.009878857093635694
Haptics,0.06517632205632282,0.06365990718245286,0.05897826782776261,0.06392278950494427,0.06729974490753679,0.0533383388207029,0.05804591822835732,0.06873241294897355,0.05782915909981505,0.05782915909981505,0.05782915909981505,0.05782915909981505,0.05782915909981505
Herring,-0.010761699944841163,-0.011932931704099958,-0.012213789460625974,-0.013066541383456611,-0.008148141120884977,-0.013425275069067214,-0.011385561856038609,-0.011854205823083257,-0.0012860232625435785,-0.008659768640472031,-0.008659768640472031,-0.008659768640472031,-0.008659768640472031
InsectWingbeatSound,0.21324787999803418,0.21877236795064586,0.2121555399402558,0.21338304902831945,0.2180630596305805,0.2136853607257334,0.17835745183252177,0.18998433605894463,0.18998433605894463,0.18998433605894463,0.18998433605894463,0.18998433605894463,0.18998433605894463
ItalyPowerDemand,0.003427821115687795,0.003427821115687795,0.003427821115687795,0.003376881665576678,0.003250668298026634,0.003250668298026634,0.0031784217320764774,0.004769306127483976,0.005228926254737164,0.005228926254737164,0.005228926254737164,0.005228926254737164,0.005228926254737164
LargeKitchenAppliances,0.012813196537253439,0.013512685655321446,0.013442608279366353,0.010596365610462921,0.011617051034509055,0.009865934344789872,0.011366390316153984,0.010912830692808233,0.010912830692808233,0.010912830692808233,0.010912830692808233,0.010912830692808233,0.010912830692808233
Lightning2,-0.005274170589527999,-0.007009874841681041,-0.006570475802162273,0.0008926422165862702,0.00597462157794382,0.005863844481043066,0.010237568455014404,0.0020978349934001974,0.0020978349934001974,0.0020978349934001974,0.0020978349934001974,0.0020978349934001974,0.0020978349934001974
Lightning7,0.20962870182358434,0.20464703642966536,0.20194029204296865,0.19777681673307945,0.2105180161620562,0.20334233015243938,0.19326688880057544,0.22510000001595176,0.22510000001595176,0.22510000001595176,0.22510000001595176,0.22510000001595176,0.22510000001595176
Meat,0.5698511143712451,0.5698511143712451,0.5708161458336916,0.5868861661782845,0.5612674445377248,0.5401319941698499,0.5967065086491468,0.5137180480595829,0.5137180480595829,0.5137180480595829,0.5137180480595829,0.5137180480595829,0.5137180480595829
MedicalImages,0.07913143109118173,0.07394693154543272,0.07557989727100475,0.08208602026714423,0.0711285730350428,0.07508345071816956,0.09432554827491582,0.06016793643444106,0.06016793643444106,0.06016793643444106,0.06016793643444106,0.06016793643444106,0.06016793643444106
MiddlePhalanxOutlineAgeGroup,0.04904231551116035,0.045644370443697124,0.045644370443697124,0.045644370443697124,0.045644370443697124,0.045644370443697124,0.0474481602760638,0.05102256968643774,0.05102256968643774,0.05102256968643774,0.05102256968643774,0.05102256968643774,0.05102256968643774
OSULeaf,0.3062517423352472,0.2873452274143863,0.28076810606782093,0.2743983939636542,0.2801578955648737,0.2731934832511343,0.28812694592635724,0.2280070049635703,0.26110198048645533,0.26110198048645533,0.26110198048645533,0.26110198048645533,0.26110198048645533
OliveOil,0.5576203471036077,0.5103082931230526,0.5256410768431842,0.4419091633833485,0.5175412175385561,0.49294151504896827,0.6250697543864374,0.7022928279032042,0.6763043058891175,0.5224903576246882,0.5224903576246882,0.5224903576246882,0.5224903576246882
Phoneme,0.09325281219377941,0.08973281481703141,0.09236205492813261,0.09503851364820168,0.09150078594708405,0.08830504710475742,0.07483303285135458,0.0633528862409087,0.0633528862409087,0.0633528862409087,0.0633528862409087,0.0633528862409087,0.0633528862409087
Plane,0.9369035875243121,0.958771234714858,0.9452063684680254,0.9681187713733171,1.0,0.9558458597209409,0.9323803966352111,0.9039036729451138,0.9039036729451138,0.9039036729451138,0.9039036729451138,0.9039036729451138,0.9039036729451138
ProximalPhalanxOutlineCorrect,0.07462521593168311,0.07462521593168311,0.07462521593168311,0.07462521593168311,0.07462521593168311,0.07425889670444646,0.07425889670444646,0.07425889670444646,0.07425889670444646,0.07425889670444646,0.07425889670444646,0.07425889670444646,0.07425889670444646
ProximalPhalanxTW,0.429399390381897,0.43378406804547004,0.44229786047070324,0.45598205841884737,0.42279546401582796,0.408915953335186,0.4275369692636666,0.5159809626107514,0.5159809626107514,0.5159809626107514,0.5159809626107514,0.5159809626107514,0.5159809626107514
ScreenType,0.013519861164981736,0.013150711471768505,0.013157920597796718,0.018553951833224905,0.018793952764269012,0.028877986135047697,0.012363471194182832,0.02636481838395465,0.02636481838395465,0.02636481838395465,0.02636481838395465,0.02636481838395465,0.02636481838395465
ShapeletSim,0.7696576824809953,0.8237992677254253,0.8399880559007528,0.8334598071088098,0.7801244932956942,0.7338060502034202,0.7298019445936682,0.7285327700825832,0.5767879067561495,0.8661509765500497,0.8661509765500497,0.8661509765500497,0.8661509765500497
Strawberry,-0.035641716459073484,-0.035641716459073484,-0.035641716459073484,-0.035641716459073484,-0.035641716459073484,-0.035641716459073484,-0.037194540880273116,-0.037749970353465875,-0.037749970353465875,-0.037749970353465875,-0.037749970353465875,-0.037749970353465875,-0.037749970353465875
