,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.3766666666666667,0.3766666666666667,0.39666666666666667,0.37,0.36333333333333334,0.38,0.36,0.36,0.36,0.36,0.36,0.36,0.36
BirdChicken,0.8550000000000001,0.86,0.865,0.8799999999999999,0.8700000000000001,0.8699999999999999,0.8549999999999999,0.8200000000000001,0.8200000000000001,0.8200000000000001,0.8200000000000001,0.8200000000000001,0.8200000000000001
Car,0.5316666666666666,0.5616666666666668,0.5533333333333333,0.5733333333333335,0.5083333333333334,0.5516666666666667,0.56,0.475,0.475,0.475,0.475,0.475,0.475
CricketX,0.37256410256410255,0.3748717948717949,0.38923076923076927,0.3635897435897436,0.37538461538461537,0.37,0.31666666666666665,0.28743589743589737,0.28743589743589737,0.28743589743589737,0.28743589743589737,0.28743589743589737,0.28743589743589737
CricketY,0.34384615384615386,0.3443589743589744,0.3476923076923077,0.34794871794871796,0.34897435897435897,0.3464102564102564,0.32974358974358975,0.30897435897435893,0.2902564102564102,0.2902564102564102,0.2902564102564102,0.2902564102564102,0.2902564102564102
CricketZ,0.3456410256410256,0.3387179487179487,0.3420512820512821,0.33974358974358976,0.32282051282051283,0.3271794871794872,0.29333333333333333,0.2682051282051282,0.2682051282051282,0.2682051282051282,0.2682051282051282,0.2682051282051282,0.2682051282051282
DistalPhalanxTW,0.5187050359712231,0.5007194244604316,0.5251798561151079,0.5258992805755395,0.5208633093525179,0.5287769784172662,0.5496402877697841,0.5496402877697841,0.5496402877697841,0.5496402877697841,0.5496402877697841,0.5496402877697841,0.5496402877697841
ECG200,0.651,0.651,0.6499999999999999,0.6439999999999999,0.6639999999999999,0.683,0.664,0.684,0.693,0.693,0.693,0.693,0.693
ECG5000,0.6602222222222223,0.6562888888888889,0.683,0.6581333333333333,0.7134,0.6414,0.674711111111111,0.6482888888888889,0.6739555555555555,0.6739555555555555,0.6739555555555555,0.6739555555555555,0.6739555555555555
FiftyWords,0.4975824175824176,0.48351648351648346,0.4824175824175825,0.49736263736263736,0.46461538461538465,0.4367032967032968,0.3525274725274725,0.309010989010989,0.309010989010989,0.309010989010989,0.309010989010989,0.309010989010989,0.309010989010989
Fish,0.6405714285714286,0.6268571428571428,0.6577142857142856,0.6439999999999999,0.604,0.6617142857142857,0.6634285714285715,0.5771428571428572,0.5251428571428571,0.4754285714285714,0.4754285714285714,0.4754285714285714,0.4754285714285714
FordA,0.5532575757575757,0.5532575757575757,0.5532575757575757,0.5533333333333333,0.5532575757575757,0.5533333333333333,0.5531060606060605,0.5490909090909092,0.5546212121212121,0.5546212121212121,0.5546212121212121,0.5546212121212121,0.5546212121212121
