,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.31397435708741916,0.31745094919984884,0.3228101529363811,0.3156790517536131,0.3203521469113886,0.29785796984450363,0.28887403360528185,0.28887403360528185,0.28887403360528185,0.28887403360528185,0.28887403360528185,0.28887403360528185,0.28887403360528185
BirdChicken,0.6507398780100618,0.6743603283402151,0.6793691604450396,0.6571432343441309,0.6651301226901208,0.6329817427116453,0.5949050233340759,0.5079536928597472,0.5079536928597472,0.5079536928597472,0.5079536928597472,0.5079536928597472,0.5079536928597472
Car,0.3233507049686249,0.3494197413367913,0.34785471231341936,0.37458342140007844,0.31152826859894117,0.35869440900549404,0.35317039061946637,0.27964310208916976,0.27964310208916976,0.27964310208916976,0.27964310208916976,0.27964310208916976,0.27964310208916976
CricketX,0.3957085443514422,0.4039669155263286,0.4072286510879044,0.3932059118266655,0.40864819664574537,0.4041399425488018,0.3618382115752518,0.32986928787608066,0.32986928787608066,0.32986928787608066,0.32986928787608066,0.32986928787608066,0.32986928787608066
CricketY,0.36391291355456296,0.3670520585642262,0.3575326903928166,0.37152537372078276,0.36401584631053796,0.3566220146320163,0.34425797233974087,0.3140707730799807,0.28947255319208987,0.28947255319208987,0.28947255319208987,0.28947255319208987,0.28947255319208987
CricketZ,0.3833411972954803,0.3739789771398053,0.3751446887142217,0.3751916781465138,0.3741294360502673,0.36437467421282294,0.32887789409320145,0.2995149189502221,0.2995149189502221,0.2995149189502221,0.2995149189502221,0.2995149189502221,0.2995149189502221
DistalPhalanxTW,0.486881172579462,0.490839161117737,0.4892923453441343,0.48464633504299853,0.4827236578256476,0.4980555582833624,0.4835784789606909,0.4835784789606909,0.4835784789606909,0.4835784789606909,0.4835784789606909,0.4835784789606909,0.4835784789606909
ECG200,0.08451957292331477,0.08529405209407438,0.08587125305139777,0.08272227481023148,0.09111060023894742,0.09920184257039016,0.09372272796415804,0.10745413141827997,0.11258747308098463,0.11258747308098463,0.11258747308098463,0.11258747308098463,0.11258747308098463
ECG5000,0.43038700270928676,0.4312949638596667,0.44154704290838787,0.41869638788041524,0.4372997874302886,0.4180490683042234,0.42356965642720096,0.425610076579379,0.39503635783381474,0.39503635783381474,0.39503635783381474,0.39503635783381474,0.39503635783381474
FiftyWords,0.7102148964481105,0.7100259640058681,0.7050001867977775,0.7153349097550014,0.691722550526905,0.6610313087386783,0.6005702890981649,0.5589516954288642,0.5589516954288642,0.5589516954288642,0.5589516954288642,0.5589516954288642,0.5589516954288642
