,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.24115102851136191,0.24537610561868908,0.2459485366517607,0.24815408921473497,0.2479725805049427,0.24391729640596335,0.2300661052253324,0.2300661052253324,0.2300661052253324,0.2300661052253324,0.2300661052253324,0.2300661052253324,0.2300661052253324
BirdChicken,0.817476314078274,0.8279721856204816,0.8282593595102036,0.8245850685510039,0.83259305666007,0.8065533768380645,0.786850221120817,0.7306346887799119,0.7306346887799119,0.7306346887799119,0.7306346887799119,0.7306346887799119,0.7306346887799119
Car,0.4023991383625978,0.42050802134231213,0.41850907120209924,0.43445526962756753,0.38699469431800254,0.4200611115252732,0.4179220457373569,0.35544060633096225,0.35544060633096225,0.35544060633096225,0.35544060633096225,0.35544060633096225,0.35544060633096225
CricketX,0.2689932221662333,0.2721088801630569,0.2739532396725807,0.25878871837308715,0.2702877318272462,0.26949648508005003,0.23045214069371528,0.19735628584384396,0.19735628584384396,0.19735628584384396,0.19735628584384396,0.19735628584384396,0.19735628584384396
CricketY,0.23194368973578214,0.23121966972067715,0.2297523981764777,0.2359877482856801,0.23263852551971387,0.22977478457585718,0.2224536005443792,0.20022144126566407,0.18117857624302522,0.18117857624302522,0.18117857624302522,0.18117857624302522,0.18117857624302522
CricketZ,0.24822497784700442,0.23921792717224818,0.24423998243475462,0.2422537997936501,0.23630532679591357,0.23418177267108717,0.20831658769592304,0.18073516173456364,0.18073516173456364,0.18073516173456364,0.18073516173456364,0.18073516173456364,0.18073516173456364
DistalPhalanxTW,0.47962255740154947,0.4671485277452331,0.4867361256727481,0.48999451804132477,0.47542323736632436,0.5070674958656227,0.5296995417892245,0.5296995417892245,0.5296995417892245,0.5296995417892245,0.5296995417892245,0.5296995417892245,0.5296995417892245
ECG200,0.5668636945025577,0.5669967101682177,0.5656770191161103,0.5601869984494354,0.5793503605472727,0.5868976276060489,0.5685054463685033,0.5862328255395328,0.5942622856219625,0.5942622856219625,0.5942622856219625,0.5942622856219625,0.5942622856219625
ECG5000,0.6966701277160137,0.693840696251832,0.7161241570228467,0.7024638106720056,0.7302461224410927,0.6872048993003727,0.7070128976915869,0.6899495429447595,0.6896992823794682,0.6896992823794682,0.6896992823794682,0.6896992823794682,0.6896992823794682
FiftyWords,0.44109402563732214,0.4206187409459183,0.4210673591942153,0.429933427917106,0.396958080125298,0.3543757426000969,0.2615362705826831,0.19720015234911084,0.19720015234911084,0.19720015234911084,0.19720015234911084,0.19720015234911084,0.19720015234911084
Fish,0.5494356066780824,0.5288060211446631,0.5629902418136219,0.5545531527126066,0.5324281200195639,0.5701664101482434,0.5767458224439262,0.46059117539084593,0.41824388657583567,0.3750051510834165,0.3750051510834165,0.3750051510834165,0.3750051510834165
FordA,0.5177865135944337,0.5178195597284191,0.5178530279463327,0.5178516186595763,0.517819441201497,0.5178185520690126,0.517822743172484,0.5154553592418157,0.517614898793279,0.517614898793279,0.517614898793279,0.517614898793279,0.517614898793279
FordB,0.6470189077185652,0.6470189077185652,0.6470189077185652,0.6470189077185652,0.6470189077185652,0.6470189077185652,0.6470189077185652,0.6470189077185652,0.6423445223243712,0.6404383275316426,0.6404383275316426,0.6404383275316426,0.6404383275316426
Haptics,0.29816163967241166,0.29362509184864793,0.29641793228484553,0.29011819460630334,0.2968562881539282,0.29284162310249673,0.29422054202254677,0.2962737105598249,0.2936387275102493,0.2936387275102493,0.2936387275102493,0.2936387275102493,0.2936387275102493
Herring,0.510136397954009,0.5141578766317296,0.5184686703737954,0.5151624225419011,0.5147261811386341,0.5098591472717301,0.5101552504326532,0.5120513330898928,0.5092531405998871,0.5084730826895886,0.5084730826895886,0.5084730826895886,0.5084730826895886
InsectWingbeatSound,0.2922600977740392,0.29715301899181823,0.2902840976334831,0.29189293392596977,0.29551800808662365,0.2922937631070216,0.2597247250900643,0.2719196628615832,0.2719196628615832,0.2719196628615832,0.2719196628615832,0.2719196628615832,0.2719196628615832
ItalyPowerDemand,0.5340260388681406,0.5340260388681406,0.5340260388681406,0.5339350829534264,0.5337084385134927,0.5337084385134927,0.5335747368857285,0.5363155248785556,0.5370481530726339,0.5370481530726339,0.5370481530726339,0.5370481530726339,0.5370481530726339
LargeKitchenAppliances,0.37324003395941274,0.37712614793666954,0.3771982296169818,0.3755669736828894,0.3713027217485876,0.3705737090619854,0.3412151703976307,0.3426617512402503,0.3426617512402503,0.3426617512402503,0.3426617512402503,0.3426617512402503,0.3426617512402503
Lightning2,0.5294877203074697,0.5289436620552135,0.5292204175333932,0.5337583018042623,0.537672501521975,0.5348872111347259,0.5373195435121864,0.5561819022046169,0.5561819022046169,0.5561819022046169,0.5561819022046169,0.5561819022046169,0.5561819022046169
Lightning7,0.3489499079242923,0.34838973703034715,0.34044534817964733,0.3354600420163709,0.35525854762793674,0.34570021361654873,0.33264033275870714,0.3545164349729998,0.3545164349729998,0.3545164349729998,0.3545164349729998,0.3545164349729998,0.3545164349729998
Meat,0.7481442445707802,0.7481442445707802,0.7497679675758345,0.7540957915045804,0.7429941833286798,0.7178653850721981,0.7545326109353173,0.7215034616401091,0.7215034616401091,0.7215034616401091,0.7215034616401091,0.7215034616401091,0.7215034616401091
MedicalImages,0.26072879553905326,0.2596421444351268,0.25651008672690184,0.26202915635179325,0.25710130636677475,0.25384674268534135,0.2728219566100649,0.24265582476785505,0.24265582476785505,0.24265582476785505,0.24265582476785505,0.24265582476785505,0.24265582476785505
MiddlePhalanxOutlineAgeGroup,0.4902590667861279,0.47222435697040244,0.47222435697040244,0.47222435697040244,0.47222435697040244,0.47222435697040244,0.4719353900312665,0.4727110466607858,0.4727110466607858,0.4727110466607858,0.4727110466607858,0.4727110466607858,0.4727110466607858
OSULeaf,0.43486227931459276,0.4207154798222966,0.42032782117288986,0.41629483316658594,0.4176870232807836,0.41547403982237946,0.4233640813131432,0.37140286797912236,0.3949257867027301,0.3949257867027301,0.3949257867027301,0.3949257867027301,0.3949257867027301
OliveOil,0.6998345218831407,0.6729619482517128,0.6805927012233108,0.6443087212409816,0.6789510111056349,0.6627665754827904,0.7402141741074914,0.7902604450807692,0.7755009950084648,0.6642094918808328,0.6642094918808328,0.6642094918808328,0.6642094918808328
