,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.2678564005347971,0.2692203463113412,0.2811003534718213,0.2563454268908985,0.2614676728582889,0.2464010260965713,0.2484701462901679,0.2484701462901679,0.2484701462901679,0.2484701462901679,0.2484701462901679,0.2484701462901679,0.2484701462901679
BirdChicken,0.6093692661341799,0.6335416004148631,0.6402673946707605,0.6266585720379223,0.6298967851269002,0.5994164284706069,0.5570296460598225,0.4605730472706043,0.4605730472706043,0.4605730472706043,0.4605730472706043,0.4605730472706043,0.4605730472706043
Car,0.3184318318737356,0.3437538518575081,0.3409689440385345,0.3701313796618688,0.3053292096989414,0.3504912685629078,0.34273800061195087,0.2756568948655414,0.2756568948655414,0.2756568948655414,0.2756568948655414,0.2756568948655414,0.2756568948655414
CricketX,0.38404617197508406,0.39117710650203563,0.39494698689302316,0.3794264707659788,0.38901532731954297,0.39158900178539663,0.34883519279975483,0.3158840316652901,0.3158840316652901,0.3158840316652901,0.3158840316652901,0.3158840316652901,0.3158840316652901
CricketY,0.345093202097642,0.3537700590410076,0.343249709285756,0.35108157823236896,0.34609764475735577,0.3415014968500608,0.32989079111809455,0.29964854112104794,0.27828466824869613,0.27828466824869613,0.27828466824869613,0.27828466824869613,0.27828466824869613
CricketZ,0.3629014691417297,0.3526951811253967,0.3512015435380158,0.35405966067738837,0.3519012129154823,0.3434482230494782,0.31339051852124733,0.28536240741872837,0.28536240741872837,0.28536240741872837,0.28536240741872837,0.28536240741872837,0.28536240741872837
DistalPhalanxTW,0.49917655900576124,0.5045529479430136,0.49954042909616125,0.49416705074266815,0.49668346959396575,0.5110419960719341,0.49006941188255293,0.49006941188255293,0.49006941188255293,0.49006941188255293,0.49006941188255293,0.49006941188255293,0.49006941188255293
ECG200,0.0878581989398393,0.08863364046750957,0.08959187648034515,0.08677751379426255,0.09346591224478881,0.10120761390521768,0.09750975966014812,0.11025358442379758,0.11509356500013576,0.11509356500013576,0.11509356500013576,0.11509356500013576,0.11509356500013576
ECG5000,0.6207332682247453,0.6164543349883306,0.6166611715917569,0.6241110276223263,0.6265818528903113,0.6264629402969273,0.6222001829006658,0.6133866441716173,0.5842761530737779,0.5842761530737779,0.5842761530737779,0.5842761530737779,0.5842761530737779
FiftyWords,0.7454116800126198,0.7462691386276988,0.743181716632212,0.7560765778909857,0.7386272858115657,0.7048087140453204,0.6435983434846496,0.6006080283625408,0.6006080283625408,0.6006080283625408,0.6006080283625408,0.6006080283625408,0.6006080283625408
