,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.4310982461088361,0.4332934321521106,0.45241356607617583,0.41257204871731606,0.42081598557404687,0.3965671530624861,0.3998972735474435,0.3998972735474435,0.3998972735474435,0.3998972735474435,0.3998972735474435,0.3998972735474435,0.3998972735474435
BirdChicken,0.42238258874078943,0.43913757409499754,0.4437995394204991,0.43436662238180707,0.43661118065448423,0.4154838073757131,0.38610352865467007,0.31924490915752163,0.31924490915752163,0.31924490915752163,0.31924490915752163,0.31924490915752163,0.31924490915752163
Car,0.43772906040853465,0.4725377161573041,0.468709471111102,0.5087973149347313,0.4197176748642185,0.481799237113553,0.4711412866338608,0.3789289308000868,0.3789289308000868,0.3789289308000868,0.3789289308000868,0.3789289308000868,0.3789289308000868
CricketX,0.9511934814664553,0.9688551558529414,0.9781922770521296,0.9397515507896699,0.9635009291562351,0.9698753251377046,0.8639840355412993,0.7823716358741908,0.7823716358741908,0.7823716358741908,0.7823716358741908,0.7823716358741908,0.7823716358741908
CricketY,0.856722113167191,0.878263120555874,0.8521454914087577,0.8715887469501761,0.8592157242634242,0.8478054109810069,0.81898088389792,0.7439020235584184,0.6908644609481362,0.6908644609481362,0.6908644609481362,0.6908644609481362,0.6908644609481362
CricketZ,0.8985657691276726,0.8732943888187847,0.8695960527093247,0.8766729218982843,0.871328475986048,0.8503983668896643,0.7759736905401896,0.7065744090503845,0.7065744090503845,0.7065744090503845,0.7065744090503845,0.7065744090503845,0.7065744090503845
DistalPhalanxTW,0.8190802933904701,0.8279022105030789,0.819677354320163,0.8108603771627353,0.8149894754824152,0.8385498487973274,0.8041367136028192,0.8041367136028192,0.8041367136028192,0.8041367136028192,0.8041367136028192,0.8041367136028192,0.8041367136028192
ECG200,0.057408145749095786,0.05791483335227417,0.05854096219796752,0.056702006412132654,0.06107232765373653,0.06613089637732536,0.06371465113190178,0.07204169810373288,0.07520422947476037,0.07520422947476037,0.07520422947476037,0.07520422947476037,0.07520422947476037
ECG5000,0.5646911680739654,0.5607985527896389,0.5609867154178855,0.5677639708337526,0.5700117208386388,0.5699035441149249,0.5660256442559483,0.5580078244699955,0.5315255364040467,0.5315255364040467,0.5315255364040467,0.5315255364040467,0.5315255364040467
FiftyWords,2.576822509309652,2.5797866682024932,2.5691137223565503,2.613690121730209,2.553369456241031,2.4364616329580775,2.224862774376668,2.076249042315091,2.076249042315091,2.076249042315091,2.076249042315091,2.076249042315091,2.076249042315091
Fish,1.0972069478928868,1.0602665289994915,1.1277288626334936,1.1051923859009753,1.0715472810800584,1.1554554264112367,1.1737418771822503,0.9531444922669154,0.9103769276706108,0.8143637054378672,0.8143637054378672,0.8143637054378672,0.8143637054378672
FordA,0.0068553568367498595,0.006857563204500284,0.006859790989220027,0.0068767277961054975,0.00685732113224381,0.0068746077222920365,0.006823208663552832,0.005799237923385459,0.007160253917121146,0.007160253917121146,0.007160253917121146,0.007160253917121146,0.007160253917121146
FordB,0.01678892693871334,0.01678892693871334,0.01678892693871334,0.01678892693871334,0.01678892693871334,0.01678892693871334,0.01678892693871334,0.01678892693871334,0.013430167324967487,0.01211759416293942,0.01211759416293942,0.01211759416293942,0.01211759416293942
Haptics,0.1532926136774977,0.1485417839377296,0.139383077696611,0.1556717542862056,0.1637830647562602,0.13196894722303515,0.14083783759838564,0.1580789695907245,0.14317917709825304,0.14317917709825304,0.14317917709825304,0.14317917709825304,0.14317917709825304
Herring,0.004918224209805211,0.004445989945546525,0.004590567708835838,0.0038127644540635443,0.0046932299588743846,0.0032339331300206,0.004718165652880618,0.0038925353671509623,0.010242140305125625,0.005921730689155189,0.005921730689155189,0.005921730689155189,0.005921730689155189
InsectWingbeatSound,0.8793168443242854,0.9014821335288771,0.8744275117359642,0.8823247522335164,0.9001866061574357,0.8890456512930479,0.7980539145691843,0.842303924673993,0.842303924673993,0.842303924673993,0.842303924673993,0.842303924673993,0.842303924673993
ItalyPowerDemand,0.002554465235123765,0.002554465235123765,0.002554465235123765,0.0025236777760825556,0.0024474518409789646,0.0024474518409789646,0.002403996031712202,0.003370835851822701,0.0036539878745933453,0.0036539878745933453,0.0036539878745933453,0.0036539878745933453,0.0036539878745933453
LargeKitchenAppliances,0.019946819899081068,0.021006387876475924,0.02093040821206527,0.01860501744634084,0.020294953817550056,0.019595852453792008,0.018294395461302747,0.01826106868370189,0.01826106868370189,0.01826106868370189,0.01826106868370189,0.01826106868370189,0.01826106868370189
Lightning2,0.005486855765311394,0.004563835077112976,0.00473719181473779,0.009417466444607744,0.012414583051237752,0.01285099835937389,0.015623716344179925,0.008969463246507709,0.008969463246507709,0.008969463246507709,0.008969463246507709,0.008969463246507709,0.008969463246507709
Lightning7,0.7373709330963192,0.7057966217565309,0.7170524608273763,0.7257554380546816,0.7194875938251154,0.7168943710438002,0.6984956755659166,0.7745324500655524,0.7745324500655524,0.7745324500655524,0.7745324500655524,0.7745324500655524,0.7745324500655524
Meat,0.6402898094433184,0.6402898094433184,0.6378362070273544,0.6630603845350256,0.6497237775269195,0.622176770700406,0.6896896963166137,0.6061387456574456,0.6061387456574456,0.6061387456574456,0.6061387456574456,0.6061387456574456,0.6061387456574456
