,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.288744552782086,0.29092299939440236,0.30010242538275533,0.28254990805569763,0.28742877485232615,0.26919277556667065,0.2668864447484163,0.2668864447484163,0.2668864447484163,0.2668864447484163,0.2668864447484163,0.2668864447484163,0.2668864447484163
BirdChicken,0.6257391615294206,0.6496365543652475,0.65608019989029,0.6394705491508632,0.6435732740092214,0.6139285377158311,0.5733779195970667,0.48124110209511867,0.48124110209511867,0.48124110209511867,0.48124110209511867,0.48124110209511867,0.48124110209511867
Car,0.3208369449930852,0.3465310767281421,0.3443175195050459,0.3722894558213914,0.3083791233974097,0.3544861888587892,0.34776967621184385,0.2776182057209052,0.2776182057209052,0.2776182057209052,0.2776182057209052,0.2776182057209052,0.2776182057209052
CricketX,0.389784413301893,0.39745890882446366,0.40098825179031483,0.38617938899047793,0.3985764030588218,0.3977505367257076,0.35520129713761184,0.32272029283986103,0.32272029283986103,0.32272029283986103,0.32272029283986103,0.32272029283986103,0.32272029283986103
CricketY,0.35422667780908074,0.3602660036158293,0.35021720496783404,0.3609798060441695,0.3548027792333186,0.3488859717564993,0.33690638068787004,0.30668215699091217,0.2837607104302371,0.2837607104302371,0.2837607104302371,0.2837607104302371,0.2837607104302371
CricketZ,0.37278278069738324,0.36301356773370697,0.36272056077035936,0.3642915127968535,0.36264658827378227,0.3535695234481885,0.3209401018780479,0.2922647000938029,0.2922647000938029,0.2922647000938029,0.2922647000938029,0.2922647000938029,0.2922647000938029
DistalPhalanxTW,0.4927670180934983,0.4975202794764629,0.4941044029878401,0.4891909972672515,0.48942965415378586,0.5044131796634528,0.4866953597416871,0.4866953597416871,0.4866953597416871,0.4866953597416871,0.4866953597416871,0.4866953597416871,0.4866953597416871
ECG200,0.0861399262820141,0.08691542628626629,0.08768655036735311,0.08469799133376514,0.09224961342955247,0.1001635658729169,0.0955640524094676,0.10881356754761948,0.11380806070847535,0.11380806070847535,0.11380806070847535,0.11380806070847535,0.11380806070847535
ECG5000,0.5081027690859758,0.506874429641115,0.5137498041780397,0.5007641222539017,0.5146926473184581,0.5013675538298749,0.5037615419231213,0.502258194010979,0.4709355906246694,0.4709355906246694,0.4709355906246694,0.4709355906246694,0.4709355906246694
FiftyWords,0.7273423596730759,0.7276748993439297,0.7235701987463266,0.7351351505222724,0.7143990066301189,0.6822139990101264,0.6213337999764674,0.5790250490398136,0.5790250490398136,0.5790250490398136,0.5790250490398136,0.5790250490398136,0.5790250490398136
Fish,0.5816843976751375,0.5616360022679543,0.595008492435294,0.5862985893467535,0.5775945517577894,0.6067962636545488,0.6167678461771751,0.5014223556191058,0.48594708769800554,0.43271794718180007,0.43271794718180007,0.43271794718180007,0.43271794718180007
FordA,0.010083151636320769,0.010086920933458018,0.01009073295644321,0.01011534979099685,0.01008656761310359,0.010111734830518044,0.010036910877218,0.008510218792641553,0.010524241791513641,0.010524241791513641,0.010524241791513641,0.010524241791513641,0.010524241791513641
FordB,0.03324650422067969,0.03324650422067969,0.03324650422067969,0.03324650422067969,0.03324650422067969,0.03324650422067969,0.03324650422067969,0.03324650422067969,0.026228762359489476,0.023535877573134113,0.023535877573134113,0.023535877573134113,0.023535877573134113
Haptics,0.1066120391801068,0.10263627365485897,0.09760662626287336,0.10614927780372144,0.1128197710435127,0.0928217683204005,0.0985419542161386,0.10947621060134094,0.10010952951351729,0.10010952951351729,0.10010952951351729,0.10010952951351729,0.10010952951351729
Herring,0.0072545111338139165,0.006598775942787058,0.006860206253772856,0.0056903114295195605,0.007046641555807674,0.004790059845154267,0.006972000022570889,0.005743694694361608,0.015036874054111544,0.008710308022112995,0.008710308022112995,0.008710308022112995,0.008710308022112995
InsectWingbeatSound,0.37558897091936927,0.3847183809202353,0.3727595893062363,0.37632123676720114,0.3832677899651974,0.37893037388379786,0.33950793832748705,0.3596697931868147,0.3596697931868147,0.3596697931868147,0.3596697931868147,0.3596697931868147,0.3596697931868147
ItalyPowerDemand,0.0038799881504224835,0.0038799881504224835,0.0038799881504224835,0.003832788184688333,0.0037159570402180626,0.0037159570402180626,0.0036494468124502522,0.005134485609631821,0.005571361862289895,0.005571361862289895,0.005571361862289895,0.005571361862289895,0.005571361862289895
LargeKitchenAppliances,0.01917220076500908,0.02024779157303711,0.020178884453634204,0.018035106052739253,0.019314261496578892,0.01868700620385884,0.01669656743942865,0.016705200378354275,0.016705200378354275,0.016705200378354275,0.016705200378354275,0.016705200378354275,0.016705200378354275
Lightning2,0.009599393412735613,0.00826165431379263,0.008512591453562635,0.015441169022292417,0.01988106153908714,0.02051274600673126,0.024210660080731198,0.016258688824291573,0.016258688824291573,0.016258688824291573,0.016258688824291573,0.016258688824291573,0.016258688824291573
Lightning7,0.4134620456484976,0.4017413301577008,0.40006981515833084,0.40419733846462425,0.4088783831984692,0.4053039972253913,0.39105103901821114,0.42783867644255996,0.42783867644255996,0.42783867644255996,0.42783867644255996,0.42783867644255996,0.42783867644255996
Meat,0.6638188704930417,0.6638188704930417,0.6629624976284513,0.6727465361999159,0.6739182186437324,0.6200592986027075,0.6853919834773523,0.6563823013342382,0.6563823013342382,0.6563823013342382,0.6563823013342382,0.6563823013342382,0.6563823013342382
MedicalImages,0.30654576025825464,0.30157950752493495,0.3060423611301356,0.3053873434914859,0.29900553763350696,0.294205772570064,0.2956012875786679,0.2532735428924596,0.2532735428924596,0.2532735428924596,0.2532735428924596,0.2532735428924596,0.2532735428924596
MiddlePhalanxOutlineAgeGroup,0.11446531738456014,0.1121235755774864,0.1121235755774864,0.1121235755774864,0.1121235755774864,0.1121235755774864,0.11385194929588109,0.11487997893645847,0.11487997893645847,0.11487997893645847,0.11487997893645847,0.11487997893645847,0.11487997893645847
OSULeaf,0.42101480601852703,0.41521624683818015,0.4039941547305362,0.39431620566587416,0.40249274281338476,0.4041395974940092,0.4117684236899787,0.37225352467401435,0.3903644620635331,0.3903644620635331,0.3903644620635331,0.3903644620635331,0.3903644620635331
OliveOil,0.612035477344367,0.5580003456178998,0.5848403841166905,0.509396874820138,0.5923639133903653,0.5495756191027391,0.671443972562462,0.7258626069446061,0.7146282368438286,0.5738173735186101,0.5738173735186101,0.5738173735186101,0.5738173735186101
Phoneme,0.3346788536941337,0.33243155253806844,0.3367241842310011,0.338171028191087,0.33994025280860946,0.3347345482593561,0.3128984610591483,0.288696491182303,0.288696491182303,0.288696491182303,0.288696491182303,0.288696491182303,0.288696491182303
