,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.6616091954022988,0.6602298850574713,0.6749425287356321,0.6512643678160919,0.649655172413793,0.6593103448275863,0.6611494252873562,0.6611494252873562,0.6611494252873562,0.6611494252873562,0.6611494252873562,0.6611494252873562,0.6611494252873562
BirdChicken,0.7868421052631579,0.7968421052631578,0.8005263157894736,0.8084210526315788,0.8063157894736841,0.7905263157894735,0.7678947368421053,0.7094736842105261,0.7094736842105261,0.7094736842105261,0.7094736842105261,0.7094736842105261,0.7094736842105261
Car,0.7030508474576271,0.7119209039548022,0.7080225988700565,0.7195480225988701,0.6933898305084746,0.7093785310734464,0.7051412429378531,0.6796610169491525,0.6796610169491525,0.6796610169491525,0.6796610169491525,0.6796610169491525,0.6796610169491525
CricketX,0.8708865598839892,0.8706281721705885,0.8715153912069079,0.8671056621185155,0.8654432799419947,0.8702313624678663,0.86210137762837,0.8536365434051809,0.8536365434051809,0.8536365434051809,0.8536365434051809,0.8536365434051809,0.8536365434051809
CricketY,0.8575519082459955,0.8628027157075999,0.8605431415200051,0.8569151670951157,0.8578445718805616,0.8607356140003954,0.8598694878386395,0.8546476830795596,0.8539911673587767,0.8539911673587767,0.8539911673587767,0.8539911673587767,0.8539911673587767
CricketZ,0.8593685320677608,0.8568255223782216,0.8553477028541296,0.8577562454683276,0.8549403467141257,0.8561175927756904,0.8534282512688682,0.8482644519148375,0.8482644519148375,0.8482644519148375,0.8482644519148375,0.8482644519148375,0.8482644519148375
DistalPhalanxTW,0.7864039203419873,0.7818162861015535,0.7890001042644146,0.7903555416536336,0.7859660098008551,0.798863517881347,0.8062975706391408,0.8062975706391408,0.8062975706391408,0.8062975706391408,0.8062975706391408,0.8062975706391408,0.8062975706391408
ECG200,0.5464848484848485,0.5464848484848485,0.5461414141414143,0.5415353535353535,0.5563636363636364,0.5649090909090909,0.550909090909091,0.5665454545454546,0.5747272727272728,0.5747272727272728,0.5747272727272728,0.5747272727272728,0.5747272727272728
ECG5000,0.75486997110469,0.7530766639500135,0.7683902595638538,0.7599962164431602,0.7786354992467462,0.7496131189647082,0.7623407176903509,0.7500721543058951,0.7505197303104394,0.7505197303104394,0.7505197303104394,0.7505197303104394,0.7505197303104394
FiftyWords,0.9574943118555452,0.9561117296800117,0.956467057171903,0.9573732875054463,0.9556779784092558,0.9528382630585274,0.947009730357748,0.9428503654935373,0.9428503654935373,0.9428503654935373,0.9428503654935373,0.9428503654935373,0.9428503654935373
Fish,0.8605123152709361,0.8550870279146142,0.8684334975369458,0.8622660098522168,0.8461740558292282,0.8701215106732348,0.871927750410509,0.8371100164203613,0.811264367816092,0.8031461412151067,0.8031461412151067,0.8031461412151067,0.8031461412151067
FordA,0.5052986651963149,0.5052986651963149,0.5052986651963149,0.5053146322971948,0.5052984354538562,0.5053146322971948,0.5052665012520964,0.5044475842580468,0.5055950329680428,0.5055950329680428,0.5055950329680428,0.5055950329680428,0.5055950329680428
FordB,0.5058401623708588,0.5058401623708588,0.5058401623708588,0.5058401623708588,0.5058401623708588,0.5058401623708588,0.5058401623708588,0.5058401623708588,0.5049733705687558,0.5045885028002869,0.5045885028002869,0.5045885028002869,0.5045885028002869
