,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.16110342669855737,0.15058071461366235,0.1456011832442169,0.14554465806427397,0.19257116148048423,0.1481942603215879,0.09537767861314345,0.09537767861314345,0.09537767861314345,0.09537767861314345,0.09537767861314345,0.09537767861314345,0.09537767861314345
BirdChicken,0.21492013726106132,0.21492013726106132,0.14792259855412385,0.13185671398570234,0.26688376996250696,0.22745918555646014,0.3384177608996578,0.34734433407508475,0.34734433407508475,0.34734433407508475,0.34734433407508475,0.34734433407508475,0.34734433407508475
Car,0.3149380836453609,0.32551649415945016,0.2858528844990825,0.3254136894349244,0.31212850299574096,0.30410434356247307,0.2962880304456187,0.3228457415332718,0.22424192236827004,0.22424192236827004,0.22424192236827004,0.22424192236827004,0.22424192236827004
CricketX,0.3214295748444388,0.3250100929652707,0.32510990673549695,0.33799173573845365,0.32162938287588644,0.3282643898966069,0.3217316653287462,0.3103191765740505,0.2896408573929716,0.2525954407965217,0.2525954407965217,0.2525954407965217,0.2525954407965217
CricketY,0.300524147818032,0.29180350877253747,0.2968353175481476,0.2976608489986874,0.31324307569936805,0.30803606901212266,0.29094466379680106,0.2876521092006009,0.2629715501496823,0.26422668745545164,0.26422668745545164,0.26422668745545164,0.26422668745545164
CricketZ,0.30934647918562536,0.31110776133679063,0.30785216106259555,0.2960368182358358,0.2959085017076204,0.29843317200132813,0.29253990464134966,0.28586091602321445,0.2641362395992421,0.2397716962193138,0.2397716962193138,0.2397716962193138,0.2397716962193138
DistalPhalanxTW,0.4491144939553859,0.4402595268823445,0.4447015467557608,0.4473620590766488,0.4489870800258397,0.43955171944852767,0.4383986102024184,0.40858743839881334,0.40858743839881334,0.40858743839881334,0.40858743839881334,0.40858743839881334,0.40858743839881334
ECG200,0.14762210615038268,0.1300428884817931,0.11682384323523558,0.1300428884817931,0.1300428884817931,0.1449101330181565,0.15014379173664844,0.14849850603136666,0.18524005210951838,0.18524005210951838,0.18524005210951838,0.18524005210951838,0.18524005210951838
ECG5000,0.4975680726141546,0.5313208613277608,0.5064818604777581,0.501010272890605,0.5300484647660502,0.5214719260601153,0.5052968145894463,0.48621587846155956,0.5106700499530785,0.5106700499530785,0.5106700499530785,0.5106700499530785,0.5106700499530785
FiftyWords,0.5097310670882453,0.5025641493129657,0.5081883844753359,0.5119619016704009,0.5413216660184793,0.5422924070637734,0.5111245035467131,0.45422049908848044,0.3747408882091703,0.3747408882091703,0.3747408882091703,0.3747408882091703,0.3747408882091703
Fish,0.5572397009126513,0.5654780502607244,0.5820283662012231,0.5759427378863066,0.5753227816232327,0.5899743203271332,0.579789188546308,0.5585826429005889,0.500725075164133,0.22395263791814504,0.22395263791814504,0.22395263791814504,0.22395263791814504
FordA,0.17856135061772815,0.17856135061772815,0.17856135061772815,0.17856135061772815,0.17856135061772815,0.17758086606987705,0.1737017915190277,0.17459828216237833,0.17275499942787156,0.17275499942787156,0.17275499942787156,0.17275499942787156,0.17275499942787156
FordB,0.057558942856758846,0.057558942856758846,0.057558942856758846,0.057558942856758846,0.057558942856758846,0.057558942856758846,0.057558942856758846,0.057558942856758846,0.057558942856758846,0.057558942856758846,0.057558942856758846,0.057558942856758846,0.057558942856758846
Haptics,0.07119210641986495,0.06109785355937257,0.06155883835698521,0.06245677742851282,0.06338520146882068,0.057577310757833663,0.06005289477315094,0.03584263654553639,0.03584263654553639,0.03584263654553639,0.03584263654553639,0.03584263654553639,0.03584263654553639
Herring,-0.009388937640091017,-0.008905622412770849,-0.006520258071753824,-0.007627286370243699,-0.00833438886621901,-0.00636581745604895,-0.005194077402817207,-0.0047745521633065354,0.0025923868974350854,-0.0015238494388089383,-0.0015238494388089383,-0.0015238494388089383,-0.0015238494388089383
InsectWingbeatSound,0.42242211587435197,0.420244631017897,0.42525190768918397,0.4122366913755486,0.4139222610335402,0.3998091144931405,0.40110845697226544,0.3934172569657822,0.3458858294391579,0.3081098448155619,0.3081098448155619,0.3081098448155619,0.3081098448155619
ItalyPowerDemand,0.0115811299289179,0.012057994914379672,0.013756324571865753,0.013723676009873342,0.012136408994008974,0.01253266366524258,0.017599116959642096,0.017599116959642096,0.017599116959642096,0.017599116959642096,0.017599116959642096,0.017599116959642096,0.017599116959642096
LargeKitchenAppliances,0.07129134125317049,0.07688013642089779,0.05824079652335466,0.06302494871256818,0.06442117892655938,0.07508272307891499,0.07280122340411313,0.07008465485465869,0.06850155865618048,0.0963186619367588,0.0963186619367588,0.0963186619367588,0.0963186619367588
Lightning2,0.0248610011882806,0.027973360505210702,0.025534210945570103,0.032579283422178126,0.03662267436443345,0.03251863570950743,0.03004487331791747,0.02965534276731982,0.015751898526223364,0.015751898526223364,0.015751898526223364,0.015751898526223364,0.015751898526223364
Lightning7,0.4128896108506338,0.40853288725917913,0.4236844611758591,0.41315275592908407,0.4351566621059644,0.4378533444655215,0.41049378250195667,0.37565338596064396,0.3384287208334822,0.3384287208334822,0.3384287208334822,0.3384287208334822,0.3384287208334822
Meat,0.5806152848359524,0.5715402232951451,0.6041605329973105,0.5897413371915249,0.5527166138402034,0.5636390180975773,0.5527912204298799,0.5319255282295947,0.5319255282295947,0.5319255282295947,0.5319255282295947,0.5319255282295947,0.5319255282295947
MedicalImages,0.22740212524867193,0.2362863490740879,0.22600098293878795,0.23663998814209708,0.2445837300698334,0.26241297412607667,0.2755269804914813,0.2625482901125693,0.2258652482443811,0.2258652482443811,0.2258652482443811,0.2258652482443811,0.2258652482443811
MiddlePhalanxOutlineAgeGroup,0.1017323552523824,0.1005852918633047,0.1005852918633047,0.1017323552523824,0.1005852918633047,0.1005852918633047,0.09619710205396215,0.09619710205396215,0.09619710205396215,0.09619710205396215,0.09619710205396215,0.09619710205396215,0.09619710205396215
OSULeaf,0.40146833976501073,0.4018369063563954,0.3926893998964704,0.38902509617847836,0.3913671878622699,0.40492089107543106,0.392531266389392,0.38549086568547464,0.4166058127811625,0.4166058127811625,0.4166058127811625,0.4166058127811625,0.4166058127811625
OliveOil,0.4961081072139373,0.5247617841667224,0.5116992715706993,0.4760032054485809,0.4319501741345843,0.5605995354436211,0.5424922339111294,0.5392905428161426,0.563504566885887,0.563504566885887,0.563504566885887,0.563504566885887,0.563504566885887
Phoneme,0.23059552732517125,0.22822803979328848,0.2341184587616604,0.22946518752576156,0.23525365344346558,0.2354569647118733,0.23470139404439552,0.19395718342994345,0.19395718342994345,0.19395718342994345,0.19395718342994345,0.19395718342994345,0.19395718342994345
Plane,0.9339905615824916,0.9229932390510702,0.9351316276566818,0.9076088054247491,0.9396996794764625,0.9306441435767979,0.9906827553835338,0.9489226054221966,0.9489226054221966,0.9489226054221966,0.9489226054221966,0.9489226054221966,0.9489226054221966
ProximalPhalanxOutlineCorrect,0.1211485796779426,0.1211485796779426,0.1211485796779426,0.1211485796779426,0.1211485796779426,0.1211485796779426,0.1211485796779426,0.1211485796779426,0.1211485796779426,0.1211485796779426,0.1211485796779426,0.1211485796779426,0.1211485796779426
ProximalPhalanxTW,0.5354932269280401,0.5374486481488991,0.541027217842406,0.5413931236810766,0.5416396225603316,0.5406545925539343,0.5629164235280509,0.5629164235280509,0.5629164235280509,0.5629164235280509,0.5629164235280509,0.5629164235280509,0.5629164235280509
ScreenType,0.01800203662332766,0.01691630451841429,0.018757817022224958,0.02643227941356856,0.026334307159918146,0.01969414435548666,0.025427768992129986,0.02843109343234812,0.031644545311764874,0.031644545311764874,0.031644545311764874,0.031644545311764874,0.031644545311764874
ShapeletSim,0.08294499672312987,0.07790021921094843,0.1080549540065332,0.1048770405626241,0.09106714020191845,0.12764972725410817,0.0803240900920681,0.1382120588310427,0.11150426329769728,0.18157281407670875,0.14549545227103572,0.14549545227103572,0.14549545227103572
Strawberry,0.08284859686815607,0.08284859686815607,0.08284859686815607,0.08284859686815607,0.08076021626612132,0.08076021626612132,0.06957758237460263,0.06017870970214532,0.06017870970214532,0.06017870970214532,0.06017870970214532,0.06017870970214532,0.06017870970214532
SwedishLeaf,0.7359537991965006,0.7393310336561917,0.7335537664343067,0.7463037430755413,0.7431927866335207,0.7519331991115045,0.7259365978985673,0.6273689809723269,0.6273689809723269,0.6273689809723269,0.6273689809723269,0.6273689809723269,0.6273689809723269
SyntheticControl,0.7707402631256562,0.7813694328489803,0.7704345085462452,0.7734561529179398,0.7654597302841154,0.7708343527863449,0.7650294210034415,0.7547306533938989,0.733912248384019,0.733912248384019,0.733912248384019,0.733912248384019,0.733912248384019
ToeSegmentation1,0.009898464137063774,0.010868787645128863,0.01277233640055063,0.012048369462161472,0.010631487763792207,0.017853924031987663,0.018408982057663923,0.01890597051196566,0.005079385026969323,0.006494505792124435,0.006494505792124435,0.006494505792124435,0.006494505792124435
