,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.07119195944818771,0.06495587593421481,0.06121925741127139,0.061466793693437015,0.09423514734270473,0.07079740762495142,0.032727808149159356,0.032727808149159356,0.032727808149159356,0.032727808149159356,0.032727808149159356,0.032727808149159356,0.032727808149159356
BirdChicken,0.16736413836313585,0.16736413836313585,0.11091331000110798,0.07504110371605942,0.19691552891951666,0.15199019217594267,0.28085340368440026,0.2971285886120893,0.2971285886120893,0.2971285886120893,0.2971285886120893,0.2971285886120893,0.2971285886120893
Car,0.24290131657565497,0.25652688163980664,0.23021992149931356,0.26307694109412816,0.25557163472881766,0.24780605553703444,0.22449249194524587,0.2781515432247999,0.1720134379692062,0.1720134379692062,0.1720134379692062,0.1720134379692062,0.1720134379692062
CricketX,0.15539492555697776,0.1617448047416237,0.15578173908772208,0.17340475884234607,0.15816713845051122,0.16540049601161932,0.1598639875820978,0.15573616631349868,0.14032364267332795,0.10977910522672665,0.10977910522672665,0.10977910522672665,0.10977910522672665
CricketY,0.14514448773548833,0.13787359892868323,0.14017882366398354,0.14346979309819438,0.15507736817722784,0.1544511035494578,0.14137263558621324,0.1392824565476682,0.13152785253918892,0.12894641900939513,0.12894641900939513,0.12894641900939513,0.12894641900939513
CricketZ,0.14466172216181755,0.13791701694592212,0.140011921369832,0.13152069087156365,0.13049969144508514,0.14130873758894158,0.13820338466414173,0.13117999858299084,0.11809232344995466,0.09151437013702128,0.09151437013702128,0.09151437013702128,0.09151437013702128
DistalPhalanxTW,0.39657022865376756,0.41913194033463014,0.42024768585986527,0.41184342855022615,0.4084637262583476,0.4060966230207598,0.39698103245948185,0.3309187971855948,0.3309187971855948,0.3309187971855948,0.3309187971855948,0.3309187971855948,0.3309187971855948
ECG200,0.23090359740185326,0.20412802907746186,0.18688761970052128,0.20412802907746186,0.20412802907746186,0.22704007704100224,0.22929947196737852,0.236799687393152,0.28042699368374396,0.28042699368374396,0.28042699368374396,0.28042699368374396,0.28042699368374396
ECG5000,0.49282809268982153,0.5627148707367304,0.5129690376607811,0.5174917876454882,0.5478686060175955,0.5624608140259216,0.5103834728990597,0.5024650507115253,0.5400157214573802,0.5400157214573802,0.5400157214573802,0.5400157214573802,0.5400157214573802
FiftyWords,0.3314275070453857,0.32088132488115007,0.3330889015651704,0.3286461617283701,0.3654606775197533,0.3619321386882854,0.32851394542246853,0.29498569400091557,0.2317832414694371,0.2317832414694371,0.2317832414694371,0.2317832414694371,0.2317832414694371
Fish,0.4348815356697392,0.45189452676669434,0.47012073502333507,0.46827599206969844,0.4654119478688911,0.49286203282081303,0.47461278915069477,0.45972081028081896,0.39136824233702355,0.1347195292211088,0.1347195292211088,0.1347195292211088,0.1347195292211088
FordA,0.1293166204196419,0.1293166204196419,0.1293166204196419,0.1293166204196419,0.1293166204196419,0.12888022016370412,0.12713921416298676,0.12822632057867703,0.1267064899217287,0.1267064899217287,0.1267064899217287,0.1267064899217287,0.1267064899217287
FordB,0.0179980425359458,0.0179980425359458,0.0179980425359458,0.0179980425359458,0.0179980425359458,0.0179980425359458,0.0179980425359458,0.0179980425359458,0.0179980425359458,0.0179980425359458,0.0179980425359458,0.0179980425359458,0.0179980425359458
Haptics,0.0543196209181623,0.039862792811202676,0.04015878459844658,0.043722810377148404,0.045743636999016235,0.037463591506698146,0.040041336856100965,0.03260985454766901,0.03260985454766901,0.03260985454766901,0.03260985454766901,0.03260985454766901,0.03260985454766901
Herring,-0.008582524125982134,-0.00909525525572193,-0.002639713891270185,-0.003851372043987066,-0.007951705750704209,-0.004332844358904682,-0.003480434315259211,-0.0015792841215250806,0.008038660585242743,0.0029302687140129817,0.0029302687140129817,0.0029302687140129817,0.0029302687140129817
