,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.38999999999999996,0.38,0.37666666666666665,0.37333333333333335,0.42000000000000004,0.4066666666666666,0.37333333333333335,0.37333333333333335,0.37333333333333335,0.37333333333333335,0.37333333333333335,0.37333333333333335,0.37333333333333335
BirdChicken,0.7050000000000001,0.7050000000000001,0.675,0.65,0.72,0.705,0.765,0.7700000000000001,0.7700000000000001,0.7700000000000001,0.7700000000000001,0.7700000000000001,0.7700000000000001
Car,0.5733333333333334,0.5850000000000001,0.5666666666666667,0.6016666666666667,0.605,0.5933333333333334,0.5683333333333332,0.63,0.5449999999999999,0.5449999999999999,0.5449999999999999,0.5449999999999999,0.5449999999999999
CricketX,0.32974358974358975,0.3384615384615385,0.33333333333333337,0.3502564102564103,0.3382051282051282,0.3471794871794872,0.34923076923076923,0.33358974358974364,0.31179487179487175,0.28871794871794865,0.28871794871794865,0.28871794871794865,0.28871794871794865
CricketY,0.32333333333333336,0.3166666666666667,0.3128205128205129,0.32051282051282054,0.33333333333333337,0.3315384615384616,0.32666666666666666,0.3276923076923077,0.3210256410256411,0.32846153846153847,0.32846153846153847,0.32846153846153847,0.32846153846153847
CricketZ,0.336923076923077,0.32333333333333336,0.3176923076923077,0.3161538461538461,0.31974358974358974,0.3302564102564102,0.32564102564102565,0.3202564102564102,0.29282051282051286,0.2605128205128205,0.2605128205128205,0.2605128205128205,0.2605128205128205
DistalPhalanxTW,0.5402877697841727,0.5294964028776977,0.5446043165467626,0.5460431654676258,0.5366906474820144,0.5302158273381294,0.5424460431654677,0.4884892086330936,0.4884892086330936,0.4884892086330936,0.4884892086330936,0.4884892086330936,0.4884892086330936
ECG200,0.746,0.732,0.723,0.732,0.732,0.744,0.743,0.75,0.7699999999999999,0.7699999999999999,0.7699999999999999,0.7699999999999999,0.7699999999999999
ECG5000,0.6663555555555556,0.7325999999999999,0.687,0.6986,0.7248666666666665,0.7297777777777776,0.6925777777777777,0.7024666666666668,0.7165111111111111,0.7165111111111111,0.7165111111111111,0.7165111111111111,0.7165111111111111
FiftyWords,0.45736263736263744,0.4437362637362637,0.45802197802197797,0.45186813186813196,0.4813186813186814,0.4885714285714286,0.458901098901099,0.4259340659340659,0.34813186813186814,0.34813186813186814,0.34813186813186814,0.34813186813186814,0.34813186813186814
Fish,0.6302857142857144,0.6474285714285715,0.6577142857142858,0.6617142857142857,0.6474285714285715,0.681142857142857,0.6662857142857143,0.6611428571428571,0.586857142857143,0.3737142857142857,0.3737142857142857,0.3737142857142857,0.3737142857142857
