,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.3694885750335045,0.3605804366588794,0.3598317295456823,0.3601717273567547,0.39561155337237824,0.3574886100716765,0.3172683942022337,0.3172683942022337,0.3172683942022337,0.3172683942022337,0.3172683942022337,0.3172683942022337,0.3172683942022337
BirdChicken,0.2889851736801138,0.2889851736801138,0.2312970954852868,0.21030547759514145,0.3432421204348953,0.316248384252967,0.4019341647435031,0.4127958644816185,0.4127958644816185,0.4127958644816185,0.4127958644816185,0.4127958644816185,0.4127958644816185
Car,0.3686195310630546,0.37954425389434954,0.3405937584923112,0.37485135930491775,0.35746823177028203,0.3548950048700519,0.3510402267823892,0.37028190170883224,0.2790959790923872,0.2790959790923872,0.2790959790923872,0.2790959790923872,0.2790959790923872
CricketX,0.38232297937029336,0.3854892694832657,0.3859480307398849,0.3983540636697162,0.38143419286253955,0.3887867623559778,0.38117637246183733,0.3681743773593148,0.34770986226323675,0.3123284166106881,0.3123284166106881,0.3123284166106881,0.3123284166106881
CricketY,0.36494046765099114,0.3591594008598423,0.3634794105695941,0.3652567602497996,0.3771072169240797,0.37268432378272365,0.3555657504886477,0.3539600093370973,0.32663213252346124,0.32746273423169003,0.32746273423169003,0.32746273423169003,0.32746273423169003
CricketZ,0.37255512459355955,0.3778069177482212,0.36921748160317713,0.3614591884453927,0.3620713970671943,0.36187520567034215,0.35550136833472296,0.3499153862024513,0.32426354030912935,0.30384436469153037,0.30384436469153037,0.30384436469153037,0.30384436469153037
DistalPhalanxTW,0.4785002089644765,0.4741876870027795,0.47968406838470506,0.47715508784484467,0.4819737796779956,0.4690399895981866,0.46390965108236015,0.43208054648881095,0.43208054648881095,0.43208054648881095,0.43208054648881095,0.43208054648881095,0.43208054648881095
ECG200,0.15756559484386365,0.14087758154475719,0.12826598673039452,0.14087758154475719,0.14087758154475719,0.15441613284506717,0.16052011352984732,0.15760102747861177,0.19250939270392742,0.19250939270392742,0.19250939270392742,0.19250939270392742,0.19250939270392742
ECG5000,0.4252856041566543,0.46850783196169027,0.43586624768739907,0.4334598572590626,0.4608346061609521,0.45340235358665854,0.4335078024191083,0.41889819552660174,0.4479934121911646,0.4479934121911646,0.4479934121911646,0.4479934121911646,0.4479934121911646
FiftyWords,0.6779418092134036,0.6728997717986609,0.6763301972075828,0.6771828437573766,0.6947272093346445,0.6935862308941234,0.6736674290294509,0.6388211272997701,0.5890593638644558,0.5890593638644558,0.5890593638644558,0.5890593638644558,0.5890593638644558
