,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.2868053211859869,0.28521732534650135,0.28517016290943237,0.28523122914577753,0.30109071274858923,0.2809957955759667,0.2557260287420332,0.2557260287420332,0.2557260287420332,0.2557260287420332,0.2557260287420332,0.2557260287420332,0.2557260287420332
BirdChicken,0.6180021649465846,0.6180021649465846,0.5983304951397718,0.5765253464074618,0.6387587208446681,0.6254217286433653,0.6675815635960919,0.6776737035547653,0.6776737035547653,0.6776737035547653,0.6776737035547653,0.6776737035547653,0.6776737035547653
Car,0.4415618654529242,0.45209648256919965,0.43353554240914727,0.45268852567016404,0.44164798497361807,0.44325098487863157,0.42781441168168677,0.4609330702725941,0.38591515582223257,0.38591515582223257,0.38591515582223257,0.38591515582223257,0.38591515582223257
CricketX,0.2363829928486872,0.2421180511064887,0.2369252756728109,0.25334717377802046,0.23805103184274237,0.24578979819532668,0.23954247228415557,0.23345442512187287,0.21834645101169814,0.19005156012786042,0.19005156012786042,0.19005156012786042,0.19005156012786042
CricketY,0.22819726547788582,0.22380039284818554,0.22660867632710274,0.23010464913922063,0.23715943846016882,0.23706603759423278,0.2243208974059628,0.22406259215716937,0.21384449683962262,0.21064681762120382,0.21064681762120382,0.21064681762120382,0.21064681762120382
CricketZ,0.2288640723344348,0.2257169503498957,0.22274509473999654,0.21844011092424015,0.21754092459680713,0.2252820165280051,0.22178331034659546,0.21590854400966714,0.19857632559175936,0.17752625863803256,0.17752625863803256,0.17752625863803256,0.17752625863803256
DistalPhalanxTW,0.5197822903727378,0.540207239364267,0.5413416932553282,0.532514438074844,0.5316079464572672,0.527392562142558,0.5178743820025228,0.46240358094363243,0.46240358094363243,0.46240358094363243,0.46240358094363243,0.46240358094363243,0.46240358094363243
ECG200,0.6644897906339031,0.6679775377473064,0.6651867587395742,0.6679775377473064,0.6679775377473064,0.6616986594117501,0.6608502093345009,0.651907811101266,0.6671777344694518,0.6671777344694518,0.6671777344694518,0.6671777344694518,0.6671777344694518
ECG5000,0.6923524232246991,0.7420560876733086,0.7076374630925832,0.7107953108714862,0.7325084341906358,0.7411529065385075,0.7063324189413298,0.7032428271300414,0.7284539517712671,0.7284539517712671,0.7284539517712671,0.7284539517712671,0.7284539517712671
FiftyWords,0.3610527734661106,0.3508936446397448,0.36281753939058037,0.3592181331593237,0.396138071789578,0.39438425152015716,0.361903316036022,0.3280660380483393,0.2663975028979295,0.2663975028979295,0.2663975028979295,0.2663975028979295,0.2663975028979295
Fish,0.537658407362098,0.5479355930072056,0.5608228495776437,0.5581998576009204,0.5537975642711689,0.5731878711424764,0.5615269304355032,0.5436226462334672,0.4850204945563634,0.2690819301471512,0.2690819301471512,0.2690819301471512,0.2690819301471512
FordA,0.621443306728452,0.621443306728452,0.621443306728452,0.621443306728452,0.621443306728452,0.621123710025212,0.6198475241637043,0.6200158275449288,0.6195296905670106,0.6195296905670106,0.6195296905670106,0.6195296905670106,0.6195296905670106
FordB,0.6561621692351236,0.6561621692351236,0.6561621692351236,0.6561621692351236,0.6561621692351236,0.6561621692351236,0.6561621692351236,0.6561621692351236,0.6561621692351236,0.6561621692351236,0.6561621692351236,0.6561621692351236,0.6561621692351236
Haptics,0.2775987464772883,0.2824338298975937,0.28707757700048975,0.28138829854440156,0.2835907070464162,0.2734049300463087,0.2776830128288343,0.25891704045724906,0.25891704045724906,0.25891704045724906,0.25891704045724906,0.25891704045724906,0.25891704045724906
