,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.2921754400431156,0.28023837599542645,0.2752425424511001,0.27592540634533247,0.32193523426572807,0.29553463279827064,0.2518075146794856,0.2518075146794856,0.2518075146794856,0.2518075146794856,0.2518075146794856,0.2518075146794856,0.2518075146794856
BirdChicken,0.22905593038471012,0.22905593038471012,0.16836259039316198,0.15052663108005698,0.27477381514234805,0.2359162478927638,0.34386487098278284,0.35267483321057724,0.35267483321057724,0.35267483321057724,0.35267483321057724,0.35267483321057724,0.35267483321057724
Car,0.34911121675000983,0.3557392263888947,0.31896603488317216,0.3609388935510917,0.3510904145949749,0.3386361705526641,0.3309953853231263,0.3598787378263976,0.2664250674949239,0.2664250674949239,0.2664250674949239,0.2664250674949239,0.2664250674949239
CricketX,0.36004886400146974,0.362310650703813,0.36372877185259284,0.3739783357033347,0.35974781302940967,0.3653822504400768,0.3618162613901175,0.3524825412510913,0.33364502931103013,0.3005574131177477,0.3005574131177477,0.3005574131177477,0.3005574131177477
CricketY,0.33559611146796486,0.3264557975470415,0.32693868206553717,0.32938528619556817,0.34661037430090447,0.3418976182062229,0.3288223981359662,0.32554755306333666,0.3057492295936527,0.307639479830014,0.307639479830014,0.307639479830014,0.307639479830014
CricketZ,0.34752979405192624,0.3458074025516312,0.34730312108582356,0.33218959865594805,0.33442975907235917,0.33631334682363484,0.33240378044350577,0.32564362944597225,0.3106007497238837,0.2866175454842792,0.2866175454842792,0.2866175454842792,0.2866175454842792
DistalPhalanxTW,0.48669687720489285,0.47449410387008983,0.47720383143253675,0.4842654860319297,0.48270309986793186,0.4787079682250031,0.48160909287557657,0.4569043418033357,0.4569043418033357,0.4569043418033357,0.4569043418033357,0.4569043418033357,0.4569043418033357
ECG200,0.15295138611333264,0.13645822389364584,0.12314302894114497,0.13645822389364584,0.13645822389364584,0.15066096872930188,0.1550394773799479,0.15296054714972135,0.1907500591227145,0.1907500591227145,0.1907500591227145,0.1907500591227145,0.1907500591227145
ECG5000,0.6043494473531623,0.6187715268766605,0.6096964309071614,0.5986534466018278,0.627846840340508,0.6185157376511375,0.6085262479714434,0.5819775099718925,0.5975872143377745,0.5975872143377745,0.5975872143377745,0.5975872143377745,0.5975872143377745
FiftyWords,0.6744724567744765,0.6696870206295469,0.674795384877674,0.6855430117954249,0.7140984482905066,0.7251990232843589,0.7084620997275377,0.6682866447619816,0.6213015836184042,0.6213015836184042,0.6213015836184042,0.6213015836184042,0.6213015836184042
Fish,0.5520678504027071,0.561613014772858,0.5819819245578743,0.5755608593539444,0.5786748451963201,0.5980184865367603,0.5829436078442237,0.5703399972355652,0.5193968432329779,0.2621521060234431,0.2621521060234431,0.2621521060234431,0.2621521060234431
FordA,0.16056102034010283,0.16056102034010283,0.16056102034010283,0.16056102034010283,0.16056102034010283,0.15972699748449534,0.1564258714479234,0.15734015459889816,0.15561932284899305,0.15561932284899305,0.15561932284899305,0.15561932284899305,0.15561932284899305
FordB,0.04171879361768293,0.04171879361768293,0.04171879361768293,0.04171879361768293,0.04171879361768293,0.04171879361768293,0.04171879361768293,0.04171879361768293,0.04171879361768293,0.04171879361768293,0.04171879361768293,0.04171879361768293,0.04171879361768293
Haptics,0.0768531664656997,0.0654824786815182,0.06561712106122668,0.06734868371554587,0.06798818294881537,0.06314710637584017,0.06502115177550058,0.04456918193162738,0.04456918193162738,0.04456918193162738,0.04456918193162738,0.04456918193162738,0.04456918193162738
Herring,0.0029836509124229493,0.003038992565469764,0.006168173455024919,0.005087797464719634,0.003619704673347857,0.005525601471669607,0.00672039338687515,0.007115606261002891,0.014447652758199397,0.010345812951165368,0.010345812951165368,0.010345812951165368,0.010345812951165368
InsectWingbeatSound,0.41847077102805574,0.41616057681667673,0.42031097372636783,0.40889093052996583,0.40983507624932847,0.39777897873066187,0.3999764761837615,0.3917061543913102,0.34428047067492856,0.3083233035325864,0.3083233035325864,0.3083233035325864,0.3083233035325864
ItalyPowerDemand,0.010836310199824681,0.011269853893621553,0.012753054171946951,0.012758760275320965,0.011320274434076325,0.011959252807908022,0.01675128065904123,0.01675128065904123,0.01675128065904123,0.01675128065904123,0.01675128065904123,0.01675128065904123,0.01675128065904123
LargeKitchenAppliances,0.05322313783458511,0.05631426318683248,0.04940179258199612,0.048679721876456514,0.04848869695437236,0.055091897913820506,0.05365382529874228,0.050560482432532895,0.04691436338613329,0.06666381493168515,0.06666381493168515,0.06666381493168515,0.06666381493168515
Lightning2,0.03594536369852974,0.03921299909175781,0.03663679794292093,0.043618884440266514,0.046325890908881694,0.04230213674404097,0.041179647729184705,0.04107630333005936,0.027483293511705052,0.027483293511705052,0.027483293511705052,0.027483293511705052,0.027483293511705052
Lightning7,0.4696062024056572,0.4738179656500906,0.4913113666464728,0.4750932999905437,0.4868184105907809,0.5024603140365707,0.4904614933141883,0.46353158139193323,0.44062595573073304,0.44062595573073304,0.44062595573073304,0.44062595573073304,0.44062595573073304
Meat,0.5317525321481873,0.5238369905313486,0.5476048652206809,0.5382327714397397,0.48473077259043107,0.4853872500752109,0.462464275114627,0.4689162538286539,0.4689162538286539,0.4689162538286539,0.4689162538286539,0.4689162538286539,0.4689162538286539
MedicalImages,0.2648709165871606,0.27248409803847023,0.26135199210392523,0.27354334817089354,0.28402189278586853,0.30460134473630135,0.3207479184102283,0.31072633147102097,0.2711597802961781,0.2711597802961781,0.2711597802961781,0.2711597802961781,0.2711597802961781
MiddlePhalanxOutlineAgeGroup,0.10364134329110337,0.10596229143915978,0.10596229143915978,0.10364134329110337,0.10596229143915978,0.10596229143915978,0.10223035985859077,0.10223035985859077,0.10223035985859077,0.10223035985859077,0.10223035985859077,0.10223035985859077,0.10223035985859077
OSULeaf,0.40339761684122155,0.4011835769719635,0.39343414184358283,0.3932098001652076,0.3963497782577603,0.40966031611855247,0.39890688412230335,0.39061319274419826,0.4269799049628079,0.4269799049628079,0.4269799049628079,0.4269799049628079,0.4269799049628079
OliveOil,0.5192939483366762,0.5365565829368129,0.5299179316008068,0.501002319547373,0.4700773681037811,0.5738864627399238,0.5587585521367148,0.5569619934705425,0.5924560474603495,0.5924560474603495,0.5924560474603495,0.5924560474603495,0.5924560474603495
Phoneme,0.29441560723589133,0.2970583103184087,0.29997795964616875,0.29830586573279305,0.312648843761158,0.31903384558974446,0.3216044551839073,0.28499532399766114,0.28499532399766114,0.28499532399766114,0.28499532399766114,0.28499532399766114,0.28499532399766114
Plane,0.9196622993457833,0.9068543087753618,0.9172813675724946,0.8778792163372788,0.923675756620109,0.908447104913934,0.9878831207304414,0.9432453387082539,0.9432453387082539,0.9432453387082539,0.9432453387082539,0.9432453387082539,0.9432453387082539
ProximalPhalanxOutlineCorrect,0.1285597731626047,0.1285597731626047,0.1285597731626047,0.1285597731626047,0.1285597731626047,0.1285597731626047,0.1285597731626047,0.1285597731626047,0.1285597731626047,0.1285597731626047,0.1285597731626047,0.1285597731626047,0.1285597731626047
ProximalPhalanxTW,0.6096406674517615,0.6113910756859627,0.618109203490683,0.6177281127871145,0.6175347987873625,0.61623823338062,0.64368881175061,0.64368881175061,0.64368881175061,0.64368881175061,0.64368881175061,0.64368881175061,0.64368881175061
ScreenType,0.014695023933003329,0.013834070511928814,0.015369222350443712,0.01981138889513081,0.020562981692721406,0.014140779126005119,0.019362396341086812,0.021544009078451668,0.023254307545624835,0.023254307545624835,0.023254307545624835,0.023254307545624835,0.023254307545624835
ShapeletSim,0.06959522394363349,0.06800538088004962,0.09646629447228768,0.09669501368638542,0.07799604883009689,0.12642652078221864,0.07169440015981683,0.1252133729746215,0.09843024004430792,0.18034933252805332,0.1329125152432925,0.1329125152432925,0.1329125152432925
Strawberry,0.06852884813127832,0.06852884813127832,0.06852884813127832,0.06852884813127832,0.06654189548977116,0.06654189548977116,0.05788778795423747,0.05058728869615964,0.05058728869615964,0.05058728869615964,0.05058728869615964,0.05058728869615964,0.05058728869615964
SwedishLeaf,0.7072850263091746,0.7148656563942352,0.7097215473522822,0.7230949454828485,0.721071420786068,0.7370059819273378,0.716846004941201,0.6264927400734107,0.6264927400734107,0.6264927400734107,0.6264927400734107,0.6264927400734107,0.6264927400734107
SyntheticControl,0.7440351918248878,0.746473581089533,0.7414277536089565,0.7408686046735389,0.7309028335605801,0.7387080082032014,0.7343791422507697,0.7268914915414045,0.7355811195324009,0.7355811195324009,0.7355811195324009,0.7355811195324009,0.7355811195324009
ToeSegmentation1,0.01270290384375829,0.013664241385108907,0.01467321445791675,0.013870657205176013,0.012473727734910863,0.019131523191024024,0.01981991372294579,0.020259632222672706,0.008043786211422804,0.00938035015508729,0.00938035015508729,0.00938035015508729,0.00938035015508729
Trace,0.6394479711963054,0.6053531446737268,0.6256047621467503,0.5738978249986655,0.5833690534053965,0.5509108919013402,0.5694217506341073,0.5370597539042421,0.5359276330570587,0.5359276330570587,0.5359276330570587,0.5359276330570587,0.5359276330570587
UWaveGestureLibraryY,0.38211289883356453,0.3900953348393569,0.3966760646542351,0.385778671638464,0.4047535116018726,0.4023771909572741,0.4007490763535565,0.3760127469791803,0.2848388892300555,0.2848388892300555,0.2848388892300555,0.2848388892300555,0.2848388892300555
Wafer,0.09350699587010383,0.10905642227312147,0.21744228487631934,0.21694872068900203,0.10909811574757386,0.09348832742831086,0.016131424102203223,0.0187346293918251,0.0004645091340235826,0.0004645091340235826,0.0004645091340235826,0.0004645091340235826,0.0004645091340235826
WordSynonyms,0.45567868459357613,0.4543199080583099,0.4574812135234441,0.45991350976300155,0.48064305759656023,0.49758900252820293,0.5061392196520595,0.456010296125995,0.40026808096768907,0.40026808096768907,0.40026808096768907,0.40026808096768907,0.40026808096768907
Worms,0.3544186423488198,0.34754563977728015,0.3714272002952849,0.3657958419884224,0.3462190644976998,0.34058897511800446,0.32856709510688764,0.3662081446243751,0.3662081446243751,0.3662081446243751,0.3662081446243751,0.3662081446243751,0.3662081446243751
Yoga,0.002108821913959702,0.002108821913959702,0.002112643497010075,0.002112643497010075,0.002105738317565413,0.0019966204749476022,0.0026008088861707397,0.004763293162710002,0.004461131733842828,0.004461131733842828,0.004461131733842828,0.004461131733842828,0.004461131733842828
