,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.4702382302875067,0.4510262668460016,0.44298578293555285,0.4440848099759629,0.5181347713756166,0.4756446424628272,0.4052685607609705,0.4052685607609705,0.4052685607609705,0.4052685607609705,0.4052685607609705,0.4052685607609705,0.4052685607609705
BirdChicken,0.15876947233669686,0.15876947233669686,0.11670005484278911,0.10433710993232848,0.190458695257618,0.16352468207515025,0.2383489658153251,0.24445556629436047,0.24445556629436047,0.24445556629436047,0.24445556629436047,0.24445556629436047,0.24445556629436047
Car,0.47990216300566535,0.48901328865706767,0.4384633971110312,0.49616095793357423,0.48262284707779896,0.4655027479009649,0.45499942064367227,0.49470362571108123,0.3662384937385165,0.3662384937385165,0.3662384937385165,0.3662384937385165,0.3662384937385165
CricketX,0.8917577037320898,0.8973596259089784,0.9008719837739507,0.9262577811965906,0.8910120701517839,0.9049672675417085,0.8961351380041123,0.8730176734856793,0.8263615163046744,0.744411149039053,0.744411149039053,0.744411149039053,0.744411149039053
CricketY,0.8331448085325572,0.8104532312724254,0.8116520316040073,0.8177259265623054,0.8604886173119171,0.84878881466227,0.816328510893241,0.8081984400200266,0.7590474819106983,0.7637401828015491,0.7637401828015491,0.7637401828015491,0.7637401828015491
CricketZ,0.8605045811073628,0.8562398366111177,0.8599433252694952,0.8225213386940549,0.828068110032023,0.8327319860985689,0.8230516656258393,0.8063131269396111,0.7690660559389297,0.7096822060617891,0.7096822060617891,0.7096822060617891,0.7096822060617891
DistalPhalanxTW,0.7986028465904152,0.7785797686174518,0.7830260600284067,0.7946132670331053,0.7920496055499909,0.7854941422791567,0.7902544900701008,0.7497173807220714,0.7497173807220714,0.7497173807220714,0.7497173807220714,0.7497173807220714,0.7497173807220714
ECG200,0.09994121860536839,0.08916428632134095,0.0804638956721516,0.08916428632134095,0.08916428632134095,0.09844461821297089,0.10130561543136463,0.09994720459322795,0.12463955928875614,0.12463955928875614,0.12463955928875614,0.12463955928875614,0.12463955928875614
ECG5000,0.5497865392759176,0.5629065400058143,0.5546507773365186,0.5446047945841596,0.5711625005332625,0.5626738443796327,0.5535862428534214,0.5294344233211258,0.5436348257208048,0.5436348257208048,0.5436348257208048,0.5436348257208048,0.5436348257208048
FiftyWords,2.331591864104448,2.3150490329337448,2.3327081981082207,2.3698617975297567,2.468575425846452,2.5069491356734215,2.449091065409374,2.310208056928412,2.14778483979555,2.14778483979555,2.14778483979555,2.14778483979555,2.14778483979555
Fish,1.07152044378618,1.090046859976609,1.1295813179899867,1.1171185335118174,1.1231625360548603,1.1607070283458527,1.1314478699020731,1.1069852491882484,1.008108578603461,0.5088166984924359,0.5088166984924359,0.5088166984924359,0.5088166984924359
FordA,0.11121112911402882,0.11121112911402882,0.11121112911402882,0.11121112911402882,0.11121112911402882,0.11063345077539755,0.10834695587708884,0.10898022577867802,0.10778830733224039,0.10778830733224039,0.10778830733224039,0.10778830733224039,0.10778830733224039
FordB,0.028915229386449925,0.028915229386449925,0.028915229386449925,0.028915229386449925,0.028915229386449925,0.028915229386449925,0.028915229386449925,0.028915229386449925,0.028915229386449925,0.028915229386449925,0.028915229386449925,0.028915229386449925,0.028915229386449925
Haptics,0.12357558310523069,0.10529215461611463,0.10550865201431328,0.1082929076869307,0.10932118660217742,0.10153700687511988,0.10455036681432377,0.07166474589153185,0.07166474589153185,0.07166474589153185,0.07166474589153185,0.07166474589153185,0.07166474589153185
Herring,0.002015350517739023,0.0020527318443064324,0.00416638270728315,0.00343662699010161,0.0024449823057784924,0.003732348090851406,0.0045393877129714325,0.004806340011973348,0.00975887773771279,0.006988230225174058,0.006988230225174058,0.006988230225174058,0.006988230225174058
InsectWingbeatSound,1.003449083652464,0.9979094798737524,1.0078616970037373,0.9804776294079321,0.9827415919652243,0.9538323327168177,0.9591017014715917,0.9392703359409514,0.8255485131482091,0.7393269920343661,0.7393269920343661,0.7393269920343661,0.7393269920343661
ItalyPowerDemand,0.007511111809057747,0.007811619555529686,0.008839689343150556,0.008843644488365665,0.007846568196704155,0.008289471539347245,0.01161103176771378,0.01161103176771378,0.01161103176771378,0.01161103176771378,0.01161103176771378,0.01161103176771378,0.01161103176771378
LargeKitchenAppliances,0.05847159326655178,0.061867541564344264,0.05427341641281397,0.05348014066242092,0.05327027833557739,0.06052463605417217,0.05894475180725016,0.05554636732136868,0.051540696131047226,0.07323768629344589,0.07323768629344589,0.07323768629344589,0.07323768629344589
Lightning2,0.024794540230859165,0.02704850315905974,0.025271480576583148,0.03008761280453038,0.031954862816359314,0.02917934118425211,0.02840506611303647,0.02833378079003243,0.018957538790471445,0.018957538790471445,0.018957538790471445,0.018957538790471445,0.018957538790471445
Lightning7,0.8828703899793371,0.8907886011082894,0.9236765946667725,0.8931862588068933,0.915229734628024,0.9446368704887943,0.9220788133843631,0.8714499636819637,0.8283868640963334,0.8283868640963334,0.8283868640963334,0.8283868640963334,0.8283868640963334
Meat,0.5841898663483825,0.5754937550566597,0.6016054342658839,0.5913091368675919,0.5325311834634343,0.5332523976954475,0.5080689357109187,0.5151571588123736,0.5151571588123736,0.5151571588123736,0.5151571588123736,0.5151571588123736,0.5151571588123736
MedicalImages,0.452385207167163,0.4653881095334504,0.4463750743754408,0.4671972514987989,0.4850940392531312,0.5202426307026559,0.5478201056879685,0.5307037769416784,0.4631262464194424,0.4631262464194424,0.4631262464194424,0.4631262464194424,0.4631262464194424
MiddlePhalanxOutlineAgeGroup,0.10123842497895588,0.10350556208376052,0.10350556208376052,0.10123842497895588,0.10350556208376052,0.10350556208376052,0.09986015511248224,0.09986015511248224,0.09986015511248224,0.09986015511248224,0.09986015511248224,0.09986015511248224,0.09986015511248224
OSULeaf,0.708939167455056,0.7050481688073322,0.6914291540714979,0.6910348914480887,0.6965531527412325,0.7199453624010211,0.7010470625389622,0.6864715608124925,0.7503831597089397,0.7503831597089397,0.7503831597089397,0.7503831597089397,0.7503831597089397
OliveOil,0.6724796643807742,0.6948345767755966,0.6862375999830153,0.6487922163975882,0.6087447615131432,0.7431763398979646,0.7235858704195239,0.7212593477000938,0.7672237376010975,0.7672237376010975,0.7672237376010975,0.7672237376010975,0.7672237376010975
Phoneme,0.9631074192012324,0.9717523649274934,0.9813032714009351,0.9758334321193407,1.022752916729036,1.0436398618555494,1.05204897166889,0.9322913060104423,0.9322913060104423,0.9322913060104423,0.9322913060104423,0.9322913060104423,0.9322913060104423
Plane,1.767437949674146,1.7428231224605752,1.7628621948838397,1.6871378149223468,1.7751511469000025,1.7458842116706141,1.8985470195566012,1.8127606281916193,1.8127606281916193,1.8127606281916193,1.8127606281916193,1.8127606281916193,1.8127606281916193
ProximalPhalanxOutlineCorrect,0.08021284334588703,0.08021284334588703,0.08021284334588703,0.08021284334588703,0.08021284334588703,0.08021284334588703,0.08021284334588703,0.08021284334588703,0.08021284334588703,0.08021284334588703,0.08021284334588703,0.08021284334588703,0.08021284334588703
ProximalPhalanxTW,0.870354401705239,0.8728533746129786,0.8824445197222724,0.881900455014965,0.8816244699969402,0.8797734264739185,0.9189632853354353,0.9189632853354353,0.9189632853354353,0.9189632853354353,0.9189632853354353,0.9189632853354353,0.9189632853354353
ScreenType,0.016144133875069425,0.015198279866706115,0.01688481654147002,0.02176503529577362,0.022590744379281092,0.015535233719170705,0.021271766558380405,0.023668513120764307,0.02554746803409098,0.02554746803409098,0.02554746803409098,0.02554746803409098,0.02554746803409098
ShapeletSim,0.04823973325696755,0.04713773801991161,0.06686534003253167,0.06702387611092338,0.05406274134139748,0.08763218642819817,0.049694771332713536,0.08679129644575978,0.06822664336855067,0.1250086313576882,0.09212793520201898,0.09212793520201898,0.09212793520201898
Strawberry,0.044648551891757926,0.044648551891757926,0.044648551891757926,0.044648551891757926,0.043353994044370056,0.043353994044370056,0.03771558949046703,0.03295910037896751,0.03295910037896751,0.03295910037896751,0.03295910037896751,0.03295910037896751,0.03295910037896751
SwedishLeaf,1.9121123206909438,1.9326062031358817,1.9186993425178596,1.9548537051634256,1.9493831998367017,1.9924615480975434,1.9379599837406758,1.693694115608423,1.693694115608423,1.693694115608423,1.693694115608423,1.693694115608423,1.693694115608423
SyntheticControl,1.333132100391155,1.3375011074457466,1.328460198277333,1.3274583378775897,1.3096020731177864,1.3235870686926812,1.3158307821313933,1.302414713070616,1.3179844363075532,1.3179844363075532,1.3179844363075532,1.3179844363075532,1.3179844363075532
ToeSegmentation1,0.008787379802736375,0.009452396101244178,0.01015036482639146,0.00959518661832065,0.008628844594178916,0.013234451157952576,0.013710653224110591,0.014014833552554817,0.005564381606062252,0.006488965083043696,0.006488965083043696,0.006488965083043696,0.006488965083043696
Trace,0.8782567266291341,0.8314288186748913,0.8592436215548315,0.7882261699258322,0.8012345309377382,0.7566545182408163,0.7820784572163667,0.7376305230678216,0.7360755994552941,0.7360755994552941,0.7360755994552941,0.7360755994552941,0.7360755994552941
UWaveGestureLibraryY,0.7945160042318155,0.8111136463912884,0.8247967624897156,0.8021381367750013,0.8415919580793487,0.8366509451245822,0.8332656547736782,0.7818321396165472,0.5922570444801055,0.5922570444801055,0.5922570444801055,0.5922570444801055,0.5922570444801055
Wafer,0.03198587896890499,0.03730486142935888,0.07438034493630649,0.07421151174674656,0.0373191234898092,0.031979493066821706,0.005518066045517331,0.0064085428333795795,0.00015889434584626105,0.00015889434584626105,0.00015889434584626105,0.00015889434584626105,0.00015889434584626105
WordSynonyms,1.2849030378963537,1.2810716186155877,1.2899857309785394,1.2968442146709656,1.355296496697968,1.4030799389761879,1.427189471259699,1.2858381017468523,1.1286586153728937,1.1286586153728937,1.1286586153728937,1.1286586153728937,1.1286586153728937
Worms,0.5189158477916707,0.5088528614525529,0.5438186300155727,0.5355735753800206,0.5069105794910262,0.4986673827329615,0.4810657576698006,0.5361772410632483,0.5361772410632483,0.5361772410632483,0.5361772410632483,0.5361772410632483,0.5361772410632483
Yoga,0.001456354092919676,0.001456354092919676,0.0014589932812171802,0.0014589932812171802,0.0014542245587944812,0.0013788676897980745,0.0017961206876708324,0.0032895340509163456,0.0030808611275461193,0.0030808611275461193,0.0030808611275461193,0.0030808611275461193,0.0030808611275461193
