,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.32573311353796286,0.3146286568770017,0.31139719270227945,0.31192846037456856,0.35444343192006506,0.3228990428645873,0.2805787088323576,0.2805787088323576,0.2805787088323576,0.2805787088323576,0.2805787088323576,0.2805787088323576,0.2805787088323576
BirdChicken,0.2531179866166839,0.2531179866166839,0.19167067606289567,0.17424650831732422,0.3033289565310337,0.26768665820970533,0.36927851772071024,0.37828264124346783,0.37828264124346783,0.37828264124346783,0.37828264124346783,0.37828264124346783,0.37828264124346783
Car,0.3581366571651562,0.36657745161592,0.32885601657733166,0.36758303533684755,0.3541469388477238,0.3459901979377807,0.34047088341082155,0.3647086009761517,0.27245025649253185,0.27245025649253185,0.27245025649253185,0.27245025649253185,0.27245025649253185
CricketX,0.37077578132216915,0.37348979155887924,0.3744787653719932,0.3857341479343174,0.3701952865183451,0.3766674679098557,0.37122052016222035,0.3601491973342327,0.34052428636493054,0.30632558636823715,0.30632558636823715,0.30632558636823715,0.30632558636823715
CricketY,0.34952558057536354,0.34194881850379716,0.34417337986877905,0.34633605016686275,0.36117806456354073,0.35658020698862514,0.3416471530110522,0.3391458004733368,0.3158356102071854,0.3172249716196627,0.3172249716196627,0.3172249716196627,0.3172249716196627
CricketZ,0.3595629605554146,0.36102882242467377,0.3578625816372967,0.34615597497689476,0.34768160955312155,0.348609034223349,0.3435232742091649,0.3373338830555933,0.31727917969594105,0.294967080874434,0.294967080874434,0.294967080874434,0.294967080874434
DistalPhalanxTW,0.4824225173648385,0.47416116824128407,0.4781029749238438,0.48051671068101076,0.48207081791474354,0.473738869466486,0.47248212650384974,0.44411571159091434,0.44411571159091434,0.44411571159091434,0.44411571159091434,0.44411571159091434,0.44411571159091434
ECG200,0.15507597758218145,0.13834165134490115,0.1253180483476267,0.13834165134490115,0.13834165134490115,0.1523694814084324,0.15729089375773014,0.15524611776802488,0.19162568784637282,0.19162568784637282,0.19162568784637282,0.19162568784637282,0.19162568784637282
ECG5000,0.49836410188400154,0.5320968781140862,0.5072809830356284,0.5018182134322898,0.5308143423543067,0.5222698170827745,0.5061105474979884,0.4870582011297058,0.5114836373194542,0.5114836373194542,0.5114836373194542,0.5114836373194542,0.5114836373194542
FiftyWords,0.6761809703125168,0.6712556955174281,0.675531238779917,0.6813254338423983,0.7042656856691529,0.7090280500956492,0.6906227987998699,0.6532164070553438,0.6047398141614277,0.6047398141614277,0.6047398141614277,0.6047398141614277,0.6047398141614277
Fish,0.5836928672628627,0.5907461078546129,0.6068566708147102,0.6006544154391731,0.600761260903808,0.6147643816114269,0.6049974613690424,0.5852303858926351,0.5308035962245161,0.2706934856852191,0.2706934856852191,0.2706934856852191,0.2706934856852191
FordA,0.17906319942252485,0.17906319942252485,0.17906319942252485,0.17906319942252485,0.17906319942252485,0.17808317086570447,0.17420589380137952,0.1751014828875144,0.1732595369087527,0.1732595369087527,0.1732595369087527,0.1732595369087527,0.1732595369087527
FordB,0.058749737096385715,0.058749737096385715,0.058749737096385715,0.058749737096385715,0.058749737096385715,0.058749737096385715,0.058749737096385715,0.058749737096385715,0.058749737096385715,0.058749737096385715,0.058749737096385715,0.058749737096385715,0.058749737096385715
