,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.6531034482758622,0.6448275862068965,0.6388505747126436,0.639080459770115,0.6682758620689655,0.6611494252873563,0.6395402298850575,0.6395402298850575,0.6395402298850575,0.6395402298850575,0.6395402298850575,0.6395402298850575,0.6395402298850575
BirdChicken,0.578421052631579,0.578421052631579,0.5489473684210526,0.5315789473684209,0.5926315789473684,0.5689473684210526,0.6363157894736842,0.6442105263157893,0.6442105263157893,0.6442105263157893,0.6442105263157893,0.6442105263157893,0.6442105263157893
Car,0.7061016949152543,0.7111299435028249,0.6997740112994351,0.7180225988700565,0.7208474576271187,0.71,0.6993220338983052,0.7268361581920904,0.682090395480226,0.682090395480226,0.682090395480226,0.682090395480226,0.682090395480226
CricketX,0.8542811943840223,0.8555863159976271,0.8541414540900402,0.856693691912201,0.8561782347900599,0.8557155098543273,0.8564933096038494,0.8593751235910618,0.8584193527124118,0.8540043504053788,0.8540043504053788,0.8540043504053788,0.8540043504053788
CricketY,0.8509669764682618,0.8461063871860788,0.8454037308021883,0.8452679454221871,0.8528943378814844,0.8520558961175928,0.8509234724144749,0.8479731065849319,0.8514626590204996,0.8523301034869158,0.8523301034869158,0.8523301034869158,0.8523301034869158
CricketZ,0.8488695537538724,0.8429661854854658,0.8508733768373873,0.8440023729483883,0.8438705424823676,0.8491714455210598,0.8496433985894141,0.8475077450398787,0.853859336892756,0.8440709247907192,0.8440709247907192,0.8440709247907192,0.8440709247907192
DistalPhalanxTW,0.804181003023668,0.8086122406422689,0.8086747992910019,0.8084558440204358,0.8053487644666875,0.8071629652799499,0.807142112397039,0.7891877802106142,0.7891877802106142,0.7891877802106142,0.7891877802106142,0.7891877802106142,0.7891877802106142
ECG200,0.6207676767676767,0.610020202020202,0.6022020202020202,0.610020202020202,0.610020202020202,0.6187070707070708,0.6194949494949495,0.6212121212121212,0.6422222222222222,0.6422222222222222,0.6422222222222222,0.6422222222222222,0.6422222222222222
ECG5000,0.7532838803684769,0.7862415153984836,0.7627034155738313,0.7647457953619323,0.7792059766367835,0.7863050356869429,0.7613963004124373,0.757186821762861,0.7751640512706528,0.7751640512706528,0.7751640512706528,0.7751640512706528,0.7751640512706528
FiftyWords,0.9478036500943988,0.9472043375127075,0.9484513724161301,0.9493411434380599,0.953102580239144,0.9540184925206951,0.9520540252698841,0.9491649319843152,0.9457046037662777,0.9457046037662777,0.9457046037662777,0.9457046037662777,0.9457046037662777
Fish,0.8369392446633827,0.8464761904761904,0.8539244663382594,0.8550147783251232,0.8565911330049261,0.8673957307060756,0.858968801313629,0.8601642036124794,0.8429293924466338,0.7725977011494252,0.7725977011494252,0.7725977011494252,0.7725977011494252
FordA,0.564688584097227,0.564688584097227,0.564688584097227,0.564688584097227,0.564688584097227,0.5644703287614584,0.563599604842971,0.5641429457578055,0.563383187446872,0.563383187446872,0.563383187446872,0.563383187446872,0.563383187446872
FordB,0.50861450655435,0.50861450655435,0.50861450655435,0.50861450655435,0.50861450655435,0.50861450655435,0.50861450655435,0.50861450655435,0.50861450655435,0.50861450655435,0.50861450655435,0.50861450655435,0.50861450655435
Haptics,0.6527412327086595,0.624389779601506,0.6180168365836117,0.6318393333051313,0.6317187698295191,0.6340560091374423,0.631854139345996,0.647463936714751,0.647463936714751,0.647463936714751,0.647463936714751,0.647463936714751,0.647463936714751
Herring,0.49637896825396827,0.4955853174603175,0.49950396825396826,0.4989583333333333,0.4961805555555555,0.4979166666666667,0.4984126984126984,0.49930555555555556,0.503968253968254,0.501438492063492,0.501438492063492,0.501438492063492,0.501438492063492
InsectWingbeatSound,0.8645734760439157,0.8646200254184085,0.8640060534603233,0.862030103970478,0.8614436941420266,0.8610957477758893,0.8640515309742192,0.864113443683934,0.8535456638134757,0.8484412594872422,0.8484412594872422,0.8484412594872422,0.8484412594872422
ItalyPowerDemand,0.5045134674214322,0.50473467875199,0.5054123038876475,0.5054629745172109,0.5047312755007505,0.5054720498538492,0.5081840629525851,0.5081840629525851,0.5081840629525851,0.5081840629525851,0.5081840629525851,0.5081840629525851,0.5081840629525851
LargeKitchenAppliances,0.4211308377896613,0.4124748663101604,0.45755294117647055,0.42814260249554364,0.4202666666666667,0.4308620320855615,0.42016684491978606,0.40509803921568627,0.3781361853832442,0.40121639928698755,0.40121639928698755,0.40121639928698755,0.40121639928698755
Lightning2,0.5163934426229508,0.5178142076502732,0.5163934426229508,0.5192349726775956,0.5216393442622952,0.5193442622950819,0.5186885245901639,0.5189071038251366,0.5102732240437159,0.5102732240437159,0.5102732240437159,0.5102732240437159,0.5102732240437159
Lightning7,0.7824200913242009,0.785007610350076,0.7946727549467275,0.7876331811263318,0.787861491628615,0.7979832572298325,0.7944444444444445,0.7981354642313546,0.8022450532724505,0.8022450532724505,0.8022450532724505,0.8022450532724505,0.8022450532724505
Meat,0.748813559322034,0.7466666666666667,0.7601129943502825,0.7531638418079096,0.7203954802259886,0.7167231638418079,0.7011864406779662,0.712768361581921,0.712768361581921,0.712768361581921,0.712768361581921,0.712768361581921,0.712768361581921
MedicalImages,0.6627446085569655,0.6639726787324041,0.6594067679079121,0.6642729353026836,0.6662190555439984,0.6723164135635532,0.6785635531516538,0.6795319325982943,0.6732109423757021,0.6732109423757021,0.6732109423757021,0.6732109423757021,0.6732109423757021
MiddlePhalanxOutlineAgeGroup,0.5242339359986419,0.5295815295815295,0.5295815295815295,0.5242339359986419,0.5295815295815295,0.5295815295815295,0.5300059417706476,0.5300059417706476,0.5300059417706476,0.5300059417706476,0.5300059417706476,0.5300059417706476,0.5300059417706476
OSULeaf,0.7745379102225576,0.7683344192585987,0.7687562154932958,0.7690717053598985,0.7709097767566271,0.7804019066561503,0.7776173656596138,0.7710675216899284,0.7867871472171736,0.7867871472171736,0.7867871472171736,0.7867871472171736,0.7867871472171736
OliveOil,0.778390804597701,0.7935632183908046,0.7919540229885057,0.7698850574712643,0.751264367816092,0.8039080459770116,0.7965517241379311,0.7942528735632183,0.8066666666666666,0.8066666666666666,0.8066666666666666,0.8066666666666666,0.8066666666666666
Phoneme,0.9096138516860938,0.9135758658695433,0.9124489273348697,0.9126880643042428,0.9185679614352672,0.9218695657014351,0.9232529530298477,0.9240492969506697,0.9240492969506697,0.9240492969506697,0.9240492969506697,0.9240492969506697,0.9240492969506697
Plane,0.9643406593406592,0.9565750915750915,0.9583516483516483,0.9403296703296704,0.9631684981684983,0.953131868131868,0.9935164835164836,0.9767765567765568,0.9767765567765568,0.9767765567765568,0.9767765567765568,0.9767765567765568,0.9767765567765568
