,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.14202947605027022,0.12152786455364226,0.11841713302761274,0.07367987969786413,0.10390507743929493,0.0955173280625414,0.07543946660494706,0.08976861658281421,0.08976861658281421,0.08976861658281421,0.08976861658281421,0.08976861658281421,0.08976861658281421
BirdChicken,0.10977156788209981,0.08193103316303393,0.07048961383255634,0.02604185114892977,0.03944939593301437,0.05991687200899391,0.1067919176582112,0.07572140255307161,0.0525106671523049,0.0525106671523049,0.0525106671523049,0.0525106671523049,0.0525106671523049
Car,0.4221486041024181,0.4404634102209844,0.43754653219029854,0.41626615918563337,0.4481877512257979,0.4725180521014227,0.4491178223000808,0.47577720953482083,0.43119149355554365,0.37555313245256156,0.37555313245256156,0.37555313245256156,0.37555313245256156
CricketX,0.291448204447044,0.2783804256732039,0.2645794921686159,0.27784414577423244,0.2727633061498837,0.2856307302843919,0.279392252458997,0.2624603954548785,0.21764116104935188,0.14689769517678372,0.14689769517678372,0.14689769517678372,0.14689769517678372
CricketY,0.3851921173373699,0.38703312103789583,0.38571718493034857,0.3924601303199939,0.3905256853649527,0.3933538267814069,0.3962245410172181,0.39566103051067836,0.3464620148760994,0.29591179254073735,0.28718988916860766,0.28718988916860766,0.28718988916860766
CricketZ,0.2828248839314941,0.28423747521925447,0.2833469520662337,0.2732207936233728,0.2686297605599634,0.2843100964236185,0.277808373160129,0.27087851660779017,0.20935754337935353,0.16619435064314922,0.16619435064314922,0.16619435064314922,0.16619435064314922
DistalPhalanxTW,0.4028040999036836,0.4014319146147898,0.39062509234455145,0.3893965266958325,0.40468921498042754,0.405434888988151,0.37673829635344713,0.36246946462137564,0.36246946462137564,0.36246946462137564,0.36246946462137564,0.36246946462137564,0.36246946462137564
ECG200,0.08993924635173685,0.08993924635173685,0.0955049137987541,0.0955049137987541,0.09945539058189541,0.10901771119646395,0.10901771119646395,0.10451344539722733,0.10451344539722733,0.10451344539722733,0.10451344539722733,0.10451344539722733,0.10451344539722733
ECG5000,0.5257096877224832,0.5163881497550403,0.5362817091392015,0.5263930132701992,0.5337146384795414,0.5273645432953771,0.5177716999648588,0.49005206639097054,0.5499887329644059,0.5499887329644059,0.5499887329644059,0.5499887329644059,0.5499887329644059
FiftyWords,0.6076938503463145,0.6213869244125574,0.6213195791583717,0.6240554626441901,0.6292608960543853,0.6230013252559006,0.6093159469486615,0.5634609584060729,0.5090148353385067,0.28511913196532523,0.28511913196532523,0.28511913196532523,0.28511913196532523
Fish,0.6495586200802703,0.6378547657582956,0.6205150146034444,0.6315968214379598,0.6102050517005508,0.6380635947325706,0.6765713927984437,0.6604616319353164,0.4893188428951182,0.3375250334502235,0.3375250334502235,0.3375250334502235,0.3375250334502235
FordA,0.00011057095027972358,0.0001405042973173168,0.0001042819577373768,0.00011133853185710562,9.504539509525452e-05,0.00014918477651076296,9.786164037038026e-05,8.823315761965979e-05,1.3259480009460734e-05,6.836305936553408e-06,6.800496684444911e-05,6.800496684444911e-05,6.800496684444911e-05
FordB,0.028394869804252442,0.028394869804252442,0.028394869804252442,0.028394869804252442,0.02848156509206422,0.02848156509206422,0.028394869804252442,0.02848156509206422,0.02848156509206422,0.026752232676474752,0.026370293077540408,0.026370293077540408,0.026370293077540408
