,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.04233835692692969,0.03110723885906625,0.03747512685549269,0.001936419661436917,0.013520621666577678,0.011931987965160009,0.006976899866834331,0.02520756077726689,0.02520756077726689,0.02520756077726689,0.02520756077726689,0.02520756077726689,0.02520756077726689
BirdChicken,0.12048568991578082,0.08539730608953297,0.06729340751123983,0.034752055817675556,0.05250566367013374,0.07460313512967874,0.08780346891650574,0.06195979759367454,0.05680687618947773,0.05680687618947773,0.05680687618947773,0.05680687618947773,0.05680687618947773
Car,0.33447845472958815,0.3510797290825146,0.3468083247412046,0.32544474631157055,0.3500374444793473,0.37661648456077207,0.3543323257540524,0.3675044577742186,0.32467836670838707,0.28109174443741514,0.28109174443741514,0.28109174443741514,0.28109174443741514
CricketX,0.13469003604286423,0.13180587382239514,0.12074710372541916,0.13107948520001617,0.1271942832032345,0.13654969061637057,0.1294150231060856,0.11840304185222253,0.09622270094231203,0.06231411189463838,0.06231411189463838,0.06231411189463838,0.06231411189463838
CricketY,0.20702206224288017,0.21243998901271272,0.21024493479875014,0.219740138276341,0.21835191743121657,0.21842658954817282,0.224748497797278,0.22463796629555483,0.18195621634102996,0.1476643554607326,0.13842760759426428,0.13842760759426428,0.13842760759426428
CricketZ,0.14505739019048142,0.1484728813444101,0.1432378427620319,0.13739414825755888,0.13024263407512562,0.14519204572539474,0.1365054505097004,0.1418814743627972,0.0980915686211278,0.0704807794181013,0.0704807794181013,0.0704807794181013,0.0704807794181013
DistalPhalanxTW,0.300621269554055,0.2981954504520302,0.27084788882892413,0.2629247399553178,0.28491971239914554,0.2812389414123598,0.29782306846479567,0.2595843769083402,0.2595843769083402,0.2595843769083402,0.2595843769083402,0.2595843769083402,0.2595843769083402
ECG200,0.1612239226166597,0.1612239226166597,0.16982715161580492,0.16982715161580492,0.17443937439280247,0.18816652492717484,0.18816652492717484,0.18205340049005153,0.18205340049005153,0.18205340049005153,0.18205340049005153,0.18205340049005153,0.18205340049005153
ECG5000,0.5581995737594463,0.5243543280382958,0.5662485252009806,0.5565242083959695,0.5940508125158157,0.5502066241422396,0.5493657468212567,0.5580444989278707,0.596974860382188,0.596974860382188,0.596974860382188,0.596974860382188,0.596974860382188
FiftyWords,0.4177778779370822,0.45905089661418136,0.44272469754092175,0.43919019179184193,0.4549757400610014,0.4433546237651467,0.426801135557611,0.39508850894700476,0.36077989082339595,0.14797400366515492,0.14797400366515492,0.14797400366515492,0.14797400366515492
