,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.3633333333333334,0.33666666666666667,0.36,0.30999999999999994,0.31333333333333335,0.27666666666666667,0.2966666666666666,0.37333333333333335,0.37333333333333335,0.37333333333333335,0.37333333333333335,0.37333333333333335,0.37333333333333335
BirdChicken,0.6699999999999999,0.6449999999999999,0.635,0.5999999999999999,0.6199999999999999,0.63,0.6599999999999999,0.6399999999999999,0.625,0.625,0.625,0.625,0.625
Car,0.6216666666666667,0.6333333333333334,0.6199999999999999,0.6216666666666665,0.6466666666666667,0.6483333333333332,0.6433333333333333,0.6683333333333333,0.6366666666666667,0.615,0.615,0.615,0.615
CricketX,0.3358974358974359,0.32974358974358975,0.3153846153846154,0.3274358974358974,0.3230769230769231,0.33743589743589747,0.32820512820512826,0.31743589743589745,0.28743589743589737,0.24564102564102566,0.24564102564102566,0.24564102564102566,0.24564102564102566
CricketY,0.3648717948717949,0.3730769230769231,0.3687179487179487,0.37538461538461537,0.37025641025641026,0.37846153846153846,0.38307692307692304,0.37897435897435894,0.3464102564102564,0.3120512820512821,0.3071794871794872,0.3071794871794872,0.3071794871794872
CricketZ,0.33564102564102566,0.33435897435897444,0.323076923076923,0.32999999999999996,0.31974358974358974,0.33948717948717955,0.3238461538461538,0.3251282051282052,0.27897435897435896,0.24128205128205127,0.24128205128205127,0.24128205128205127,0.24128205128205127
DistalPhalanxTW,0.4784172661870504,0.47913669064748204,0.45035971223021576,0.4525179856115108,0.479136690647482,0.4582733812949641,0.476978417266187,0.41726618705035967,0.41726618705035967,0.41726618705035967,0.41726618705035967,0.41726618705035967,0.41726618705035967
ECG200,0.711,0.711,0.718,0.718,0.7180000000000001,0.7270000000000001,0.7270000000000001,0.724,0.724,0.724,0.724,0.724,0.724
ECG5000,0.6858,0.6835333333333333,0.6882888888888888,0.7115111111111112,0.7308,0.6942666666666667,0.694288888888889,0.7144888888888888,0.6999333333333334,0.6999333333333334,0.6999333333333334,0.6999333333333334,0.6999333333333334
FiftyWords,0.5241758241758242,0.550989010989011,0.5448351648351648,0.5353846153846155,0.5463736263736264,0.5378021978021978,0.5265934065934065,0.48769230769230776,0.4514285714285714,0.27186813186813186,0.27186813186813186,0.27186813186813186,0.27186813186813186
