,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.3533265000066937,0.3301856590687981,0.32680900852928846,0.29706215827377375,0.321785347248909,0.3212365458753646,0.3021512981433826,0.30201381129714,0.30201381129714,0.30201381129714,0.30201381129714,0.30201381129714,0.30201381129714
BirdChicken,0.1635221479326474,0.13801926371364115,0.12689014871652776,0.08456866610665315,0.09822573013002997,0.11192595150261961,0.16873499926000926,0.15147142209017253,0.09468687529364081,0.09468687529364081,0.09468687529364081,0.09468687529364081,0.09468687529364081
Car,0.46669810203485546,0.4865000832430094,0.4854992794462567,0.46791912004067016,0.49830198063754516,0.5142118304883585,0.4985336199949937,0.5258527245857662,0.48235353886540777,0.4286982745476342,0.4286982745476342,0.4286982745476342,0.4286982745476342
CricketX,0.34936732539133686,0.33518467395298,0.32452420274330596,0.3352178589582263,0.3306517735761959,0.3424091918091813,0.336530116385716,0.3199154797837189,0.2771361205536787,0.20980745845427448,0.20980745845427448,0.20980745845427448,0.20980745845427448
CricketY,0.43737401615976224,0.4368964386357718,0.43735618373366175,0.44484792391057326,0.44202598197081516,0.4439619304940507,0.44487355766180325,0.4431157443232691,0.3982923804999646,0.3511296661044659,0.3414411704017002,0.3414411704017002,0.3414411704017002
CricketZ,0.34032870907182006,0.3411002670070666,0.33924222354739214,0.33411654470650515,0.3272969089844647,0.3407020847811747,0.33524373695033527,0.32581577709161497,0.26907988408438943,0.22712005059465284,0.22712005059465284,0.22712005059465284,0.22712005059465284
DistalPhalanxTW,0.44466086633881136,0.44978181708694953,0.43965231121891096,0.4379472672364918,0.45269665333688386,0.4458726941536254,0.43458263089263766,0.40424760289021033,0.40424760289021033,0.40424760289021033,0.40424760289021033,0.40424760289021033,0.40424760289021033
ECG200,0.10344159780675526,0.10344159780675526,0.1098460541758051,0.1098460541758051,0.11201236636424439,0.12187201993897105,0.12187201993897105,0.1178633646845824,0.1178633646845824,0.1178633646845824,0.1178633646845824,0.1178633646845824,0.1178633646845824
ECG5000,0.44086093590366116,0.4296338647427612,0.4501047349630872,0.4434813892825679,0.45453956758092773,0.4414955147722063,0.4345583629434615,0.4133153592965547,0.4627039328667991,0.4627039328667991,0.4627039328667991,0.4627039328667991,0.4627039328667991
FiftyWords,0.7322730590473194,0.7428308724041341,0.7417621469429033,0.743343659922391,0.7455884709277132,0.7404314720860705,0.730560234797823,0.7027476407261104,0.671589998318328,0.535045081100521,0.535045081100521,0.535045081100521,0.535045081100521
Fish,0.6938944611248055,0.6853428743712118,0.6650062084707555,0.6808392223041821,0.6566895138015881,0.684235547721342,0.7154120011970533,0.6932523460762535,0.5345486494821388,0.39167530038102616,0.39167530038102616,0.39167530038102616,0.39167530038102616
FordA,0.0006622411121902372,0.000692373687215282,0.000655876759985368,0.0006630563645429724,0.0006466718890190971,0.0007011192609025693,0.0006494862969151909,0.0006398878111326562,0.0005644267179469544,0.0005577509810930569,0.0006194144178168534,0.0006194144178168534,0.0006194144178168534
FordB,0.04665370299591006,0.04665370299591006,0.04665370299591006,0.04665370299591006,0.04684716498053902,0.04684716498053902,0.04665370299591006,0.04684716498053902,0.04684716498053902,0.043857016342987803,0.04320305013942222,0.04320305013942222,0.04320305013942222
Haptics,0.1374121514403372,0.15425495532326494,0.14833118435714404,0.14500820481365181,0.1469383827883252,0.1480518657237368,0.1514946321221835,0.1598344697537505,0.16004234141268145,0.13253833972218482,0.13253833972218482,0.13253833972218482,0.13253833972218482
Herring,0.021444580564472755,0.020051723083026874,0.0191580009910116,0.020446100453678718,0.019784353278567278,0.017989936989053913,0.019934064813012773,0.023591069878049743,0.025011571429334623,0.017510666875978045,0.017510666875978045,0.017510666875978045,0.017510666875978045
InsectWingbeatSound,0.526224323029578,0.5261106822727122,0.529977118667575,0.5204534932221703,0.5263552345159713,0.5252835985756208,0.5354914161682984,0.5205842915285686,0.4764814434442048,0.44656378043107514,0.44656378043107514,0.44656378043107514,0.44656378043107514
ItalyPowerDemand,0.005191050473213269,0.005191050473213269,0.006607939558180964,0.013376182655253274,0.013172490676740247,0.027423063944999642,0.004999961594475748,0.004999961594475748,0.004999961594475748,0.004999961594475748,0.004999961594475748,0.004999961594475748,0.004999961594475748
LargeKitchenAppliances,0.04508923929973748,0.03885448414277387,0.043911331372715544,0.02829360187025608,0.03526220530222022,0.04452222240021875,0.04470061921711789,0.056478075464233876,0.023384064195046676,0.023384064195046676,0.023384064195046676,0.023384064195046676,0.023384064195046676
Lightning2,0.04009985383590421,0.05706805987386014,0.07886291566666229,0.07669121122822431,0.07928107895344585,0.09593232237747894,0.07065684365478253,0.06875981371061153,0.07249814801577059,0.1064662608138989,0.1064662608138989,0.1064662608138989,0.1064662608138989
Lightning7,0.5547518972002716,0.5363914452786063,0.5433730506257559,0.5469500565584747,0.542276647329305,0.5458305557121366,0.5341649848320924,0.5459750643413475,0.5204783271237332,0.4516216287654392,0.4516216287654392,0.4516216287654392,0.4516216287654392
Meat,0.6621626694158814,0.6737581747296796,0.7108623978694064,0.7071212076037627,0.7095474301135162,0.6874952299391461,0.7358930058746778,0.7509505618080261,0.7509505618080261,0.7509505618080261,0.7509505618080261,0.7509505618080261,0.7509505618080261
MedicalImages,0.2519089146456122,0.25170203631844246,0.2542516528364672,0.24725389060754566,0.25246031305676414,0.2509525295866063,0.23384784102307837,0.21961039901584467,0.1745682539039483,0.1745682539039483,0.1745682539039483,0.1745682539039483,0.1745682539039483
MiddlePhalanxOutlineAgeGroup,0.20631723946732525,0.1994220541869932,0.14887799027539508,0.23281182519237847,0.17415002223119416,0.19858205884850716,0.14409348463904537,0.11677412088545536,0.11677412088545536,0.11677412088545536,0.11677412088545536,0.11677412088545536,0.11677412088545536
OSULeaf,0.5960631123788784,0.5736336245243309,0.6369805018200803,0.6185089714378318,0.5571674553918355,0.5578969085155664,0.5683222792226529,0.584751874293382,0.573943154634021,0.5645960494742589,0.524981121411565,0.524981121411565,0.524981121411565
OliveOil,0.7125710379459946,0.7165809285162392,0.7020635478696613,0.7064731452215757,0.7480025334432372,0.7340133857170124,0.7701388059444444,0.5784774692614925,0.5784774692614925,0.5784774692614925,0.5784774692614925,0.5784774692614925,0.5784774692614925
Phoneme,0.3250987257672401,0.32135852268334175,0.3272502511628558,0.32478635352231466,0.3261150236190251,0.32822263106972244,0.32743423497001134,0.3326703443155853,0.3255383431982918,0.313782188917486,0.2780990963896838,0.2780990963896838,0.2780990963896838
Plane,0.9939963018579828,0.986184315336283,1.0,0.9946783304971494,0.9966979713599133,0.9814628099107777,0.9385504524209305,0.9072718726532976,0.9072718726532976,0.9072718726532976,0.9072718726532976,0.9072718726532976,0.9072718726532976
ProximalPhalanxOutlineCorrect,0.11108395428390902,0.11108395428390902,0.11108395428390902,0.11108395428390902,0.11108395428390902,0.11108395428390902,0.11108395428390902,0.1188024884118071,0.1188024884118071,0.1188024884118071,0.1188024884118071,0.1188024884118071,0.1188024884118071
ProximalPhalanxTW,0.4451547924628335,0.44314947966605633,0.44174400156233684,0.43905015346536996,0.44090083040153766,0.43639342740062037,0.4324157672338306,0.439886606307715,0.439886606307715,0.439886606307715,0.439886606307715,0.439886606307715,0.439886606307715
ScreenType,0.058179777161730374,0.0590630985826419,0.058290952915391034,0.06217081135580129,0.06052873067932792,0.06562149246772213,0.06569048157964366,0.07145701113782173,0.06477906592128599,0.06477906592128599,0.06477906592128599,0.06477906592128599,0.06477906592128599
ShapeletSim,0.7677233041439769,0.543284906549252,0.7090744280773872,0.6703826005654949,0.8302584930456497,0.7853002243732999,0.6951485015609811,0.6015286366240187,0.5604110904082323,0.6446951553724163,0.6405890882363273,0.6569836973778126,0.6569836973778126
Strawberry,0.12942936722677187,0.12942936722677187,0.1294267645939878,0.1284470641023784,0.12674286259655732,0.1323877687202757,0.13126333465389978,0.130843480018549,0.130843480018549,0.130843480018549,0.130843480018549,0.130843480018549,0.130843480018549
SwedishLeaf,0.7764315712358327,0.778558641706379,0.781413270638034,0.7948702084558457,0.7919606622062102,0.7868006768014537,0.7680145870593714,0.7117396324991969,0.6477759123415794,0.6477759123415794,0.6477759123415794,0.6477759123415794,0.6477759123415794
SyntheticControl,0.8534165881487574,0.8486016019378353,0.8610175042535632,0.8654321130786726,0.8572568047045712,0.8606746371865045,0.8702658430956403,0.789324494428639,0.8438946433076191,0.8438946433076191,0.8438946433076191,0.8438946433076191,0.8438946433076191
ToeSegmentation1,0.1922642193318196,0.2149669582365156,0.20833682712296292,0.19795161896072383,0.22259992748972945,0.20848071551070174,0.2222964450946253,0.2391573511410224,0.30864125456870384,0.2675850437198717,0.33277754250380537,0.33277754250380537,0.33277754250380537
Trace,0.536820823135624,0.5439618414112961,0.5624846098450231,0.5756554798487654,0.6084267853687111,0.5669299279039874,0.5581501095666707,0.5581501095666707,0.5581501095666707,0.5581501095666707,0.5581501095666707,0.5581501095666707,0.5581501095666707
UWaveGestureLibraryY,0.4318091833382526,0.42793582577423217,0.4308574303028393,0.42691717302716886,0.4336590523272168,0.44559642914509945,0.4321524284642827,0.42698259982592746,0.41110121905945735,0.42100162664187063,0.42100162664187063,0.42100162664187063,0.42100162664187063
Wafer,4.3097400478412244e-05,4.3097400478412244e-05,4.3097400478412244e-05,4.3097400478412244e-05,4.3097400478412244e-05,4.3097400478412244e-05,4.673265178210892e-05,5.4003154389502286e-05,5.4003154389502286e-05,5.4003154389502286e-05,5.4003154389502286e-05,5.4003154389502286e-05,5.4003154389502286e-05
