,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.26272662232400174,0.26100549925880556,0.25574781280894926,0.2339787850197074,0.24471574071631874,0.24942118262710328,0.2381671935851862,0.24179226165975104,0.24179226165975104,0.24179226165975104,0.24179226165975104,0.24179226165975104,0.24179226165975104
BirdChicken,0.5672982421159121,0.5571361806730177,0.5423053521090984,0.5337589047512465,0.547029000773499,0.5360285343084963,0.5651618060900477,0.5658195070850697,0.5202262895717953,0.5202262895717953,0.5202262895717953,0.5202262895717953,0.5202262895717953
Car,0.5046347551111853,0.5182245479549066,0.5162581226011072,0.5018691281152481,0.521330663932768,0.5367800313482054,0.5243664016454079,0.5354654172166055,0.503561387739406,0.4715775731175255,0.4715775731175255,0.4715775731175255,0.4715775731175255
CricketX,0.21310751730209518,0.20867346384150304,0.2011714690627055,0.2084352171623852,0.20525325836708364,0.21372246150167867,0.20674008576644515,0.19594251305874058,0.1753904351200471,0.1431724915113802,0.1431724915113802,0.1431724915113802,0.1431724915113802
CricketY,0.2778747429877622,0.28131275207600515,0.280353763272181,0.29029675516418807,0.28804696299050486,0.28735558204851663,0.2919015184823279,0.29097712321233576,0.25301400481287944,0.22212664784336072,0.2121298499420345,0.2121298499420345,0.2121298499420345
CricketZ,0.22177225827738406,0.22442548553361,0.2185368123194476,0.2173056506334134,0.2084426338227086,0.2210319513090032,0.2136303215180956,0.2158449484822642,0.17663604699410862,0.14981664759114988,0.14981664759114988,0.14981664759114988,0.14981664759114988
DistalPhalanxTW,0.4508783654609281,0.4560330071466357,0.434850395078751,0.4280069951163788,0.4456154822176247,0.4349485489691718,0.4595532589219755,0.4169005589227967,0.4169005589227967,0.4169005589227967,0.4169005589227967,0.4169005589227967,0.4169005589227967
ECG200,0.6385843498457104,0.6385843498457104,0.645235768069195,0.645235768069195,0.6391275695745247,0.6448057829133317,0.6448057829133317,0.6449491112986194,0.6449491112986194,0.6449491112986194,0.6449491112986194,0.6449491112986194,0.6449491112986194
ECG5000,0.7351047259665915,0.7143090729748474,0.7405416168052021,0.7360184341838959,0.7607436271192223,0.7315018601817719,0.730204454889951,0.7375642113894527,0.762892985645527,0.762892985645527,0.762892985645527,0.762892985645527,0.762892985645527
FiftyWords,0.4516938367643166,0.48931576290482787,0.47492801814115315,0.4715437014875552,0.48809364079656203,0.4786580742841652,0.46455271645900664,0.4329450731773045,0.3953037298261851,0.18355080381190264,0.18355080381190264,0.18355080381190264,0.18355080381190264
Fish,0.6206359448177211,0.6061884665309194,0.5985832897064653,0.6162827660497248,0.5947603885960773,0.6127891559264934,0.6505188117803262,0.6326161241424471,0.47045187312506487,0.33367931021903474,0.33367931021903474,0.33367931021903474,0.33367931021903474
FordA,0.5024146198013524,0.502512332897975,0.502405566564996,0.5024436655940496,0.5024176314617465,0.5025392549508504,0.5024051527531268,0.5024383502567616,0.5022040512632334,0.5020080409507266,0.502186462745174,0.502186462745174,0.502186462745174
FordB,0.6452452577000211,0.6452452577000211,0.6452452577000211,0.6452452577000211,0.6453994927206537,0.6453994927206537,0.6452452577000211,0.6453994927206537,0.6453994927206537,0.6443687139462104,0.644172837703217,0.644172837703217,0.644172837703217
Haptics,0.2970735007439108,0.30260917543777294,0.3022266075599425,0.29713845610662687,0.3029753028244017,0.3000244944563552,0.3035692679661427,0.31464500937237816,0.3125132544677447,0.30717840563466686,0.30717840563466686,0.30717840563466686,0.30717840563466686
Herring,0.5341781833122888,0.5509346856017495,0.523422690572511,0.5248090066373297,0.5459342110858804,0.5347040568226278,0.5408893054333446,0.5273393570194794,0.5270253673674733,0.5293102520315313,0.5293102520315313,0.5293102520315313,0.5293102520315313
InsectWingbeatSound,0.3886775896680764,0.39205445231412817,0.39448484531136774,0.3857814714934369,0.3952014504448011,0.3886170569589992,0.4035197134724979,0.39465617600288616,0.3361017007533754,0.3138618190042273,0.3138618190042273,0.3138618190042273,0.3138618190042273
ItalyPowerDemand,0.5832106026690639,0.5832106026690639,0.5806524818216616,0.5913538723408361,0.592116918173805,0.5842996134388321,0.5829889681447539,0.5829889681447539,0.5829889681447539,0.5829889681447539,0.5829889681447539,0.5829889681447539,0.5829889681447539
LargeKitchenAppliances,0.3949709451018558,0.39495228768036594,0.4013471659174207,0.39586540289799155,0.39102576835218417,0.40823049213335094,0.3980834161811013,0.40970359000439094,0.3856527794432099,0.3856527794432099,0.3856527794432099,0.3856527794432099,0.3856527794432099
Lightning2,0.5283040427851124,0.5383771430386946,0.5623567944264078,0.5613708125202275,0.5680543585121771,0.5840082158019063,0.5652073520446077,0.5635631603067172,0.5583130210019223,0.5952574877584857,0.5952574877584857,0.5952574877584857,0.5952574877584857
Lightning7,0.42526256781924765,0.4018186414603028,0.40176252098860177,0.41406370375203316,0.40467933328340455,0.4021175782825665,0.3939662270602626,0.4042762111979778,0.39040508356631254,0.3441734193490083,0.3441734193490083,0.3441734193490083,0.3441734193490083
Meat,0.6784440887221106,0.7013155376931559,0.7178949270887003,0.7154370964650907,0.7407619863997985,0.6973689583260493,0.7077362386323622,0.6763477079690079,0.6763477079690079,0.6763477079690079,0.6763477079690079,0.6763477079690079,0.6763477079690079
MedicalImages,0.24450889104243329,0.24524138966531375,0.25379912126241577,0.24383133841233046,0.2514857772775849,0.24782195920564373,0.24338416023458348,0.2370693378492354,0.2185498078431817,0.2185498078431817,0.2185498078431817,0.2185498078431817,0.2185498078431817
MiddlePhalanxOutlineAgeGroup,0.5269483254826618,0.526590352888852,0.4910170710741368,0.5451931135102974,0.5088037119814943,0.5266175119358694,0.4905080539605321,0.47303222176201964,0.47303222176201964,0.47303222176201964,0.47303222176201964,0.47303222176201964,0.47303222176201964
OSULeaf,0.5575599535648076,0.5149352644837883,0.5751426264262662,0.5741553747433185,0.499970405502432,0.5006671844027836,0.5159944255802388,0.5425602371789074,0.5244980216010993,0.5414390330318777,0.50764426884391,0.50764426884391,0.50764426884391
OliveOil,0.7341588218033097,0.738912648688725,0.7231015979000835,0.7111360946840388,0.7607595700727667,0.7615904537882245,0.7828319789497145,0.66735400460621,0.66735400460621,0.66735400460621,0.66735400460621,0.66735400460621,0.66735400460621
Phoneme,0.14099661710155137,0.13549784692049363,0.14380098407180936,0.14275995812485748,0.14336000371285376,0.14329233726137094,0.14076234762018405,0.14262740296876408,0.13355766169859978,0.12733573654560687,0.1024887120248665,0.1024887120248665,0.1024887120248665
Plane,0.953984087239008,0.9333047077881093,0.9842898535516863,0.9624021074084226,0.9852358522464953,0.980595084087969,0.904530399956444,0.8690082822955271,0.8690082822955271,0.8690082822955271,0.8690082822955271,0.8690082822955271,0.8690082822955271
