,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.2809918579612695,0.24800984018361935,0.261142354107937,0.2323303881762233,0.25098756589065124,0.24164658385524024,0.23681044733056003,0.2470258451721528,0.2470258451721528,0.2470258451721528,0.2470258451721528,0.2470258451721528,0.2470258451721528
BirdChicken,0.14354088298187545,0.11734558528929055,0.10530254332563027,0.06757598854268002,0.08048175449308081,0.09771015480196442,0.13421148731659974,0.10711143659351548,0.08804184363371902,0.08804184363371902,0.08804184363371902,0.08804184363371902,0.08804184363371902
Car,0.4499641096977484,0.46516685964574667,0.4614985015351105,0.4398670357998524,0.46947453616225443,0.49705775642219663,0.47041777113458627,0.4937115519889086,0.453458034544303,0.40269059345578107,0.40269059345578107,0.40269059345578107,0.40269059345578107
CricketX,0.33612934065732125,0.3248250731500872,0.31066635291633415,0.3243420565916161,0.3197059776067999,0.33176596501764194,0.3257660944908798,0.3107101788793688,0.2703021403217206,0.20561347735174412,0.20561347735174412,0.20561347735174412,0.20561347735174412
CricketY,0.42151706693880253,0.4246144570655628,0.4222994730985145,0.42756846715720576,0.4266023176685782,0.42937130910413146,0.4336261727852103,0.4340297770017322,0.38819991171783974,0.34163702525710143,0.33448496551629336,0.33448496551629336,0.33448496551629336
CricketZ,0.3284158716075426,0.3293586097709835,0.3300284836934665,0.3175724144028166,0.31474461800293557,0.33056841524281894,0.3237636168905022,0.31962607612668625,0.262651023328643,0.22397840957485035,0.22397840957485035,0.22397840957485035,0.22397840957485035
DistalPhalanxTW,0.43384003252226905,0.4276264448743925,0.41803173657149006,0.4166819326302472,0.4314636346023536,0.43636686192893226,0.39642741786366675,0.39882558161057313,0.39882558161057313,0.39882558161057313,0.39882558161057313,0.39882558161057313,0.39882558161057313
ECG200,0.09236181657887932,0.09236181657887932,0.09727583228904332,0.09727583228904332,0.10219763018166231,0.11132211429465022,0.11132211429465022,0.10664002029278126,0.10664002029278126,0.10664002029278126,0.10664002029278126,0.10664002029278126,0.10664002029278126
ECG5000,0.6550360070995442,0.6498939025735486,0.6673854152007787,0.6506670974742775,0.6493495627223814,0.6577260165026165,0.6442837673350998,0.6048537661423505,0.6803079425311622,0.6803079425311622,0.6803079425311622,0.6803079425311622,0.6803079425311622
FiftyWords,0.7746829723420096,0.7791880210309373,0.7821609172945098,0.783307482676382,0.7901374714475539,0.7895993518902682,0.7852200721130657,0.7582900732399352,0.7171392722674679,0.5754472726843058,0.5754472726843058,0.5754472726843058,0.5754472726843058
Fish,0.6476830974925112,0.6351261445218677,0.6220116829993138,0.6263204946265758,0.6104664434383462,0.6384538834926412,0.6770828662653615,0.6687272380255822,0.5066620064188739,0.3656222773749848,0.3656222773749848,0.3656222773749848,0.3656222773749848
FordA,0.0006574842330707246,0.0006873173174635282,0.000651267545616531,0.0006582503363722363,0.0006420390426304836,0.0006959590645709103,0.0006448308043554866,0.0006352474071179332,0.000560530652656243,0.0005540507626561729,0.0006148934824877363,0.0006148934824877363,0.0006148934824877363
FordB,0.021659748952824104,0.021659748952824104,0.021659748952824104,0.021659748952824104,0.02171175330795059,0.02171175330795059,0.021659748952824104,0.02171175330795059,0.02171175330795059,0.02050137682683277,0.02023277126527165,0.02023277126527165,0.02023277126527165
Haptics,0.11713607761068827,0.13663657326583656,0.12974667994822697,0.12387366808061706,0.12598929651409604,0.12798024505426653,0.12939770726658284,0.13126586771387716,0.13292028669037234,0.10431727903036178,0.10431727903036178,0.10431727903036178,0.10431727903036178
Herring,0.01946589296942723,0.017807182496274707,0.01768875123287397,0.019795027069673392,0.018241603769068696,0.016854115884293294,0.018483185063606453,0.022163765426563654,0.023592188637362357,0.016100972410106086,0.016100972410106086,0.016100972410106086,0.016100972410106086
InsectWingbeatSound,0.49861594076932036,0.49804092241779524,0.5070166214382792,0.4989864974928058,0.5055049819864506,0.5032326825750024,0.5155412530736412,0.5012736644021034,0.46003141034536243,0.4376590772847134,0.4376590772847134,0.4376590772847134,0.4376590772847134
ItalyPowerDemand,0.004019053928685492,0.004019053928685492,0.005171272373859548,0.006128074317353698,0.005950372361865334,0.025600491592566194,0.0036331691385818356,0.0036331691385818356,0.0036331691385818356,0.0036331691385818356,0.0036331691385818356,0.0036331691385818356,0.0036331691385818356
LargeKitchenAppliances,0.034609748869996786,0.030804732242368127,0.032974571444312546,0.02290456363200804,0.0277166302697189,0.03221879654054694,0.033275313376435516,0.04046953049578283,0.02007565463482767,0.02007565463482767,0.02007565463482767,0.02007565463482767,0.02007565463482767
Lightning2,0.031672306608895515,0.0463841240885564,0.06031245427279054,0.058154535763822054,0.05895674158426038,0.07033183778088123,0.05043396656796496,0.04857046365200156,0.0548933766547378,0.07700823950289906,0.07700823950289906,0.07700823950289906,0.07700823950289906
Lightning7,0.5165477980412901,0.49759957444042735,0.49586459635011676,0.487942039416619,0.48733453654297954,0.5181573331601884,0.526946451989544,0.5366590590949409,0.5055628160153006,0.43125457403278944,0.43125457403278944,0.43125457403278944,0.43125457403278944
Meat,0.5054114821203173,0.5580396368266143,0.5809136808748163,0.5809136808748163,0.620948989285145,0.5226484314267684,0.509018718866092,0.4272396184793684,0.4272396184793684,0.4272396184793684,0.4272396184793684,0.4272396184793684,0.4272396184793684
MedicalImages,0.32706201307871097,0.3266366955614993,0.3318075304085096,0.32181021893225753,0.329008543621785,0.32647170851245144,0.3060291096205592,0.28792610566751264,0.22771262253003677,0.22771262253003677,0.22771262253003677,0.22771262253003677,0.22771262253003677
MiddlePhalanxOutlineAgeGroup,0.09309801725407066,0.09262576990294391,0.09639111030358265,0.0921598417560048,0.09450844010326329,0.0944734690918739,0.09637046519579413,0.09812036247743322,0.09812036247743322,0.09812036247743322,0.09812036247743322,0.09812036247743322,0.09812036247743322
OSULeaf,0.5625711159434187,0.5203044215451057,0.580604015856174,0.5797628706409913,0.5210097834044369,0.5329840719673877,0.5385575465912589,0.5649576744075271,0.5374451524620387,0.5542343381537369,0.5088710554014821,0.5088710554014821,0.5088710554014821
OliveOil,0.61578300483984,0.6194260190553678,0.5947320319632422,0.5827166895304646,0.6579674364370167,0.6534611495026766,0.6819440231183262,0.4964197671331723,0.4964197671331723,0.4964197671331723,0.4964197671331723,0.4964197671331723,0.4964197671331723
Phoneme,0.31875570714383605,0.3150031868510258,0.3051435519554252,0.31231258860698674,0.3158534703515805,0.3266418739915531,0.3366440594272806,0.34731462391069434,0.34087343824192684,0.3307680108870539,0.2963835752873262,0.2963835752873262,0.2963835752873262
Plane,0.9666024217198602,0.9544855424503016,0.9878831207304414,0.9701747921391887,0.9893596504947094,0.9814628099107777,0.924843145743291,0.8926334052986615,0.8926334052986615,0.8926334052986615,0.8926334052986615,0.8926334052986615,0.8926334052986615
ProximalPhalanxOutlineCorrect,0.12043704102104913,0.12043704102104913,0.12043704102104913,0.12043704102104913,0.12043704102104913,0.12043704102104913,0.12043704102104913,0.1285597731626047,0.1285597731626047,0.1285597731626047,0.1285597731626047,0.1285597731626047,0.1285597731626047
ProximalPhalanxTW,0.5297814477532102,0.5262753627408855,0.5257615169018376,0.5242423332840523,0.5232286147189689,0.5160405099685075,0.5200480086717294,0.5167104819992218,0.5167104819992218,0.5167104819992218,0.5167104819992218,0.5167104819992218,0.5167104819992218
ScreenType,0.0483204297290463,0.04903592610050602,0.04818374136087829,0.05099534262581137,0.04934596760653578,0.053082286931078734,0.054226384831830385,0.058057374969511,0.05147639880062784,0.05147639880062784,0.05147639880062784,0.05147639880062784,0.05147639880062784
ShapeletSim,0.34931485135349283,0.09910344830513836,0.19182056473408057,0.0344707595987555,0.11299214656814816,0.171569305290096,0.1839883779555549,0.2773410333003764,0.22689468471886562,0.5109447429358478,0.40618590779277,0.4207215371871464,0.4207215371871464
Strawberry,0.09135180450220491,0.09135180450220491,0.09135954675091426,0.09100370307039936,0.08980619628468696,0.0940641963403506,0.09512999394821006,0.09143478949662495,0.09143478949662495,0.09143478949662495,0.09143478949662495,0.09143478949662495,0.09143478949662495
SwedishLeaf,0.7367379735882946,0.740591939437133,0.7389529743642445,0.7476319640666722,0.7435116651203781,0.7424768079376958,0.721649641382717,0.6676622361491782,0.5941693893567664,0.5941693893567664,0.5941693893567664,0.5941693893567664,0.5941693893567664
SyntheticControl,0.8150654418668903,0.8089274168753395,0.8164743984630636,0.8217916884951633,0.8156235770449515,0.8156785514593607,0.8289463565818178,0.7590735163274607,0.8165453140220217,0.8165453140220217,0.8165453140220217,0.8165453140220217,0.8165453140220217
ToeSegmentation1,0.1303424238336325,0.1539304816038469,0.14401711610358595,0.13252126322019578,0.17640952900688306,0.16012495908655916,0.1855334247383671,0.211407324144334,0.2785069115831632,0.232905227724656,0.293401338479638,0.293401338479638,0.293401338479638
Trace,0.5345307185028527,0.534360181707376,0.5612634860635796,0.5627619472953607,0.5797730879580878,0.5366496436965621,0.5090030086996541,0.5090030086996541,0.5090030086996541,0.5090030086996541,0.5090030086996541,0.5090030086996541,0.5090030086996541
UWaveGestureLibraryY,0.4005015650952407,0.3982468616601174,0.3988360139960803,0.39861784048391147,0.4001242744517791,0.39781727770436626,0.39499954336667853,0.39483345134179404,0.3805624180169164,0.405268136639488,0.405268136639488,0.405268136639488,0.405268136639488
Wafer,8.065855971947175e-05,8.065855971947175e-05,8.065855971947175e-05,8.065855971947175e-05,8.065855971947175e-05,8.065855971947175e-05,8.746733433108018e-05,0.00010108488355429705,0.00010108488355429705,0.00010108488355429705,0.00010108488355429705,0.00010108488355429705,0.00010108488355429705
WordSynonyms,0.571869071794566,0.5809103779322484,0.5770884317837657,0.5794282696770198,0.5988170729033383,0.6039122280693225,0.5872121824933876,0.5586751680713536,0.508276734038296,0.37060221290789397,0.37060221290789397,0.37060221290789397,0.37060221290789397
Worms,0.2922003263430689,0.34757863209516393,0.3189183412570255,0.31369513011307704,0.29818533388176505,0.2924253506156604,0.31009172357412496,0.26753625628247335,0.32251788712374757,0.21738463340482,0.21738463340482,0.21738463340482,0.21738463340482
Yoga,0.0012730493632939874,0.0013070659366795452,0.0011237511629484075,0.0010814613747578172,0.0010095455470153444,0.00133674346036358,0.0019215400410779334,0.0024283512202150797,0.0033237792706112363,0.003622945599633003,0.003622945599633003,0.003622945599633003,0.003622945599633003
