,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.452238949288165,0.3991564394482393,0.4202924052436049,0.37392133494134505,0.403948904093966,0.3889151734668097,0.3811317119942821,0.39757276057113905,0.39757276057113905,0.39757276057113905,0.39757276057113905,0.39757276057113905,0.39757276057113905
BirdChicken,0.09949495833397196,0.08133776159442829,0.07299016101195208,0.0468401059319098,0.055785701213396655,0.0677275183130574,0.09302831403225792,0.07424399028052056,0.06102595568601188,0.06102595568601188,0.06102595568601188,0.06102595568601188,0.06102595568601188
Car,0.6185385606601593,0.639436865365456,0.6343941944127371,0.6046587213105741,0.6453583688251432,0.6832753604034656,0.6466549771313976,0.6786755347079652,0.6233414487107068,0.5535545051245017,0.5535545051245017,0.5535545051245017,0.5535545051245017
CricketX,0.8325145805218558,0.8045165262505799,0.7694486532315856,0.8033202060282084,0.7918377113915824,0.8217075089546334,0.8068472183147122,0.7695571999986142,0.6694758408297126,0.5092569946806247,0.5092569946806247,0.5092569946806247,0.5092569946806247
CricketY,1.0464506113964822,1.0541401358454467,1.048392998712225,1.0614737076244511,1.059075162458968,1.065949410284162,1.076512457547727,1.0775144380421557,0.9637380472192649,0.8481418713417679,0.8303862977825143,0.8303862977825143,0.8303862977825143
CricketZ,0.8131773645411038,0.8155116406875237,0.8171702886334746,0.7863283151663208,0.779326521944031,0.8185071914822497,0.8016581032719724,0.7914133045735041,0.6503396620235227,0.5545839545472252,0.5545839545472252,0.5545839545472252,0.5545839545472252
DistalPhalanxTW,0.7118720114394834,0.7016763660274331,0.6859327651913077,0.683717921989506,0.7079726682705381,0.7160181920531719,0.6504830402664222,0.6544180981732415,0.6544180981732415,0.6544180981732415,0.6544180981732415,0.6544180981732415,0.6544180981732415
ECG200,0.060350891456838404,0.060350891456838404,0.06356179873136167,0.06356179873136167,0.06677779102549619,0.07273989496302859,0.07273989496302859,0.06968052955247293,0.06968052955247293,0.06968052955247293,0.06968052955247293,0.06968052955247293,0.06968052955247293
ECG5000,0.5958969285429421,0.5912190722723295,0.6071313863087584,0.5919224602716391,0.5907238774404754,0.5983440739268122,0.5861154408367006,0.550245326295603,0.6188872199754986,0.6188872199754986,0.6188872199754986,0.6188872199754986,0.6188872199754986
FiftyWords,2.6780107881808357,2.6935843446174186,2.7038613850975013,2.7078249606137232,2.731435630094499,2.729575398191653,2.7144366138030462,2.6213419801493436,2.4790872864474953,1.9892705265212158,1.9892705265212158,1.9892705265212158,1.9892705265212158
Fish,1.2571021470490256,1.2327300851550185,1.2072759428418713,1.2156390086202298,1.1848675374095288,1.2391889657729838,1.314164794800957,1.297947175040868,0.9833912581062808,0.7096441943235398,0.7096441943235398,0.7096441943235398,0.7096441943235398
FordA,0.0004554004688035962,0.0004760640831307228,0.0004510945368304098,0.0004559311032813707,0.0004447024982463466,0.00048204971059680467,0.00044663618659110946,0.000439998333734426,0.0003882464539206376,0.0003837582171000442,0.00042590037312585926,0.00042590037312585926,0.00042590037312585926
FordB,0.015012337489029536,0.015012337489029536,0.015012337489029536,0.015012337489029536,0.015048381624709894,0.015048381624709894,0.015012337489029536,0.015048381624709894,0.015048381624709894,0.01420947161412293,0.014023301527370375,0.014023301527370375,0.014023301527370375
Haptics,0.1883482458703997,0.21970394963963186,0.20862538744875012,0.1991819136206711,0.2025837255345349,0.2057850591698104,0.20806425894090635,0.21106815620663005,0.21372836917016486,0.16773633640562385,0.16773633640562385,0.16773633640562385,0.16773633640562385
Herring,0.013148521266628133,0.012028121089473223,0.011948124965591111,0.013370839694221256,0.012321557273108805,0.011384358348363302,0.0124847368813517,0.014970838559393577,0.0159356878470389,0.010875636606045819,0.010875636606045819,0.010875636606045819,0.010875636606045819
InsectWingbeatSound,1.1956288073126657,1.1942499735257714,1.215772759777051,1.1965173635282151,1.212148006681335,1.2066992706642417,1.2362139336778328,1.2020017502481204,1.1031071442059122,1.049460632518311,1.049460632518311,1.049460632518311,1.049460632518311
ItalyPowerDemand,0.002785778818465157,0.002785778818465157,0.003584430888272186,0.0042476313914125065,0.004124458537207679,0.017744799767887644,0.002518305504169463,0.002518305504169463,0.002518305504169463,0.002518305504169463,0.002518305504169463,0.002518305504169463,0.002518305504169463
LargeKitchenAppliances,0.038022695416295674,0.03384245739059634,0.036226269402286286,0.025163235072704692,0.03044983061478368,0.03539596580554245,0.036556668184634364,0.04446032351929582,0.022055360884878562,0.022055360884878562,0.022055360884878562,0.022055360884878562,0.022055360884878562
Lightning2,0.021847053405958085,0.03199503113760165,0.04160257179286032,0.04011407392330828,0.04066742274056065,0.04851378319590206,0.03478854807420857,0.03350313339854435,0.0378645782329161,0.05311905892721201,0.05311905892721201,0.05311905892721201,0.05311905892721201
Lightning7,0.9711216622853275,0.9354985689909618,0.9322367705407894,0.9173421824930179,0.9162000632104871,0.9741476250831518,0.9906713692941471,1.008931292563752,0.9504696450940727,0.810768452388982,0.810768452388982,0.810768452388982,0.810768452388982
Meat,0.555251265091343,0.6130692025816075,0.6381989084644977,0.6381989084644977,0.6821821902647025,0.5741879894185595,0.5592142197083863,0.46937069506730894,0.46937069506730894,0.46937069506730894,0.46937069506730894,0.46937069506730894,0.46937069506730894
MedicalImages,0.558604238055082,0.5578778187274533,0.5667093251217092,0.5496344575538663,0.5619288069973123,0.5575960297665318,0.5226811759430066,0.4917622238014564,0.3889208496166852,0.3889208496166852,0.3889208496166852,0.3889208496166852,0.3889208496166852
MiddlePhalanxOutlineAgeGroup,0.09093954532211113,0.09047824699742354,0.09415628820728714,0.0900231213665545,0.09231726760235533,0.09228310739176218,0.09413612175508128,0.09584544777346862,0.09584544777346862,0.09584544777346862,0.09584544777346862,0.09584544777346862,0.09584544777346862
OSULeaf,0.9886739086219466,0.9143935611760388,1.0203652932936145,1.0188870476033451,0.9156331784380949,0.93667703643398,0.9464719739713384,0.9928680949532307,0.944517029928717,0.9740226859604079,0.8943003312295174,0.8943003312295174,0.8943003312295174
OliveOil,0.7974318779420937,0.8021495392682839,0.7701711112409089,0.7546113815877996,0.8520602295595691,0.8462246400347635,0.8831096323421143,0.642857863957357,0.642857863957357,0.642857863957357,0.642857863957357,0.642857863957357,0.642857863957357
Phoneme,1.0427300011204663,1.030454564472799,0.9982012216295985,1.02165294164019,1.0332360554253235,1.068527634171929,1.1012472956457766,1.136153392905787,1.1150826563226133,1.0820252645931072,0.9695451371227873,0.9695451371227873,0.9695451371227873
Plane,1.8576490561915158,1.8343624299289492,1.8985470195566012,1.8645145578587106,1.901384664136625,1.8862082502067554,1.777394674594697,1.7154929116851054,1.7154929116851054,1.7154929116851054,1.7154929116851054,1.7154929116851054,1.7154929116851054
ProximalPhalanxOutlineCorrect,0.075144792704672,0.075144792704672,0.075144792704672,0.075144792704672,0.075144792704672,0.075144792704672,0.075144792704672,0.08021284334588703,0.08021284334588703,0.08021284334588703,0.08021284334588703,0.08021284334588703,0.08021284334588703
ProximalPhalanxTW,0.7563432684389704,0.7513378009789585,0.7506042082058867,0.7484353434641947,0.7469881066535359,0.7367259982616651,0.7424473097200304,0.737682484823477,0.737682484823477,0.737682484823477,0.737682484823477,0.737682484823477,0.737682484823477
ScreenType,0.05308541789405409,0.05387147100023719,0.05293525037306672,0.05602411007355701,0.054212086408758645,0.05831685273308966,0.05957377274629483,0.06378254558931708,0.056552604298750066,0.056552604298750066,0.056552604298750066,0.056552604298750066,0.056552604298750066
ShapeletSim,0.24212660434338998,0.06869327577647494,0.13295988361884442,0.02389330982763705,0.078320187819128,0.11892278023245857,0.12753102543569048,0.19223815528573784,0.15727141099691946,0.354159907987909,0.2815466167697405,0.29162194730211677,0.29162194730211677
Strawberry,0.059518376493195226,0.059518376493195226,0.05952342079501388,0.05929157821385174,0.05851136746581483,0.06128557922662266,0.061979977587287724,0.059572443647840846,0.059572443647840846,0.059572443647840846,0.059572443647840846,0.059572443647840846,0.059572443647840846
SwedishLeaf,1.9917369999619687,2.002156018192202,1.9977251520032113,2.0211883988186585,2.0100493613909167,2.007251672912358,1.9509463924476063,1.8049939420643863,1.6063094335463248,1.6063094335463248,1.6063094335463248,1.6063094335463248,1.6063094335463248
