,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.3125021091444287,0.2824073328986008,0.2894975366163783,0.2603341323291621,0.28142611303894516,0.2756346644882802,0.265367256563727,0.2714686552698275,0.2714686552698275,0.2714686552698275,0.2714686552698275,0.2714686552698275,0.2714686552698275
BirdChicken,0.1498002567039452,0.12393074113989196,0.11230653423561696,0.07236012014102636,0.08562464704072287,0.10121854777080619,0.14787831101495494,0.12192932473808252,0.09112640371181054,0.09112640371181054,0.09112640371181054,0.09112640371181054,0.09112640371181054
Car,0.45808002733600117,0.4753087028712034,0.47285661366436643,0.4531529932289679,0.4829538554535116,0.5053524617645536,0.4836189806928742,0.5089166968486272,0.4672655455408322,0.41521493653625735,0.41521493653625735,0.41521493653625735,0.41521493653625735
CricketX,0.34260359034956916,0.32990199909059337,0.31741226930024014,0.3296807207758162,0.3250573807505403,0.3369840848267808,0.3310421003898024,0.31524278681887263,0.2736725769670099,0.20768852041573832,0.20768852041573832,0.20768852041573832,0.20768852041573832
CricketY,0.4292896282522315,0.4306341978031122,0.4296785443416219,0.43598866856386953,0.4341682616624688,0.4365248454968018,0.4391640603608605,0.43851854171107324,0.39317156838435474,0.346306106360752,0.33792142763688504,0.33792142763688504,0.33792142763688504
CricketZ,0.33422115892305215,0.3351048448907691,0.33456577027943374,0.3256079029830408,0.3208851393345555,0.3355350867998209,0.3293860049917379,0.32268010108179157,0.2658181111874661,0.225535533249866,0.225535533249866,0.225535533249866,0.225535533249866
DistalPhalanxTW,0.4389607714990461,0.4378419499533471,0.4280055901141798,0.42681856107673505,0.44113005693888513,0.4406335208394984,0.41449531656305993,0.4014294158591535,0.4014294158591535,0.4014294158591535,0.4014294158591535,0.4014294158591535,0.4014294158591535
ECG200,0.09751018398974842,0.09751018398974842,0.10308388425858502,0.10308388425858502,0.10684854702851468,0.11632657661728504,0.11632657661728504,0.11191234583105167,0.11191234583105167,0.11191234583105167,0.11191234583105167,0.11191234583105167,0.11191234583105167
ECG5000,0.5264783663834217,0.5171667005586648,0.5370349900916297,0.5271706114547998,0.5344923712795644,0.5281322127514196,0.5185569052481922,0.4908910911349615,0.5507257945965432,0.5507257945965432,0.5507257945965432,0.5507257945965432,0.5507257945965432
FiftyWords,0.7528684343326393,0.760569727404204,0.7613910960943635,0.7627758027326423,0.7671952782421765,0.7641954662085811,0.7568967634433694,0.729445907438983,0.6936146419456806,0.5545051296794726,0.5545051296794726,0.5545051296794726,0.5545051296794726
Fish,0.6695250148444016,0.6588429306700723,0.6425777017956035,0.6519692581557408,0.6324444653845952,0.6595287433493825,0.6955029188591402,0.6807110967139669,0.5201465266203406,0.3781510130988835,0.3781510130988835,0.3781510130988835,0.3781510130988835
FordA,0.0006598539076633356,0.0006898360839754526,0.0006535638844779798,0.0006606444290444697,0.0006443469746501305,0.0006985294990440741,0.0006471499903879607,0.0006375589972378049,0.0005624716694014218,0.0005558943632167297,0.0006171452664372573,0.0006171452664372573,0.0006171452664372573
FordB,0.029584359097598257,0.029584359097598257,0.029584359097598257,0.029584359097598257,0.029671614112470174,0.029671614112470174,0.029584359097598257,0.029671614112470174,0.029671614112470174,0.02794079323752268,0.027558662604006284,0.027558662604006284,0.027558662604006284
Haptics,0.12634398634414098,0.1447541331109377,0.13803352469897762,0.13331018246609155,0.13556218003468176,0.13720739024581802,0.139522336337109,0.1438804679624599,0.1449641110473401,0.11666363895598537,0.11666363895598537,0.11666363895598537,0.11666363895598537
Herring,0.020283840583960388,0.018699506831650642,0.01826384621707198,0.020071002181929275,0.018877001387877262,0.017325074382184218,0.01910615656635481,0.022853100842567968,0.024278913204837844,0.016776257882156264,0.016776257882156264,0.016776257882156264,0.016776257882156264
InsectWingbeatSound,0.5120292475670084,0.5116668666133334,0.5181806964112359,0.5094735460147193,0.5156767125801333,0.513987784207464,0.5251992411818056,0.5107269676665361,0.46808313877329855,0.442059975534975,0.442059975534975,0.442059975534975,0.442059975534975
ItalyPowerDemand,0.004527908765231213,0.004527908765231213,0.00579927310238932,0.007833326851618139,0.007643447233547473,0.02641649980930133,0.0042081858378764095,0.0042081858378764095,0.0042081858378764095,0.0042081858378764095,0.0042081858378764095,0.0042081858378764095,0.0042081858378764095
LargeKitchenAppliances,0.03898629858577947,0.03422807594079071,0.037535844986954954,0.025076517596090635,0.030909448823432956,0.03709544722492064,0.037969174147767695,0.04697137763612481,0.021603548632279854,0.021603548632279854,0.021603548632279854,0.021603548632279854,0.021603548632279854
Lightning2,0.035169050963573686,0.0509361227457568,0.0680071869625038,0.06584235001857684,0.06723514520436001,0.08083429502119022,0.058661624301885484,0.05678182243119674,0.06215086934324977,0.08907300343972517,0.08907300343972517,0.08907300343972517,0.08907300343972517
Lightning7,0.5343547993141977,0.5158869538380959,0.5179662300661094,0.5152384633552293,0.5094384077100639,0.5313579897648396,0.530426343882403,0.5411735430329239,0.5129012473594372,0.44106476184034127,0.44106476184034127,0.44106476184034127,0.44106476184034127
Meat,0.5643672707917863,0.6015908095282506,0.6305529496885163,0.6291395198698131,0.6555423602663633,0.5826214416153015,0.5914127704943043,0.5442527774046182,0.5442527774046182,0.5442527774046182,0.5442527774046182,0.5442527774046182,0.5442527774046182
MedicalImages,0.28458541612053195,0.2843059489041261,0.28788117056009976,0.27963724572000015,0.2856851800352933,0.2837717696147181,0.26511128804653245,0.2491634488561572,0.19762944913288116,0.19762944913288116,0.19762944913288116,0.19762944913288116,0.19762944913288116
MiddlePhalanxOutlineAgeGroup,0.11566901645769631,0.11477315927980328,0.10980339831260151,0.11922127898157406,0.11228827879620237,0.11724067553499196,0.10978869132104167,0.1066375368743184,0.1066375368743184,0.1066375368743184,0.1066375368743184,0.1066375368743184,0.1066375368743184
OSULeaf,0.5785391344912036,0.5449728739751619,0.6068915290198916,0.5982166868249275,0.5381691132877262,0.5449283567346892,0.5527193848724989,0.5745301673294038,0.5546787746054743,0.559321511546947,0.5166945728258618,0.5166945728258618,0.5166945728258618
OliveOil,0.6565990002940814,0.660416658754244,0.6394979154308231,0.6358464592179967,0.6997303039631624,0.6913732184638542,0.7233558189414993,0.5339845100746057,0.5339845100746057,0.5339845100746057,0.5339845100746057,0.5339845100746057,0.5339845100746057
Phoneme,0.32186438179292837,0.31811380970190434,0.3157429628047415,0.3183957131507281,0.3208768751205027,0.3274080993075657,0.3319679027131096,0.3398237487412169,0.3330237676466604,0.3220478477451341,0.28694635053794243,0.28694635053794243,0.28694635053794243
Plane,0.9795510712060626,0.9695830895698723,0.9935508420221831,0.9818851787765602,0.9928840951328605,0.9814628099107777,0.9315307860870794,0.8996724894849125,0.8996724894849125,0.8996724894849125,0.8996724894849125,0.8996724894849125,0.8996724894849125
ProximalPhalanxOutlineCorrect,0.11557157260186493,0.11557157260186493,0.11557157260186493,0.11557157260186493,0.11557157260186493,0.11557157260186493,0.11557157260186493,0.1234886911541305,0.1234886911541305,0.1234886911541305,0.1234886911541305,0.1234886911541305,0.1234886911541305
ProximalPhalanxTW,0.48368890373314366,0.4811123854713822,0.4800519956778458,0.4778002991598303,0.4784722518304572,0.47276552870140975,0.4721835369390064,0.47516147426993227,0.47516147426993227,0.47516147426993227,0.47516147426993227,0.47516147426993227,0.47516147426993227
ScreenType,0.052747457387768,0.05354215642438902,0.0527025029873218,0.055993671365237564,0.05432347216757879,0.058676317917551714,0.05937983924948622,0.06406152390561319,0.057366591802286704,0.057366591802286704,0.057366591802286704,0.057366591802286704,0.057366591802286704
