,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.6441379310344828,0.6273563218390804,0.646896551724138,0.6225287356321839,0.6241379310344828,0.6135632183908045,0.6245977011494254,0.6496551724137931,0.6496551724137931,0.6496551724137931,0.6496551724137931,0.6496551724137931,0.6496551724137931
BirdChicken,0.5578947368421052,0.5394736842105263,0.5310526315789474,0.5136842105263157,0.5221052631578946,0.5357894736842106,0.54,0.5252631578947369,0.5278947368421052,0.5278947368421052,0.5278947368421052,0.5278947368421052,0.5278947368421052
Car,0.746779661016949,0.7519774011299434,0.7490960451977401,0.7394915254237289,0.7477401129943503,0.7620338983050847,0.74954802259887,0.7534463276836159,0.7369491525423728,0.7197175141242937,0.7197175141242937,0.7197175141242937,0.7197175141242937
CricketX,0.8575637729879375,0.8600079098279613,0.853987212444796,0.8592182453364974,0.857923670160174,0.8595662777667918,0.8592129721178565,0.8586315997627052,0.8555322655065586,0.85216531540439,0.85216531540439,0.85216531540439,0.85216531540439
CricketY,0.8716696328521522,0.8748032430294641,0.8728706083976008,0.8727031837057545,0.8737934216597456,0.8749785775492717,0.8777298793751236,0.8789479928811549,0.8705438006723355,0.8643807263858678,0.8653140860852944,0.8653140860852944,0.8653140860852944
CricketZ,0.8605615977852482,0.8618495814382705,0.862796124184299,0.8553608859007316,0.8578630281458045,0.8619497725924461,0.8596915167095116,0.8649146397732517,0.8565987739766661,0.8548414738646102,0.8548414738646102,0.8548414738646102,0.8548414738646102
DistalPhalanxTW,0.7642268793660724,0.755426962777604,0.745751225106871,0.743728495464498,0.7508289020957146,0.7585548952142632,0.7511938275466583,0.7522677510165782,0.7522677510165782,0.7522677510165782,0.7522677510165782,0.7522677510165782,0.7522677510165782
ECG200,0.5867272727272728,0.5867272727272728,0.5913939393939395,0.5913939393939395,0.5924848484848485,0.5992121212121212,0.5992121212121212,0.5966060606060607,0.5966060606060607,0.5966060606060607,0.5966060606060607,0.5966060606060607,0.5966060606060607
ECG5000,0.7850066434516313,0.7686976167543406,0.7888908646365859,0.7839324393075005,0.8018087673804054,0.781020424291818,0.7806592971277568,0.7845048726877577,0.803353466202366,0.803353466202366,0.803353466202366,0.803353466202366,0.803353466202366
FiftyWords,0.958897226121896,0.960690322892966,0.9600455051556374,0.9599554630391633,0.9613428861887012,0.9611105194365106,0.9606302948153168,0.9585932129544465,0.9550651111003535,0.9420525729776831,0.9420525729776831,0.9420525729776831,0.9420525729776831
Fish,0.8815632183908046,0.8746666666666668,0.8747783251231528,0.877142857142857,0.8724466338259443,0.8733136288998358,0.8921576354679803,0.8901543513957307,0.8381149425287356,0.7886699507389162,0.7886699507389162,0.7886699507389162,0.7886699507389162
FordA,0.49998047189101014,0.4999971282192662,0.4999767960116709,0.49998047189101014,0.49997082270774457,0.5000020676821284,0.4999728903898729,0.4999661129873411,0.4999240701173983,0.4999242998598571,0.49995922071358,0.49995922071358,0.49995922071358
FordB,0.5053451143768408,0.5053451143768408,0.5053451143768408,0.5053451143768408,0.5053451143768408,0.5053451143768408,0.5053451143768408,0.5053451143768408,0.5053451143768408,0.5051085778815485,0.5050548612064887,0.5050548612064887,0.5050548612064887
Haptics,0.6616290875248529,0.6773488726257455,0.6713270442912137,0.6672342315664792,0.6671602013621558,0.6737827319260544,0.6713587715216379,0.6577181775878844,0.660905706671179,0.6411544481577056,0.6411544481577056,0.6411544481577056,0.6411544481577056
Herring,0.4992063492063492,0.499454365079365,0.4981150793650794,0.4996031746031745,0.49866071428571423,0.4981646825396826,0.49786706349206344,0.49677579365079366,0.49747023809523816,0.49404761904761896,0.49404761904761896,0.49404761904761896,0.49404761904761896
InsectWingbeatSound,0.8749953807912373,0.8760729579779605,0.8791583342265504,0.8780157308302836,0.8800092894585063,0.8783755187039674,0.8833895294531979,0.8810875812189607,0.8702128919309313,0.8698620362288881,0.8698620362288881,0.8698620362288881,0.8698620362288881
ItalyPowerDemand,0.5013889046446816,0.5013889046446816,0.5019723731627169,0.5016566270755105,0.5015579327895694,0.51498905287518,0.5010398823231349,0.5010398823231349,0.5010398823231349,0.5010398823231349,0.5010398823231349,0.5010398823231349,0.5010398823231349
LargeKitchenAppliances,0.5272442067736185,0.5259893048128342,0.5197347593582887,0.5202495543672014,0.5255857397504455,0.5127586452762923,0.5222516934046346,0.5158645276292335,0.5261618538324421,0.5261618538324421,0.5261618538324421,0.5261618538324421,0.5261618538324421
Lightning2,0.5093989071038252,0.5165027322404371,0.5244808743169399,0.5231693989071038,0.525464480874317,0.530273224043716,0.52,0.5189071038251366,0.5214207650273224,0.5340983606557378,0.5340983606557378,0.5340983606557378,0.5340983606557378
Lightning7,0.8034246575342466,0.7969939117199392,0.7920852359208523,0.7866057838660578,0.7757610350076104,0.803234398782344,0.8137747336377472,0.8158295281582953,0.8052130898021309,0.7834094368340944,0.7834094368340944,0.7834094368340944,0.7834094368340944
Meat,0.7264971751412429,0.761638418079096,0.7727118644067797,0.7713559322033898,0.7988700564971751,0.7470621468926555,0.7336723163841808,0.6829943502824859,0.6829943502824859,0.6829943502824859,0.6829943502824859,0.6829943502824859,0.6829943502824859
MedicalImages,0.6793076069620692,0.6794053810415368,0.683772623257749,0.6796851813327787,0.6826177102836142,0.6811504056584148,0.6811386172942238,0.6791241938839193,0.6706705498925178,0.6706705498925178,0.6706705498925178,0.6706705498925178,0.6706705498925178
MiddlePhalanxOutlineAgeGroup,0.5113997113997114,0.5112638994991936,0.5213479331126389,0.5064256005432476,0.5163059163059164,0.5126220185043714,0.5219081572022748,0.5275443510737629,0.5275443510737629,0.5275443510737629,0.5275443510737629,0.5275443510737629,0.5275443510737629
OSULeaf,0.8297143445012173,0.8012619594664108,0.8277116696958267,0.8367339940331264,0.8055656527553927,0.8127224717945201,0.813675799869689,0.8313809540139226,0.8125270052467337,0.8340763348307672,0.8209629299406742,0.8209629299406742,0.8209629299406742
OliveOil,0.8222988505747126,0.8250574712643678,0.811264367816092,0.8068965517241379,0.850574712643678,0.8565517241379309,0.8685057471264368,0.7905747126436781,0.7905747126436781,0.7905747126436781,0.7905747126436781,0.7905747126436781,0.7905747126436781
Phoneme,0.9164406666444005,0.9156490542511385,0.9072174721396523,0.9138435033343353,0.9146722443026842,0.9188612604789419,0.9241895171615286,0.9264234661500952,0.9265749863620677,0.9277401667724302,0.9271526223795685,0.9271526223795685,0.9271526223795685
