,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.13174689872326012,0.12360931732290051,0.11124982077781886,0.1058394467067469,0.13616670869187092,0.08669437310779218,0.08669437310779218,0.08669437310779218,0.08669437310779218,0.08669437310779218,0.08669437310779218,0.08669437310779218,0.08669437310779218
BirdChicken,0.08419938929063658,0.068073831098633,0.06807383109863291,0.08160314982124875,0.1487531732051249,0.19016740538598442,0.23958650117190539,0.2852203460441719,0.3105095035791897,0.2868670492364447,0.2868670492364447,0.2868670492364447,0.2868670492364447
Car,0.22816407600247784,0.2270500279076663,0.22524876705320315,0.2341032425467227,0.1928665870036333,0.2392042483195556,0.1988855661461592,0.2080760766353313,0.22261740506154645,0.21523853242542018,0.21913005579183342,0.21913005579183342,0.21913005579183342
CricketX,0.28532160743527746,0.2963548620048747,0.29034865527158715,0.2853597295249264,0.28937353487115414,0.2917538273911859,0.2952311299048896,0.29100630848439957,0.299325257820423,0.31140195157203737,0.29138386364063756,0.29138386364063756,0.29138386364063756
CricketY,0.3304742188975714,0.31965825490926597,0.318312432137127,0.31804327506066044,0.33288974948167943,0.3309872411724911,0.33123922008271417,0.32731080978643917,0.31604253306007146,0.3159564592813368,0.25433633242272713,0.25433633242272713,0.25433633242272713
CricketZ,0.2828138686557603,0.2849954795327684,0.29210049094920454,0.28669808644947437,0.28740484845520226,0.2933476910155734,0.2921472237596019,0.2890836564882655,0.3077061872374142,0.313015006947048,0.27707601070514265,0.27707601070514265,0.27707601070514265
DistalPhalanxTW,0.44704634852393993,0.45089295586959405,0.4280879444427558,0.44574313709902924,0.4338171339154589,0.4263360725804028,0.44434238414186744,0.44434238414186744,0.44434238414186744,0.44434238414186744,0.44434238414186744,0.44434238414186744,0.44434238414186744
ECG200,0.14610809803232883,0.14610809803232883,0.14610809803232883,0.12957583423404584,0.12957583423404584,0.11761141225377117,0.1300332874265912,0.1463862629152995,0.1439145652879821,0.1439145652879821,0.1439145652879821,0.1439145652879821,0.1439145652879821
ECG5000,0.46559701205625376,0.4708863717590487,0.4517414598227855,0.4590789647757779,0.4586265019293707,0.45032025690471267,0.44581553116370093,0.4336978736446805,0.4521860303183275,0.4521860303183275,0.4521860303183275,0.4521860303183275,0.4521860303183275
FiftyWords,0.4154353957229916,0.42124960357903163,0.4171118327189521,0.428419044541182,0.42405630037953257,0.41497527338488965,0.37301028683174703,0.3783067742824744,0.3265037727406517,0.27574737650312775,0.27574737650312775,0.27574737650312775,0.27574737650312775
Fish,0.421530083820217,0.40308846273405996,0.4069190986169202,0.4102312702949346,0.39943169524836336,0.43185357455837725,0.3892185089857826,0.41453406363331274,0.4438451996690881,0.3043880942449392,0.1987089409642253,0.1987089409642253,0.1987089409642253
FordA,0.01425091091356992,0.017448994555865772,0.034476578225411746,0.017391068119180696,0.04960109586503825,0.03458322883221267,0.030634050911640787,0.02466300751482106,0.02230213473256476,-2.8892333806838108e-05,-2.8892333806838108e-05,-2.8892333806838108e-05,-2.8892333806838108e-05
FordB,2.004343631585167e-05,2.0043436315851783e-05,2.0043436315851895e-05,0.010131952644458372,0.005075998040387111,0.00507599804038711,3.3073901038582545e-05,-5.298186766252126e-05,0.0058913170498008875,0.0008071368535547145,0.0008071368535547145,0.0008071368535547145,0.0008071368535547145
Haptics,0.04897240055946249,0.050029143145087794,0.055442058991594455,0.055706639686332035,0.04718601869058489,0.061941208889935026,0.039007619579709364,0.027030297085475365,0.027030297085475365,0.027030297085475365,0.027030297085475365,0.027030297085475365,0.027030297085475365
Herring,-0.0007207861057632525,0.00010873841021908203,0.003189764085308783,0.0006574974617534132,0.0016847104723313657,-0.0015175292878474532,-0.006485059822393184,-0.0037158658235918103,-0.005444716423575369,-0.009949737348892937,-0.010091921779093209,-0.010091921779093209,-0.010091921779093209
InsectWingbeatSound,0.31645765954422106,0.32438905976017535,0.3146282777609903,0.32225439328024386,0.3241791229385368,0.3274314609739109,0.3277251198582877,0.29720824038545435,0.2775313549793691,0.2775313549793691,0.2775313549793691,0.2775313549793691,0.2775313549793691
ItalyPowerDemand,0.037523491834014946,0.00048781658415835116,0.00048781658415835116,0.00048781658415835116,0.00048545637134302604,0.0007667226530838047,0.0011565889914092848,0.0018288496835841724,0.0018288496835841724,0.0018288496835841724,0.0018288496835841724,0.0018288496835841724,0.0018288496835841724
LargeKitchenAppliances,0.12189475611385234,0.12259963916724433,0.132332746530946,0.12304009770506194,0.13982111412531523,0.14386211277208244,0.09254587751362517,0.10615876539682093,0.11077920979937572,0.09388861199791138,0.12157818543828688,0.12157818543828688,0.12157818543828688
Lightning2,0.0949438529144384,0.0949438529144384,0.0949438529144384,0.09129165847295305,0.09891518998858098,0.09891518998858098,0.09763896127303072,0.08891431368279946,0.09083042600403986,0.08274566201949873,0.08274566201949873,0.08274566201949873,0.08274566201949873
Lightning7,0.34127899217889607,0.35355360026798477,0.3335132808198559,0.3760484309798965,0.3674999186626741,0.36413339173903675,0.3809476740169056,0.3581339901823359,0.42908688812881407,0.40795582166463323,0.40795582166463323,0.40795582166463323,0.40795582166463323
Meat,0.5551740853479058,0.5583293441639626,0.5488874833090052,0.5238628144327298,0.5578919919840529,0.5297185896160184,0.5178741722603954,0.5074241654077732,0.5074241654077732,0.5074241654077732,0.5074241654077732,0.5074241654077732,0.5074241654077732
MedicalImages,0.2845450242477601,0.2776121826205045,0.28059390615772123,0.28255078961360364,0.2804803635988321,0.28707951441574614,0.28306153068359374,0.27178313702781254,0.2372747347046531,0.2372747347046531,0.2372747347046531,0.2372747347046531,0.2372747347046531
MiddlePhalanxOutlineAgeGroup,0.09360003781165308,0.09360003781165308,0.09328054145235092,0.09232205237444448,0.09300136678782346,0.09312079327269984,0.09062902790286473,0.09062902790286473,0.09062902790286473,0.09062902790286473,0.09062902790286473,0.09062902790286473,0.09062902790286473
OSULeaf,0.2876657330442045,0.2851528073792206,0.2766099879444638,0.2778341707212378,0.28136267988354197,0.29460955632961033,0.28665388318340196,0.28860145631003514,0.2741297599735734,0.2615662980420128,0.26359362167689676,0.26359362167689676,0.26359362167689676
OliveOil,0.4669474323242212,0.5083945075666105,0.48033272691077605,0.4912049513162889,0.4718697868240686,0.5373512484089649,0.5763720392344209,0.5525375852691561,0.5525375852691561,0.5525375852691561,0.5525375852691561,0.5525375852691561,0.5525375852691561
Phoneme,0.1843562275912395,0.1869558116724666,0.19021462195089972,0.19120199106207683,0.1852147858793996,0.18781812188698083,0.1881507605953689,0.18785852745103507,0.18302834904123794,0.18301395059479036,0.17980172970442637,0.17980172970442637,0.17980172970442637
