,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.051335612415030055,0.04667523648503621,0.038202751513967806,0.03324431398105638,0.05565042578788979,0.021583666264776532,0.021583666264776532,0.021583666264776532,0.021583666264776532,0.021583666264776532,0.021583666264776532,0.021583666264776532,0.021583666264776532
BirdChicken,0.046222264964654786,0.039732270372983616,0.039732270372983616,0.053168434678480224,0.14172258199882334,0.18301799049529338,0.2427667614094955,0.2579473733245531,0.3285616753176881,0.3135050100568848,0.3135050100568848,0.3135050100568848,0.3135050100568848
Car,0.15836334776479347,0.1622438965433588,0.16312610612233208,0.1597420209226404,0.12692975613426302,0.1643883860139707,0.13476276154278488,0.14157471961069742,0.15394652988308447,0.14322663887022818,0.12659368145145017,0.12659368145145017,0.12659368145145017
CricketX,0.14608647516790507,0.1563454198835011,0.1505574931071964,0.1483924156145532,0.15419148321611986,0.14830603470849416,0.152722086360635,0.15297286656466452,0.15721388486025129,0.17371134663085447,0.1373435778384117,0.1373435778384117,0.1373435778384117
CricketY,0.17361126391416287,0.16700914369788572,0.16720361846048432,0.1636349932039788,0.17835828408511126,0.1790928165493652,0.17531218877543855,0.17131005907042732,0.16590327485499556,0.1646145860776772,0.12253931047794986,0.12253931047794986,0.12253931047794986
CricketZ,0.13580733640293452,0.13695776644185798,0.13841350106881334,0.13932332220567015,0.13846990262419992,0.14087642414287269,0.13674412486589843,0.13873664283165124,0.1614617844087331,0.1639230466415445,0.1252506982177644,0.1252506982177644,0.1252506982177644
DistalPhalanxTW,0.3943417615807586,0.3841862728442151,0.3654065580240728,0.3776424711531695,0.3910940727937936,0.38653177260178617,0.44089326255638206,0.44089326255638206,0.44089326255638206,0.44089326255638206,0.44089326255638206,0.44089326255638206,0.44089326255638206
ECG200,0.23157481559123289,0.23157481559123289,0.23157481559123289,0.20844596299411305,0.20844596299411305,0.18975065665406782,0.20405709066851144,0.23174691940529044,0.22228308984197948,0.22228308984197948,0.22228308984197948,0.22228308984197948,0.22228308984197948
ECG5000,0.41521972481701364,0.4267056646836188,0.38414957021131724,0.3992893865150314,0.40098858152521866,0.3774162848078395,0.36496221407790536,0.3786684078913353,0.4006951490319327,0.4006951490319327,0.4006951490319327,0.4006951490319327,0.4006951490319327
FiftyWords,0.2494249493461056,0.2550935008339856,0.25492837030988474,0.26050151902232466,0.25979830473604876,0.2523685365178206,0.20818341794963652,0.2025509533098265,0.16782128382057107,0.12936358169961876,0.12936358169961876,0.12936358169961876,0.12936358169961876
Fish,0.30716350260498454,0.2843818342181426,0.29190658153673477,0.29688318373535755,0.29021994054067635,0.32390000797156426,0.28374130544478576,0.30125091380885527,0.3303962099758909,0.195959652997624,0.10158944455338415,0.10158944455338415,0.10158944455338415
FordA,0.01163293489727349,0.013103916817136343,0.025359494717085512,0.013014357508534639,0.03691634046402674,0.025489925625111164,0.023695036272285572,0.020685901860772526,0.019228597612581617,0.00019517533008305292,0.00019517533008305292,0.00019517533008305292,0.00019517533008305292
FordB,-3.257135137721136e-05,-3.257135137721136e-05,-3.257135137721136e-05,0.0033082278421647524,0.0016378282453937704,0.0016378282453937709,-1.4917332956192024e-05,-0.0001311620741802797,0.002725802964551905,0.0010226156426797063,0.0010226156426797063,0.0010226156426797063,0.0010226156426797063
