,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.3633333333333334,0.37,0.35000000000000003,0.33333333333333337,0.3666666666666667,0.3466666666666667,0.3466666666666667,0.3466666666666667,0.3466666666666667,0.3466666666666667,0.3466666666666667,0.3466666666666667,0.3466666666666667
BirdChicken,0.615,0.6,0.6050000000000001,0.6150000000000001,0.665,0.685,0.7150000000000001,0.7300000000000001,0.7500000000000001,0.7749999999999999,0.7749999999999999,0.7749999999999999,0.7749999999999999
Car,0.5266666666666666,0.5216666666666667,0.515,0.5166666666666667,0.4683333333333334,0.4966666666666667,0.4833333333333333,0.495,0.5199999999999999,0.48166666666666663,0.48166666666666663,0.48166666666666663,0.48166666666666663
CricketX,0.3182051282051282,0.3256410256410257,0.32128205128205123,0.31846153846153846,0.3279487179487179,0.3271794871794872,0.3220512820512821,0.321025641025641,0.3243589743589744,0.33487179487179486,0.3058974358974359,0.3058974358974359,0.3058974358974359
CricketY,0.33179487179487177,0.32999999999999996,0.32820512820512826,0.3125641025641025,0.32564102564102565,0.3392307692307693,0.3315384615384616,0.3287179487179487,0.33282051282051284,0.3335897435897436,0.2861538461538461,0.2861538461538461,0.2861538461538461
CricketZ,0.3056410256410257,0.30153846153846153,0.308974358974359,0.307948717948718,0.307948717948718,0.3133333333333333,0.3094871794871795,0.3074358974358974,0.3302564102564103,0.336923076923077,0.3007692307692308,0.3007692307692308,0.3007692307692308
DistalPhalanxTW,0.535251798561151,0.5266187050359712,0.5266187050359712,0.5287769784172662,0.5366906474820142,0.5273381294964028,0.5676258992805756,0.5676258992805756,0.5676258992805756,0.5676258992805756,0.5676258992805756,0.5676258992805756,0.5676258992805756
ECG200,0.746,0.746,0.746,0.733,0.733,0.72,0.72,0.744,0.732,0.732,0.732,0.732,0.732
ECG5000,0.578911111111111,0.5923333333333333,0.5615111111111111,0.5601777777777779,0.5703555555555555,0.5469333333333333,0.5382666666666667,0.5558222222222222,0.5602444444444444,0.5602444444444444,0.5602444444444444,0.5602444444444444,0.5602444444444444
FiftyWords,0.37010989010989015,0.3767032967032967,0.37032967032967035,0.3769230769230769,0.3782417582417582,0.37758241758241756,0.3545054945054945,0.3545054945054945,0.3340659340659341,0.28637362637362634,0.28637362637362634,0.28637362637362634,0.28637362637362634
Fish,0.5474285714285714,0.5285714285714286,0.5434285714285714,0.5514285714285714,0.5279999999999999,0.5657142857142856,0.5199999999999999,0.5634285714285714,0.5788571428571428,0.4491428571428571,0.3771428571428571,0.3771428571428571,0.3771428571428571
FordA,0.5336363636363636,0.5347727272727273,0.5500757575757576,0.5341666666666667,0.5650757575757577,0.5503030303030304,0.5487878787878788,0.5460606060606061,0.5447727272727273,0.5154545454545454,0.5154545454545454,0.5154545454545454,0.5154545454545454
FordB,0.5172839506172838,0.5172839506172838,0.5172839506172838,0.5269135802469135,0.5220987654320988,0.5220987654320988,0.5174074074074074,0.5165432098765432,0.5281481481481481,0.5237037037037038,0.5237037037037038,0.5237037037037038,0.5237037037037038
Haptics,0.312987012987013,0.31201298701298696,0.3175324675324675,0.31493506493506496,0.30487012987012985,0.32597402597402597,0.3,0.2944805194805195,0.2944805194805195,0.2944805194805195,0.2944805194805195,0.2944805194805195,0.2944805194805195
Herring,0.5640625,0.565625,0.5609375,0.559375,0.553125,0.5296875,0.5375,0.559375,0.540625,0.53125,0.5390625,0.5390625,0.5390625
InsectWingbeatSound,0.3292424242424242,0.32166666666666666,0.32085858585858584,0.3301010101010101,0.3332323232323232,0.33611111111111114,0.3332828282828283,0.3052020202020202,0.2769191919191919,0.2769191919191919,0.2769191919191919,0.2769191919191919,0.2769191919191919
ItalyPowerDemand,0.5424684159378038,0.5140913508260448,0.5140913508260448,0.5140913508260448,0.51399416909621,0.5161321671525754,0.5187560738581147,0.5206997084548105,0.5206997084548105,0.5206997084548105,0.5206997084548105,0.5206997084548105,0.5206997084548105
LargeKitchenAppliances,0.5306666666666666,0.5245333333333333,0.5277333333333333,0.5162666666666667,0.5429333333333333,0.5482666666666667,0.48453333333333337,0.4994666666666666,0.5093333333333334,0.4933333333333333,0.5184,0.5184,0.5184
Lightning2,0.6557377049180327,0.6557377049180327,0.6557377049180327,0.6557377049180327,0.6721311475409835,0.6721311475409835,0.6622950819672131,0.6655737704918032,0.6655737704918032,0.659016393442623,0.659016393442623,0.659016393442623,0.659016393442623
Lightning7,0.4808219178082192,0.4931506849315069,0.4767123287671232,0.4794520547945205,0.4986301369863013,0.5013698630136986,0.48219178082191777,0.49863013698630143,0.5383561643835617,0.5410958904109588,0.5410958904109588,0.5410958904109588,0.5410958904109588
Meat,0.7316666666666667,0.7316666666666667,0.7249999999999999,0.6916666666666667,0.68,0.6866666666666665,0.675,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999
MedicalImages,0.33,0.3202631578947369,0.3102631578947369,0.31934210526315787,0.31223684210526315,0.3198684210526316,0.32486842105263153,0.3178947368421053,0.3344736842105263,0.3344736842105263,0.3344736842105263,0.3344736842105263,0.3344736842105263
MiddlePhalanxOutlineAgeGroup,0.4987012987012987,0.4987012987012987,0.4974025974025974,0.49350649350649356,0.49610389610389605,0.4967532467532467,0.5,0.5,0.5,0.5,0.5,0.5,0.5
OSULeaf,0.44669421487603306,0.4483471074380166,0.4276859504132231,0.4223140495867769,0.4384297520661157,0.45495867768595044,0.44421487603305787,0.4545454545454546,0.43057851239669426,0.43677685950413225,0.47190082644628095,0.47190082644628095,0.47190082644628095
OliveOil,0.6933333333333334,0.72,0.6933333333333331,0.7,0.6966666666666667,0.7433333333333334,0.7733333333333332,0.7299999999999999,0.7299999999999999,0.7299999999999999,0.7299999999999999,0.7299999999999999,0.7299999999999999
Phoneme,0.18565400843881857,0.1895042194092827,0.1854957805907173,0.18781645569620248,0.18723628691983124,0.18924050632911393,0.1834915611814346,0.17943037974683543,0.17331223628691986,0.17093881856540086,0.14783755274261604,0.14783755274261604,0.14783755274261604
Plane,0.8142857142857143,0.7933333333333332,0.8114285714285714,0.7838095238095237,0.8771428571428572,0.8342857142857142,0.8609523809523811,0.8285714285714286,0.8533333333333333,0.8466666666666667,0.8466666666666667,0.8466666666666667,0.8466666666666667
ProximalPhalanxOutlineCorrect,0.6426116838487974,0.6426116838487974,0.6426116838487974,0.6426116838487974,0.6426116838487974,0.6426116838487974,0.6426116838487974,0.6426116838487974,0.6426116838487974,0.6426116838487974,0.6426116838487974,0.6426116838487974,0.6426116838487974
ProximalPhalanxTW,0.5429268292682927,0.5395121951219511,0.5453658536585367,0.5092682926829268,0.515609756097561,0.5253658536585366,0.5414634146341465,0.5414634146341465,0.5414634146341465,0.5414634146341465,0.5414634146341465,0.5414634146341465,0.5414634146341465
ScreenType,0.39813333333333334,0.4005333333333333,0.4064,0.3965333333333333,0.39493333333333336,0.39226666666666665,0.3872,0.3984,0.4106666666666666,0.39013333333333333,0.3901333333333333,0.3901333333333333,0.3901333333333333
ShapeletSim,0.8172222222222223,0.7649999999999999,0.7516666666666667,0.6716666666666666,0.7705555555555554,0.7666666666666667,0.8022222222222222,0.7638888888888891,0.7427777777777778,0.85,0.9177777777777777,0.9177777777777777,0.9177777777777777
Strawberry,0.515945945945946,0.5210810810810811,0.5256756756756756,0.5208108108108108,0.5240540540540539,0.5237837837837838,0.5278378378378379,0.5240540540540541,0.5240540540540541,0.5240540540540541,0.5240540540540541,0.5240540540540541,0.5240540540540541
SwedishLeaf,0.5376000000000001,0.5337600000000001,0.53312,0.5328,0.53376,0.53088,0.5323200000000001,0.5344,0.5332800000000001,0.47568,0.47568,0.47568,0.47568
SyntheticControl,0.9093333333333333,0.8966666666666665,0.9066666666666666,0.8843333333333334,0.8309999999999998,0.9113333333333333,0.9066666666666666,0.8943333333333333,0.7516666666666667,0.6789999999999999,0.6789999999999999,0.6789999999999999,0.6789999999999999
ToeSegmentation1,0.5561403508771929,0.5390350877192983,0.5600877192982456,0.5412280701754386,0.5530701754385966,0.5539473684210526,0.5491228070175438,0.5385964912280701,0.5548245614035089,0.5421052631578948,0.5421052631578948,0.5421052631578948,0.5421052631578948
Trace,0.7769999999999999,0.773,0.779,0.7740000000000001,0.779,0.79,0.7860000000000001,0.776,0.776,0.776,0.776,0.776,0.776
UWaveGestureLibraryY,0.38785594639865995,0.39503070910106086,0.3823003908431044,0.39056393076493584,0.38679508654383027,0.3787548855388051,0.3719709659408152,0.3711892797319933,0.3711892797319933,0.3711892797319933,0.3711892797319933,0.3711892797319933,0.3711892797319933
Wafer,0.7281310837118754,0.7116969500324466,0.6851881894873459,0.6894711226476314,0.6563595068137572,0.7066839714471123,0.7097177157689812,0.7390817650876055,0.7414665801427646,0.7414665801427646,0.7414665801427646,0.7414665801427646,0.7414665801427646
WordSynonyms,0.2934169278996865,0.2793103448275862,0.28009404388714737,0.288871473354232,0.281191222570533,0.27680250783699056,0.2617554858934169,0.2636363636363636,0.2697492163009404,0.22131661442006267,0.22131661442006267,0.22131661442006267,0.22131661442006267
Worms,0.5311688311688311,0.4818181818181818,0.5155844155844156,0.5077922077922078,0.4922077922077922,0.4896103896103896,0.5025974025974025,0.4922077922077922,0.49610389610389616,0.4818181818181818,0.4818181818181818,0.4818181818181818,0.4818181818181818
Yoga,0.5296666666666666,0.5268666666666666,0.5310666666666666,0.5258,0.5298,0.5224333333333334,0.5197333333333333,0.5127333333333333,0.5187333333333333,0.5315666666666667,0.5356,0.5356,0.5356
