,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.34170307683206025,0.3307549790022425,0.3325020366791392,0.3320180531397622,0.35147916615889363,0.3109980227325343,0.3109980227325343,0.3109980227325343,0.3109980227325343,0.3109980227325343,0.3109980227325343,0.3109980227325343,0.3109980227325343
BirdChicken,0.3599014996463944,0.43215737486609873,0.35027878259470896,0.3606897477825289,0.4053815799976304,0.4496855180486234,0.40646190377003955,0.4429433536986947,0.45508894614187134,0.4183106362645697,0.4183106362645697,0.4183106362645697,0.4183106362645697
Car,0.28942806068113724,0.29243317481500386,0.29287594174438053,0.300893304093721,0.2605602627433243,0.31036398890013284,0.25906902490175426,0.268882345942163,0.27991710985665363,0.28539885893113687,0.29050414399326574,0.29050414399326574,0.29050414399326574
CricketX,0.35098703163871303,0.36129850250771056,0.3564033302113359,0.3492265104651425,0.3559299037351521,0.3567562448907291,0.3626510989196375,0.3537653458424098,0.36025993670539175,0.36949537609502964,0.35018185280803016,0.35018185280803016,0.35018185280803016
CricketY,0.399978717913988,0.3914148521717638,0.38883445359266655,0.3926390874992219,0.40061640761834766,0.40045562448428174,0.40501128644935946,0.39928595641241266,0.3882134603857462,0.37833486712223235,0.31887096912602647,0.31887096912602647,0.31887096912602647
CricketZ,0.34993520363240826,0.3504611447226982,0.3590586528271552,0.3523946052785315,0.3540334953421322,0.35807942233276624,0.36084649249031675,0.35218656146745575,0.36731040049204794,0.3715372264982291,0.34069267512290524,0.34069267512290524,0.34069267512290524
DistalPhalanxTW,0.482472964895556,0.4829383141700293,0.4665537740881123,0.48102465542471107,0.46277019098595373,0.4535002498300046,0.4816304477469065,0.4816304477469065,0.4816304477469065,0.4816304477469065,0.4816304477469065,0.4816304477469065,0.4816304477469065
ECG200,0.1565009686881325,0.1565009686881325,0.1565009686881325,0.14012777235314075,0.14012777235314075,0.12778422251029503,0.1400724817467318,0.1565554136705039,0.15298708048080395,0.15298708048080395,0.15298708048080395,0.15298708048080395,0.15298708048080395
ECG5000,0.3801409572140028,0.38482997882337777,0.3657204968216766,0.3737990627193845,0.37381517992923524,0.3634605758756811,0.3579066037989536,0.34886200094947706,0.36891422235214544,0.36891422235214544,0.36891422235214544,0.36891422235214544,0.36891422235214544
FiftyWords,0.617577897994493,0.6208631462031148,0.617033828061378,0.6250648751504967,0.6210206448169708,0.6143605586022377,0.5873692321920481,0.5913434115176776,0.559414023476077,0.5269165341779269,0.5269165341779269,0.5269165341779269,0.5269165341779269
Fish,0.4923095746963984,0.478228409287048,0.4794972266503724,0.4762566159271694,0.4798377461322355,0.49799636949145726,0.463283222098058,0.47851849551856696,0.5064816321719998,0.3631305156530158,0.2668852297490449,0.2668852297490449,0.2668852297490449
FordA,0.016393201954275675,0.020245525149623283,0.03951949204006287,0.020187199219140424,0.05644316522009306,0.03962017039711815,0.03485205277099821,0.02773303473579497,0.02499448328535238,0.0005257544663829984,0.0005257544663829984,0.0005257544663829984,0.0005257544663829984
FordB,0.000917140060586885,0.000917140060586885,0.000917140060586885,0.01798959887816873,0.009453369469377807,0.009453369469377807,0.0009301638806070206,0.0008441452417331493,0.010100657656380206,0.0017059582150906183,0.0017059582150906183,0.0017059582150906183,0.0017059582150906183
Haptics,0.06933614560176851,0.07035951715749303,0.07463581743129385,0.07651916562188008,0.06744465131889887,0.08439433812155264,0.06146693595639725,0.044749157744799206,0.044749157744799206,0.044749157744799206,0.044749157744799206,0.044749157744799206,0.044749157744799206
Herring,0.021505914005341974,0.022267068459787227,0.027448867128447057,0.02272229703931266,0.0182039041112318,0.013936844691827894,0.0054539082221633645,0.008573535969335033,0.006339897963599722,0.0020471051561148797,0.002018017437814034,0.002018017437814034,0.002018017437814034
InsectWingbeatSound,0.3421495832048389,0.35316656278842895,0.3450784422503951,0.3487690687960956,0.3487865718374731,0.34960643557299875,0.3507910658648039,0.3216488563121068,0.3073253084111277,0.3073253084111277,0.3073253084111277,0.3073253084111277,0.3073253084111277
ItalyPowerDemand,0.04064183105794027,0.0014578053004737613,0.0014578053004737613,0.0014578053004737613,0.0014634215931368505,0.0017418069015272184,0.0021578069411606906,0.002944051750853149,0.002944051750853149,0.002944051750853149,0.002944051750853149,0.002944051750853149,0.002944051750853149
LargeKitchenAppliances,0.13836869390273593,0.13958009220197082,0.15162533297163444,0.14308281367559975,0.15288747544939787,0.15763076443574803,0.10598062391630574,0.12257964160563217,0.13049137509459383,0.11357145044361905,0.14392496941904392,0.14392496941904392,0.14392496941904392
Lightning2,0.1231348030784423,0.1231348030784423,0.1231348030784423,0.11544841354783633,0.11240326934674631,0.11240326934674631,0.12197418917132533,0.10240512208559265,0.10459947175001409,0.09679567415328189,0.09679567415328189,0.09679567415328189,0.09679567415328189
Lightning7,0.48594111960182484,0.4954331063689595,0.47957599896558867,0.5083168529092005,0.5118687239245043,0.5007440218667983,0.5174191051712411,0.4970327776815133,0.532081975115836,0.5098238799456395,0.5098238799456395,0.5098238799456395,0.5098238799456395
Meat,0.6547430333930959,0.6580977832113726,0.6572382138464452,0.6202744872112974,0.7029758182575557,0.6491166818823519,0.6403224329616106,0.6443219698034828,0.6443219698034828,0.6443219698034828,0.6443219698034828,0.6443219698034828,0.6443219698034828
MedicalImages,0.2793867771226516,0.27207295126855524,0.2742423652283668,0.27559276431347585,0.27332558145249275,0.2771760247919811,0.27391678634347427,0.26281746911169834,0.23318897880046024,0.23318897880046024,0.23318897880046024,0.23318897880046024,0.23318897880046024
MiddlePhalanxOutlineAgeGroup,0.11697145713054416,0.11697145713054416,0.11666342074366146,0.11573931158301336,0.1164019743549658,0.1165094025502201,0.11349346233880311,0.11349346233880311,0.11349346233880311,0.11349346233880311,0.11349346233880311,0.11349346233880311,0.11349346233880311
OSULeaf,0.3406196863871297,0.34066477065012646,0.34247052597550903,0.33866283512795603,0.3439502946173603,0.3413242521728738,0.33049701018266836,0.3258274750398301,0.31196787353343713,0.30333357894750906,0.30343417508122494,0.30343417508122494,0.30343417508122494
OliveOil,0.5958872636376737,0.6318635065280152,0.6078981315218475,0.6021667469309268,0.5894999714279259,0.6453029846239062,0.6582842512317764,0.6537423114022787,0.6537423114022787,0.6537423114022787,0.6537423114022787,0.6537423114022787,0.6537423114022787
Phoneme,0.2635497178260824,0.2667897068156663,0.2694732649345194,0.270891246335392,0.26462067437599235,0.2661981700023591,0.2659170430538683,0.2658247328102068,0.2606048050007845,0.26196313414257594,0.2572357054678861,0.2572357054678861,0.2572357054678861
Plane,0.9558959870531977,0.952513179600245,0.9560042794555047,0.9554994594434554,0.9632949187705279,0.9415879989392,0.955694398999426,0.9486509279862098,0.9208053848447136,0.9320356273177295,0.9320356273177295,0.9320356273177295,0.9320356273177295
ProximalPhalanxOutlineCorrect,0.1269763063773213,0.1269763063773213,0.1269763063773213,0.1269763063773213,0.1269763063773213,0.1269763063773213,0.1269763063773213,0.1269763063773213,0.1269763063773213,0.1269763063773213,0.1269763063773213,0.1269763063773213,0.1269763063773213
ProximalPhalanxTW,0.5223230051901677,0.5106869342278179,0.5171834770830042,0.5119744918004995,0.5046111333996869,0.5116100992472923,0.5097775903639417,0.5097775903639417,0.5097775903639417,0.5097775903639417,0.5097775903639417,0.5097775903639417,0.5097775903639417
ScreenType,0.03771693352173412,0.03865882184540966,0.03884561829037804,0.03988827658371585,0.03222194782011322,0.03969485890582106,0.025157349435258443,0.02975909171864532,0.0395008852432812,0.030715647849984862,0.04485412246559887,0.04485412246559887,0.04485412246559887
ShapeletSim,0.5050455850605415,0.4365704820480695,0.3481858923245073,0.2594600863121311,0.35909465377637784,0.3719049756348173,0.4575483662323621,0.4470942024691702,0.3536329259888449,0.5313527330295085,0.6928014247810315,0.6928014247810315,0.6928014247810315
Strawberry,0.0921783400622185,0.09097001424900888,0.08770036296527936,0.08870472863793344,0.08689179818410389,0.08626895084647176,0.08375942445701275,0.07314605967252796,0.07314605967252796,0.07314605967252796,0.07314605967252796,0.07314605967252796,0.07314605967252796
SwedishLeaf,0.7506886960332185,0.7352103449018675,0.7647392782216744,0.753772423792122,0.7538665213699358,0.750027863858121,0.7484377518435259,0.7236824886892247,0.6479464338053632,0.6165401745955229,0.6165401745955229,0.6165401745955229,0.6165401745955229
SyntheticControl,0.9202983200066089,0.924609460154372,0.9346794774216238,0.928788318961014,0.9194213415135174,0.9375380016038296,0.9320997393236181,0.9120525328080669,0.8219393553050104,0.7500186253154858,0.7500186253154858,0.7500186253154858,0.7500186253154858
ToeSegmentation1,0.021603047668360787,0.010928189935360478,0.031268380753257954,0.012412495163996725,0.021877040270169942,0.008289580063575002,0.006238951015080091,0.004095720207019353,0.01550519948891003,0.004328633685224262,0.004328633685224262,0.004328633685224262,0.004328633685224262
Trace,0.8353063107093448,0.8664703976142164,0.8562420310059379,0.845090948425641,0.8442672494450653,0.8415802115415187,0.8318138298494784,0.8074586808891414,0.8074586808891414,0.8074586808891414,0.8074586808891414,0.8074586808891414,0.8074586808891414
UWaveGestureLibraryY,0.33912475418653304,0.3419371677890305,0.32181944715909894,0.3297294705851407,0.3259304135267357,0.3185322090047315,0.3071584593061409,0.27714317430549,0.27714317430549,0.27714317430549,0.27714317430549,0.27714317430549,0.27714317430549
Wafer,0.0008690573703500877,0.0006706263427596603,0.0005202749628696782,0.0006096097907411327,0.00042437946597783147,0.0008267514790023323,0.0005319525754003435,0.0008997669042091058,0.001438909061824176,0.001438909061824176,0.001438909061824176,0.001438909061824176,0.001438909061824176
WordSynonyms,0.37618711682694017,0.3674338415361752,0.3755326332207293,0.38316852304732285,0.378697409785265,0.368722758122675,0.3604204832721064,0.35300535454461673,0.3380505551089655,0.2988694923832888,0.2988694923832888,0.2988694923832888,0.2988694923832888
Worms,0.29839946128565004,0.27458645402373866,0.27819019951466306,0.2832714962415218,0.2685223740702773,0.2505566063574906,0.2658559655123002,0.25682115219661417,0.2982440253137687,0.268072793914306,0.268072793914306,0.268072793914306,0.268072793914306
Yoga,0.0031802210024943823,0.0023823958253928893,0.004154426437577265,0.0028546069945342128,0.0027877509128273904,0.001886908430158029,0.0020037985235633457,0.0014471509742007712,0.0012878385181289208,0.0032237760013289823,0.0037527995789871046,0.0037527995789871046,0.0037527995789871046
