,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.2807658210968707,0.2741961017074198,0.2691539524982044,0.2689206312578231,0.2783508932110646,0.25403678776017974,0.25403678776017974,0.25403678776017974,0.25403678776017974,0.25403678776017974,0.25403678776017974,0.25403678776017974,0.25403678776017974
BirdChicken,0.6076558960022207,0.6147898113730199,0.6112579537217525,0.6128513951771154,0.6329297757635788,0.6600470761408216,0.6773353751186858,0.6753852992044052,0.6975116483161565,0.6670690992470297,0.6670690992470297,0.6670690992470297,0.6670690992470297
Car,0.38776733943519937,0.395161770074704,0.3985683332719556,0.39346130232803345,0.372488041985027,0.4041891448852454,0.3659123882015787,0.3748744493043092,0.3745051736207826,0.382748852871166,0.37698940163290795,0.37698940163290795,0.37698940163290795
CricketX,0.23168896864197533,0.2408143929375442,0.23688127170354045,0.23190301900396176,0.24057113723676568,0.2334291116523434,0.2406514666715438,0.23585958359614922,0.23782783496336246,0.25038997758332243,0.21651293810738542,0.21651293810738542,0.21651293810738542
CricketY,0.26136373710508554,0.25660347918731186,0.25584357329687824,0.25610555357617,0.26320389558332863,0.26601255909228183,0.266549590964183,0.26098113771939074,0.25549586901246696,0.24478311811885273,0.20557810015301942,0.20557810015301942,0.20557810015301942
CricketZ,0.22339528843868278,0.2231841683059685,0.22569834446575707,0.2254877131534621,0.22578360822668458,0.22620439451885707,0.22653002076989037,0.22285166253124017,0.2401511560987002,0.2411077927776868,0.20896841511172565,0.20896841511172565,0.20896841511172565
DistalPhalanxTW,0.5219156912598854,0.5113356389108097,0.5031745523885356,0.5089419449223588,0.515477391861836,0.510357116860636,0.5606984659574643,0.5606984659574643,0.5606984659574643,0.5606984659574643,0.5606984659574643,0.5606984659574643,0.5606984659574643
ECG200,0.6635767204936739,0.6635767204936739,0.6635767204936739,0.6611876753982713,0.6611876753982713,0.6463523563854079,0.6482274819385905,0.6576793761254673,0.6444953107672008,0.6444953107672008,0.6444953107672008,0.6444953107672008,0.6444953107672008
ECG5000,0.636252611766942,0.6447254390588643,0.6128146211325426,0.6244326151619736,0.625940105530145,0.6072771088784334,0.5973904116861742,0.6076773126166792,0.6260802186518795,0.6260802186518795,0.6260802186518795,0.6260802186518795,0.6260802186518795
FiftyWords,0.28365102137634396,0.2882855166846884,0.28760441503581685,0.2929208737613985,0.29173654342888855,0.2845545605282042,0.24170145718448435,0.23629672840492538,0.20247662463882105,0.16436484493982575,0.16436484493982575,0.16436484493982575,0.16436484493982575
Fish,0.43382998533274775,0.41841062310665417,0.4221505761128667,0.41937666524993783,0.4275483763749346,0.44375122771618336,0.41641474996589267,0.42271835464524915,0.44535463923970875,0.32648407344143326,0.2557579057564859,0.2557579057564859,0.2557579057564859
FordA,0.5149396087636945,0.5161469313779657,0.5276665781551816,0.5160630135818949,0.5382769213897455,0.5275733832648024,0.5259663527972585,0.52404818145035,0.5229422004136086,0.504749047320338,0.504749047320338,0.504749047320338,0.504749047320338
FordB,0.5012561312627192,0.5012561312627192,0.5012561312627192,0.5318232046038197,0.5165396679332694,0.5165396679332694,0.5012544453258135,0.5012717369118171,0.5176240032179362,0.501868657186049,0.501868657186049,0.501868657186049,0.501868657186049
Haptics,0.2633743684956051,0.2683372232807518,0.2635247713318356,0.26940393656498673,0.26890636087964,0.27129464125156855,0.2620071620129004,0.25378721719765207,0.25378721719765207,0.25378721719765207,0.25378721719765207,0.25378721719765207,0.25378721719765207
Herring,0.5476643663613583,0.5470048360450381,0.5518800124512515,0.5435044810947962,0.5434613137517547,0.5291108148617096,0.5070104769128008,0.5202164274106457,0.5027739829938177,0.5045767396275983,0.5095068086040785,0.5095068086040785,0.5095068086040785
InsectWingbeatSound,0.2647398779787033,0.2692868236816093,0.2649797341667068,0.2678131485925185,0.2641432926387426,0.2648558987621718,0.26787854475788997,0.24584198548403893,0.24089937030334374,0.24089937030334374,0.24089937030334374,0.24089937030334374,0.24089937030334374
ItalyPowerDemand,0.5901329564737433,0.5776481943072562,0.5776481943072562,0.5776481943072562,0.5795875915919414,0.5741033991040994,0.570897962818535,0.577042023823772,0.577042023823772,0.577042023823772,0.577042023823772,0.577042023823772,0.577042023823772
LargeKitchenAppliances,0.4500644730191481,0.44904579766832836,0.4552883024458102,0.45382419559525006,0.44233037145945664,0.4476338893016406,0.41770583965581265,0.4328422951058002,0.44736240518119025,0.4310927477220024,0.46983769887812665,0.46983769887812665,0.46983769887812665
Lightning2,0.5799046351187711,0.5799046351187711,0.5799046351187711,0.5716019515924675,0.5598151898791575,0.5598151898791575,0.577319888252412,0.5593370439910347,0.5600747332641373,0.5603342766491171,0.5603342766491171,0.5603342766491171,0.5603342766491171
Lightning7,0.39073145943581566,0.3928422143094624,0.39048211161327584,0.39450203600202605,0.41693518076405817,0.39798609685476133,0.4127011400846217,0.41498517333898716,0.4248386543864863,0.4112075146326766,0.4112075146326766,0.4112075146326766,0.4112075146326766
Meat,0.6820503173617093,0.6839917675065978,0.6824427627394107,0.660278778708294,0.682883979616115,0.6641908906204664,0.6481528116098305,0.6375565079568257,0.6375565079568257,0.6375565079568257,0.6375565079568257,0.6375565079568257,0.6375565079568257
MedicalImages,0.264514358019224,0.2612103769720041,0.26102522344581064,0.26131562021431565,0.25668470101458196,0.26280655119794233,0.2587435177297329,0.2585017629862845,0.2569711422941027,0.2569711422941027,0.2569711422941027,0.2569711422941027,0.2569711422941027
MiddlePhalanxOutlineAgeGroup,0.4679865538602119,0.4679865538602119,0.4679142934679179,0.4676975122910362,0.46793307934044315,0.467878163271771,0.4663979863327422,0.4663979863327422,0.4663979863327422,0.4663979863327422,0.4663979863327422,0.4663979863327422,0.4663979863327422
OSULeaf,0.37873275921566407,0.3753869937190755,0.3711050753447357,0.37324734143012106,0.3735346428321863,0.3786406200061402,0.3622611554796405,0.3690245398656803,0.3444421610998037,0.3482877051181005,0.3527676030796898,0.3527676030796898,0.3527676030796898
OliveOil,0.6469684588172357,0.6710315983515365,0.6470776495031955,0.6509001261532121,0.6485471373195038,0.6874733962787791,0.7177684392692993,0.6959053709334204,0.6959053709334204,0.6959053709334204,0.6959053709334204,0.6959053709334204,0.6959053709334204
Phoneme,0.12784164920061153,0.13012781166774592,0.12787620880301748,0.12863115231376837,0.12506567633508145,0.12293087302647472,0.11698211737269781,0.11362611067343142,0.10738721446445967,0.10508205083039687,0.0903302424269776,0.0903302424269776,0.0903302424269776
Plane,0.8108536935956462,0.7894884846896447,0.8052874366545739,0.7823807581760144,0.875897305194105,0.8324997999346071,0.8456823768524231,0.81049179196235,0.8179006128206643,0.8177798420720673,0.8177798420720673,0.8177798420720673,0.8177798420720673
