,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.24981405413691343,0.244956707336648,0.2507874579678962,0.24550660215435918,0.273014153034614,0.2359785414046526,0.2359785414046526,0.2359785414046526,0.2359785414046526,0.2359785414046526,0.2359785414046526,0.2359785414046526,0.2359785414046526
BirdChicken,0.10269992687986,0.08578044136975463,0.09097035740188616,0.10324495885767311,0.16854672156371836,0.20580300174913044,0.2604421598559916,0.2984933414618154,0.33013455005397935,0.3048344921423408,0.3048344921423408,0.3048344921423408,0.3048344921423408
Car,0.2616339729261989,0.2572454754849976,0.25930663572054585,0.26701561675021424,0.22618301468617283,0.26671590931414696,0.23925706444450126,0.23789427877486724,0.26333502303535283,0.24428374135202358,0.25433436435034007,0.25433436435034007,0.25433436435034007
CricketX,0.3190420236902259,0.3290628994361569,0.3230878954502844,0.3225390931141452,0.3205612433841036,0.3277123518756586,0.325958657710833,0.3265631592036525,0.34046190292261,0.35347300425427475,0.3356822754109212,0.3356822754109212,0.3356822754109212
CricketY,0.35297100257729686,0.34429948795516097,0.34370324848882994,0.33815701775392887,0.3604978018129592,0.3540290582935057,0.35008236621287775,0.3491585159853425,0.3419743350315376,0.3529478356190824,0.29792102177249496,0.29792102177249496,0.29792102177249496
CricketZ,0.317174609942088,0.3196450069531012,0.3272094486033741,0.3213749917994772,0.3222303384651194,0.32849849032476985,0.3240686440284629,0.3262247167144855,0.34913135537660384,0.35440765994533924,0.31998766041915183,0.31998766041915183,0.31998766041915183
DistalPhalanxTW,0.47734910088046273,0.4833991435427123,0.4607323161296136,0.47532697784608874,0.47198524557521243,0.46926221455169903,0.4759588547671417,0.4759588547671417,0.4759588547671417,0.4759588547671417,0.4759588547671417,0.4759588547671417,0.4759588547671417
ECG200,0.1500881530368222,0.1500881530368222,0.1500881530368222,0.13406688830106667,0.13406688830106667,0.12238117783273697,0.13439463273890132,0.15016127471595184,0.14849869629173024,0.14849869629173024,0.14849869629173024,0.14849869629173024,0.14849869629173024
ECG5000,0.6042103792230823,0.6098566763810107,0.5940927312393515,0.5982337312608897,0.5968306656373306,0.5954175400161045,0.5940265815064932,0.5761984645141797,0.5868776710574499,0.5868776710574499,0.5868776710574499,0.5868776710574499,0.5868776710574499
FiftyWords,0.5726814929210404,0.5849336495968442,0.5866835007181239,0.5968985619406042,0.6084014178795334,0.6148875577625382,0.5982477438726741,0.6038960384448445,0.5781600865851161,0.553265885829618,0.553265885829618,0.553265885829618,0.553265885829618
Fish,0.42712532773221445,0.4079398030943019,0.4125616703800648,0.4190146477250803,0.40148244670627686,0.4387698402581526,0.39741416542005015,0.4267448448865584,0.4515778511980459,0.33268324274197414,0.2337789884770333,0.2337789884770333,0.2337789884770333
FordA,0.013497231887354851,0.016209067783753174,0.03144978852936306,0.016151534975601994,0.0451127422829901,0.031557963776395984,0.028217989426920127,0.023113223298844788,0.02104877377751606,0.0005188199277769979,0.0005188199277769979,0.0005188199277769979,0.0005188199277769979
FordB,0.0009122571816432432,0.0009122571816432432,0.0009122571816432432,0.008126050886681925,0.004519154034162585,0.004519154034162584,0.0009252435243914968,0.0008395015649113529,0.005348664648199524,0.001696457098628732,0.001696457098628732,0.001696457098628732,0.001696457098628732
Haptics,0.06016334671263225,0.059114042774334394,0.06542012176652365,0.06428857349553445,0.055395402576746175,0.0727740716722745,0.05068828458974432,0.03732808152388788,0.03732808152388788,0.03732808152388788,0.03732808152388788,0.03732808152388788,0.03732808152388788
Herring,0.012074069598618457,0.012866126112366136,0.015359801439775467,0.013343966564011506,0.013377301047036858,0.009645074030431276,0.005528280720412371,0.008278090691072984,0.006479477238236647,0.002038935587648947,0.0019514989227715027,0.0019514989227715027,0.0019514989227715027
InsectWingbeatSound,0.308244751356328,0.31356552109157065,0.30330645192037026,0.313153082948952,0.3166910765181853,0.32177789224019054,0.3212076079296357,0.2902636999613044,0.26724038511962867,0.26724038511962867,0.26724038511962867,0.26724038511962867,0.26724038511962867
ItalyPowerDemand,0.036224225926924467,0.0011732093467190059,0.0011732093467190059,0.0011732093467190059,0.0011720782355788685,0.0014356932598256224,0.0017937959902708874,0.0023939594331606443,0.0023939594331606443,0.0023939594331606443,0.0023939594331606443,0.0023939594331606443,0.0023939594331606443
