,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.40206020978681334,0.39424261169262576,0.4036268428165057,0.39512763326010114,0.4393993285249932,0.3797928110575481,0.3797928110575481,0.3797928110575481,0.3797928110575481,0.3797928110575481,0.3797928110575481,0.3797928110575481,0.3797928110575481
BirdChicken,0.07118616476048747,0.059458471082633094,0.06305584674764793,0.07156395213922362,0.11682768484451347,0.14265177041318317,0.18052474880312303,0.20689981805017427,0.2288318325753418,0.21129516876588617,0.21129516876588617,0.21129516876588617,0.21129516876588617
Car,0.35965246459828915,0.35361986148119884,0.35645321431514443,0.36705028623150354,0.31092016748566265,0.36663829647025625,0.32889227624995465,0.3270189368692873,0.3619907957305957,0.3358021462424104,0.34961813233804034,0.34961813233804034,0.34961813233804034
CricketX,0.7901932512106843,0.8150126411269916,0.8002139391535564,0.7988546827858531,0.793956006772861,0.8116676474004569,0.8073241528422658,0.8088213631296369,0.8432453344923901,0.8754708211044061,0.8314073033786441,0.8314073033786441,0.8314073033786441
CricketY,0.876279397497961,0.8547516528588925,0.8532714395934796,0.8395024679462987,0.8949652925181049,0.8789061073940967,0.8691081213463185,0.8668145875578436,0.8489792704588479,0.8762218836284426,0.7396133154128123,0.7396133154128123,0.7396133154128123
CricketZ,0.7853433274999373,0.7914601784333373,0.8101901889388727,0.7957437245091896,0.7978616140738177,0.8133819334323933,0.8024133687314224,0.8077519338135449,0.8644701428531383,0.8775345889248788,0.7923086089343057,0.7923086089343057,0.7923086089343057
DistalPhalanxTW,0.7832644272751876,0.7931917177887696,0.7559985617544978,0.7799464006203192,0.7744630761342628,0.7699949555676777,0.7809832240138568,0.7809832240138568,0.7809832240138568,0.7809832240138568,0.7809832240138568,0.7809832240138568,0.7809832240138568
ECG200,0.09807033001724134,0.09807033001724134,0.09807033001724134,0.08760174413529194,0.08760174413529194,0.07996608829619409,0.08781589831421556,0.09811810905281851,0.09703175006016065,0.09703175006016065,0.09703175006016065,0.09703175006016065,0.09703175006016065
ECG5000,0.5496600267320655,0.5547965552550524,0.540455837508514,0.5442229726998408,0.5429465810411209,0.5416610376386097,0.5403956600187165,0.5241771315068794,0.5338921797018459,0.5338921797018459,0.5338921797018459,0.5338921797018459,0.5338921797018459
FiftyWords,1.9797094695363633,2.022064095787008,2.0281131769567287,2.0634257436871266,2.103190103301504,2.1256121174679237,2.0680897467674817,2.087615403505962,1.9986484851856925,1.9125914262770434,1.9125914262770434,1.9125914262770434,1.9125914262770434
Fish,0.8290167963776357,0.7917791962179976,0.8007498785019758,0.8132746019457147,0.7792459733948703,0.8516178828570696,0.771349758163201,0.8282783089845859,0.8764772285993038,0.6457121088342179,0.45374670033414893,0.45374670033414893,0.45374670033414893
FordA,0.009348734798315784,0.011227063245479278,0.021783409730078317,0.01118721366964798,0.031246930270462603,0.021858336330191082,0.01954493350159477,0.016009163712864087,0.014579241545082871,0.00035935590003551845,0.00035935590003551845,0.00035935590003551845,0.00035935590003551845
FordB,0.0006322839991104168,0.0006322839991104168,0.0006322839991104168,0.0056321529224368505,0.0031322184607736336,0.0031322184607736336,0.0006412848125782744,0.0005818571970740427,0.003707150945715061,0.0011758117121183798,0.0011758117121183798,0.0011758117121183798,0.0011758117121183798
Haptics,0.09673928861335702,0.0950520667070528,0.10519188819268066,0.10337242201022194,0.08907270174516006,0.1170166273611755,0.08150391991431015,0.060021462389227474,0.060021462389227474,0.060021462389227474,0.060021462389227474,0.060021462389227474,0.060021462389227474
Herring,0.008155606379913955,0.008690612502250051,0.010375001866046712,0.00901337680339884,0.009035893066056776,0.006514905902673308,0.003734157828484719,0.005591557072136319,0.0043766573872256465,0.0013772287753555823,0.00131816840502324,0.00131816840502324,0.00131816840502324
InsectWingbeatSound,0.7391386321422481,0.751897280738035,0.7272971072691021,0.7509082972655282,0.7593920353203836,0.7715896866937764,0.7702222046413459,0.6960219540021766,0.6408144561791735,0.6408144561791735,0.6408144561791735,0.6408144561791735,0.6408144561791735
ItalyPowerDemand,0.025108566118576058,0.0008132017648203371,0.0008132017648203371,0.0008132017648203371,0.0008124177431298007,0.0009951406335927254,0.0012433570096380298,0.0016593560572960547,0.0016593560572960547,0.0016593560572960547,0.0016593560572960547,0.0016593560572960547,0.0016593560572960547
LargeKitchenAppliances,0.12983885084574687,0.13009753895116227,0.13873439929770454,0.1285891886209114,0.1507429103000249,0.15463349181409128,0.09973460968550789,0.11190575708739078,0.11478375594816312,0.09565580859386655,0.12478786560492823,0.12478786560492823,0.12478786560492823
Lightning2,0.07008811991309212,0.07008811991309212,0.07008811991309212,0.06909206689724526,0.07447852545089137,0.07447852545089137,0.07325959537698765,0.06784419423605627,0.06900820253748777,0.06353787962408416,0.06353787962408416,0.06353787962408416,0.06353787962408416
Lightning7,0.7375507101445923,0.7612102624768875,0.7229871496839355,0.8078776942565247,0.7807140300949664,0.7768865781180061,0.7922604920430174,0.7620382876016325,0.9572992545801654,0.9286751538167983,0.9286751538167983,0.9286751538167983,0.9286751538167983
