,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.2880171872210407,0.2810601655199513,0.28551382814034226,0.28220024202678506,0.30655736525669564,0.26803076103357687,0.26803076103357687,0.26803076103357687,0.26803076103357687,0.26803076103357687,0.26803076103357687,0.26803076103357687,0.26803076103357687
BirdChicken,0.12292386510014223,0.10190378570402348,0.10997270409414017,0.12194008717805996,0.1812960312612263,0.22164449964620384,0.27550070256445136,0.31596807085851475,0.33880716353051865,0.31137215794303225,0.31137215794303225,0.31137215794303225,0.31137215794303225
Car,0.27442168845917836,0.27330450450189114,0.2741989216099464,0.2825806474501523,0.24160324963019955,0.28635381549042904,0.24832151757137547,0.2516450583391371,0.2710391772474983,0.26255553301071616,0.27093238976481987,0.27093238976481987,0.27093238976481987
CricketX,0.3341441284955263,0.34431582942844496,0.3387681971931375,0.3353066964343162,0.33728037779049214,0.34155460250668596,0.34314974814508836,0.33952867279098053,0.35004616858524806,0.36126476674908403,0.3427647239679869,0.3427647239679869,0.3427647239679869
CricketY,0.3748104677849642,0.36621579873943444,0.36485153167226914,0.3633184746269503,0.3793999302416117,0.3757279112416977,0.375424496043426,0.37240527772294435,0.3635423865692657,0.36515123790348053,0.30801984106980546,0.30801984106980546,0.30801984106980546
CricketZ,0.3326795987012404,0.33428588259677744,0.34229556350125095,0.3361311381656957,0.33730536562095337,0.34260418888326977,0.34139147253088675,0.33857993926385554,0.3579832263902786,0.36276356419611683,0.3300117124135696,0.3300117124135696,0.3300117124135696
DistalPhalanxTW,0.4794450849386971,0.4828662469283168,0.4617975401157569,0.4776298098878681,0.4670190633300547,0.461178469393073,0.47869066702181423,0.47869066702181423,0.47869066702181423,0.47869066702181423,0.47869066702181423,0.47869066702181423,0.47869066702181423
ECG200,0.15321880691301523,0.15321880691301523,0.15321880691301523,0.13699094273692447,0.13699094273692447,0.12495198007532174,0.1371723292224818,0.15328980045763388,0.15068954437836496,0.15068954437836496,0.15068954437836496,0.15068954437836496,0.15068954437836496
ECG5000,0.46642677547527656,0.4717093511674294,0.4525809827952414,0.45991435882611775,0.4594641518670709,0.4511522596336448,0.44665274274710737,0.4345565158756844,0.4530392498159002,0.4530392498159002,0.4530392498159002,0.4530392498159002,0.4530392498159002
FiftyWords,0.5942593341261015,0.6023160908584408,0.6014255211665038,0.6106205882065383,0.614628714796819,0.6146147933366989,0.5927457335830246,0.597538303408352,0.5685986608228399,0.5397621817764132,0.5397621817764132,0.5397621817764132,0.5397621817764132
Fish,0.45689686626349546,0.43968060573257384,0.44284182104365727,0.4455629232531487,0.43635409849456436,0.4660473568811999,0.4268793582460869,0.4507856936844584,0.4771840183999762,0.3471689406131817,0.24917981138430387,0.24917981138430387,0.24917981138430387
