,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.6296551724137932,0.6326436781609195,0.626206896551724,0.6183908045977011,0.6402298850574712,0.6227586206896552,0.6227586206896552,0.6227586206896552,0.6227586206896552,0.6227586206896552,0.6227586206896552,0.6227586206896552,0.6227586206896552
BirdChicken,0.5110526315789473,0.5063157894736842,0.5068421052631578,0.5142105263157895,0.5615789473684211,0.581578947368421,0.613157894736842,0.6221052631578947,0.6589473684210527,0.6542105263157894,0.6542105263157894,0.6542105263157894,0.6542105263157894
Car,0.6640112994350282,0.6607344632768363,0.6568361581920904,0.6598305084745762,0.6426553672316384,0.6536158192090396,0.6594350282485875,0.657909604519774,0.6729378531073446,0.6516384180790961,0.6375706214689265,0.6375706214689265,0.6375706214689265
CricketX,0.8469250543800673,0.8491108035066903,0.8456700283435502,0.8501984048513611,0.8460048777272426,0.8476382572012392,0.8435462395359566,0.8512780963680706,0.8549126623162613,0.8616900665743854,0.8564959462131698,0.8564959462131698,0.8564959462131698
CricketY,0.8455856568452969,0.8422147518291478,0.8438876804429503,0.8378458901852218,0.8501311713136905,0.847350866785314,0.8405115022081604,0.8425575110408016,0.8425878320479864,0.8562243754531671,0.8499558367938832,0.8499558367938832,0.8499558367938832
CricketZ,0.8431415200052733,0.8453338606551973,0.8437532133676093,0.8456924395227737,0.8438125370773186,0.8470951156812341,0.8398694878386396,0.8487495880297937,0.8581253707731857,0.8604890910289369,0.848930195768242,0.848930195768242,0.848930195768242
DistalPhalanxTW,0.7990616202690022,0.7986028568449589,0.7846627046189136,0.7932540923782713,0.8025127723907831,0.8026483161297049,0.8118757168178501,0.8118757168178501,0.8118757168178501,0.8118757168178501,0.8118757168178501,0.8118757168178501,0.8118757168178501
ECG200,0.6207676767676767,0.6207676767676767,0.6207676767676767,0.6105252525252525,0.6105252525252525,0.6002828282828283,0.6066666666666667,0.6198787878787879,0.6138989898989899,0.6138989898989899,0.6138989898989899,0.6138989898989899,0.6138989898989899
ECG5000,0.7168461337087254,0.7223040478130942,0.7022813168358402,0.7093088933343212,0.7100492751475637,0.6991869106715072,0.6933937418191697,0.6999322120965152,0.7099255735842533,0.7099255735842533,0.7099255735842533,0.7099255735842533,0.7099255735842533
FiftyWords,0.934798857530135,0.9370547514159849,0.9384111923318972,0.9388575301350631,0.941254780461829,0.9426605993125815,0.9405925352180858,0.9400193638960159,0.9383443868906424,0.9384441109551244,0.9384441109551244,0.9384441109551244,0.9384441109551244
Fish,0.795080459770115,0.783264367816092,0.7887487684729064,0.7999671592775041,0.7801707717569787,0.8050246305418719,0.7847881773399015,0.8015369458128079,0.812407224958949,0.7814712643678161,0.741208538587849,0.741208538587849,0.741208538587849
FordA,0.5058212144186366,0.5065569646426356,0.5126876421531462,0.5065121648631883,0.5184686516415098,0.5127527741401888,0.5118549406115743,0.5103501275070645,0.5096212695568267,0.5000999379695361,0.5000999379695361,0.5000999379695361,0.5000999379695361
FordB,0.4999801614552336,0.4999801614552336,0.4999801614552336,0.5015751804544553,0.5007776709548445,0.5007776709548445,0.49998901249828326,0.4999307176975079,0.5013206366646827,0.5005075615376398,0.5005075615376398,0.5005075615376398,0.5005075615376398
Haptics,0.653796691907441,0.6491116375481196,0.6617686873387199,0.6512415922839375,0.6432463302170144,0.6582342738694531,0.6433922754769661,0.6429269427640762,0.6429269427640762,0.6429269427640762,0.6429269427640762,0.6429269427640762,0.6429269427640762
Herring,0.5027281746031746,0.5030753968253967,0.501736111111111,0.5023809523809524,0.4992063492063492,0.495188492063492,0.49632936507936504,0.5017857142857144,0.497420634920635,0.49494047619047626,0.49598214285714287,0.49598214285714287,0.49598214285714287
InsectWingbeatSound,0.8378041149238724,0.8348121947111335,0.8299602390759541,0.8368103980686092,0.8394619770213506,0.8435411211661844,0.8424722719871787,0.8353825776716125,0.8218810643065317,0.8218810643065317,0.8218810643065317,0.8218810643065317,0.8218810643065317
