,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.0425731544434152,0.055327362242163225,0.06802335223941659,0.07266484776568244,0.0816871289818892,0.05200252747319648,0.03744256456732965,0.06652116622968024,0.08879979051790142,0.06168805874722135,0.06168805874722135,0.06168805874722135,0.06168805874722135
BirdChicken,0.10920787946574087,0.0867085308034764,0.08687096412630745,0.15959899758754445,0.1517627044755972,0.08062743880662926,0.09489891288802926,0.15455479411738027,0.20787981233268177,0.30744905079492996,0.49199826286102616,0.49199826286102616,0.49199826286102616
Car,0.26532686997239996,0.29572850698980313,0.26127838307760337,0.3022891838802929,0.2808641320301092,0.3325345779992433,0.33663907492062417,0.47132679677790124,0.4903744912176113,0.46379218963360963,0.5013637071605566,0.43727015157587845,0.43727015157587845
CricketX,0.30026964629898945,0.2599619145696826,0.20426561913032587,0.23186269835308151,0.2360733519492571,0.26320044417058897,0.2998750252538915,0.3113533658531521,0.3252355334483469,0.3164599525155951,0.3377690735326558,0.3625196512538172,0.21266813510580151
CricketY,0.39364862027433234,0.3483060060189551,0.37031912590094707,0.3438701189298591,0.36758317276970565,0.39624288512672906,0.41247054948561057,0.40501863207547195,0.42980196153544076,0.44969022864431263,0.4409597404894027,0.422186028539662,0.34303244557987833
CricketZ,0.28487876950225566,0.2714326202671014,0.20991561341767637,0.23715555332805366,0.2369826093547585,0.27462071565458496,0.3026741908900276,0.33640542348307567,0.3194805742384119,0.35501374604981495,0.3478906038200596,0.3424850203479709,0.22379913890950148
DistalPhalanxTW,0.46835017974924814,0.4178582733172047,0.49744832031895286,0.4699706519587233,0.4835181063116088,0.47330070494717874,0.46144166228651484,0.46390354722616867,0.48558642145303715,0.46260984535919436,0.42247877191267696,0.42247877191267696,0.42247877191267696
ECG200,0.034316298227789074,0.04495885651160435,0.010392856836997613,0.023804952956153064,0.05109081381372974,0.041471957923320625,0.02506430846641481,0.05320962248386071,0.09059789827921738,0.0871992907753822,0.08329391093747203,0.10514491523932741,0.11895608483857825
ECG5000,0.5772445970528695,0.5782302495511912,0.6000305762883642,0.5988720408808248,0.5913731289682403,0.5781472129834464,0.5460760584271978,0.5842059449037512,0.5596986333548067,0.5317950917814904,0.5291628301443124,0.5368642300501342,0.5368642300501342
FiftyWords,0.46520566209300646,0.42286411313498345,0.4765100681254591,0.4926758179325385,0.5267750211387854,0.5520042321215252,0.5769873066464525,0.584565115528979,0.6050517693531432,0.584220141608259,0.5085708123899568,0.26976621402090756,0.26976621402090756
Fish,0.624865977418099,0.43521059434347575,0.4899249928914676,0.5195057009155122,0.5975474732077275,0.6275363151454247,0.6653414701535665,0.6971476456252934,0.7610305958024535,0.7516253322401917,0.7658722117983656,0.544074744270473,0.544074744270473
FordA,0.03219538758122079,0.031904312338540054,0.07732282120696735,0.031003979057386388,0.03250087675393059,0.03269031629350672,0.0847924583470274,0.08236639218306266,0.03324022581119716,0.03281303667354042,0.03200150025910478,0.03217090550122199,0.03217090550122199
FordB,0.09393916140566647,0.09427865041483591,0.08524138091785241,0.09614601759417543,0.08905158155388294,0.11383265852058236,0.10565443706367132,0.09438290580982504,0.1057421938943696,0.10477642273074386,0.10252863160952612,0.06572302335779442,0.09045019895976515
Haptics,0.06296012014170249,0.07229159681389448,0.0369169147823887,0.030239716620304447,0.053387642214939676,0.05552803350160379,0.06914294406961333,0.06941427224093905,0.0684084882632961,0.07665735897408674,0.08306419479524624,0.10429726317030437,0.10429726317030437
Herring,0.002072511555322735,0.0053850016088565645,0.0012652695474622286,0.000291058416314011,-0.0015889280915206507,-0.00016808864749127348,0.008042118389784074,-0.0007747286237384354,-0.000461158150574288,-0.0014822576235786786,-0.00295579041771168,0.021914415866030025,0.021914415866030025
InsectWingbeatSound,0.47692374176977115,0.47971495150564003,0.4462840665313813,0.4591868927371473,0.4866105880384418,0.4937827100194328,0.5105991706869734,0.4999852239984162,0.5016050309833691,0.507387407361561,0.4856206404734239,0.43929728639019966,0.43929728639019966
ItalyPowerDemand,0.17705372136899733,0.17705372136899733,0.1554633807485532,0.15539032930476634,0.16746511423881721,0.09346636061322412,0.1733592514421299,0.08548526081193748,0.13309426682607572,0.13578954162381798,0.18013380391437198,0.22364325059211526,0.22364325059211526
LargeKitchenAppliances,0.011799497861744094,0.008851449182051914,0.014296415434010718,0.009871776559668014,0.010978091572607603,0.00884498796830584,0.014034212157488336,0.01634845571880399,0.018828829098447603,0.0180202972587748,0.013893631285761834,0.030057486246237004,0.030057486246237004
Lightning2,0.014603609447868246,0.031916762518992475,0.008028643996279445,0.008057305939793901,0.023021615669219633,0.016683452604182445,-0.005405874332714029,0.03314717351119848,-0.004493616337354704,-0.009357263960568157,0.008559845938013948,0.012779691464518555,0.012779691464518555
Lightning7,0.38714061231351665,0.30382990290603207,0.2849423435181759,0.2125883583086361,0.2454466920626519,0.3650859086641955,0.34696042529365145,0.4065259460261309,0.4451660549662879,0.480686193556743,0.5244740895283172,0.39083678286745666,0.39083678286745666
Meat,0.4798450106702467,0.4886630967814468,0.4348369884530411,0.4689963870692743,0.525420312164629,0.5003471914123411,0.5264619273608064,0.5013884190199106,0.5140071921888001,0.4575907870914994,0.4575907870914994,0.4575907870914994,0.4575907870914994
MedicalImages,0.2431874448049692,0.23307491143361042,0.22566393191100392,0.23411056513820427,0.22032183806755684,0.2333619239611525,0.2368988011901782,0.25342560984772594,0.2556045143361986,0.2571482871996141,0.26991941231103134,0.17744199139182593,0.17744199139182593
MiddlePhalanxOutlineAgeGroup,0.11682108698614146,0.11655591154624785,0.10963686669152757,0.09873776188512623,0.11011295921669532,0.11494338425435471,0.11197956357940748,0.11079444510562715,0.1070238466388207,0.10832818854536859,0.10080259348892014,0.10080259348892014,0.10080259348892014
OSULeaf,0.7295504676541082,0.6890091601678003,0.6242523010725651,0.6579854661778377,0.6839418802279382,0.7054234908161361,0.7697371876113341,0.7479354050545831,0.7614597794628695,0.7963246056156768,0.7586344441346525,0.6351206198344314,0.6351206198344314
OliveOil,0.277119437409097,0.26062811562089444,0.23027201876373446,0.2307696220723845,0.2727446087104155,0.3520941967459229,0.356280959770455,0.49863852452058754,0.562362013239043,0.6089348228240598,0.5760686276232703,0.5760686276232703,0.5760686276232703
Phoneme,0.21545075163482258,0.21102361158972024,0.200351773470765,0.2188403396880252,0.22671394939853742,0.22757050223399683,0.2300869014650384,0.23933230590580692,0.2500446431189908,0.24958661935474505,0.251926624911541,0.16900808424889444,0.16900808424889444
Plane,0.919281331905926,0.931205745598511,0.9161036036401697,0.9154237777956655,0.9311985695209959,0.906804587636422,0.951669592617655,0.9714947163827328,0.958032630393944,0.9493754608813297,0.9599279981905517,0.9599279981905517,0.9599279981905517
ProximalPhalanxOutlineCorrect,0.09612527864486961,0.08401042067707534,0.10744655151517941,0.09533169354738515,0.08480400577455982,0.06031240317627793,0.10824013661266388,0.10903372171014833,0.1211485796779426,0.10585938132021047,0.1295388365105794,0.1295388365105794,0.1295388365105794
ProximalPhalanxTW,0.5501349618294926,0.5465884605844872,0.5677379529305766,0.5631080613790284,0.5515427463264687,0.5615977577189548,0.5596584746668938,0.5399446859389642,0.5471440058779218,0.5488461677220088,0.5187041466315077,0.5187041466315077,0.5187041466315077
ScreenType,0.04327641115967847,0.035845582904045326,0.023919772899630275,0.026692847111071293,0.03308295634454643,0.03295024614883946,0.023618967328835717,0.03471301638811641,0.04977718488985284,0.06347480755158758,0.03375233835781869,0.020346992423325945,0.020346992423325945
ShapeletSim,0.12662178789507134,0.016825413898680357,0.0030970934039814455,-0.0010342877059258964,0.08371618826045164,0.06393609469014429,0.02071065943204217,0.01920056918047438,0.037400503105126,0.09661975896386507,0.19219360901162535,0.408404911333633,0.408404911333633
Strawberry,0.10628444029911858,0.10567179252486239,0.11118804220766684,0.08372374715778559,0.11435329851311773,0.11025949457062065,0.09061205021443895,0.09784129013336469,0.11133124444071893,0.1148373160364435,0.11393673850466539,0.11393673850466539,0.11393673850466539
SwedishLeaf,0.6619949233161935,0.6256959726888331,0.5968268737108569,0.6507611146102363,0.7050204248647951,0.7010300405460601,0.7360210001666896,0.7199443406402868,0.7451617577923375,0.7571849069345757,0.7700680669912144,0.6269021329009973,0.6269021329009973
SyntheticControl,0.7028536196854341,0.6411273464147675,0.6360692586920754,0.6142108680043512,0.7051303268972141,0.7055686186327861,0.7895369899677798,0.7890039945831611,0.8207479361658745,0.8695744603128844,0.9069726941912822,0.923010456724821,0.8354132599491297
ToeSegmentation1,0.06789551456948034,0.07489108713792861,0.025441390072177418,0.08899715848307989,0.06526898237405669,0.049554794069110925,0.15123826297428009,0.08867548410582188,0.15536749852841905,0.19430223566651186,0.38655704043913497,0.4506080982888319,0.4506080982888319
Trace,0.7322992268052947,0.6660399791682757,0.27415182088924667,0.42759031074141063,0.3920336345952522,0.6239932044244055,0.6582327105426768,0.7486255375708915,0.7047561175432945,0.7922057690039908,0.8117288782123794,0.6158516447300528,0.6158516447300528
UWaveGestureLibraryY,0.3617784624984065,0.35786076761495345,0.34725280599207264,0.3435758596084183,0.3718543384440526,0.37064961031187366,0.3632390180998063,0.3646622158159065,0.3840340671892637,0.3838176607909267,0.36506370916126385,0.33240478712919863,0.32678145015857535
Wafer,0.11241386214057994,0.11241386214057994,0.048948546741877,0.045752207954544086,0.018065592377560426,0.014088909263441751,0.03240163851936931,0.046215044967070705,0.02014158517632866,0.05517193314845613,0.035577186138370506,0.05857424399335885,0.05857424399335885
WordSynonyms,0.316239368211524,0.24314822579966702,0.27562699394934775,0.3082238872450993,0.3380840444682288,0.38541697176061607,0.3939856273971563,0.42637419752990713,0.4322288991753388,0.4393183372263093,0.3772762074751063,0.21854576005731458,0.21854576005731458
Worms,0.26089088762204704,0.23356395489142648,0.24755348517995107,0.2228143157550801,0.2377478826227894,0.21383252229913516,0.284801344313555,0.254274816935941,0.3160042016298907,0.2711145712551467,0.3461911162614765,0.22549039971236645,0.22549039971236645
Yoga,0.0024800743876407633,0.0030868864198029373,0.006560767795175533,0.006533311084043205,0.002672434760378389,0.002727235145799494,0.0027510516572785545,0.0030034692766020563,0.00227408146190104,0.004898855048274896,0.00540814622511367,0.004630774200794293,0.004630774200794293
