,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,-0.007017025925070258,0.0015281796979976822,0.009075526242979606,0.01585474494774882,0.019211931285745772,-0.003753216770462199,-0.015223377730242932,-0.0023191750489425116,0.009698929076581127,-0.0015870339378827516,-0.0015870339378827516,-0.0015870339378827516,-0.0015870339378827516
BirdChicken,0.07935609188311302,0.05020752181563239,0.052471533776808445,0.1631132894808073,0.10313201060299179,0.04630964166927848,0.07798066893727715,0.11448489491317108,0.21313147029953977,0.29801598947800684,0.47835452081196933,0.47835452081196933,0.47835452081196933
Car,0.16476906193823682,0.20880821365760266,0.1738348572709655,0.22672381137990957,0.2049758670983906,0.25489878588229625,0.2492435767876729,0.35744295545912796,0.3692325748141543,0.33874986980550154,0.3732493409338915,0.32178882638271433,0.32178882638271433
CricketX,0.13295260110476145,0.09389155538408615,0.07036530003467788,0.08448401893514776,0.08469301996210069,0.10475621379222208,0.1338010157663242,0.14367169824303563,0.15111206021699528,0.1465108272135928,0.1640604550510814,0.19377239990978515,0.08415910781657997
CricketY,0.21828086139783015,0.1739591800513705,0.17999071079619966,0.1693510300722347,0.19034830238958594,0.2204672749030187,0.23487508423230125,0.23181783614250304,0.25467528210743395,0.2695722511383005,0.2645888879093371,0.25499162843953826,0.17765905226646517
CricketZ,0.12061125901404887,0.09627454995385279,0.057568423826623624,0.07665656250903842,0.08466634306248058,0.11467522749958944,0.13616642881708987,0.17120764189581872,0.1549462590772636,0.18129555779725026,0.17743301639041867,0.17833118296267275,0.08716705059494419
DistalPhalanxTW,0.3032113200391743,0.26413013495284304,0.373196923992881,0.31500036771611983,0.30641240609045417,0.31643436435155853,0.36580393110600473,0.3379505514645634,0.385520653217133,0.39892623573562347,0.3921944052181582,0.3921944052181582,0.3921944052181582
ECG200,0.04308234306893395,0.062427090348685266,0.007340359887134615,0.034973609527265456,0.07924482901466214,0.06216705976378528,0.03505470537061986,0.0895896572257052,0.1440513845684498,0.14347223059751366,0.13268157113253504,0.17320392966101883,0.19536575004636614
ECG5000,0.6083436232165951,0.6063708534298103,0.6793713696245731,0.661205692856309,0.659581875481347,0.6302401524534326,0.5212674782584539,0.6438895308239687,0.5680980970614959,0.5303971264433863,0.535361400548057,0.5767665299240567,0.5767665299240567
FiftyWords,0.22216821108260537,0.1999142662426086,0.28108481686354997,0.33020950451987724,0.35398456107124937,0.3977254908167367,0.4178059508428973,0.4254547690659721,0.4533096558345794,0.4451445388979317,0.34170051396448153,0.13521520305788792,0.13521520305788792
Fish,0.4218773614172936,0.26170988717412524,0.28600481827713664,0.2871125364680268,0.35293946967466383,0.4254541130101336,0.5043318678079959,0.5540089648561969,0.659678157919758,0.6414106419138395,0.6887641830727852,0.42298751285932157,0.42298751285932157
FordA,0.03974893132114693,0.03941406623530229,0.0944187374868504,0.03840625055255575,0.04007573213575785,0.040319266150158545,0.1013433835170197,0.09857474755163545,0.04101167437216703,0.040553976989932586,0.03929257015010551,0.03942358804117341,0.03942358804117341
