,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.32666666666666666,0.31999999999999995,0.3266666666666666,0.3433333333333334,0.35666666666666663,0.31333333333333335,0.2833333333333333,0.29333333333333333,0.26666666666666666,0.2933333333333333,0.2933333333333333,0.2933333333333333,0.2933333333333333
BirdChicken,0.5900000000000001,0.575,0.575,0.64,0.63,0.59,0.59,0.625,0.6900000000000001,0.7300000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001
Car,0.4900000000000001,0.5033333333333333,0.48166666666666663,0.5283333333333334,0.5166666666666667,0.5566666666666668,0.5466666666666666,0.625,0.6583333333333333,0.6300000000000001,0.6449999999999999,0.5833333333333333,0.5833333333333333
CricketX,0.32487179487179485,0.29179487179487185,0.25025641025641027,0.2684615384615385,0.2730769230769231,0.2992307692307692,0.32256410256410256,0.3269230769230769,0.34153846153846157,0.33897435897435896,0.3656410256410257,0.39256410256410257,0.268974358974359
CricketY,0.383076923076923,0.3366666666666667,0.33794871794871795,0.32051282051282054,0.33538461538461534,0.3756410256410256,0.38410256410256405,0.38948717948717954,0.41923076923076924,0.44128205128205134,0.42846153846153845,0.41589743589743583,0.3533333333333334
CricketZ,0.3261538461538461,0.301025641025641,0.24512820512820516,0.2633333333333333,0.268974358974359,0.29923076923076924,0.3333333333333333,0.36512820512820515,0.35743589743589743,0.37769230769230766,0.37743589743589745,0.367948717948718,0.27102564102564103
DistalPhalanxTW,0.5043165467625899,0.47338129496402886,0.560431654676259,0.5158273381294964,0.5223021582733813,0.5179856115107914,0.5287769784172662,0.4999999999999999,0.535251798561151,0.5618705035971223,0.5258992805755396,0.5258992805755396,0.5258992805755396
ECG200,0.6489999999999999,0.6659999999999999,0.6399999999999999,0.6549999999999999,0.6759999999999999,0.6679999999999999,0.6559999999999999,0.6819999999999999,0.705,0.704,0.7010000000000001,0.712,0.7280000000000001
ECG5000,0.7577555555555555,0.7354444444444443,0.8072888888888888,0.8046666666666666,0.7887777777777778,0.7692888888888889,0.6838,0.7725555555555557,0.7135111111111112,0.671888888888889,0.6874888888888889,0.7381333333333333,0.7381333333333333
FiftyWords,0.4237362637362637,0.3773626373626374,0.41912087912087914,0.44351648351648354,0.4593406593406594,0.4907692307692308,0.5125274725274724,0.5215384615384615,0.5481318681318681,0.523076923076923,0.44131868131868135,0.26857142857142857,0.26857142857142857
