,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.25169928411283954,0.2648911947250364,0.2720408613217834,0.26691211166763235,0.2823936734803779,0.24747411288075155,0.23355450671693584,0.27649528282379754,0.31818768553096133,0.28783383623800163,0.28783383623800163,0.28783383623800163,0.28783383623800163
BirdChicken,0.6643812162313778,0.7269094296553295,0.727516495325019,0.6117646988272285,0.5256000858712861,0.5472297517244786,0.7255723051812194,0.6119172829804427,0.47323128044328533,0.5589815769656851,0.5380803622939583,0.5380803622939583,0.5380803622939583
Car,0.4744176224178103,0.43755354549040326,0.4303102147505193,0.4983994481128751,0.46815428010885707,0.5117841913355339,0.45035089015569846,0.5564493116379867,0.5568100171190115,0.5333068159811403,0.584439693071495,0.5014715655718907,0.5014715655718907
CricketX,0.38141571849892697,0.37760102042565763,0.3290469139752602,0.34666470148628076,0.353136134569358,0.35905854376684443,0.378580143356067,0.38201388145351994,0.3928818021478172,0.38251542263263427,0.4008431982356724,0.41361900921401923,0.2762713818709362
CricketY,0.4670511459888417,0.4457874597152884,0.4845798909415581,0.45530154287761276,0.4629918963706733,0.4720506833748616,0.4812687230727544,0.46807199817467227,0.48961717899246615,0.5049447352087472,0.49458463762724136,0.4725353323556922,0.39439991761904464
CricketZ,0.3762824950748468,0.39947244801679427,0.38720213522673097,0.3750936328244544,0.35221155125831727,0.37692933220985975,0.38579353683657375,0.4052520801514821,0.38800487268482653,0.4206839499134265,0.41007685240500064,0.39843263943097484,0.2899057238295108
DistalPhalanxTW,0.5941895537958641,0.5675957129864218,0.6879782419688238,0.6793931385998238,0.7274516229726691,0.6756367205645936,0.5577035329687385,0.5297356597795417,0.5595369065356084,0.5489798489822686,0.4877055848924973,0.4877055848924973,0.4877055848924973
ECG200,0.5561363586939432,0.5660611655605277,0.8269931231802857,0.8250046976157417,0.6549107631237524,0.6608984566591183,0.47553371456331384,0.3835797437640572,0.2997507876179261,0.2950603528374556,0.39361471966767003,0.11256439497379833,0.12656378129903137
ECG5000,0.5400887215792081,0.5361357831550655,0.6117615834122742,0.5867741323414644,0.5595910615721206,0.5466411579996718,0.4741655568466273,0.5294903579857574,0.4872844030802028,0.45738233733034156,0.448706085693143,0.46295187887762096,0.46295187887762096
FiftyWords,0.7050952769696819,0.7026448641771522,0.7066816762892668,0.703751786069357,0.7151411077085628,0.7244477965443522,0.7365104168233125,0.7348297536694797,0.7449881031690685,0.7231057501495756,0.6721515354710051,0.5257907106153491,0.5257907106153491
Fish,0.7727263224466037,0.8073677716733144,0.8274195631751796,0.8697143183624171,0.8283767530760627,0.8227824713917397,0.7733401373364895,0.7948513893205259,0.8197474458186411,0.8142997409326632,0.7984338076648991,0.5807359501230446,0.5807359501230446
FordA,0.03312410439173672,0.03282578469479712,0.07834418840409789,0.03189809689338503,0.03344109303515322,0.033631830473227306,0.0859632854729398,0.08351857739642399,0.034187291808522445,0.03374414793313265,0.032955667898408696,0.03313902925359075,0.03313902925359075
FordB,0.1037337532885868,0.10411421562477947,0.09648986796141006,0.10576940731676676,0.09626887986131673,0.1221333029947047,0.1118611386254365,0.10177026896826977,0.113803568038597,0.11271994471134412,0.10835657061549167,0.0738130740744821,0.09605162243638393
Haptics,0.09262796961299256,0.10243966607054138,0.0664130903537982,0.05589949519450334,0.0799466240537738,0.07747388323498253,0.09514340399868706,0.09232511240001759,0.09045480166302444,0.09962017549786431,0.1061362490420241,0.1371392607570146,0.1371392607570146
Herring,0.43838572266970005,0.6278035154364349,0.7223206041102913,0.8046073451844219,0.8181286059460028,0.9020246024088536,0.713788766575055,0.4266364330723184,0.11516454005502881,0.013575805459809414,0.2081270678362787,0.037651283613067264,0.037651283613067264
