,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.23194845019364685,0.23627302927412774,0.2538618114749226,0.24861573836996964,0.2491360554392006,0.25020651682927636,0.24553091730068183,0.2514450352316975,0.24846561093509828,0.23603491934039772,0.23603491934039772,0.23603491934039772,0.23603491934039772
BirdChicken,0.6736719799511202,0.6636522796049562,0.6652786413689318,0.6892414317940652,0.6572605849305496,0.6434556650035541,0.6658332148281503,0.6694253789774134,0.6810936324035659,0.7109532490635501,0.7523019806579432,0.7523019806579432,0.7523019806579432
Car,0.47330140321836733,0.5123476162687683,0.5032413016211609,0.5021705238305183,0.47495534634506187,0.5150718330463866,0.4881911799228136,0.5473644784595958,0.5458190173552997,0.5261713290288677,0.5550637585443006,0.5077105200855859,0.5077105200855859
CricketX,0.23387359833094323,0.23240790680368956,0.22675897708448386,0.22758639154207333,0.22638351296747,0.22298051814196337,0.2337906770390093,0.23387655922301728,0.23796069613235588,0.2319036139482525,0.2456863659095127,0.264853580136787,0.16859819617141972
CricketY,0.30486510564674607,0.2898241394539731,0.3041735194544274,0.2932274843354764,0.29910297279710585,0.30959584864105216,0.3172472500079449,0.31069181842823,0.3288607172156483,0.3391546821457997,0.3330155199408045,0.3219822462269838,0.2484360636926703
CricketZ,0.23516222551048416,0.24212030635520784,0.24747998839819746,0.240367519368106,0.2307826522435991,0.23762037330023617,0.2406768652845766,0.25857831045865,0.24336538566016075,0.26526249096037385,0.25819990453584,0.25343227721921985,0.17462743529716787
DistalPhalanxTW,0.5033776696286296,0.49894831526286787,0.5703013139436981,0.5317081170642615,0.5487183150394357,0.5398482874015185,0.5366499971616298,0.49442180064293584,0.5360277632269685,0.5514989524012148,0.5359433340031368,0.5359433340031368,0.5359433340031368
ECG200,0.6877401953787815,0.6941425441815932,0.7198568636974153,0.7071739684979047,0.6929260279758269,0.6997326531055321,0.7168202280276228,0.6965724366649788,0.6570610015788256,0.6615334814951808,0.6673991452344767,0.6191198641156355,0.6283437169852688
ECG5000,0.7731000847531894,0.7683351789374608,0.8218213349500182,0.8083845177004834,0.8067385389497289,0.7869299731056556,0.712111023232955,0.7944280717247129,0.7449336660724626,0.7168618513554069,0.7207927858649221,0.7508391613904541,0.7508391613904541
FiftyWords,0.30759047943497736,0.3110643801547896,0.35504402660362927,0.38713241522268993,0.39483823740462476,0.42965092838927543,0.4456074674925894,0.4512502823162481,0.4780728971305622,0.47307958573837494,0.37491553626920865,0.17065277891122,0.17065277891122
