,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.18916757119450595,0.20006165939231205,0.18956922131002935,0.19711909225242585,0.21733071992349112,0.1640468058388108,0.1508273513737512,0.18450748689089327,0.23790108682994388,0.21845008298751303,0.21845008298751303,0.21845008298751303,0.21845008298751303
BirdChicken,0.11644393495042953,0.08922152659247902,0.089978265016492,0.17337373280779297,0.16067318871073044,0.09265424066716793,0.10062902295368721,0.16024613229690507,0.2261924048694246,0.3184509398212642,0.4985154203788326,0.4985154203788326,0.4985154203788326
Car,0.25499989032776454,0.284850729434852,0.24589652054651104,0.29211026108257687,0.27054323850141426,0.33071426814296584,0.33723415956022473,0.46261483960571353,0.49041205076778904,0.4618410809747785,0.4829570918675163,0.44791005262959666,0.44791005262959666
CricketX,0.3234154262203819,0.26347339664770686,0.20165865336951785,0.22800317532629988,0.24030560777199028,0.2780700513011608,0.32090648031813906,0.33964153897882654,0.3563458406547738,0.35042297531450645,0.3711422648336462,0.40284768981698515,0.26348594582027607
CricketY,0.405932219560999,0.3497105711200392,0.35112848551650716,0.32660209739507906,0.3594157801242726,0.40328610846805335,0.4267553778941496,0.42716380643640717,0.451848091242285,0.47382902280703443,0.4673678710178428,0.45526423012446254,0.3853423923768884
CricketZ,0.3037336419848534,0.26750240147316456,0.19129389401697255,0.22111757704098173,0.23368164279691106,0.2816671047793329,0.3220787044893103,0.363743285348054,0.3503560776432916,0.38444809836041627,0.3811099390086613,0.38130240059964293,0.27104334340434794
DistalPhalanxTW,0.4284073503046102,0.37363858809919714,0.4233992420344057,0.39424010256854297,0.389202659159992,0.3998425413767924,0.43843529791397706,0.4588993971716822,0.4716604279085804,0.4400848345900544,0.42081805451256804,0.42081805451256804,0.42081805451256804
ECG200,0.03324251328269877,0.044425648928266434,0.008223106581620766,0.025359918488562738,0.05295962939977019,0.04397750664485296,0.02645740830846418,0.054050083251108015,0.09536370817000095,0.09236202141685156,0.08543912544841384,0.11182093037975313,0.12518207565401734
ECG5000,0.640270769711295,0.6459519323264404,0.6056877929195027,0.6240235878534601,0.6392147297229147,0.6275939612604492,0.6515518636585008,0.6567429525924269,0.6617300989230174,0.6478633624505961,0.6497204390611292,0.6423080019254579,0.6423080019254579
FiftyWords,0.5122176079074375,0.43426666771097333,0.5107092041492842,0.5509629738859373,0.6059511143786158,0.6443936185110213,0.6775842317346381,0.7032525738642367,0.7271372626239959,0.7403059956925034,0.7046003996641013,0.5659913743575039,0.5659913743575039
