,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.3044534608835148,0.3219868194504648,0.30509989180697167,0.3172509403356492,0.3497803001814638,0.2640231487306979,0.24274725753293472,0.29695334453014144,0.38288702855338846,0.351581845534479,0.351581845534479,0.351581845534479,0.351581845534479
BirdChicken,0.08071278520419586,0.06184364960283097,0.06236818070785697,0.12017351407887493,0.11137016774641877,0.06422302568537004,0.06975072354285028,0.1110741547972357,0.15678462769931523,0.220733371083774,0.34554455810124357,0.34554455810124357,0.34554455810124357
Car,0.3505329908151632,0.3915671414459737,0.33801913666480427,0.40154638236691464,0.3718994953873325,0.4546129857875455,0.4635754878315435,0.6359287571223379,0.6741399091053395,0.6348651177351912,0.663892026110732,0.615714972122616,0.615714972122616
CricketX,0.8010251570649191,0.6525626232446442,0.4994618110106651,0.5647110945245928,0.5951813723256729,0.6887151584624228,0.7948110787542513,0.8412134828747997,0.8825861719577185,0.8679166053420891,0.919233490053807,0.9977604895970604,0.6525937046406238
CricketY,1.0077599524737886,0.8681851096043729,0.8717051981214698,0.8108164326168881,0.8922790851341587,1.00119076515441,1.0594551469938596,1.0604691042717016,1.1217498612161076,1.1763193225241495,1.1602789844917478,1.1302307055335907,0.9566440216246859
CricketZ,0.7520626859558932,0.6623519648231533,0.4736551367877141,0.547500361878888,0.5786097410611977,0.6974246184304098,0.7974861592694571,0.9006501564647887,0.867502628525177,0.9519165133442424,0.9436510308911832,0.9441275773155804,0.6711195490860529
DistalPhalanxTW,0.7029577247718561,0.6130896951007655,0.6947401057405045,0.6468939557604593,0.6386282017890951,0.6560867897186544,0.719412211910323,0.7529909930481195,0.7739300948776644,0.72211887543493,0.6905047309126207,0.6905047309126207,0.6905047309126207
ECG200,0.021721263019586705,0.02902852732524664,0.005373127458158855,0.016570632158912108,0.03460478543934133,0.02873570300340788,0.017287751975836575,0.03531730782638834,0.06231238204127548,0.06035102530169645,0.05582747911525525,0.07306583046889056,0.0817962458943767
ECG5000,0.5824647515122097,0.5876329977097102,0.551004054044064,0.5676844254513078,0.5815040547281034,0.5709324523138264,0.5927273464854395,0.5974497646700779,0.6019866529455058,0.5893718568377027,0.5910612696887392,0.5843180548512488,0.5843180548512488
FiftyWords,1.7706911457280694,1.5012216127088134,1.7654767268219005,1.9046304625672534,2.0947196199630915,2.2276119700815316,2.34234899600385,2.431082193443271,2.5136494583175764,2.5591726084102153,2.4357415084940635,1.9565823190412446,1.9565823190412446
Fish,1.0742326359845455,0.72776099334497,0.7936803870986011,0.8224597213631842,0.9584678257421692,1.0486399185059772,1.1913588872435723,1.265016820408461,1.4266990203734338,1.4010353974993053,1.4782026651941613,1.0911427302524621,1.0911427302524621
FordA,0.02240568493191295,0.022209035118994032,0.05356361954900649,0.021603992731330356,0.02260955133617221,0.022739709660731244,0.05863046839982124,0.05696351787538249,0.02311640255232368,0.022831226172729466,0.022255360701777478,0.022363601381960967,0.022363601381960967
FordB,0.06153084923269211,0.061740100216368346,0.054984345494585384,0.06299984058965977,0.05896571062943508,0.07555315129256766,0.0707310686814936,0.06259676531424248,0.07010036884686546,0.06951712455296437,0.06877899427217307,0.042708350334302266,0.060598693419939245
Haptics,0.1090920707276302,0.12411216260390023,0.07041786477444557,0.06031668381392513,0.09483174063801018,0.10188209022464437,0.12040247306524827,0.12504673939337957,0.12404824414723911,0.1328487923090262,0.13982918717116255,0.16477360260956417,0.16477360260956417
