,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.2151313593137542,0.22738177761603753,0.2221170361709653,0.22531378363472676,0.24407878567551777,0.196739563168691,0.18279525009881642,0.22121716446401446,0.27224860477705215,0.24793873301306935,0.24793873301306935,0.24793873301306935,0.24793873301306935
BirdChicken,0.13335429764132806,0.10400677091453996,0.10447050231688142,0.18544556033151047,0.18412009583225775,0.11135930621193517,0.11034427992087881,0.1798171116749934,0.24131199251887298,0.33324444729422265,0.5154750154656761,0.5154750154656761,0.5154750154656761
Car,0.297590703337333,0.3280441722108797,0.29672948186915377,0.33225029003376794,0.3108151776177756,0.36011476606387205,0.376521975012598,0.49931493916716574,0.5200463025878801,0.49322006348786296,0.5275555499524613,0.47260153827208795,0.47260153827208795
CricketX,0.34990250312985055,0.3092383173855027,0.2488891846472959,0.2742327950762858,0.28553162687858197,0.3131298104865011,0.3470377491831991,0.3594196746457739,0.3736019121476887,0.3656879938102205,0.3853663640519311,0.4081447246526329,0.2697200183322883
CricketY,0.4340979681820817,0.3881050498144443,0.40623203932574253,0.3787045604989709,0.4036069762101932,0.43451071894222454,0.45221176140871144,0.4465910212354805,0.46982634086600655,0.48885905088389087,0.48056508335920667,0.46370854643297327,0.3898144353066134
CricketZ,0.3358116216369812,0.3168607736987349,0.25261168618457497,0.2773234559794967,0.2802818404503979,0.32143527682931106,0.35094632435949275,0.38311847271871324,0.36804345583788717,0.4016382878168888,0.39500836875315326,0.3896626888384859,0.2801523542339722
DistalPhalanxTW,0.492226224920593,0.4396283065558662,0.5157178305563178,0.48883946745204626,0.5018602012817962,0.4932706752565316,0.4876600500669479,0.4906145936881529,0.5103803830511209,0.4855016948340756,0.45144609824191884,0.45144609824191884,0.45144609824191884
ECG200,0.03895272990643212,0.04948285097823478,0.012600514781039981,0.02516893964062266,0.05387128766249173,0.04533124391524888,0.033792629201404425,0.06047913236465804,0.09666696037987552,0.09354005447030894,0.0883796536369182,0.11218213599558809,0.12586867581858113
ECG5000,0.5778717007504272,0.5787783594523999,0.6005255710953461,0.5993684958649942,0.5919548836930206,0.5787118227923412,0.5467126742106541,0.5847996044543551,0.5603344231582151,0.5325361222470942,0.5299291617033307,0.5376440633706634,0.5376440633706634
FiftyWords,0.5927337246460673,0.5348626787196793,0.5921779321764081,0.6176901895963878,0.6558250096690944,0.6820118453021184,0.7057445164968005,0.7186153341188114,0.735913682404968,0.7315854609726609,0.6879708434094184,0.5451466778896072,0.5451466778896072
Fish,0.6429832723556311,0.4500557861685057,0.5049867969450729,0.5344229547911454,0.6131301244880111,0.6417504327848664,0.6823787981548708,0.7123630339408821,0.7734914773059763,0.7645081377503843,0.7792843061501207,0.5712556688481392,0.5712556688481392
FordA,0.03273141044945604,0.03244041400268397,0.07783355778079756,0.031540333494468484,0.03303683258716262,0.03322616280599787,0.08529931934457412,0.0828742157396057,0.03377580004197247,0.03334869833739536,0.03253807477378382,0.03270752256580505,0.03270752256580505
FordB,0.0948378372727369,0.09517685604736188,0.08616321173529125,0.09703732957982626,0.08992519739203497,0.11468917678615387,0.1064993271591161,0.0952553489603922,0.10660569022285024,0.10564116732141196,0.10337466996096187,0.0666405023630853,0.09130878404452675
Haptics,0.07774483258503449,0.08771713015217424,0.05180069995073624,0.04435877676450607,0.06758199996199825,0.06943477201905376,0.08346728684040006,0.08428999438250001,0.0831692304322527,0.09012888571755863,0.09555207460826025,0.117289581870104,0.117289581870104
Herring,0.015111809892493267,0.012851908297080805,0.007751337035076708,0.00397952711821928,0.003913631128595012,0.0014498851717750527,0.01217715687326117,0.00987577086117769,0.01396880923484221,0.012606313561724064,0.007797095155423613,0.03480746248479081,0.03480746248479081
