,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.6082758620689654,0.6167816091954024,0.598390804597701,0.6190804597701149,0.6241379310344828,0.5811494252873562,0.5671264367816092,0.5822988505747126,0.6114942528735632,0.6117241379310344,0.6117241379310344,0.6117241379310344,0.6117241379310344
BirdChicken,0.5210526315789473,0.5057894736842105,0.5068421052631579,0.5663157894736842,0.5368421052631579,0.5063157894736842,0.5210526315789473,0.5415789473684212,0.5957894736842105,0.6399999999999999,0.7368421052631579,0.7368421052631579,0.7368421052631579
Car,0.5566101694915255,0.5590960451977401,0.5254802259887006,0.6023163841807909,0.6134463276836157,0.619322033898305,0.6574011299435027,0.7295480225988701,0.7454237288135593,0.7302259887005649,0.7414689265536722,0.7297740112994349,0.7297740112994349
CricketX,0.8220143695207962,0.7440471953068355,0.6946819590007249,0.7316379935403071,0.736808384417639,0.7880838441763891,0.8223940412629357,0.8396018719926175,0.8453589084437413,0.8470621580647286,0.8538606551974162,0.8707415463713664,0.8465111067167621
CricketY,0.8505833498121416,0.784973963482961,0.7906729945290356,0.7868274998352118,0.8099215608727176,0.8474813789466745,0.8579038955902709,0.8618008041658427,0.8698398259837848,0.8765644980555006,0.8778129325687166,0.8792498846483424,0.870860193790785
CricketZ,0.7956245468327731,0.722586513743326,0.5881695339793027,0.6841131105398458,0.7253285874365566,0.7806037835343749,0.8159712609584074,0.8450899742930591,0.8427473469118713,0.8511765869092347,0.8557629688220947,0.8641763891635357,0.841516050359238
DistalPhalanxTW,0.7082890209571473,0.64808674799291,0.7255343551245961,0.6964341570222083,0.6637264101762069,0.6856219372328225,0.7468251485767906,0.7618809300385779,0.7741528516317381,0.7718903138358877,0.7815973308309874,0.7815973308309874,0.7815973308309874
ECG200,0.5451919191919192,0.5544646464646463,0.5355555555555556,0.5453939393939393,0.5616161616161615,0.5555959595959595,0.5466666666666666,0.5661010101010101,0.583010101010101,0.5834747474747475,0.5798585858585857,0.5891313131313132,0.6
ECG5000,0.8080433083895187,0.8075245363167124,0.8416675804499765,0.8331709071151614,0.832452910523326,0.8185056333506211,0.7668239559408263,0.8253160257835074,0.7891078610061495,0.7715462892988565,0.7738662616383888,0.7933105134474328,0.7933105134474328
FiftyWords,0.8760623517451711,0.8389059398751029,0.897392651401462,0.918205935034129,0.9326562424359782,0.942649949169773,0.9480563489374063,0.9519252553613786,0.9557167062012877,0.9583860192670766,0.9529738103306385,0.9412247664230045,0.9412247664230045
Fish,0.7952906403940886,0.569431855500821,0.5943054187192118,0.621064039408867,0.726272577996716,0.7662988505747126,0.83911986863711,0.8536945812807882,0.9040262725779968,0.9007816091954023,0.9199737274220032,0.853353037766831,0.853353037766831
FordA,0.5198783513681163,0.5197108691157213,0.547212879362235,0.5192068141613252,0.5200418131274841,0.5201635766305971,0.5506753279573597,0.5492907850299814,0.5205097985158638,0.5202808601557655,0.5196504468490822,0.5197160383210421,0.5197160383210421
FordB,0.5488006836667736,0.5489407743136627,0.541969814891117,0.549922629675411,0.5478304262235041,0.5616768148453356,0.5587922904362953,0.5509914694257504,0.5570336797448457,0.5566982557341025,0.5575470402417251,0.5329042103496163,0.5505760808191793
